,Rank,Streams,Year,Country,Title,Artist
0,1,152512,2019,gt,Calma - Remix, Pedro Capó
1,2,131343,2019,gt,Adan y Eva, Paulo Londra
2,3,120449,2019,gt,Desconocidos, Mau y Ricky
3,4,109130,2019,gt,MIA (feat. Drake), Bad Bunny
4,5,104548,2019,gt,Ella Quiere Beber - Remix, Anuel AA
5,6,87209,2019,gt,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
6,7,79518,2019,gt,Vaina Loca, Ozuna
7,8,75469,2019,gt,Bubalu, Becky G
8,9,74606,2019,gt,Cuando Te Besé, Becky G
9,10,73827,2019,gt,Créeme, KAROL G
10,11,71796,2019,gt,Solo de Mi, Bad Bunny
11,12,66748,2019,gt,Adictiva, Daddy Yankee
12,13,64052,2019,gt,Amanece, Anuel AA
13,14,59454,2019,gt,Imposible, Luis Fonsi
14,15,53768,2019,gt,Nunca Es Suficiente, Los Ángeles Azules
15,16,53510,2019,gt,Ya No Tiene Novio, Sebastian Yatra
16,17,53393,2019,gt,Culpables, KAROL G
17,18,53385,2019,gt,Reggaeton, J Balvin
18,19,50078,2019,gt,PPP, Kevin Roldan
19,20,48776,2019,gt,Ba, Girl (feat. Lalo Ebratt)  
20,21,48649,2019,gt,BEBE, 6ix9ine
21,22,48592,2019,gt,La player (Bandolera), Zion & Lennox
22,23,48495,2019,gt,Quiere Beber, Anuel AA
23,24,47423,2019,gt,Amigos Con Derechos, Reik
24,25,46586,2019,gt,Puntos Suspensivos, Piso 21
25,26,46407,2019,gt,Sola, Manuel Turizo
26,27,46298,2019,gt,No Es Justo, J Balvin
27,28,44590,2019,gt,Mala Mía, Maluma
28,29,44204,2019,gt,Asesina - Remix, Brytiago
29,30,42389,2019,gt,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
30,31,42151,2019,gt,Te Vi, Piso 21
31,32,40771,2019,gt,thank u next, Ariana Grande
32,33,40570,2019,gt,Ibiza, Ozuna
33,34,39431,2019,gt,Te Boté - Remix, Nio Garcia
34,35,37794,2019,gt,A Través Del Vaso, Grupo Arranke
35,36,36545,2019,gt,Déjalo, Nacho
36,37,35901,2019,gt,Hipócrita, Anuel AA
