,Rank,Streams,Year,Country,Title,Artist
0,1,46532,2018,hn,Sensualidad, Bad Bunny
1,2,38513,2018,hn,Solo, Amenazzy
2,3,38443,2018,hn,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
3,4,38240,2018,hn,Criminal, Natti Natasha
4,5,35508,2018,hn,Corazón, Maluma
5,6,35032,2018,hn,Échame La Culpa, Luis Fonsi
6,7,33386,2018,hn,Downtown, Anitta
7,8,31054,2018,hn,Se Preparó, Ozuna
8,9,28450,2018,hn,Vuelve, Daddy Yankee
9,10,28365,2018,hn,Que Va, Alex Sensation
10,11,28294,2018,hn,Mayores, Becky G
11,12,27306,2018,hn,Me Rehúso, Danny Ocean
12,13,25708,2018,hn,Chambea, Bad Bunny
13,14,25112,2018,hn,Báilame - Remix, Nacho
14,15,25109,2018,hn,Robarte un Beso, Carlos Vives
15,16,25078,2018,hn,Quiero Repetir, Ozuna
16,17,22631,2018,hn,Bella y Sensual, Romeo Santos
17,18,22480,2018,hn,rockstar, Post Malone
18,19,21235,2018,hn,SUTRA, Sebastian Yatra
19,20,20663,2018,hn,New Rules, Dua Lipa
20,21,20646,2018,hn,Escápate Conmigo (feat. Ozuna), Wisin
21,22,20637,2018,hn,Perfect, Ed Sheeran
22,23,20120,2018,hn,Havana (feat. Young Thug), Camila Cabello
23,24,19761,2018,hn,Suena El Dembow, Joey Montana
24,25,19474,2018,hn,Perro Fiel (feat. Nicky Jam), Shakira
25,26,18609,2018,hn,Adiós Amor, Christian Nodal
26,27,18458,2018,hn,Explícale (feat. Bad Bunny), Yandel
27,28,18394,2018,hn,Dembow, Danny Ocean
28,29,18340,2018,hn,Una Lady Como Tú, Manuel Turizo
29,30,18307,2018,hn,El Farsante, Ozuna
30,31,18305,2018,hn,Ahora Dice, Chris Jedi
31,32,17576,2018,hn,Mi Gente, J Balvin
32,33,17504,2018,hn,Shape of You, Ed Sheeran
33,34,17401,2018,hn,La Modelo, Ozuna
34,35,17293,2018,hn,Bonita, J Balvin
35,36,17289,2018,hn,Sola, Anuel AA
36,37,17191,2018,hn,What Lovers Do (feat. SZA), Maroon 5
37,38,17119,2018,hn,Bum Bum Tam Tam, MC Fioti
38,39,16140,2018,hn,Wolves, Selena Gomez
39,40,16105,2018,hn,Havana - Remix, Camila Cabello
40,41,15867,2018,hn,Felices los 4, Maluma
41,42,15036,2018,hn,Síguelo Bailando, Ozuna
42,43,14617,2018,hn,Solo - Remix, Lary Over
43,44,14552,2018,hn,Too Good At Good,es  
44,45,14276,2018,hn,Gucci Gang, Lil Pump
45,46,13961,2018,hn,GPS (feat. French Montana), Maluma
46,47,13786,2018,hn,Cásate Conmigo, Silvestre Dangond
47,48,13676,2018,hn,El Color de Tus Ojos, Banda MS de Sergio Lizárraga
