,Rank,Streams,Year,Country,Title,Artist
0,1,104884,2021,hu,The Business, Tiësto
1,2,98553,2021,hu,Mood (feat. iann dior), 24kGoldn
2,3,93423,2021,hu,Head & Heart (feat. MNEK), Joel Corry
3,4,83263,2021,hu,Blinding Lights, The Weeknd
4,5,76714,2021,hu,Paradise (feat. Dermot Kennedy), MEDUZA
5,6,76417,2021,hu,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
6,7,75104,2021,hu,HOLIDAY, Lil Nas X
7,8,73574,2021,hu,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
8,9,68232,2021,hu,Roses - Imanbek Remix, SAINt JHN
9,10,66835,2021,hu,Breaking Me, Topic
10,11,65682,2021,hu,RÉT, Azahriah
11,12,64066,2021,hu,Therefore I Am, Billie Eilish
12,13,63045,2021,hu,Take You Dancing, Jason Derulo
13,14,62084,2021,hu,Talán, Manuel
14,15,60678,2021,hu,Watermelon Sugar, Harry Styles
15,16,60502,2021,hu,Levitating (feat. DaBa,)  
16,17,59722,2021,hu,WITHOUT YOU, The Kid LAROI
17,18,58183,2021,hu,you broke me first, Tate McRae
18,19,57696,2021,hu,positions, Ariana Grande
19,20,57168,2021,hu,Whoopty, CJ
20,21,57125,2021,hu,Kings & Queens, Ava Max
21,22,54453,2021,hu,Lej, Dzsúdló
22,23,51887,2021,hu,Prisoner (feat. Dua Lipa), Miley Cyrus
23,24,51071,2021,hu,Lovefool, twocolors
24,25,49491,2021,hu,Olyan Ő, Bagossy Brothers Company
25,26,48864,2021,hu,ROCKSTAR (feat. Roddy Ricch), DaBa
26,27,48747,2021,hu,Háborgó mélység 2, Lotfi Begi
27,28,48634,2021,hu,Évszakok, DR BRS
28,29,48237,2021,hu,Goosebumps, HVME
29,30,47124,2021,hu,Afterglow, Ed Sheeran
30,31,47073,2021,hu,Tavasz, Follow The Flow
31,32,47052,2021,hu,Anyone, Justin Bieber
32,33,46984,2021,hu,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
33,34,45183,2021,hu,Some Say - Felix Jaehn Remix, Nea
34,35,44992,2021,hu,Midnight Sky, Miley Cyrus
35,36,44617,2021,hu,Lonely (with benny blanco), Justin Bieber
36,37,44186,2021,hu,Dynamite, BTS
37,38,43635,2021,hu,Mostantól, Rácz Gergõ
38,39,42797,2021,hu,What You Know Bout Love, Pop Smoke
39,40,41945,2021,hu,Dance Monkey, Tones And I
40,41,41599,2021,hu,Keverem, Bruno X Spacc
41,42,41083,2021,hu,Ride It, Regard
42,43,40288,2021,hu,34+35, Ariana Grande
43,44,40164,2021,hu,Savage Love (Laxed - Siren Beat), Jawsh 685
44,45,39107,2021,hu,Wonder, Shawn Mendes
45,46,38873,2021,hu,WAP (feat. Megan Thee Stallion), Cardi B
46,47,38542,2021,hu,Someone You Loved, Lewis Capaldi
47,48,38343,2021,hu,Budán vagy Pesten, Bruno X Spacc
48,49,38272,2021,hu,For The Night (feat. Lil Ba, & DaBa
49,50,37391,2021,hu,willow, Taylor Swift
50,51,37172,2021,hu,Snowman, Sia
51,52,36138,2021,hu,Szeretni akit nem lehet, Halott Pénz
52,53,35898,2021,hu,On My Mind, Diplo
53,54,35614,2021,hu,Don't Start Now, Dua Lipa
54,55,35241,2021,hu,Visz a vérem, VALMAR
55,56,35171,2021,hu,Sweater Weather, The Neighbourhood
56,57,35082,2021,hu,Before You Go, Lewis Capaldi
57,58,34939,2021,hu,Blueberry Faygo, Lil Mosey
58,59,34276,2021,hu,Utálnak, T. Danny
59,60,33666,2021,hu,Emlékszem (Vagy...), ByeAlex és a Slepp
60,61,32738,2021,hu,The Box, Roddy Ricch
61,62,32409,2021,hu,Break My Heart, Dua Lipa
62,63,31556,2021,hu,Hazudtál, KKevin
63,64,31520,2021,hu,Deep End, Fousheé
64,65,30904,2021,hu,In Your Eyes (feat. Alida), Robin Schulz
65,66,30687,2021,hu,Be Kind (with Halsey), Marshmello
66,67,30547,2021,hu,Lose Control, MEDUZA
67,68,30469,2021,hu,Megmondtam, T. Danny
68,69,30073,2021,hu,A csúcson túl, Majka
69,70,29811,2021,hu,Physical, Dua Lipa
70,71,29279,2021,hu,goosebumps, Travis Scott
71,72,29125,2021,hu,All Around The World (La La La), R3HAB
72,73,28847,2021,hu,Godzilla (feat. Juice WRLD), Eminem
73,74,28818,2021,hu,Nem tudja senki, Follow The Flow
74,75,28720,2021,hu,Lucid Dreams, Juice WRLD
75,76,28183,2021,hu,Robbery, Juice WRLD
76,77,28097,2021,hu,Amikor Feladnád, Halott Pénz
77,78,28039,2021,hu,Rain On Me (with Ariana Grande), Lady Gaga
78,79,28039,2021,hu,Secrets, Regard
79,80,27956,2021,hu,Sowieso, IstenEst
80,81,27705,2021,hu,HIGHEST IN THE ROOM, Travis Scott
81,82,27661,2021,hu,Salt, Ava Max
82,83,27444,2021,hu,bad guy, Billie Eilish
83,84,27317,2021,hu,SO DONE, The Kid LAROI
84,85,27268,2021,hu,Astronaut In The Ocean, Masked Wolf
85,86,26840,2021,hu,Visszajövök, Bagossy Brothers Company
86,87,26683,2021,hu,Blood // Water, grandson
87,88,26503,2021,hu,Señorita, Shawn Mendes
88,89,26303,2021,hu,Falling, Trevor Daniel
89,90,26179,2021,hu,DÁKITI, Bad Bunny
90,91,25694,2021,hu,Boldog Leszek (Levegő be), ByeAlex és a Slepp
91,92,25371,2021,hu,Ez annyira te, Kasza Tibi
92,93,25314,2021,hu,Rózsák, ByeAlex és a Slepp
93,94,25046,2021,hu,Wishing Well, Juice WRLD
94,95,24771,2021,hu,Heather, Conan Gray
95,96,24591,2021,hu,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
96,97,24454,2021,hu,Tick Tock (feat. 24kGoldn), Clean Bandit
97,98,24090,2021,hu,Circles, Post Malone
98,99,24079,2021,hu,Dior, Pop Smoke
