,Rank,Streams,Year,Country,Title,Artist
0,1,446391,2017,id,Shape of You, Ed Sheeran
1,2,423624,2017,id,Say You Won't Let Go, James Arthur
2,3,365768,2017,id,Closer, The Chainsmokers
3,4,329760,2017,id,All We Know, The Chainsmokers
4,5,310224,2017,id,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
5,6,309066,2017,id,Don't Wanna Know, Maroon 5
6,7,301538,2017,id,Bad Things (with Camila Cabello), Machine Gun Kelly
7,8,294755,2017,id,Castle on the Hill, Ed Sheeran
8,9,286072,2017,id,Let Me Love You, DJ Snake
9,10,278528,2017,id,Rocka,e (feat. Sean Paul & Anne-Marie)  
10,11,262560,2017,id,Starboy, The Weeknd
11,12,250164,2017,id,Versace on the Floor, Bruno Mars
12,13,249042,2017,id,Starving, Hailee Steinfeld
13,14,248894,2017,id,Alone, Alan Walker
14,15,241727,2017,id,24K Magic, Bruno Mars
15,16,231737,2017,id,By Your Side, Jonas Blue
16,17,230550,2017,id,Side To Side, Ariana Grande
17,18,224585,2017,id,"How Far I'll Go - From ""Moana""", Alessia Cara
18,19,215250,2017,id,Cold Water (feat. Justin Bieber & MØ), Major Lazer
19,20,211244,2017,id,I Feel It Coming, The Weeknd
20,21,206473,2017,id,Alone, Marshmello
21,22,203496,2017,id,All Night, The Vamps
22,23,200406,2017,id,Just Hold On, Steve Aoki
23,24,193076,2017,id,In the Name of Love, Martin Garrix
24,25,192673,2017,id,Call On Me - Ryan Riback Extended Remix, Starley
25,26,180025,2017,id,Treat You Better, Shawn Mendes
26,27,178995,2017,id,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
27,28,168578,2017,id,Perfect Strangers, Jonas Blue
28,29,161701,2017,id,Mercy, Shawn Mendes
29,30,155647,2017,id,Dia - Hits Single, Anji
30,31,151947,2017,id,Till It Hurts, Yellow Claw
31,32,151625,2017,id,Don't Let Me Down (feat. Daya), The Chainsmokers
32,33,151289,2017,id,Penantian Berharga, Rizky Febian
33,34,146670,2017,id,Scars To Your Beautiful, Alessia Cara
34,35,143421,2017,id,Faded, Alan Walker
35,36,140388,2017,id,Fake Love, Drake
36,37,138155,2017,id,I Would Like, Zara Larsson
37,38,134626,2017,id,Setting Fires, The Chainsmokers
38,39,133903,2017,id,Cheap Thrills, Sia
39,40,133480,2017,id,Heathens, Twenty One Pilots
40,41,126453,2017,id,Shed a Light, Robin Schulz
41,42,125840,2017,id,My Way, Calvin Harris
42,43,124741,2017,id,Pelangi, Hivi!
