,Rank,Streams,Year,Country,Title,Artist
0,1,857220,2017,ie,Shape of You, Ed Sheeran
1,2,729464,2017,ie,Castle on the Hill, Ed Sheeran
2,3,212178,2017,ie,Rocka,e (feat. Sean Paul & Anne-Marie)  
3,4,180757,2017,ie,Call On Me - Ryan Riback Extended Remix, Starley
4,5,170869,2017,ie,Starboy, The Weeknd
5,6,166242,2017,ie,Touch, Little Mix
6,7,165204,2017,ie,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
7,8,165171,2017,ie,Say You Won't Let Go, James Arthur
8,9,157671,2017,ie,Just Hold On, Steve Aoki
9,10,154461,2017,ie,All Night, The Vamps
10,11,152536,2017,ie,Sexual, NEIKED
11,12,149298,2017,ie,I Would Like, Zara Larsson
12,13,144711,2017,ie,Don't Wanna Know, Maroon 5
13,14,136354,2017,ie,I Feel It Coming, The Weeknd
14,15,131250,2017,ie,By Your Side, Jonas Blue
15,16,122826,2017,ie,The Mack, Nevada
16,17,122109,2017,ie,Now and Later, Sage The Gemini
17,18,117669,2017,ie,Human, Rag'n'Bone Man
18,19,116730,2017,ie,Closer, The Chainsmokers
19,20,108159,2017,ie,24K Magic, Bruno Mars
20,21,107670,2017,ie,Black Beatles, Rae Sremmurd
21,22,105851,2017,ie,Love Me Now, John Legend
22,23,104030,2017,ie,Water Under the Bridge, Adele
23,24,103610,2017,ie,Shed a Light, Robin Schulz
24,25,101003,2017,ie,You Don't Know Me - Radio Edit, Jax Jones
25,26,99871,2017,ie,"How Far I'll Go - From ""Moana""", Alessia Cara
26,27,99636,2017,ie,September Song, JP Cooper
27,28,99422,2017,ie,One Dance, Drake
28,29,97731,2017,ie,Photograph, Ed Sheeran
29,30,93183,2017,ie,Side To Side, Ariana Grande
30,31,92891,2017,ie,Fake Love, Drake
31,32,92460,2017,ie,Shout Out to My Ex, Little Mix
32,33,89838,2017,ie,Bad Things (with Camila Cabello), Machine Gun Kelly
33,34,88607,2017,ie,My Way, Calvin Harris
34,35,88078,2017,ie,All We Know, The Chainsmokers
35,36,86914,2017,ie,Let Me Love You, DJ Snake
36,37,86581,2017,ie,The Greatest (feat. Kendrick Lamar), Sia
37,38,85918,2017,ie,Starving, Hailee Steinfeld
38,39,83793,2017,ie,The A Team, Ed Sheeran
39,40,80215,2017,ie,Love on Me, Galantis
40,41,78841,2017,ie,Cold Water (feat. Justin Bieber & MØ), Major Lazer
41,42,77366,2017,ie,Mercy, Shawn Mendes
42,43,74435,2017,ie,Oh Lord, MiC LOWRY
43,44,72484,2017,ie,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
44,45,72215,2017,ie,After the Afterparty (feat. Lil Yachty), Charli XCX
45,46,71240,2017,ie,In the Name of Love, Martin Garrix
46,47,71172,2017,ie,Thinking out Loud, Ed Sheeran
47,48,68390,2017,ie,Don't Let Me Down (feat. Daya), The Chainsmokers
48,49,64163,2017,ie,Treat You Better, Shawn Mendes
49,50,56333,2017,ie,Give Me Love, Ed Sheeran
50,51,52189,2017,ie,You Want Me (feat. Sadie Ama), Tom Zanetti
51,52,51778,2017,ie,Make Me (Cry), Noah Cyrus
52,53,51001,2017,ie,So Good, Louisa
53,54,49983,2017,ie,Cheap Thrills, Sia
54,55,49327,2017,ie,Don't, Ed Sheeran
55,56,49253,2017,ie,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""", Ed Sheeran
56,57,48439,2017,ie,Heathens, Twenty One Pilots
57,58,47196,2017,ie,Tenerife Sea, Ed Sheeran
58,59,47047,2017,ie,Don't Leave, Snakehips
59,60,46141,2017,ie,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
60,61,45080,2017,ie,Bad and Boujee (feat. Lil Uzi Vert), Migos
61,62,44928,2017,ie,No Lie, Sean Paul
62,63,44743,2017,ie,This Is What You Came For (feat. Rihanna), Calvin Harris
63,64,44069,2017,ie,Oops, Little Mix
64,65,42551,2017,ie,Scars To Your Beautiful, Alessia Cara
65,66,41465,2017,ie,Miss You, James Hersey
66,67,40681,2017,ie,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
67,68,40638,2017,ie,Deja Vu, J. Cole
68,69,38373,2017,ie,Should've Been Me, Naughty Boy
69,70,37614,2017,ie,Rooting For You, London Grammar
70,71,36567,2017,ie,Would I Lie to You, John Gibbons
71,72,36430,2017,ie,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
72,73,36335,2017,ie,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
73,74,35838,2017,ie,Solo Dance, Martin Jensen
74,75,35684,2017,ie,Everglow, Coldplay
75,76,35372,2017,ie,Alone, Alan Walker
76,77,35359,2017,ie,One, Ed Sheeran
77,78,35352,2017,ie,Find Me, Sigma
78,79,35311,2017,ie,Too Good, Drake
79,80,35242,2017,ie,I'm a Mess, Ed Sheeran
80,81,34785,2017,ie,I Got You, Bebe Rexha
81,82,34430,2017,ie,Kiss Me, Ed Sheeran
82,83,34291,2017,ie,Sorry, Justin Bieber
83,84,34187,2017,ie,Mr. Brightside, The Killers
84,85,33812,2017,ie,Dancing On My Own, Calum Scott
85,86,33754,2017,ie,Love$ick (feat. A$AP Rocky), Mura Masa
86,87,33554,2017,ie,Lay It All on Me (feat. Ed Sheeran), Rudimental
87,88,33522,2017,ie,Blow Your Mind (Mwah), Dua Lipa
88,89,33324,2017,ie,Drunk, Ed Sheeran
89,90,32807,2017,ie,Only One - Radio Edit, Sigala
90,91,32381,2017,ie,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
91,92,32365,2017,ie,Chantaje (feat. Maluma), Shakira
92,93,32156,2017,ie,Sing, Ed Sheeran
93,94,31248,2017,ie,Sunset Lover, Petit Biscuit
94,95,31011,2017,ie,Perfect Strangers, Jonas Blue
95,96,30808,2017,ie,Hear Me Now, Alok
96,97,30559,2017,ie,Into You, Ariana Grande
97,98,29683,2017,ie,Stronger, Kanye West
98,99,29263,2017,ie,Love Yourself, Justin Bieber
99,100,29073,2017,ie,Bloodstream, Ed Sheeran
100,101,29067,2017,ie,Take My Hand, Picture This
101,102,29064,2017,ie,Girls Like (feat. Zara Larsson), Tinie Tempah
102,103,29037,2017,ie,This Town, Niall Horan
103,104,28581,2017,ie,Weak, AJR
104,105,28548,2017,ie,Lush Life, Zara Larsson
105,106,28429,2017,ie,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
106,107,28160,2017,ie,Controlla, Drake
107,108,27859,2017,ie,Redbone, Childish Gambino
108,109,27581,2017,ie,Ain't My Fault, Zara Larsson
109,110,27403,2017,ie,Fresh Eyes, Andy Grammer
110,111,27132,2017,ie,Cake By The Ocean, DNCE
111,112,27009,2017,ie,Party Monster, The Weeknd
112,113,26843,2017,ie,7 Years, Lukas Graham
113,114,26699,2017,ie,Let It Go, James Bay
114,115,26404,2017,ie,On Hold, The xx
115,116,26357,2017,ie,All Time Low, Jon Bellion
116,117,26292,2017,ie,Say Something Loving, The xx
117,118,26181,2017,ie,Setting Fires, The Chainsmokers
118,119,26114,2017,ie,Small Bump, Ed Sheeran
119,120,25861,2017,ie,Move Your Body - Single Mix, Sia
120,121,25303,2017,ie,Lot to Learn, Luke Christopher
121,122,25280,2017,ie,Final Song, MØ
122,123,25273,2017,ie,Dynamite (feat. Pretty Sister), Nause
123,124,25243,2017,ie,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
124,125,25185,2017,ie,You Need Me I Don't Need You, Ed Sheeran
125,126,25153,2017,ie,i hate u i love u (feat. olivia o'brien), Garrett Nash
126,127,25080,2017,ie,The Greatest, Sia
127,128,24914,2017,ie,Fast Car, Jonas Blue
128,129,24767,2017,ie,That's My Girl, Fifth Harmony
129,130,24712,2017,ie,Not In Love, M.O
