,Rank,Streams,Year,Country,Title,Artist
0,1,160607,2022,il,קאקדילה, Omer Adam
1,2,130977,2022,il,הולכת איתך, Narkis
2,3,129071,2022,il,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
3,4,128767,2022,il,STAY (with Justin Bieber), The Kid LAROI
4,5,127642,2022,il,אפס מאמץ, Static & Ben El
5,6,117210,2022,il,Heat Waves, Glass Animals
6,7,112336,2022,il,Pepas, Farruko
7,8,109226,2022,il,abcdefu, GAYLE
8,9,107859,2022,il,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
9,10,104959,2022,il,היי בייב, Tuna
10,11,102113,2022,il,רעשים, Osher Cohen
11,12,102079,2022,il,אם הייתי צריכה, Odeya
12,13,101409,2022,il,love nwantiti (ah ah ah), CKay
13,14,99545,2022,il,באתי להציל אותך, Agam Buhbut
14,15,96940,2022,il,חצי דפוק, Omer Adam
15,16,96528,2022,il,Easy On Me, Adele
16,17,94038,2022,il,חורף באוטו, Omer Adam
17,18,93170,2022,il,מה קרה, Eden Ben Zaken
18,19,92049,2022,il,Bad Habits, Ed Sheeran
19,20,91609,2022,il,Cold Heart - PNAU Remix, Elton John
20,21,88395,2022,il,יחפים, Jasmin Moallem
21,22,86660,2022,il,Shivers, Ed Sheeran
22,23,85086,2022,il,ביחד, Marina Maximilian
23,24,84874,2022,il,לך לישון, Anna Zak
24,25,82470,2022,il,פילטרים יפים, Eden Ben Zaken
25,26,77410,2022,il,Sacrifice, The Weeknd
26,27,76977,2022,il,Woman, Doja Cat
27,28,74693,2022,il,Infinity, Jaymes Young
28,29,72145,2022,il,בית משוגעים, Ran Danker
29,30,69477,2022,il,Do It To It, ACRAZE
30,31,68673,2022,il,דפוק עם תעודות, Eyal Golan
31,32,68026,2022,il,סיבת הסיבות, Ishay Ribo
32,33,65913,2022,il,רסיסים, Raviv Kaner
33,34,65745,2022,il,אני כבר לא בך, Itay Levi
34,35,65574,2022,il,מה פספסתי, Eden Hason
35,36,65372,2022,il,מגבת באוויר, NOROZ
36,37,64195,2022,il,שבוע טוב, Avraham Tal
37,38,64103,2022,il,הטעות הכי יפה, Itay Levi
38,39,64077,2022,il,השמלה החדשה שלי, Ran Danker
39,40,63775,2022,il,לא מרגיש טוב, Eden Hason
40,41,63549,2022,il,MONTERO (Call Me By Your Name), Lil Nas X
41,42,62437,2022,il,לא להיות לבד, Mergui
42,43,60812,2022,il,מדליקה לי הכל, Eden Hason
43,44,60803,2022,il,שקיעות אדומות, Eden Hason
44,45,59777,2022,il,אין מאושר ממני, Eliad
45,46,59263,2022,il,Toxic, BoyWithUke
46,47,58941,2022,il,שמש, Hanan Ben Ari
47,48,58195,2022,il,THATS WHAT I WANT, Lil Nas X
48,49,54731,2022,il,good 4 u, Olivia Rodrigo
49,50,54499,2022,il,סחרחורת & בדד, Omer Adam
50,51,53246,2022,il,אלוף העולם, Hanan Ben Ari
51,52,52142,2022,il,טרילילי טרללה, Noa Kirel
52,53,52024,2022,il,Blinding Lights, The Weeknd
53,54,51489,2022,il,השמיים נעולים, Doli & Penn
54,55,51384,2022,il,Moth To A Flame (with The Weeknd), Swedish House Mafia
55,56,51072,2022,il,תל אביב זה אני ואת, Amir Ve Ben
56,57,51046,2022,il,סהרה, Tuna
57,58,49255,2022,il,אם תרצי, Hanan Ben Ari
58,59,48981,2022,il,The Motto, Tiësto
59,60,48663,2022,il,My Universe, Coldplay
60,61,48124,2022,il,גדל לי קצת זקן, Eden Hason
61,62,47435,2022,il,Beggin', Måneskin
62,63,46249,2022,il,שרק תחייך, Yuval Dayan
