,Rank,Streams,Year,Country,Title,Artist
0,1,4581879,2022,in,Excuses, AP Dhillon
1,2,3369701,2022,in,"Raataan Lambiyan (From ""Shershaah"")", Tanishk Bagchi
2,3,2895588,2022,in,Srivalli, Devi Sri Prasad
3,4,2859653,2022,in,"Ranjha (From ""Shershaah"")", Jasleen Royal
4,5,2666225,2022,in,DESIRES, AP Dhillon
5,6,2515618,2022,in,Bijlee Bijlee, Harrdy Sandhu
6,7,2387825,2022,in,Insane, AP Dhillon
7,8,2182631,2022,in,Heat Waves, Glass Animals
8,9,2182323,2022,in,TERE TE, AP Dhillon
9,10,2138861,2022,in,STAY (with Justin Bieber), The Kid LAROI
10,11,2026847,2022,in,Saami Saami, Mounika Yadav
11,12,1936386,2022,in,Jugnu, Badshah
12,13,1796693,2022,in,Oo Antava Oo Oo Antava, Indravathi Chauhan
13,14,1792030,2022,in,Rait Zara Si, A.R. Rahman
14,15,1736131,2022,in,Brown Munde, AP Dhillon
15,16,1630409,2022,in,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
16,17,1585942,2022,in,Tu Aake Dekhle, King
17,18,1549372,2022,in,love nwantiti (feat. Dj Yo! & AX'EL) - Remix, CKay
18,19,1518643,2022,in,We Rollin, Shubh
19,20,1451738,2022,in,"Mere Yaaraa (From ""Sooryavanshi"")", Arijit Singh
20,21,1372950,2022,in,Ma Belle, AP Dhillon
21,22,1365012,2022,in,Infinity, Jaymes Young
22,23,1360115,2022,in,SPACESHIP, AP Dhillon
23,24,1359451,2022,in,abcdefu, GAYLE
24,25,1348541,2022,in,"Agar Tum Saath Ho (From ""Tamasha"")", Alka Yagnik
25,26,1335116,2022,in,Chaka Chak, A.R. Rahman
26,27,1308234,2022,in,No Lie, Sean Paul
27,28,1274290,2022,in,"Najaa (From ""Sooryavanshi"")", Tanishk Bagchi
28,29,1211849,2022,in,"Kusu Kusu (From ""Satyameva Jayate 2"")", Tanishk Bagchi
29,30,1193021,2022,in,MONEY, LISA
30,31,1166562,2022,in,"Adiye - From ""Bachelor""", Dhibu Ninan Thomas
31,32,1114237,2022,in,"Mann Bharryaa 2.0 (From ""Shershaah"")", B Praak
32,33,1103027,2022,in,"Dil Ko Karaar Aaya (From ""Sukoon"")", Yasser Desai
33,34,1094097,2022,in,Kina Chir, The PropheC
34,35,1073513,2022,in,"Naatu Naatu (From ""Rrr"")", Rahul Sipligunj
35,36,1041248,2022,in,"Tum Tum (From ""Enemy - Tamil"")", Thaman S
36,37,1036878,2022,in,MAJHE AALE, AP Dhillon
37,38,1020942,2022,in,Waalian, Harnoor
38,39,1013264,2022,in,Dance Meri Rani, Tanishk Bagchi
39,40,957581,2022,in,Lover, Diljit Dosanjh
40,41,937566,2022,in,Param Sundari, A.R. Rahman
41,42,924087,2022,in,"Jalabulajangu (From ""Don"")", Anirudh Ravichander
42,43,922398,2022,in,"Tip Tip (From ""Sooryavanshi"")", Tanishk Bagchi
43,44,920295,2022,in,Shayad, Pritam
44,45,917023,2022,in,Eyy Bidda Idhi Naa Adda, Nakash Aziz
45,46,903914,2022,in,"Aashiqui Aa Gayi(From ""Radhe Shyam"")", Mithoon
46,47,886766,2022,in,Let Me Down Slowly, Alec Benjamin
47,48,875536,2022,in,Oo Solriya Oo Oo Solriya, Andrea Jeremiah
48,49,864810,2022,in,Perfect, Ed Sheeran
49,50,857522,2022,in,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")", Arijit Singh
50,51,853182,2022,in,Toxic, AP Dhillon
51,52,848325,2022,in,Barbaadiyan, Sachet Tandon
52,53,845926,2022,in,"Soch Liya (From ""Radhe Shyam"")", Mithoon
53,54,845200,2022,in,Pal Pal Dil Ke Paas- Title Track, Arijit Singh
54,55,826353,2022,in,Unstoppable, Sia
55,56,818371,2022,in,MONTERO (Call Me By Your Name), Lil Nas X
56,57,817518,2022,in,Woman, Doja Cat
57,58,783479,2022,in,"Sakhiyan2.0 (From ""BellBottom"")", Maninder Buttar
58,59,772109,2022,in,Señorita, Shawn Mendes
59,60,765128,2022,in,Dynamite, BTS
60,61,764304,2022,in,Lut Gaye, Jubin Nautiyal
61,62,761598,2022,in,Khairiyat, Pritam
62,63,758655,2022,in,Thoda Thoda Pyaar, Stebin Ben
63,64,755509,2022,in,Harleys In Hawaii, Katy Perry
64,65,751307,2022,in,Sacrifice, The Weeknd
65,66,749514,2022,in,Na Ja, Pav Dharia
66,67,749378,2022,in,Believer, Imagine Dragons
67,68,748372,2022,in,Arcade, Duncan Laurence
68,69,747594,2022,in,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")", Sachin-Jigar
69,70,745505,2022,in,"Shiddat Title Track (From ""Shiddat"")", Manan Bhardwaj
70,71,743869,2022,in,"Kabhii Tumhhe (From ""Shershaah"")", Javed-Mohsin
71,72,733623,2022,in,love nwantiti (ah ah ah), CKay
72,73,733134,2022,in,Butter, BTS
73,74,731783,2022,in,Daakko Daakko Meka, Devi Sri Prasad
