,Rank,Streams,Year,Country,Title,Artist
0,1,33039,2022,is,Fingers Crossed, Lauren Spencer-Smith
1,2,28707,2022,is,Sacrifice, The Weeknd
2,3,24599,2022,is,Dvel ég í draumahöll, Hafdís Huld
3,4,23873,2022,is,How Do I Make You Love Me?, The Weeknd
4,5,23782,2022,is,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
5,6,23403,2022,is,abcdefu, GAYLE
6,7,23378,2022,is,Gasoline, The Weeknd
7,8,23220,2022,is,Heat Waves, Glass Animals
8,9,22288,2022,is,Easy On Me, Adele
9,10,20808,2022,is,Cold Heart - PNAU Remix, Elton John
10,11,20523,2022,is,Litlar stjörnur, Hafdís Huld
11,12,19745,2022,is,Óskasteinar, Hafdís Huld
12,13,19492,2022,is,Sofðu unga ástin mín, Hafdís Huld
13,14,19183,2022,is,Is There Someone Else?, The Weeknd
14,15,18044,2022,is,Sofa urtubörn, Hafdís Huld
15,16,17903,2022,is,STAY (with Justin Bieber), The Kid LAROI
16,17,17760,2022,is,Take My Breath, The Weeknd
17,18,17698,2022,is,Ljós, Hafdís Huld
18,19,17325,2022,is,Bíum bíum bambaló, Hafdís Huld
19,20,17274,2022,is,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
20,21,16577,2022,is,Out of Time, The Weeknd
21,22,16281,2022,is,Ævintýralönd, Hafdís Huld
22,23,16248,2022,is,Do It To It, ACRAZE
23,24,15941,2022,is,Shivers, Ed Sheeran
24,25,15940,2022,is,Less Than Zero, The Weeknd
25,26,15479,2022,is,Sólskin, Hafdís Huld
26,27,15470,2022,is,Surface Pressure, Jessica Darrow
27,28,15448,2022,is,Góða nótt, Hafdís Huld
28,29,15373,2022,is,Dawn FM, The Weeknd
29,30,14976,2022,is,Here We Go… Again (feat. Tyler the Creator), The Weeknd
30,31,14879,2022,is,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
31,32,14635,2022,is,Best Friends, The Weeknd
32,33,14593,2022,is,FLÝG UPP, Aron Can
33,34,14548,2022,is,Bí bí og blaka, Hafdís Huld
34,35,14488,2022,is,Sofðu, Hafdís Huld
35,36,14434,2022,is,Frost er úti fuglinn minn, Hafdís Huld
36,37,14254,2022,is,Nóttin læðist inn, Hafdís Huld
37,38,13624,2022,is,Þú ert, Hafdís Huld
38,39,13530,2022,is,Bad Habits, Ed Sheeran
39,40,13371,2022,is,Ástrós (feat. BRÍET), Bubbi Morthens
40,41,13328,2022,is,I Heard You’re Married (feat. Lil Wayne), The Weeknd
41,42,13110,2022,is,Rólegur kúreki, BRÍET
42,43,13071,2022,is,pushin P (feat. Young Thug), Gunna
43,44,13024,2022,is,Starry Eyes, The Weeknd
44,45,12220,2022,is,Esjan, BRÍET
45,46,12180,2022,is,It'll Be Okay, Shawn Mendes
46,47,11960,2022,is,A Tale By Quincy, The Weeknd
47,48,11746,2022,is,One Right Now (with The Weeknd), Post Malone
48,49,11712,2022,is,Oh My God, Adele
49,50,11648,2022,is,Ef ástin er hrein (feat. GDRN), Jón Jónsson
50,51,11364,2022,is,Spurningar (feat. Páll Óskar), Birnir
51,52,11074,2022,is,Don’t Break My Heart, The Weeknd
52,53,11041,2022,is,Moth To A Flame (with The Weeknd), Swedish House Mafia
53,54,10875,2022,is,F.C.K (feat. Aron Can), Birnir
54,55,10618,2022,is,thought i was playing, Gunna
55,56,10512,2022,is,THATS WHAT I WANT, Lil Nas X
56,57,10313,2022,is,Every Angel is Terrifying, The Weeknd
57,58,10202,2022,is,The Family Madrigal, Stephanie Beatriz
58,59,9969,2022,is,love nwantiti (ah ah ah), CKay
59,60,9913,2022,is,Vogur, Birnir
60,61,9808,2022,is,good 4 u, Olivia Rodrigo
61,62,9578,2022,is,Pepas, Farruko
62,63,9499,2022,is,Happier Than Ever, Billie Eilish
63,64,9256,2022,is,Blinding Lights, The Weeknd
64,65,9165,2022,is,BLINDAR GÖTUR, Aron Can
65,66,9095,2022,is,Woman, Doja Cat
66,67,9022,2022,is,Baugar, Birnir
67,68,8775,2022,is,Only Love Can Hurt Like This, Paloma Faith
68,69,8529,2022,is,Ef þú hugsar eins og ég, FLOTT
69,70,8481,2022,is,Where Are You Now, Lost Frequencies
70,71,8336,2022,is,Fimm, BRÍET
71,72,8172,2022,is,Rómeó og Júlía, Bubbi Morthens
72,73,8143,2022,is,mop (feat. Young Thug), Gunna
73,74,8069,2022,is,alotta cake, Gunna
74,75,8068,2022,is,Super Gremlin, Kodak Black
75,76,8013,2022,is,What Else Can I Do?, Diane Guerrero
76,77,7958,2022,is,Phantom Regret, Jim  
77,78,7941,2022,is,frikki dór 2012, ClubDub
78,79,7778,2022,is,MONTERO (Call Me By Your Name), Lil Nas X
79,80,7728,2022,is,poochie gown, Gunna
80,81,7645,2022,is,Praise God, Kanye West
81,82,7560,2022,is,My Universe, Coldplay
82,83,7484,2022,is,Hurricane, Kanye West
83,84,7477,2022,is,25k jacket (feat. Lil Ba,)  
84,85,7474,2022,is,Beggin', Måneskin
85,86,7439,2022,is,too easy, Gunna
86,87,7409,2022,is,Sólblóm, BRÍET
87,88,7390,2022,is,Save Your Tears, The Weeknd
88,89,7276,2022,is,Infinity, Jaymes Young
89,90,7211,2022,is,Ghost, Justin Bieber
90,91,7175,2022,is,Slæmir Ávanar (feat. Krabba Mane), Birnir
91,92,7172,2022,is,Kiss Me More (feat. SZA), Doja Cat
92,93,7156,2022,is,Miserable Man, David Kushner
93,94,7111,2022,is,I Hate U, SZA
94,95,6981,2022,is,drivers license, Olivia Rodrigo
95,96,6979,2022,is,Afgan, Bubbi Morthens
96,97,6898,2022,is,The Business, Tiësto
97,98,6858,2022,is,Segðu mér, Friðrik Dór
98,99,6842,2022,is,Hata að hafa þig ekki hér (SAMSUNG SESSJÓN), Friðrik Dór
99,100,6815,2022,is,how you did that (feat. Kodak Black), Gunna
100,101,6812,2022,is,Sky, Playboi Carti
101,102,6765,2022,is,Need to Know, Doja Cat
102,103,6719,2022,is,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
103,104,6717,2022,is,Það er gott að elska, Bubbi Morthens
104,105,6711,2022,is,Knife Talk (with 21 Savage ft. Project Pat), Drake
105,106,6585,2022,is,private island, Gunna
106,107,6573,2022,is,Softcore, The Neighbourhood
107,108,6541,2022,is,2055, Sleepy Hallow
108,109,6495,2022,is,Smokin Out The Window, Bruno Mars
109,110,6490,2022,is,The Motto, Tiësto
110,111,6487,2022,is,Fair Trade (with Travis Scott), Drake
111,112,6416,2022,is,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit, Riton
112,113,6392,2022,is,Lost in the Fire (feat. The Weeknd), Gesaffelstein
113,114,6386,2022,is,Way 2 Sexy (with Future & Young Thug), Drake
114,115,6351,2022,is,SVEIF, Aron Can
115,116,6324,2022,is,I AM WOMAN, Emmy Meli
116,117,6274,2022,is,Shallow, Lady Gaga
117,118,6181,2022,is,Love Grows (Where My Rosemary Goes), Edison Lighthouse
118,119,6144,2022,is,Líttu sérhvert sólarlag, Sigríður Thorlacius
119,120,6131,2022,is,Dos Oruguitas, Sebastian Yatra
120,121,6130,2022,is,Aldrei fór ég suður, Bubbi Morthens
121,122,6051,2022,is,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
122,123,6000,2022,is,Overpass Graffiti, Ed Sheeran
123,124,5922,2022,is,Ni**as In Paris, JAY-Z
124,125,5920,2022,is,traitor, Olivia Rodrigo
125,126,5853,2022,is,Í síðasta skipti, Friðrik Dór
126,127,5810,2022,is,Levitating (feat. DaBa,)  
127,128,5762,2022,is,Waiting On A Miracle, Stephanie Beatriz
128,129,5759,2022,is,idk that bitch (feat. G Herbo), Gunna
129,130,5724,2022,is,south to west, Gunna
130,131,5681,2022,is,GHOST TOWN, Benson Boone
131,132,5653,2022,is,Vor í Vaglaskógi, KALEO
132,133,5598,2022,is,livin wild, Gunna
133,134,5570,2022,is,The Night We Met, Lord Huron
134,135,5558,2022,is,Sweater Weather, The Neighbourhood
135,136,5552,2022,is,Leiðin okkar allra, Hjálmar
136,137,5475,2022,is,Dior, Pop Smoke
137,138,5387,2022,is,Djúp sár gróa hægt, BRÍET
