,Rank,Streams,Year,Country,Title,Artist
0,1,1351269,2021,it,Ba, (with J Balvin)  
1,2,1164793,2021,it,SLATT (feat. Capo Plaza), Rondodasosa
2,3,1132794,2021,it,Destri, Gazzelle
3,4,1121920,2021,it,Superclassico, Ernia
4,5,1086408,2021,it,Bottiglie Privè, Sfera Ebbasta
5,6,1073865,2021,it,ALTALENE (feat. Mara Sattei & Coez), BLOODY VINYL
6,7,1004257,2021,it,Scoo, Doo  
7,8,937038,2021,it,Concedimi, Matteo Romano
8,9,926603,2021,it,DÁKITI, Bad Bunny
9,10,920797,2021,it,Tik Tok (feat. Marracash & Guè Pequeno), Sfera Ebbasta
10,11,875583,2021,it,Mood (feat. iann dior), 24kGoldn
11,12,850716,2021,it,SPLASH (feat. Enzo Dong), MV Killa
12,13,809902,2021,it,Problemas, Paris Boy
13,14,766742,2021,it,Pasticche (feat. Capo Plaza), VillaBanks
14,15,744606,2021,it,Chico (feat. Rose Villain & Luchè), Guè
15,16,728072,2021,it,BELLA STORIA, Fedez
16,17,727529,2021,it,Head & Heart (feat. MNEK), Joel Corry
17,18,684406,2021,it,Whoopty, CJ
18,19,663827,2021,it,A Un Passo Dalla Luna, Rocco Hunt
19,20,651127,2021,it,Hollywood (feat. Diplo), Sfera Ebbasta
20,21,650428,2021,it,Cuore Nero - prod. Frenetik&Orang3, Blind
21,22,648619,2021,it,Una Canzone D'Amore Buttata Via, Vasco Rossi
22,23,628320,2021,it,VENT'ANNI, Måneskin
23,24,627252,2021,it,M' Manc (con Geolier & Sfera Ebbasta), Shablo
24,25,626573,2021,it,Hypnotized, Purple Disco Machine
25,26,625740,2021,it,$€ Freestyle, Sfera Ebbasta
26,27,568933,2021,it,Abracadabra (feat. Future), Sfera Ebbasta
27,28,559927,2021,it,MIA, Lortex
28,29,550124,2021,it,Blue Jeans (feat. Calcutta), Franco126
29,30,549020,2021,it,Famoso, Sfera Ebbasta
30,31,546768,2021,it,Mama (feat. Nitro), Gemitaiz
31,32,541057,2021,it,Don't Worry, Boomdabash
32,33,532176,2021,it,Therefore I Am, Billie Eilish
33,34,516450,2021,it,Dynamite, BTS
34,35,512293,2021,it,The Business, Tiësto
35,36,510683,2021,it,What You Know Bout Love, Pop Smoke
36,37,498185,2021,it,Spigoli (feat. Mara Sattei & tha Supreme), Carl Brave
37,38,496356,2021,it,Macarena (feat. Offset), Sfera Ebbasta
38,39,494149,2021,it,Paradise (feat. Dermot Kennedy), MEDUZA
39,40,493812,2021,it,Male, Sfera Ebbasta
40,41,492592,2021,it,Mediterranea, Irama
41,42,491231,2021,it,Barcellona, Ghali
42,43,489593,2021,it,Breaking Me, Topic
43,44,488858,2021,it,Crepe, Irama
44,45,484051,2021,it,Il bacio di Klimt, Emanuele Aloia
