,Rank,Streams,Year,Country,Title,Artist
0,1,1342391,2020,jp,Pretender, Official HIGE DANdism
1,2,1118094,2020,jp,白日, King Gnu
2,3,891933,2020,jp,宿命, Official HIGE DANdism
3,4,843642,2020,jp,まちがいさがし, Masaki Suda
4,5,776058,2020,jp,イエスタデイ, Official HIGE DANdism
5,6,705453,2020,jp,ノーダウト, Official HIGE DANdism
6,7,627011,2020,jp,115万キロのフィルム, Official HIGE DANdism
7,8,625495,2020,jp,マリーゴールド, Aimyon
8,9,586523,2020,jp,紅蓮華, LiSA
9,10,511077,2020,jp,さよならエレジー, Masaki Suda
10,11,489956,2020,jp,高嶺の花子さん, back number
11,12,487091,2020,jp,Teenager Forever, King Gnu
12,13,482031,2020,jp,飛行艇, King Gnu
13,14,464171,2020,jp,傘, King Gnu
14,15,459180,2020,jp,Stand By You, Official HIGE DANdism
15,16,457887,2020,jp,インフェルノ, Mrs. GREEN APPLE
16,17,436049,2020,jp,クリスマスソング, back number
17,18,435045,2020,jp,君はロックを聴かない, Aimyon
18,19,427598,2020,jp,ただ君に晴れ, ヨルシカ
19,20,420718,2020,jp,HANABI, Mr.Children
20,21,397400,2020,jp,青と夏, Mrs. GREEN APPLE
21,22,377479,2020,jp,Walking with you, Novelbright
22,23,372579,2020,jp,Turning Up, ARASHI
23,24,367769,2020,jp,ハッピーエンド, back number
24,25,360725,2020,jp,小さな恋のうた, MONGOL800
25,26,359791,2020,jp,ハルノヒ, Aimyon
26,27,357489,2020,jp,ワタリドリ, [Alexandros]
27,28,355296,2020,jp,今夜このまま, Aimyon
28,29,351325,2020,jp,bad guy, Billie Eilish
29,30,349915,2020,jp,366日, HY
30,31,348377,2020,jp,点描の唄, Mrs. GREEN APPLE
31,32,345723,2020,jp,パプリカ, Foorin
32,33,330991,2020,jp,Wherever you are, ONE OK ROCK
33,34,329914,2020,jp,ロマンチシズム, Mrs. GREEN APPLE
34,35,327023,2020,jp,Vinyl, King Gnu
35,36,326645,2020,jp,Yummy, Justin Bieber
36,37,325965,2020,jp,打上花火, Daoko
37,38,325219,2020,jp,愛をこめて花束を, Superfly
38,39,321963,2020,jp,新宝島, sakanaction
39,40,319576,2020,jp,空の青さを知る人よ, Aimyon
40,41,313375,2020,jp,奏(かなで), Sukima Switch
41,42,312527,2020,jp,トリコ, Nissy
42,43,307973,2020,jp,ひまわりの約束, Motohiro Hata
43,44,303850,2020,jp,愛唄, GReeeeN
44,45,302177,2020,jp,別の人の彼女になったよ, wacci
45,46,297731,2020,jp,Shape of You, Ed Sheeran
46,47,279865,2020,jp,ヒロイン, back number
