,Rank,Streams,Year,Country,Title,Artist
0,1,88310,2021,kr,Dynamite, BTS
1,2,65602,2021,kr,Life Goes On, BTS
2,3,58706,2021,kr,Lovesick Girls, BLACKPINK
3,4,45758,2021,kr,drivers license, Olivia Rodrigo
4,5,39886,2021,kr,Save Your Tears, The Weeknd
5,6,39519,2021,kr,Levitating (feat. DaBa,)  
6,7,39420,2021,kr,VVS, Mirani
7,8,38612,2021,kr,How You Like That, BLACKPINK
8,9,36132,2021,kr,34+35, Ariana Grande
9,10,35999,2021,kr,Blue & Grey, BTS
10,11,35746,2021,kr,Boy With Luv (feat. Halsey), BTS
11,12,34439,2021,kr,Celebrity, IU
12,13,34276,2021,kr,At My Worst, Pink Sweat$
13,14,34085,2021,kr,Black Mamba, aespa
14,15,33042,2021,kr,Anyone, Justin Bieber
15,16,32871,2021,kr,Blinding Lights, The Weeknd
16,17,31230,2021,kr,Up, Cardi B
17,18,30955,2021,kr,Panorama, IZ*ONE
18,19,30315,2021,kr,I CAN'T STOP ME, TWICE
19,20,30276,2021,kr,Fly To My Room, BTS
20,21,29345,2021,kr,positions, Ariana Grande
21,22,29273,2021,kr,Stay, BTS
22,23,26995,2021,kr,Telepathy, BTS
23,24,26954,2021,kr,Dis-ease, BTS
24,25,26805,2021,kr,Pretty Savage, BLACKPINK
25,26,25909,2021,kr,Ice Cream (with Selena Gomez), BLACKPINK
26,27,24765,2021,kr,Good Days, SZA
27,28,24331,2021,kr,What Do I Call You, TAEYEON
28,29,24230,2021,kr,Psycho, Red Velvet
29,30,23772,2021,kr,Therefore I Am, Billie Eilish
30,31,23766,2021,kr,Tomorrow, lIlBOI
31,32,23639,2021,kr,ON, BTS
32,33,23591,2021,kr,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
33,34,23301,2021,kr,Not Shy, ITZY
34,35,23063,2021,kr,METEOR, CHANGMO
35,36,22988,2021,kr,2002, Anne-Marie
36,37,22264,2021,kr,Mood (feat. iann dior), 24kGoldn
37,38,22169,2021,kr,willow, Taylor Swift
38,39,22150,2021,kr,How can I love the heartbreak you're the one I love, AKMU
39,40,21967,2021,kr,Euphoria, BTS
40,41,21946,2021,kr,Make A Wish (Birthday Song), NCT U
41,42,21527,2021,kr,I Like Me Better, Lauv
42,43,21134,2021,kr,Stuck with U (with Justin Bieber), Ariana Grande
43,44,20794,2021,kr,Mikrokosmos, BTS
44,45,20782,2021,kr,친구, BTS
45,46,20660,2021,kr,Don't Start Now, Dua Lipa
46,47,20457,2021,kr,Sweet Night, V
47,48,20430,2021,kr,comethru, Jeremy Zucker
48,49,20118,2021,kr,For You, LeeHi
49,50,20118,2021,kr,Baila Conmigo (with Rauw Alejandro), Selena Gomez
50,51,19847,2021,kr,Someone You Loved, Lewis Capaldi
51,52,19738,2021,kr,Filter, BTS
52,53,19730,2021,kr,90's Love, NCT U
53,54,19466,2021,kr,you broke me first, Tate McRae
54,55,19338,2021,kr,Circles, Post Malone
55,56,19157,2021,kr,Never Not, Lauv
56,57,18788,2021,kr,Memories, Maroon 5
57,58,18662,2021,kr,Best Friend (feat. Doja Cat), Saweetie
58,59,18490,2021,kr,My Time, BTS
59,60,18332,2021,kr,Square (2017), Yerin Baek
60,61,18238,2021,kr,Watermelon Sugar, Harry Styles
61,62,18114,2021,kr,HOLO, LeeHi
62,63,18065,2021,kr,Streets, Doja Cat
63,64,17710,2021,kr,Holy (feat. Chance The Rapper), Justin Bieber
64,65,17544,2021,kr,If I Can't Have You, Shawn Mendes
65,66,17529,2021,kr,Bet You Wanna (feat. Cardi B), BLACKPINK
66,67,17386,2021,kr,Jamais Vu, BTS
67,68,17233,2021,kr,Bang!, AJR
68,69,17204,2021,kr,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
69,70,17203,2021,kr,instagram, DEAN
70,71,17091,2021,kr,Heat Waves, Glass Animals
71,72,17040,2021,kr,WITHOUT YOU, The Kid LAROI
72,73,17018,2021,kr,Magic Shop, BTS
73,74,17009,2021,kr,Señorita, Shawn Mendes
74,75,16990,2021,kr,Spring Day, BTS
75,76,16881,2021,kr,Rosario, Epik High
76,77,16708,2021,kr,Paradise (feat. Dermot Kennedy), MEDUZA
77,78,16641,2021,kr,Your Shampoo Scent In The Flowers, Jang Beom June
78,79,16596,2021,kr,Dolphin, OH MY GIRL
79,80,16564,2021,kr,CREDIT, lIlBOI
80,81,16494,2021,kr,Maniac, Conan Gray
81,82,16417,2021,kr,Black Swan, BTS
82,83,16297,2021,kr,Kill This Love, BLACKPINK
83,84,16254,2021,kr,10000 Hours (with Justin Bieber), Dan + Shay
84,85,16148,2021,kr,Be Kind (with Halsey), Marshmello
85,86,16017,2021,kr,DNA, BTS
86,87,15948,2021,kr,Achoo, Mirani
87,88,15933,2021,kr,Strawberries & Cigarettes, Troye Sivan
88,89,15927,2021,kr,시작, Gaho
89,90,15913,2021,kr,Beautiful People (feat. Khalid), Ed Sheeran
90,91,15909,2021,kr,Goosebumps - Remix, Travis Scott
91,92,15889,2021,kr,Savage Love (Laxed – Siren Beat) [BTS Remix], Jawsh 685
92,93,15765,2021,kr,Every day Every Moment, Paul Kim
93,94,15491,2021,kr,i'm so tired..., Lauv
94,95,15457,2021,kr,Blueberry Eyes (feat. SUGA of BTS), MAX
95,96,15319,2021,kr,FAKE LOVE, BTS
96,97,15319,2021,kr,Skin, Sabrina Carpenter
97,98,15274,2021,kr,00:00 (Zero O’Clock), BTS
98,99,15225,2021,kr,Prisoner (feat. Dua Lipa), Miley Cyrus
99,100,15214,2021,kr,Love should not be harsh on you, Lim Changjung
100,101,14974,2021,kr,Afterglow, Ed Sheeran
101,102,14902,2021,kr,Inner Child, BTS
102,103,14849,2021,kr,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
103,104,14812,2021,kr,Paris in the Rain, Lauv
104,105,14792,2021,kr,WANNABE, ITZY
105,106,14784,2021,kr,You (with Marshmello & Vance Joy), benny blanco
106,107,14781,2021,kr,Make It Right, BTS
107,108,14758,2021,kr,If the World Was Ending (feat. Julia Michaels), JP Saxe
108,109,14644,2021,kr,We are Bulletproof : the Eternal, BTS
109,110,14575,2021,kr,CRY FOR ME, TWICE
110,111,14446,2021,kr,Amusement Park, BAEKHYUN
111,112,14358,2021,kr,BREATHE, LeeHi
112,113,14322,2021,kr,Falling, Harry Styles
113,114,14317,2021,kr,Intentions (feat. Quavo), Justin Bieber
114,115,14244,2021,kr,X, CHUNG HA
115,116,14196,2021,kr,Lo Vas A Olvidar (with ROSALÍA), Billie Eilish
116,117,14193,2021,kr,WAP (feat. Megan Thee Stallion), Cardi B
117,118,14128,2021,kr,Heather, Conan Gray
118,119,14111,2021,kr,Youngblood, 5 Seconds of Summer
119,120,14019,2021,kr,Love Yourself, Justin Bieber
120,121,14017,2021,kr,Painkiller, Ruel
121,122,13836,2021,kr,Whoopty, CJ
122,123,13806,2021,kr,Love Maze, BTS
123,124,13725,2021,kr,Love To Hate Me, BLACKPINK
124,125,13700,2021,kr,Adore You, Harry Styles
125,126,13672,2021,kr,Shape of You, Ed Sheeran
126,127,13601,2021,kr,DDU-DU DDU-DU, BLACKPINK
127,128,13519,2021,kr,Who (feat. BTS), Lauv
128,129,13499,2021,kr,Rain On Me (with Ariana Grande), Lady Gaga
129,130,13478,2021,kr,Kick It, NCT 127
130,131,13448,2021,kr,The Truth Untold, BTS
131,132,13326,2021,kr,As If It's Your Last, BLACKPINK
132,133,13228,2021,kr,Moon, BTS
133,134,13171,2021,kr,Closer, The Chainsmokers
134,135,13108,2021,kr,Serendipity (Full Length Edition), BTS
135,136,13049,2021,kr,예뻤어 You Were Beautiful, DAY6
136,137,13039,2021,kr,People, Agust D
137,138,12982,2021,kr,Best Of Me, BTS
138,139,12947,2021,kr,HOME, BTS
139,140,12902,2021,kr,I Don't Care (with Justin Bieber), Ed Sheeran
