,Rank,Streams,Year,Country,Title,Artist
0,1,52014,2022,kz,astral step, shadowraze
1,2,35673,2022,kz,Heat Waves, Glass Animals
2,3,35448,2022,kz,adaptive strike, shadowraze
3,4,29428,2022,kz,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
4,5,29411,2022,kz,МАЛИНОВАЯ ЛАДА, GAYAZOV$ BROTHER$
5,6,28620,2022,kz,Лёд, WENARO
6,7,26310,2022,kz,Marmalade, Miyagi & Andy Panda
7,8,25479,2022,kz,СОЛНЦЕ МОНАКО, Lusia Chebotina
8,9,25443,2022,kz,Stay Alive (Prod. SUGA of BTS), Jung Kook
9,10,25440,2022,kz,Отпускаю, Egor Kreed
10,11,25123,2022,kz,STAY (with Justin Bieber), The Kid LAROI
11,12,24643,2022,kz,99 Problems, Big Ba
12,13,24367,2022,kz,ТОЛПЫ КРИЧАТ, uniqe
13,14,24251,2022,kz,Фотографирую закат, fem.love
14,15,23463,2022,kz,MIDDLE OF THE NIGHT, Elley Duhé
15,16,23074,2022,kz,Sweater Weather, The Neighbourhood
16,17,22865,2022,kz,5000, Irina Kairatovna
17,18,22002,2022,kz,shadowfiend, shadowraze
18,19,21716,2022,kz,баночка с окурками, КОСМОНАВТОВ НЕТ
19,20,21639,2022,kz,Bandana, Big Ba
20,21,21383,2022,kz,Million, Big Ba
21,22,21187,2022,kz,Close Eyes, DVRST
22,23,21169,2022,kz,Otyzdan asyp baramyn, Irina Kairatovna
23,24,20766,2022,kz,Softcore, The Neighbourhood
24,25,20540,2022,kz,abcdefu, GAYLE
25,26,20160,2022,kz,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
26,27,20114,2022,kz,Ba, mama  
27,28,19784,2022,kz,плачь, rizza
28,29,19362,2022,kz,juggernaut (Prod., PLVSTIC)  
29,30,19261,2022,kz,первое свидание, алёна швец.
30,31,18842,2022,kz,Вороны, Xcho
31,32,17982,2022,kz,Woman, Doja Cat
32,33,17933,2022,kz,Наверно ты меня не помнишь, JONY
33,34,17694,2022,kz,За всех, MACAN
34,35,17687,2022,kz,psiblades, shadowraze
35,36,17614,2022,kz,Aomine Daiki, quiizzzmeow
36,37,17511,2022,kz,Положение, Skryptonite
37,38,17173,2022,kz,Буревестник, Miyagi & Andy Panda
38,39,17148,2022,kz,1000-7, shadowraze
39,40,17061,2022,kz,Я всё решу (Intro), ZAPOMNI
40,41,16777,2022,kz,Notion, The Rare Occasions
41,42,16232,2022,kz,Гармония, Artik & Asti
42,43,16161,2022,kz,Танцы, ssshhhiiittt!
43,44,16116,2022,kz,Infinity, Jaymes Young
44,45,15974,2022,kz,Москва любит..., Skryptonite
45,46,15775,2022,kz,Патрон, Miyagi & Andy Panda
46,47,15642,2022,kz,Барбисайз, Дора
47,48,15306,2022,kz,Август - это ты, МОТ
48,49,15069,2022,kz,Цепи, Skryptonite
