,Rank,Streams,Year,Country,Title,Artist
0,1,45027,2022,lt,Cold Heart - PNAU Remix, Elton John
1,2,43028,2022,lt,Heat Waves, Glass Animals
2,3,40071,2022,lt,Sacrifice, The Weeknd
3,4,35678,2022,lt,abcdefu, GAYLE
4,5,34947,2022,lt,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
5,6,31678,2022,lt,Where Are You Now, Lost Frequencies
6,7,31072,2022,lt,Easy On Me, Adele
7,8,29973,2022,lt,Do It To It, ACRAZE
8,9,29670,2022,lt,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
9,10,28847,2022,lt,STAY (with Justin Bieber), The Kid LAROI
10,11,28621,2022,lt,Softcore, The Neighbourhood
11,12,27811,2022,lt,Is There Someone Else?, The Weeknd
12,13,27233,2022,lt,Shivers, Ed Sheeran
13,14,26392,2022,lt,Gasoline, The Weeknd
14,15,25771,2022,lt,Woman, Doja Cat
15,16,25190,2022,lt,The Motto, Tiësto
16,17,24497,2022,lt,Just A Dream, Nelly
17,18,23983,2022,lt,Bad Habits, Ed Sheeran
18,19,23114,2022,lt,How Do I Make You Love Me?, The Weeknd
19,20,22613,2022,lt,Infinity, Jaymes Young
20,21,21652,2022,lt,Sweater Weather, The Neighbourhood
21,22,21436,2022,lt,Moth To A Flame (with The Weeknd), Swedish House Mafia
22,23,20825,2022,lt,I Heard You’re Married (feat. Lil Wayne), The Weeknd
23,24,20778,2022,lt,Rugpjūtis, Justinas Jarutis
24,25,20624,2022,lt,Oh My God, Adele
25,26,20579,2022,lt,Take My Breath, The Weeknd
26,27,19251,2022,lt,Out of Time, The Weeknd
27,28,18834,2022,lt,Beggin', Måneskin
28,29,18708,2022,lt,Best Friends, The Weeknd
29,30,18633,2022,lt,Less Than Zero, The Weeknd
30,31,18389,2022,lt,My Universe, Coldplay
31,32,18238,2022,lt,love nwantiti (ah ah ah), CKay
32,33,17782,2022,lt,Pepas, Farruko
33,34,17633,2022,lt,Kiss Me More (feat. SZA), Doja Cat
34,35,17503,2022,lt,Alien Blues, Vundabar
35,36,17410,2022,lt,Here We Go… Again (feat. Tyler the Creator), The Weeknd
36,37,16666,2022,lt,Swimming Pool, Marie Madeleine
37,38,16665,2022,lt,One Right Now (with The Weeknd), Post Malone
38,39,16637,2022,lt,I Love You So, The Walters
39,40,16388,2022,lt,Toxic, BoyWithUke
40,41,16353,2022,lt,Kunigunda, Vaidas Baumila
41,42,16322,2022,lt,Need to Know, Doja Cat
42,43,16266,2022,lt,Dark Red, Steve Lacy
43,44,15947,2022,lt,Blinding Lights, The Weeknd
44,45,15873,2022,lt,good 4 u, Olivia Rodrigo
45,46,15663,2022,lt,Starry Eyes, The Weeknd
46,47,15657,2022,lt,After Dark, Mr.Kitty
47,48,15529,2022,lt,Fingers Crossed, Lauren Spencer-Smith
48,49,15483,2022,lt,Daddy Issues, The Neighbourhood
49,50,15238,2022,lt,Dawn FM, The Weeknd
50,51,15025,2022,lt,MONTERO (Call Me By Your Name), Lil Nas X
51,52,14744,2022,lt,Meet Me At Our Spot, THE ANXIETY
52,53,14476,2022,lt,u., niteboi
53,54,14248,2022,lt,Close Eyes, DVRST
54,55,14075,2022,lt,I AM WOMAN, Emmy Meli
55,56,13991,2022,lt,ZITTI E BUONI, Måneskin
56,57,13986,2022,lt,Why'd You Only Call Me When You're High?, Arctic Monkeys
57,58,13881,2022,lt,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), Amaarae
58,59,13610,2022,lt,Levitating (feat. DaBa,)  
59,60,13570,2022,lt,Freaks, Surf Curse
60,61,13399,2022,lt,Don’t Break My Heart, The Weeknd
61,62,13244,2022,lt,THATS WHAT I WANT, Lil Nas X
62,63,13181,2022,lt,The Perfect Girl, Mareux
63,64,13011,2022,lt,Save Your Tears, The Weeknd
64,65,12968,2022,lt,A Tale By Quincy, The Weeknd
65,66,12957,2022,lt,Life Goes On, Oliver Tree
66,67,12862,2022,lt,I WANNA BE YOUR SLAVE, Måneskin
67,68,12824,2022,lt,Lost in the Fire (feat. The Weeknd), Gesaffelstein
68,69,12779,2022,lt,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
69,70,12736,2022,lt,Vasarą galvoj minoras, Katarsis
70,71,12660,2022,lt,СОЛНЦЕ МОНАКО, Lusia Chebotina
71,72,12574,2022,lt,Pope Is a Rockstar, SALES
72,73,12368,2022,lt,Without Me, Eminem
73,74,12285,2022,lt,Acapulco, Jason Derulo
74,75,12014,2022,lt,The Business, Tiësto
75,76,11988,2022,lt,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit, Riton
76,77,11823,2022,lt,Because You Move Me, Tinlicker
77,78,11797,2022,lt,505, Arctic Monkeys
78,79,11730,2022,lt,Love Tonight - Edit, Shouse
79,80,11672,2022,lt,Down Under (feat. Colin Hay), Luude
80,81,11672,2022,lt,Happier Than Ever, Billie Eilish
81,82,11593,2022,lt,Every Angel is Terrifying, The Weeknd
82,83,11550,2022,lt,Rampampam, Minelli
83,84,11531,2022,lt,Don't Be Shy, Tiësto
84,85,11457,2022,lt,Ghost, Justin Bieber
85,86,11360,2022,lt,Do I Wanna Know?, Arctic Monkeys
86,87,11278,2022,lt,HDMI, BONES
87,88,11269,2022,lt,Jungle - Radio Edit, Emma Louise
88,89,11225,2022,lt,NEW MAGIC WAND, Tyler
89,90,11178,2022,lt,OUT OUT (feat. Charli XCX & Saweetie), Joel Corry
90,91,11034,2022,lt,It's Called: Freefall, Rainbow Kitten Surprise
91,92,11005,2022,lt,MONEY, LISA
92,93,10970,2022,lt,Panama Ibiza, QV Trap
93,94,10730,2022,lt,Formula, Labrinth
94,95,10723,2022,lt,Home, Klangkarussell
95,96,10616,2022,lt,It'll Be Okay, Shawn Mendes
96,97,10615,2022,lt,The Real Slim Shady, Eminem
97,98,10583,2022,lt,Better Days (NEIKED x Mae Muller x Polo G), NEIKED
98,99,10573,2022,lt,Praise God, Kanye West
99,100,10508,2022,lt,Sky, Playboi Carti
100,101,10487,2022,lt,Vandens Ženklai - Late Pal Remix, Hiperbolė
101,102,10169,2022,lt,Can I Get It, Adele
102,103,10122,2022,lt,My Heart Goes (La Di Da) (feat. Topic), Becky Hill
103,104,10071,2022,lt,High Enough, K.Flay
104,105,10062,2022,lt,Love Again, Dua Lipa
105,106,10055,2022,lt,"Mon Soleil - from ""Emily in Paris"" Soundtrack", Ashley Park
106,107,10031,2022,lt,Ginseng Strip 2002, Yung Lean
107,108,9977,2022,lt,Swim, Chase Atlantic
108,109,9947,2022,lt,TO THE MOON, Jnr Choi
109,110,9939,2022,lt,Leave Before You Love Me (with Jonas Brothers), Marshmello
110,111,9935,2022,lt,MIDDLE OF THE NIGHT, Elley Duhé
111,112,9896,2022,lt,Take My Breath - Single Version, The Weeknd
112,113,9749,2022,lt,Turbo, Mamis
113,114,9747,2022,lt,Washing Machine Heart, Mitski
114,115,9736,2022,lt,Jealous, Eyedress
115,116,9712,2022,lt,All The Things She Said, t.A.T.u.
116,117,9681,2022,lt,You Get Me So High, The Neighbourhood
117,118,9612,2022,lt,Another Love, Tom Odell
118,119,9588,2022,lt,Star Shopping, Lil Peep
119,120,9554,2022,lt,Vaikai Po Lelijom, Bardachiokas
120,121,9499,2022,lt,Super Gremlin, Kodak Black
121,122,9496,2022,lt,You Right, Doja Cat
122,123,9390,2022,lt,Phantom Regret, Jim  
123,124,9328,2022,lt,Watermelon Sugar, Harry Styles
124,125,9319,2022,lt,drivers license, Olivia Rodrigo
125,126,9282,2022,lt,Sahara, Hensonn
126,127,9231,2022,lt,Your Love (9PM), ATB
127,128,9231,2022,lt,pushin P (feat. Young Thug), Gunna
128,129,9207,2022,lt,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
129,130,9195,2022,lt,Mėlyna Mėlyna, Sisters On Wire
130,131,9193,2022,lt,She Knows (feat. Amber Coffman & Cults), J. Cole
131,132,9160,2022,lt,YKWIM?, Yot Club
132,133,9151,2022,lt,Space Song, Beach House
133,134,9146,2022,lt,No Role Modelz, J. Cole
134,135,9139,2022,lt,Streets, Doja Cat
135,136,9066,2022,lt,Smokin Out The Window, Bruno Mars
136,137,9021,2022,lt,Miserable Man, David Kushner
137,138,8984,2022,lt,Je te laisserai des mots, Patrick Watson
138,139,8982,2022,lt,help_urself, Ezekiel
139,140,8977,2022,lt,I Hate U, SZA
140,141,8935,2022,lt,masquerade, siouxxie sixxsta
141,142,8895,2022,lt,Frozen, Madonna
142,143,8846,2022,lt,Notion, The Rare Occasions
143,144,8843,2022,lt,Tarp Amžinybės, Sel
144,145,8805,2022,lt,Peru, Fireboy DML
145,146,8722,2022,lt,edamame (feat. Rich Brian), bbno$
146,147,8722,2022,lt,2055, Sleepy Hallow
147,148,8712,2022,lt,Apocalypse, Cigarettes After Sex
148,149,8554,2022,lt,Happier Than Ever - Edit, Billie Eilish
149,150,8509,2022,lt,Gangsta's Paradise, Coolio
150,151,8382,2022,lt,all I want is you, Rebzyyx
151,152,8276,2022,lt,Only Love Can Hurt Like This, Paloma Faith
152,153,8267,2022,lt,moment, Vierre Cloud
153,154,8215,2022,lt,Smells Like Teen Spirit - Remastered, Nirvana
154,155,8108,2022,lt,Stay With Me, 1nonly
155,156,8107,2022,lt,Knife Talk (with 21 Savage ft. Project Pat), Drake
156,157,8092,2022,lt,Rasputin, Majestic
157,158,8074,2022,lt,Not Allowed, TV Girl
158,159,8011,2022,lt,MARCELINE, Lil God Dan
159,160,8010,2022,lt,Little Dark Age, MGMT
160,161,7976,2022,lt,A Lyga, Angelou
161,162,7947,2022,lt,I Wanna Be Yours, Arctic Monkeys
162,163,7946,2022,lt,Astronaut In The Ocean, Masked Wolf
163,164,7920,2022,lt,Collard Greens, ScHoolboy Q
164,165,7911,2022,lt,thought i was playing, Gunna
165,166,7909,2022,lt,Don't Start Now, Dua Lipa
166,167,7903,2022,lt,Friends, Chase Atlantic
167,168,7877,2022,lt,Head & Heart (feat. MNEK), Joel Corry
168,169,7794,2022,lt,SUICIDE YEAR, WEEDMANE
169,170,7760,2022,lt,we fell in love in october, girl in red
