,Rank,Streams,Year,Country,Title,Artist
0,1,12418,2019,lu,Sweet but Psycho, Ava Max
1,2,12328,2019,lu,Wow., Post Malone
2,3,12314,2019,lu,High Hopes, Panic! At The Disco
3,4,11799,2019,lu,Without Me, Halsey
4,5,11399,2019,lu,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
5,6,11201,2019,lu,Shallow, Lady Gaga
6,7,10151,2019,lu,thank u next, Ariana Grande
7,8,9461,2019,lu,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
8,9,9133,2019,lu,Be Alright, Dean Lewis
9,10,8963,2019,lu,Benzema, Capital Bra
10,11,8127,2019,lu,HaifischNikez Allstars, LX
11,12,7994,2019,lu,ZEZE (feat. Travis Scott & Offset), Kodak Black
12,13,7949,2019,lu,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
13,14,7692,2019,lu,Happier, Marshmello
14,15,7653,2019,lu,Going Bad (feat. Drake), Meek Mill
15,16,7382,2019,lu,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
16,17,7247,2019,lu,In My Mind, Dynoro
17,18,7222,2019,lu,SICKO MODE, Travis Scott
18,19,7018,2019,lu,Eastside (with Halsey & Khalid), benny blanco
19,20,6743,2019,lu,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
20,21,6604,2019,lu,Mo Bamba, Sheck Wes
21,22,6563,2019,lu,MIA (feat. Drake), Bad Bunny
22,23,6041,2019,lu,Baller los, MERO
23,24,5880,2019,lu,Better Now, Post Malone
24,25,5875,2019,lu,Lucid Dreams, Juice WRLD
25,26,5858,2019,lu,Drip Too Hard (Lil Ba, & Gunna)  
26,27,5853,2019,lu,Tausend Tattoos, Sido
27,28,5839,2019,lu,SAD!, XXXTENTACION
28,29,5747,2019,lu,Saturday Nights, Khalid
29,30,5738,2019,lu,Better, Khalid
30,31,5699,2019,lu,Promises (with Sam Smith), Calvin Harris
31,32,5586,2019,lu,when the party's over, Billie Eilish
32,33,5324,2019,lu,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
33,34,5260,2019,lu,Moonlight, XXXTENTACION
34,35,5167,2019,lu,whoa (mind in awe), XXXTENTACION
35,36,5117,2019,lu,Solo (feat. Demi Lovato), Clean Bandit
36,37,5078,2019,lu,rockstar (feat. 21 Savage), Post Malone
37,38,5073,2019,lu,Look Back at It, A Boogie Wit da Hoodie
38,39,4989,2019,lu,Bad Liar, Imagine Dragons
39,40,4949,2019,lu,Ruin My Life, Zara Larsson
40,41,4932,2019,lu,Body (feat. brando), Loud Luxury
41,42,4892,2019,lu,Bohemian Rhapsody - Remastered 2011, Queen
42,43,4868,2019,lu,Lelele, Azet
43,44,4806,2019,lu,Let You Love Me, Rita Ora
44,45,4741,2019,lu,Love Someone, Lukas Graham
45,46,4724,2019,lu,imagine, Ariana Grande
46,47,4629,2019,lu,monster, 21 Savage
47,48,4570,2019,lu,One Kiss (with Dua Lipa), Calvin Harris
48,49,4552,2019,lu,I Like It, Cardi B
49,50,4536,2019,lu,Leave Me Alone, Flipp Dinero
50,51,4516,2019,lu,Taste (feat. Offset), Tyga
51,52,4485,2019,lu,Happy Now, Kygo
52,53,4378,2019,lu,Roses (with Juice WRLD feat. Brendon Urie), benny blanco
53,54,4364,2019,lu,God's Plan, Drake
54,55,4315,2019,lu,Thunderclouds, Sia
55,56,4294,2019,lu,Say My Name, David Guetta
56,57,4170,2019,lu,Calma - Remix, Pedro Capó
57,58,4153,2019,lu,Youngblood, 5 Seconds of Summer
58,59,4123,2019,lu,Rise, Jonas Blue
59,60,4120,2019,lu,Natural, Imagine Dragons
60,61,4107,2019,lu,Butterfly Doors, Lil Pump
61,62,4056,2019,lu,lovely, Billie Eilish
62,63,4007,2019,lu,2002, Anne-Marie
63,64,3937,2019,lu,Adan y Eva, Paulo Londra
64,65,3887,2019,lu,Djadja, Aya Nakamura
65,66,3877,2019,lu,Ramenez la coupe à la maison, Vegedream
66,67,3870,2019,lu,No Stylist (feat. Drake), French Montana
67,68,3863,2019,lu,Dior 2001, RIN
68,69,3836,2019,lu,500 PS, Bonez MC
69,70,3815,2019,lu,Kiss and Make Up, Dua Lipa
70,71,3736,2019,lu,KIKA, 6ix9ine
71,72,3703,2019,lu,Wake Up in the Sky, Gucci Mane
72,73,3620,2019,lu,These Days (feat. Jess Glynne Macklemore & Dan Caplen), Rudimental
73,74,3611,2019,lu,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
74,75,3586,2019,lu,a lot, 21 Savage
75,76,3574,2019,lu,Shape of You, Ed Sheeran
76,77,3554,2019,lu,Feuer, Capital Bra
77,78,3533,2019,lu,In My Feelings, Drake
78,79,3520,2019,lu,Crack Koks Piece Unternehmen, Nash
79,80,3512,2019,lu,FRIENDS, Marshmello
80,81,3484,2019,lu,Jackie Chan, Tiësto
81,82,3464,2019,lu,no tears left to cry, Ariana Grande
82,83,3459,2019,lu,Havana (feat. Young Thug), Camila Cabello
83,84,3451,2019,lu,"Fire On Fire - From ""Watership Down""", Sam Smith
84,85,3447,2019,lu,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
85,86,3429,2019,lu,Jaloux, Dadju
86,87,3411,2019,lu,Meer, Luciano
87,88,3343,2019,lu,Shotgun, George Ezra
88,89,3315,2019,lu,Nevermind, Dennis Lloyd
89,90,3309,2019,lu,IDGAF, Dua Lipa
90,91,3303,2019,lu,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse, Nicki Minaj
91,92,3281,2019,lu,YOSEMITE, Travis Scott
92,93,3262,2019,lu,Trampoline, SHAED
93,94,3262,2019,lu,Solo de Mi, Bad Bunny
94,95,3259,2019,lu,Always Remember Us This Way, Lady Gaga
95,96,3254,2019,lu,Mafiosa (feat. Caroliina), Lartiste
96,97,3219,2019,lu,Flames, David Guetta
97,98,3211,2019,lu,In My Blood, Shawn Mendes
98,99,3183,2019,lu,Crushed Up, Future
99,100,3177,2019,lu,idontwannabeyouanymore, Billie Eilish
100,101,3174,2019,lu,Jocelyn Flores, XXXTENTACION
101,102,3173,2019,lu,Nonstop, Drake
102,103,3164,2019,lu,Copines, Aya Nakamura
103,104,3109,2019,lu,Beautiful (feat. Camila Cabello), Bazzi
104,105,3085,2019,lu,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
105,106,3062,2019,lu,Standard (feat. Trettmann Gringo Ufo361 & Gzuz), KitschKrieg
106,107,3058,2019,lu,Project Dreams, Marshmello
107,108,3052,2019,lu,The Middle, Zedd
108,109,3012,2019,lu,Believer, Imagine Dragons
109,110,3008,2019,lu,Ocean (feat. Khalid), Martin Garrix
110,111,3007,2019,lu,Melodien (feat. Juju), Capital Bra
111,112,2985,2019,lu,I Love It (& Lil Pump), Kanye West
112,113,2950,2019,lu,Happy Now, Zedd
113,114,2939,2019,lu,Blah Blah Blah, Armin van Buuren
114,115,2934,2019,lu,Speechless (feat. Erika Sirola), Robin Schulz
115,116,2928,2019,lu,Electricity (with Dua Lipa), Silk City
116,117,2900,2019,lu,Perfect, Ed Sheeran
117,118,2889,2019,lu,changes, XXXTENTACION
118,119,2888,2019,lu,BAD!, XXXTENTACION
119,120,2836,2019,lu,Unforgettable, French Montana
120,121,2831,2019,lu,Hope, The Chainsmokers
121,122,2829,2019,lu,I Like Me Better, Lauv
122,123,2823,2019,lu,Money, Cardi B
123,124,2811,2019,lu,Tout oublier, Angèle
