,Rank,Streams,Year,Country,Title,Artist
0,1,29904,2022,lv,Heat Waves, Glass Animals
1,2,29386,2022,lv,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
2,3,27387,2022,lv,abcdefu, GAYLE
3,4,23522,2022,lv,Cold Heart - PNAU Remix, Elton John
4,5,22690,2022,lv,Softcore, The Neighbourhood
5,6,22150,2022,lv,STAY (with Justin Bieber), The Kid LAROI
6,7,21834,2022,lv,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
7,8,21628,2022,lv,Do It To It, ACRAZE
8,9,21433,2022,lv,Sacrifice, The Weeknd
9,10,19979,2022,lv,Sweater Weather, The Neighbourhood
10,11,19737,2022,lv,Easy On Me, Adele
11,12,17949,2022,lv,Where Are You Now, Lost Frequencies
12,13,17702,2022,lv,Infinity, Jaymes Young
13,14,16288,2022,lv,Shivers, Ed Sheeran
14,15,16071,2022,lv,Woman, Doja Cat
15,16,15990,2022,lv,СОЛНЦЕ МОНАКО, Lusia Chebotina
16,17,15980,2022,lv,99 Problems, Big Ba
17,18,15781,2022,lv,Bad Habits, Ed Sheeran
18,19,14896,2022,lv,Moth To A Flame (with The Weeknd), Swedish House Mafia
19,20,14526,2022,lv,The Motto, Tiësto
20,21,14504,2022,lv,Toxic, BoyWithUke
21,22,14396,2022,lv,Beggin', Måneskin
22,23,14165,2022,lv,Down Under (feat. Colin Hay), Luude
23,24,13659,2022,lv,Dark Red, Steve Lacy
24,25,13641,2022,lv,Is There Someone Else?, The Weeknd
25,26,13491,2022,lv,Gasoline, The Weeknd
26,27,13149,2022,lv,My Universe, Coldplay
27,28,13065,2022,lv,Oh My God, Adele
28,29,12978,2022,lv,Freaks, Surf Curse
29,30,12962,2022,lv,Million, Big Ba
30,31,12859,2022,lv,Close Eyes, DVRST
31,32,12693,2022,lv,Daddy Issues, The Neighbourhood
32,33,12681,2022,lv,How Do I Make You Love Me?, The Weeknd
33,34,12470,2022,lv,Кожура, ZAPOMNI
34,35,12268,2022,lv,Need to Know, Doja Cat
35,36,12231,2022,lv,good 4 u, Olivia Rodrigo
36,37,12183,2022,lv,Kiss Me More (feat. SZA), Doja Cat
37,38,12169,2022,lv,Sky, Playboi Carti
38,39,12167,2022,lv,I Love You So, The Walters
39,40,12016,2022,lv,Marmalade, Miyagi & Andy Panda
40,41,11850,2022,lv,Fingers Crossed, Lauren Spencer-Smith
41,42,11754,2022,lv,MONTERO (Call Me By Your Name), Lil Nas X
