,Rank,Streams,Year,Country,Title,Artist
0,1,117929,2021,ma,Lewjah Tani, Saad Lamjarred
1,2,98224,2021,ma,love nwantiti (feat. ElGrande Toto) - North African Remix, CKay
2,3,76376,2021,ma,L'baida mon amour, 7ari
3,4,68816,2021,ma,Nota, Dizzy DROS
4,5,67626,2021,ma,Zahri, Inkonnu
5,6,52026,2021,ma,Arabi, Inkonnu
6,7,44986,2021,ma,Machafouhach, Mouh Milano
7,8,42749,2021,ma,Nasa, Snor
8,9,42217,2021,ma,Africain, Stormy
9,10,41195,2021,ma,Trap Roumi V2, kouz1
10,11,40850,2021,ma,Whoopty, CJ
11,12,40737,2021,ma,حس بيا, L7or
12,13,40097,2021,ma,OU TT, Stormy
13,14,39997,2021,ma,Fratello, Tagne
14,15,38415,2021,ma,Lalala, Snor
15,16,38321,2021,ma,KIKI, Tagne
16,17,36133,2021,ma,Niya, Manal
17,18,35913,2021,ma,FLOUKA, Tagne
18,19,33977,2021,ma,Darja, Snor
19,20,33587,2021,ma,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
20,21,32685,2021,ma,De9a De9a, Snor
21,22,32450,2021,ma,Iori 3, Mons
22,23,32047,2021,ma,3arbouch, NORDO
23,24,31740,2021,ma,Halla halla, ElGrandeToto
24,25,30102,2021,ma,Bande organisée, 13 Organisé
25,26,29788,2021,ma,VitamineDZ, ElGrandeToto
26,27,29148,2021,ma,Mazalni Kima Bakri, Mouh Milano
27,28,28684,2021,ma,XXL, Smallx
28,29,28298,2021,ma,D'accord, Abdeelgha4
29,30,27257,2021,ma,Lmeryoula, Don Bigg
30,31,26448,2021,ma,Mood (feat. iann dior), 24kGoldn
31,32,25879,2021,ma,Sombrero, Stormy
32,33,25414,2021,ma,Confiné, ElGrandeToto
33,34,25300,2021,ma,Blinding Lights, The Weeknd
34,35,24445,2021,ma,El Walida, Foufa Torino
35,36,24099,2021,ma,ICON, 7ari
36,37,23873,2021,ma,hasta la vista., 7ari
37,38,23619,2021,ma,20B13, Dollypran
38,39,23522,2021,ma,Chahid, Inkonnu
39,40,23357,2021,ma,Hors Série - RapRapRapRap, ElGrandeToto
40,41,23189,2021,ma,Mikasa, ElGrandeToto
41,42,23002,2021,ma,Thellaw, Tagne
42,43,22845,2021,ma,Si tu savais, Anys
43,44,22665,2021,ma,Snowman, Sia
44,45,22129,2021,ma,For The Night (feat. Lil Ba, & DaBa
45,46,21835,2021,ma,Astronaut In The Ocean, Masked Wolf
46,47,21417,2021,ma,Sans Toi, Mocci
47,48,20714,2021,ma,Dynamite, BTS
48,49,20447,2021,ma,Chokran la vie, Lsan L7or
49,50,20153,2021,ma,positions, Ariana Grande
50,51,19769,2021,ma,KNZ, Inkonnu
51,52,19692,2021,ma,TKT, kouz1
52,53,19598,2021,ma,The Business, Tiësto
53,54,19538,2021,ma,DÁKITI, Bad Bunny
54,55,19303,2021,ma,Ba, Ba
55,56,19287,2021,ma,Adda El Kalam, Saad Lamjarred
56,57,19240,2021,ma,كداب, Cravata
57,58,19017,2021,ma,Amane, Lartiste
58,59,18800,2021,ma,ROCKSTAR (feat. Roddy Ricch), DaBa
59,60,18752,2021,ma,Kamehameha, Dada
60,61,18544,2021,ma,Goosebumps, HVME
61,62,18201,2021,ma,Safe Salina (Moroccan Remix), Tawsen
62,63,17831,2021,ma,YA Lili, Inkonnu
63,64,17727,2021,ma,you broke me first, Tate McRae
64,65,17643,2021,ma,What You Know Bout Love, Pop Smoke
