,Rank,Streams,Year,Country,Title,Artist
0,1,6853242,2021,mx,DÁKITI, Bad Bunny
1,2,6295036,2021,mx,BICHOTA, KAROL G
2,3,3727314,2021,mx,LA NOCHE DE ANOCHE, Bad Bunny
3,4,3455054,2021,mx,Hawái, Maluma
4,5,3173989,2021,mx,Reloj, Rauw Alejandro
5,6,2548974,2021,mx,La Tóxica, Farruko
6,7,2544366,2021,mx,Relación - Remix, Sech
7,8,2527681,2021,mx,Se Te Nota (with Guaynaa), Lele Pons
8,9,2498319,2021,mx,Hecha Pa' Mi, Boza
9,10,2342422,2021,mx,Dime Cómo Quieres, Christian Nodal
10,11,2274016,2021,mx,Mi Niña, Wisin
11,12,2267899,2021,mx,Chica Ideal, Sebastian Yatra
12,13,2253292,2021,mx,La Nota, Manuel Turizo
13,14,2193136,2021,mx,TE MUDASTE, Bad Bunny
14,15,2171554,2021,mx,Vida de Rico, Camilo
15,16,2037091,2021,mx,Aquí Abajo, Christian Nodal
16,17,1968669,2021,mx,La Curiosidad, Jay Wheeler
17,18,1951233,2021,mx,Ay DiOs Mío!, KAROL G
18,19,1930538,2021,mx,Cabrón y Vago - En Vivo, El Fantasma
19,20,1850564,2021,mx,Blinding Lights, The Weeknd
20,21,1834080,2021,mx,Parce (feat. Justin Quiles), Maluma
21,22,1797195,2021,mx,BEBÉ, Camilo
22,23,1774400,2021,mx,Jeans, Justin Quiles
23,24,1766029,2021,mx,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
24,25,1727443,2021,mx,Mi Cuarto, Jerry Di
25,26,1723981,2021,mx,GIRL LIKE ME, Black Eyed Peas
26,27,1646337,2021,mx,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
27,28,1614010,2021,mx,Pa' Olvidarme De Ella, Piso 21
28,29,1609908,2021,mx,Bandido, Myke Towers
29,30,1587724,2021,mx,Azul, J Balvin
30,31,1542051,2021,mx,Tusa, KAROL G
31,32,1536984,2021,mx,Tattoo - Remix with Camilo, Rauw Alejandro
32,33,1536532,2021,mx,Una Locura, Ozuna
33,34,1496891,2021,mx,Yo Ya No Vuelvo Contigo - En Vivo, Lenin Ramírez
34,35,1486445,2021,mx,De Los Besos Que Te Di, Christian Nodal
35,36,1484422,2021,mx,La Jeepeta - Remix, Nio Garcia
36,37,1475977,2021,mx,HACIENDO QUE ME AMAS, Bad Bunny
37,38,1411534,2021,mx,BOOKER T, Bad Bunny
38,39,1392793,2021,mx,Tú, Carin Leon
39,40,1361016,2021,mx,Se Me Olvidó, Christian Nodal
40,41,1326650,2021,mx,Me La Avente, Carin Leon
41,42,1310181,2021,mx,Nada, Cali Y El Dandee
42,43,1283621,2021,mx,Más De La Una, Piso 21
43,44,1262059,2021,mx,Ramito De Violetas, Mi Banda El Mexicano
44,45,1252074,2021,mx,Lean (feat. Towy Osquel Beltito & Sammy & Falsetto), Super Yei
45,46,1236429,2021,mx,100 Años, Carlos Rivera
46,47,1222709,2021,mx,Si Veo a Tu Mamá, Bad Bunny
47,48,1206209,2021,mx,Poco, Reik
48,49,1188146,2021,mx,Safaera, Bad Bunny
49,50,1161643,2021,mx,Hasta Abajo, Kevin Roldan
50,51,1158943,2021,mx,Quiéreme Mientras Se Pueda, Manuel Turizo
51,52,1127943,2021,mx,La Mitad, Camilo
52,53,1120686,2021,mx,Palabra de Hombre, El Fantasma
53,54,1096223,2021,mx,Caramelo - Remix, Ozuna
54,55,1073867,2021,mx,Amor A Primera Vista, Los Ángeles Azules
55,56,1046819,2021,mx,El Envidioso, Los Dos Carnales
56,57,1045447,2021,mx,LA CANCIÓN, J Balvin
57,58,1039005,2021,mx,Ahora Te Puedes Marchar, Luis Miguel
58,59,1036190,2021,mx,Dance Monkey, Tones And I
59,60,1008956,2021,mx,Don't Start Now, Dua Lipa
60,61,1005687,2021,mx,Despeinada, Ozuna
61,62,1004203,2021,mx,Yo Perreo Sola, Bad Bunny
62,63,990467,2021,mx,El Tóxico, Grupo Firme
63,64,980415,2021,mx,Caramelo, Ozuna
64,65,979720,2021,mx,No Me Conoce - Remix, Jhay Cortez
65,66,978295,2021,mx,La Santa, Bad Bunny
66,67,962847,2021,mx,Jangueo, Alex Rose
67,68,948628,2021,mx,De Cora <3, Rauw Alejandro
68,69,948595,2021,mx,Hawái - Remix, Maluma
69,70,943919,2021,mx,La Luz, Sech
70,71,932764,2021,mx,Vida Ventajosa, Los Dos Carnales
71,72,928084,2021,mx,Therefore I Am, Billie Eilish
72,73,926023,2021,mx,Favorito, Camilo
73,74,923450,2021,mx,Con Tus Besos, Eslabon Armado
74,75,922767,2021,mx,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
75,76,911310,2021,mx,Madrid (feat. Myke Towers), Maluma
76,77,905095,2021,mx,Golden, Harry Styles
77,78,905083,2021,mx,Sigues Con El, Arcangel
78,79,899941,2021,mx,Vaya Vaya, Cartel De Santa
79,80,894689,2021,mx,Watermelon Sugar, Harry Styles
80,81,890349,2021,mx,Nace Un Borracho, Christian Nodal
81,82,889532,2021,mx,El Güero (Feat. Marca MP), Grupo Firme
82,83,885605,2021,mx,Mi Tío Snoop, Aleman
83,84,877441,2021,mx,El Roto - En Vivo, Grupo Firme
84,85,877326,2021,mx,Vete, Bad Bunny
85,86,870636,2021,mx,Si Estuviésemos Juntos, Bad Bunny
86,87,867867,2021,mx,Fuentes de Ortiz, Ed Maverick
87,88,866080,2021,mx,Brillas, León Larregui
88,89,862304,2021,mx,positions, Ariana Grande
89,90,862143,2021,mx,Belleza De Cantina, Cardenales De Nuevo León
90,91,858237,2021,mx,Dynamite, BTS
91,92,850168,2021,mx,No Te Contaron Mal, Christian Nodal
92,93,846306,2021,mx,Rojo, J Balvin
93,94,835615,2021,mx,A Tu Merced, Bad Bunny
94,95,825943,2021,mx,YO VISTO ASÍ, Bad Bunny
95,96,818560,2021,mx,No Bailes Sola, Danna Paola
96,97,813491,2021,mx,Amor Tóxico, Christian Nodal
97,98,811661,2021,mx,Polvo, Nicky Jam
98,99,810365,2021,mx,Callaita, Bad Bunny
99,100,805118,2021,mx,Hola - Remix, Dalex
100,101,803381,2021,mx,CÓMO SE SIENTE - Remix, Jhay Cortez
101,102,790326,2021,mx,Relación, Sech
102,103,782593,2021,mx,La Difícil, Bad Bunny
103,104,782414,2021,mx,Tú Me Dejaste De Querer, C. Tangana
104,105,776558,2021,mx,Ya Me Enteré, Chayín Rubio
105,106,774060,2021,mx,Ignorantes, Bad Bunny
106,107,771694,2021,mx,Fondo de Bikini, Leon Leiden
107,108,768278,2021,mx,Si Te Pudiera Mentir, Calibre 50
108,109,761593,2021,mx,Me Dediqué a Perderte, Alejandro Fernández
109,110,754932,2021,mx,ADMV, Maluma
110,111,751287,2021,mx,Todavia, La Factoria
111,112,748865,2021,mx,Fuerte No Soy, Intocable
112,113,740849,2021,mx,HOY COBRÉ, Bad Bunny
113,114,736617,2021,mx,Devuélveme a mi chica, Hombres G
114,115,736000,2021,mx,El Color de Tus Ojos, Banda MS de Sergio Lizárraga
115,116,733059,2021,mx,La Incondicional, Luis Miguel
116,117,729368,2021,mx,Amor Tumbado, Natanael Cano
117,118,728102,2021,mx,Vete Ya, Valentín Elizalde
118,119,727640,2021,mx,Elegí (feat. Dímelo Flow), Rauw Alejandro
119,120,727220,2021,mx,Lamento Boliviano, Los Enanitos Verdes
120,121,725887,2021,mx,Caballero, Alejandro Fernández
121,122,721480,2021,mx,Ponte Pa' Mi, Justin Quiles
122,123,717871,2021,mx,Cada Vez Te Extraño Más, Grupo Firme
123,124,714197,2021,mx,A Mí, Rels B
124,125,712682,2021,mx,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
125,126,712298,2021,mx,TE DESEO LO MEJOR, Bad Bunny
126,127,710360,2021,mx,Break My Heart, Dua Lipa
127,128,702958,2021,mx,+Linda, Dalex
128,129,702135,2021,mx,Roses - Imanbek Remix, SAINt JHN
129,130,697849,2021,mx,Nunca Es Suficiente, Los Ángeles Azules
130,131,691387,2021,mx,El Mismo Aire - con Pablo Alborán, Camilo
131,132,687319,2021,mx,Me Rehúso, Danny Ocean
132,133,687209,2021,mx,Prometiste, Pepe Aguilar
133,134,678703,2021,mx,Adiós Amor, Christian Nodal
134,135,676787,2021,mx,Mente Positiva, Junior H
135,136,674149,2021,mx,Morado, J Balvin
136,137,672949,2021,mx,Cerrando Ciclos, Banda MS de Sergio Lizárraga
137,138,669132,2021,mx,La Escuela No Me Gustó, Adriel Favela
138,139,668075,2021,mx,Si Me Dices Que Sí, Reik
