,Rank,Streams,Year,Country,Title,Artist
0,1,519040,2020,my,Dance Monkey, Tones And I
1,2,424341,2020,my,Yummy, Justin Bieber
2,3,421046,2020,my,ROXANNE, Arizona Zervas
3,4,412544,2020,my,Memories, Maroon 5
4,5,359916,2020,my,Psycho, Red Velvet
5,6,329483,2020,my,Circles, Post Malone
6,7,306484,2020,my,Falling, Trevor Daniel
7,8,290964,2020,my,Someone You Loved, Lewis Capaldi
8,9,277805,2020,my,everything i wanted, Billie Eilish
9,10,270641,2020,my,Don't Start Now, Dua Lipa
10,11,245981,2020,my,Lose You To Love Me, Selena Gomez
11,12,239662,2020,my,Señorita, Shawn Mendes
12,13,228050,2020,my,It's You, Ali Gatie
13,14,227074,2020,my,Mean It, Lauv
14,15,221086,2020,my,I.F.L.Y., Bazzi
15,16,209054,2020,my,Watermelon Sugar, Harry Styles
16,17,202072,2020,my,Blinding Lights, The Weeknd
17,18,197714,2020,my,My Oh My (feat. DaBa,)  
18,19,195906,2020,my,hot girl bummer, blackbear
19,20,193784,2020,my,Trampoline (with ZAYN), SHAED
20,21,183435,2020,my,Mimpi (feat. Alif), K-Clique
21,22,177218,2020,my,How Do You Sleep?, Sam Smith
22,23,162658,2020,my,Cinta Luar Biasa, Andmesh
23,24,161024,2020,my,Adore You, Harry Styles
24,25,160941,2020,my,Hanya Rindu, Andmesh
25,26,158973,2020,my,Before You Go, Lewis Capaldi
26,27,154382,2020,my,I Love You 3000, Stephanie Poetri
27,28,150284,2020,my,Feelings, Lauv
28,29,145377,2020,my,Haa Tepok, MeerFly
29,30,144122,2020,my,10000 Hours (with Justin Bieber), Dan + Shay
30,31,143615,2020,my,No Idea, Don Toliver
31,32,143483,2020,my,Beautiful People (feat. Khalid), Ed Sheeran
32,33,142189,2020,my,Good,es (Feat. Young Thug)  
33,34,138136,2020,my,Boy With Luv (feat. Halsey), BTS
34,35,133731,2020,my,Falling, Harry Styles
35,36,133725,2020,my,Alone Pt. II, Alan Walker
36,37,132127,2020,my,bad guy, Billie Eilish
37,38,130776,2020,my,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
38,39,128029,2020,my,I Don't Care (with Justin Bieber), Ed Sheeran
39,40,126755,2020,my,Into the Unknown, Idina Menzel
40,41,125642,2020,my,Say So, Doja Cat
41,42,124318,2020,my,Can We Kiss Forever?, Kina
42,43,122951,2020,my,comethru, Jeremy Zucker
43,44,121161,2020,my,Takeaway, The Chainsmokers
44,45,121158,2020,my,Make It Right (feat. Lauv), BTS
45,46,120543,2020,my,Changes, Lauv
46,47,115624,2020,my,On My Way, Alan Walker
47,48,113338,2020,my,The Box, Roddy Ricch
48,49,110015,2020,my,Yellow Hearts, Ant Saunders
49,50,109286,2020,my,If the World Was Ending (feat. Julia Michaels), JP Saxe
50,51,107956,2020,my,Sumpah, Naim Daniel
51,52,101657,2020,my,Lover (Remix) [feat. Shawn Mendes], Taylor Swift
52,53,101654,2020,my,7 rings, Ariana Grande
53,54,100901,2020,my,i'm so tired..., Lauv
54,55,98296,2020,my,Without Me, Halsey
55,56,97791,2020,my,Heartless, The Weeknd
56,57,95565,2020,my,Kisah Cinta Kita, Hafiz Suip
57,58,94745,2020,my,fuck i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”, Lauv
58,59,94275,2020,my,What Am I, Why Don't We
59,60,91095,2020,my,Say You Won't Let Go, James Arthur
60,61,90653,2020,my,I Like Me Better, Lauv
61,62,90568,2020,my,Kill This Love, BLACKPINK
62,63,89636,2020,my,Hutang (feat. Ba, Shima)  
63,64,87790,2020,my,Be Alright, Dean Lewis
64,65,84496,2020,my,Pulang - Piano Version, Insomniacks
65,66,84155,2020,my,Takdir Tercipta, Hafiz Suip
66,67,83850,2020,my,Adakah Engkau Menungguku, Naim Daniel
67,68,82827,2020,my,lovely (with Khalid), Billie Eilish
68,69,82583,2020,my,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
69,70,80217,2020,my,2002, Anne-Marie
70,71,79875,2020,my,Feel Special, TWICE
71,72,79848,2020,my,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
72,73,79839,2020,my,"Tentang Rahsia - From ""Adellea Sofea"" Soundtrack", Judika
73,74,79804,2020,my,Up All Night, Khalid
74,75,78186,2020,my,You Are The Reason, Calum Scott
75,76,78069,2020,my,Lover, Taylor Swift
76,77,77884,2020,my,HIP, MAMAMOO
77,78,77834,2020,my,Shallow, Lady Gaga
78,79,77683,2020,my,SLOW DANCING IN THE DARK, Joji
79,80,74569,2020,my,說好不哭, Jay Chou
80,81,74319,2020,my,Moonlight, Ali Gatie
81,82,74206,2020,my,Graveyard, Halsey
82,83,72926,2020,my,Lil Boat, 88GLAM
83,84,72471,2020,my,thank u next, Ariana Grande
84,85,70875,2020,my,Let Me Down Slowly, Alec Benjamin
85,86,70793,2020,my,If I Can't Have You, Shawn Mendes
86,87,70585,2020,my,Family, The Chainsmokers
87,88,70461,2020,my,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit, SHAUN
88,89,69290,2020,my,Sucker, Jonas Brothers
89,90,69038,2020,my,Lucid Dreams, Juice WRLD
90,91,68712,2020,my,Beautiful (feat. Camila Cabello), Bazzi
91,92,68702,2020,my,Perfect, Ed Sheeran
92,93,68212,2020,my,Lily, Alan Walker
93,94,67959,2020,my,Too Good At Good,es  
94,95,67597,2020,my,Lights Up, Harry Styles
95,96,67204,2020,my,ME! (feat. Brendon Urie of Panic! At The Disco), Taylor Swift
96,97,67011,2020,my,FANCY, TWICE
97,98,66474,2020,my,HIGHEST IN THE ROOM, Travis Scott
98,99,65561,2020,my,when the party's over, Billie Eilish
99,100,65492,2020,my,Dancing With A Stranger (with Normani), Sam Smith
100,101,65397,2020,my,Look At Her Now, Selena Gomez
101,102,65051,2020,my,Call You Mine, The Chainsmokers
102,103,64666,2020,my,Sweet but Psycho, Ava Max
103,104,64432,2020,my,Blueming, IU
104,105,63640,2020,my,Ayy Macarena, Tyga
105,106,62967,2020,my,Empty Space, James Arthur
106,107,62715,2020,my,Love Someone, Lukas Graham
107,108,62650,2020,my,Photograph, Ed Sheeran
108,109,62350,2020,my,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
109,110,61733,2020,my,Happier, Marshmello
110,111,61689,2020,my,Ilusi, IamNeeta
111,112,60940,2020,my,怎麼了, Eric Chou
112,113,60729,2020,my,WINTER FLOWER(Feat.RM), Younha
113,114,60393,2020,my,Better, Khalid
114,115,60281,2020,my,I Want You To Love Me, Alif Satar
115,116,59768,2020,my,8 Letters, Why Don't We
116,117,59595,2020,my,"A Whole New World (End Title) - From ""Aladdin""", ZAYN
117,118,59293,2020,my,Good as Hell (feat. Ariana Grande) - Remix, Lizzo
118,119,58768,2020,my,Hello, Andi Bernadee
119,120,57844,2020,my,句號, G.E.M.
120,121,57700,2020,my,Eastside (with Halsey & Khalid), benny blanco
121,122,57550,2020,my,Ride It, Regard
122,123,57275,2020,my,Liar, Camila Cabello
