,Rank,Streams,Year,Country,Title,Artist
0,1,314130,2022,ng,Calm Down, Rema
1,2,127069,2022,ng,Omo Ope (feat. Olamide), Asake
2,3,95578,2022,ng,Italy (feat. Blaq Diamond), BNXN fka Buju
3,4,93390,2022,ng,Baddest Boy - Remix, Skiibii
4,5,86308,2022,ng,Holy Father, Mayorkun
5,6,79086,2022,ng,Monalisa, Lojay
6,7,75025,2022,ng,Cold Outside, Timaya
7,8,71198,2022,ng,Don't Call Me (feat. Zinoleesky), Lil Kesh
8,9,70643,2022,ng,Sometimes - Remix, T.I BLAZE
9,10,67407,2022,ng,High, Adekunle Gold
10,11,66099,2022,ng,Loyalty, Ajebo Hustlers
11,12,65992,2022,ng,Ozumba Mbadiwe, Reekado Banks
12,13,64704,2022,ng,B. D’OR (feat. Wizkid), Burna Boy
13,14,59133,2022,ng,My Friend, Bella Shmurda
14,15,59116,2022,ng,Snapchat, Ruger
15,16,56688,2022,ng,Ba, Riddim  
16,17,55905,2022,ng,Eh God (Barnabas), Kizz Daniel
17,18,55289,2022,ng,WITH YOU, Khaid
18,19,53722,2022,ng,Champion Sound, Davido
19,20,53407,2022,ng,Understand, Omah Lay
20,21,52578,2022,ng,Soundgasm, Rema
21,22,51871,2022,ng,Dior, Ruger
22,23,50328,2022,ng,Peru, Fireboy DML
23,24,50087,2022,ng,Sip (Alcohol), Joeboy
24,25,49797,2022,ng,Peru, Fireboy DML
25,26,47705,2022,ng,Emiliana, CKay
26,27,47174,2022,ng,Ameno Amapiano Remix (You Wanna Bamba), Goya Menor
27,28,46525,2022,ng,Outside, BNXN fka Buju
28,29,44803,2022,ng,Your Body (feat. Buju), Basketmouth
29,30,44184,2022,ng,Mood (feat. Buju), WizKid
30,31,42820,2022,ng,Mercy, Adekunle Gold
31,32,41514,2022,ng,Blessings, Niphkeys
32,33,41430,2022,ng,Bloody Samaritan, Ayra Starr
33,34,41284,2022,ng,Feeling, LADIPOE
34,35,41234,2022,ng,Lie, Kizz Daniel
35,36,41233,2022,ng,No Wahala, 1da Banton
36,37,40741,2022,ng,Celowi, Basketmouth
37,38,40655,2022,ng,Come My Way, Wande Coal
38,39,39627,2022,ng,Move, Bad Boy Timz
39,40,39595,2022,ng,Running, LADIPOE
40,41,38379,2022,ng,Worst Day, Future
41,42,38371,2022,ng,Peru - Remix, Fireboy DML
42,43,37207,2022,ng,One Woman, Adekunle Gold
43,44,37081,2022,ng,Second Sermon - Remix, Black Sherif
44,45,36191,2022,ng,Bounce, Ruger
45,46,35923,2022,ng,Gone Far, Zinoleesky
46,47,35707,2022,ng,Infinity (feat. Omah Lay), Olamide
47,48,34611,2022,ng,Sweet Daddy, Dai Verse
48,49,34118,2022,ng,Pour Me Water, Kizz Daniel
49,50,34031,2022,ng,Backside, Mohbad
50,51,33906,2022,ng,Sinner, Adekunle Gold
51,52,33542,2022,ng,Anoti, WizKid
52,53,33259,2022,ng,Ojuju, Troniq Music
53,54,32508,2022,ng,Feel Good, Mohbad
54,55,32175,2022,ng,pushin P (feat. Young Thug), Gunna
55,56,31449,2022,ng,Listen, Basketmouth
56,57,31300,2022,ng,Baddest Boy, Skiibii
57,58,30852,2022,ng,Love Don't Cost A Dime (Re-Up), Magixx
58,59,29742,2022,ng,ZaZoo Zehh, Poco Lee
59,60,29681,2022,ng,Dimension (feat. Skepta & Rema), JAE5
