,Rank,Streams,Year,Country,Title,Artist
0,1,85086,2021,ni,DÁKITI, Bad Bunny
1,2,52886,2021,ni,BICHOTA, KAROL G
2,3,48089,2021,ni,LA NOCHE DE ANOCHE, Bad Bunny
3,4,38151,2021,ni,Hawái, Maluma
4,5,35722,2021,ni,Chica Ideal, Sebastian Yatra
5,6,35540,2021,ni,La Tóxica, Farruko
6,7,34635,2021,ni,La Curiosidad, Jay Wheeler
7,8,34078,2021,ni,Hecha Pa' Mi, Boza
8,9,33754,2021,ni,TE MUDASTE, Bad Bunny
9,10,29064,2021,ni,Ay DiOs Mío!, KAROL G
10,11,28140,2021,ni,Mi Niña, Wisin
11,12,27370,2021,ni,Reloj, Rauw Alejandro
12,13,27193,2021,ni,BOOKER T, Bad Bunny
13,14,26702,2021,ni,La Nota, Manuel Turizo
14,15,25838,2021,ni,Relación - Remix, Sech
15,16,25583,2021,ni,Se Te Nota (with Guaynaa), Lele Pons
16,17,25425,2021,ni,Vida de Rico, Camilo
17,18,24719,2021,ni,Bandido, Myke Towers
18,19,23136,2021,ni,Dime Cómo Quieres, Christian Nodal
19,20,22952,2021,ni,La Jeepeta - Remix, Nio Garcia
20,21,22887,2021,ni,HACIENDO QUE ME AMAS, Bad Bunny
21,22,22770,2021,ni,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
22,23,22584,2021,ni,BEBÉ, Camilo
23,24,22579,2021,ni,Mi Cuarto, Jerry Di
24,25,22171,2021,ni,Tattoo - Remix with Camilo, Rauw Alejandro
25,26,22073,2021,ni,Jeans, Justin Quiles
26,27,19104,2021,ni,Parce (feat. Justin Quiles), Maluma
27,28,18706,2021,ni,Despeinada, Ozuna
28,29,18539,2021,ni,Aquí Abajo, Christian Nodal
29,30,18461,2021,ni,Blinding Lights, The Weeknd
30,31,18375,2021,ni,Una Locura, Ozuna
31,32,18022,2021,ni,Si Veo a Tu Mamá, Bad Bunny
32,33,17820,2021,ni,Pa' Olvidarme De Ella, Piso 21
33,34,17546,2021,ni,Tusa, KAROL G
34,35,16828,2021,ni,YO VISTO ASÍ, Bad Bunny
35,36,16691,2021,ni,Azul, J Balvin
36,37,16650,2021,ni,CÓMO SE SIENTE - Remix, Jhay Cortez
37,38,16394,2021,ni,Caramelo, Ozuna
