,Rank,Streams,Year,Country,Title,Artist
0,1,1696793,2018,nl,Blijf Bij Mij, Ronnie Flex
1,2,1556212,2018,nl,"4/5 - From “Patser""", Ronnie Flex
2,3,1182679,2018,nl,Officieel, Broederliefde
3,4,1166659,2018,nl,River (feat. Ed Sheeran), Eminem
4,5,973507,2018,nl,Havana (feat. Young Thug), Camila Cabello
5,6,910859,2018,nl,Coño, Puri
6,7,889234,2018,nl,Wolves, Selena Gomez
7,8,883566,2018,nl,rockstar, Post Malone
8,9,845800,2018,nl,I Miss You (feat. Julia Michaels), Clean Bandit
9,10,811253,2018,nl,Vervloekt, Frenna
10,11,769579,2018,nl,Perfect, Ed Sheeran
11,12,759977,2018,nl,In Amsterdam, Sevn Alias
12,13,730301,2018,nl,New Rules, Dua Lipa
13,14,721308,2018,nl,Him & I (with Halsey), G-Eazy
14,15,699930,2018,nl,Stargazing, Kygo
15,16,677065,2018,nl,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
16,17,673217,2018,nl,Finesse - Remix; feat. Cardi B, Bruno Mars
17,18,662591,2018,nl,Merry, Nafthaly Ramona
18,19,662312,2018,nl,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
19,20,658162,2018,nl,Zoutelande, BLØF
20,21,657841,2018,nl,Too Good At Good,es  
21,22,655847,2018,nl,All Falls Down (feat. Juliander), Alan Walker
22,23,624125,2018,nl,Patsergedrag, Sevn Alias
23,24,615948,2018,nl,What Lovers Do (feat. SZA), Maroon 5
24,25,591469,2018,nl,Silence, Marshmello
25,26,579698,2018,nl,Hop Hop Hop, Lil Kleine
26,27,576822,2018,nl,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
27,28,569461,2018,nl,Anywhere, Rita Ora
28,29,563953,2018,nl,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
29,30,553186,2018,nl,Feel It Still, Portugal. The Man
30,31,548414,2018,nl,Op Me Monnie, Frenna
31,32,537497,2018,nl,Échame La Culpa, Luis Fonsi
32,33,530807,2018,nl,Let You Down, NF
33,34,515655,2018,nl,Architect, Jonna Fraser
34,35,508377,2018,nl,Homesick, Dua Lipa
35,36,501742,2018,nl,How Long, Charlie Puth
36,37,500642,2018,nl,Shape of You, Ed Sheeran
37,38,488784,2018,nl,16 Million, Frenna
38,39,450572,2018,nl,Reggaetón Lento (Remix), CNCO
39,40,443227,2018,nl,Whatever It Takes, Imagine Dragons
40,41,431296,2018,nl,Gucci Gang, Lil Pump
41,42,425716,2018,nl,Ride Or Die, Josylvio
42,43,418160,2018,nl,Net Iets Meer, Lil Kleine
43,44,416193,2018,nl,What About Us, P!nk
44,45,409779,2018,nl,Buurt Heet (feat. Mula B), Lijpe
45,46,402908,2018,nl,Lovely Body, SFB
46,47,401245,2018,nl,Krantenwijk, Lil Kleine
47,48,387452,2018,nl,#JM, Broederliefde
48,49,386599,2018,nl,Loterij, Lil Kleine
49,50,354746,2018,nl,Unforgettable, French Montana
50,51,322437,2018,nl,No Limit, G-Eazy
51,52,322014,2018,nl,Tranquille, Soufiane Eddyani
52,53,309632,2018,nl,Never Be the Same, Camila Cabello
53,54,309452,2018,nl,Man's Not Hot, Big Shaq
54,55,308781,2018,nl,Lonely Together (feat. Rita Ora), Avicii
55,56,300433,2018,nl,Filthy, Justin Timberlake
56,57,299385,2018,nl,Without You (feat. Sandro Cavazza), Avicii
57,58,296442,2018,nl,I Fall Apart, Post Malone
58,59,288317,2018,nl,Op De Weg (feat. Adje & CHO), Equalz
59,60,288112,2018,nl,Thunder, Imagine Dragons
60,61,285057,2018,nl,Bandz Voor De Fam, Eves Laurent
61,62,284745,2018,nl,Walk On Water (feat. Beyoncé), Eminem
62,63,283512,2018,nl,Traag, Bizzey
63,64,279740,2018,nl,Dirty Sexy Money (feat. Charli XCX & French Montana), David Guetta
64,65,279308,2018,nl,Cartier, Dopebwoy
65,66,275821,2018,nl,Stop Met Typen, Equalz
66,67,275134,2018,nl,Mind Made Up, Wulf
67,68,274548,2018,nl,More Than You Know, Axwell /\ Ingrosso
68,69,273977,2018,nl,Rain, The Script
69,70,265284,2018,nl,Too Much To Ask, Niall Horan
70,71,265270,2018,nl,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
71,72,265156,2018,nl,Say You Won't Let Go, James Arthur
72,73,261972,2018,nl,Bartier Cardi (feat. 21 Savage), Cardi B
73,74,261732,2018,nl,Energie, Ronnie Flex
74,75,257389,2018,nl,Mi Gente, J Balvin
75,76,254288,2018,nl,Breathe, Jax Jones
76,77,254288,2018,nl,All The Stars (with SZA), Kendrick Lamar
77,78,252782,2018,nl,Avec Me, Latifah
78,79,251484,2018,nl,Dreamer, Axwell /\ Ingrosso
79,80,238797,2018,nl,Come Again, Ronnie Flex
80,81,237529,2018,nl,Friends (with BloodPop®), Justin Bieber
81,82,235243,2018,nl,Paranoia, Glades
82,83,231319,2018,nl,Alleen, Lil Kleine
83,84,229976,2018,nl,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha), Machine Gun Kelly
84,85,226333,2018,nl,Mamacita, Leafs
85,86,223159,2018,nl,XO Tour Llif3, Lil Uzi Vert
86,87,221647,2018,nl,Something Just Like This, The Chainsmokers
87,88,221307,2018,nl,Is Dit Over, Ronnie Flex
88,89,220519,2018,nl,Love Song (feat. Frenna), Equalz
89,90,220135,2018,nl,Littekens, Boef
90,91,219318,2018,nl,Wanna Be Mine, Frenna
91,92,218990,2018,nl,Money Money (feat. Bollebof), F1rstman
92,93,217668,2018,nl,A Different Way (with Lauv), DJ Snake
93,94,215655,2018,nl,Nu Al Miljonair, Kalvijn
94,95,212186,2018,nl,Mi No Dansi, Broederliefde
95,96,211028,2018,nl,1-800-273-8255, Logic
96,97,210391,2018,nl,Feels (feat. Pharrell Williams Katy Perry & Big Sean), Calvin Harris
97,98,210073,2018,nl,Op Me Monnie, Famke Louise
98,99,208404,2018,nl,On My Way, Latifah
99,100,207572,2018,nl,Mama, Jonas Blue
100,101,204842,2018,nl,1 Op 1 (feat. SBMG), Equalz
101,102,204159,2018,nl,Vaste Plek, Mael
102,103,203682,2018,nl,Keskiednis, Broederliefde
103,104,202605,2018,nl,Congratulations, Post Malone
104,105,202482,2018,nl,There for You, Martin Garrix
105,106,202435,2018,nl,Complicated (feat. Kiiara), Dimitri Vegas & Like Mike
106,107,201200,2018,nl,For You (Fifty Shades Freed) (& Rita Ora), Liam Payne
107,108,199765,2018,nl,Symphony (feat. Zara Larsson), Clean Bandit
108,109,197211,2018,nl,Downtown, Anitta
109,110,196934,2018,nl,Attention, Charlie Puth
110,111,195153,2018,nl,In God We Trust, SBMG
111,112,194999,2018,nl,Balmain (feat. Idaly & Boef), JoeyAK
112,113,194846,2018,nl,Voy a Bailar (feat. Boef & Rolf Sanchez), Ali B
113,114,192838,2018,nl,Habiba, Boef
114,115,192153,2018,nl,Candy Paint, Post Malone
115,116,189897,2018,nl,Als Ik Naar Huis Ga, Hef
116,117,189756,2018,nl,Badman Ollo, Bizzey
117,118,189732,2018,nl,Glorious (feat. Skylar Grey), Macklemore
118,119,189002,2018,nl,It Ain't Me (with Selena Gomez), Kygo
119,120,188288,2018,nl,Alles In, Broederliefde
120,121,185088,2018,nl,Blow It All, Bizzey
121,122,182473,2018,nl,If I'm Lucky, Jason Derulo
122,123,181288,2018,nl,Galway Girl, Ed Sheeran
123,124,179418,2018,nl,Way It Goes, SFB
124,125,176695,2018,nl,Your Song, Rita Ora
125,126,176462,2018,nl,Pull Up Game Strong, SBMG
126,127,175195,2018,nl,There's Nothing Holdin' Me Back, Shawn Mendes
127,128,174105,2018,nl,Rich Love (with Seeb), OneRepublic
128,129,173890,2018,nl,Slapend Rijk, Boef
129,130,173573,2018,nl,Power, Hardwell
130,131,173188,2018,nl,Obesitas, Ali B
131,132,171393,2018,nl,Next Move, Broederliefde
132,133,170738,2018,nl,Ric Flair Drip (with Metro Boomin), Offset
133,134,167573,2018,nl,Believer, Imagine Dragons
134,135,167215,2018,nl,HUMBLE., Kendrick Lamar
135,136,166808,2018,nl,Questions, Chris Brown
136,137,166101,2018,nl,Gunman, Vic9
137,138,165991,2018,nl,Young Dumb & Broke, Khalid
138,139,165763,2018,nl,4x Duurder, SBMG
139,140,160424,2018,nl,I Like Me Better, Lauv
140,141,159822,2018,nl,Castle on the Hill, Ed Sheeran
141,142,159641,2018,nl,This Is Me, Keala Settle
142,143,158802,2018,nl,Tip Toe (feat. French Montana), Jason Derulo
143,144,158586,2018,nl,C'est la vie, The Partysquad
144,145,156632,2018,nl,Good Old Days (feat. Kesha), Macklemore
145,146,156566,2018,nl,Scared to Be Lonely, Martin Garrix
146,147,155014,2018,nl,Geldverslaafd, Ismo
147,148,153480,2018,nl,Swalla (feat. Nicki Minaj & Ty Dolla $ign), Jason Derulo
148,149,152155,2018,nl,Afstand, Dopebwoy
149,150,151390,2018,nl,Thinking out Loud, Ed Sheeran
150,151,151290,2018,nl,Trabajo, Murda
151,152,150758,2018,nl,Party, Jonna Fraser
152,153,150316,2018,nl,Pretty Girl - Cheat Codes X CADE Remix, Maggie Lindemann
153,154,150241,2018,nl,Slow Hands, Niall Horan
154,155,149826,2018,nl,Sugardaddy, Broederliefde
155,156,149277,2018,nl,Rewrite The Stars, Zac Efron
156,157,148847,2018,nl,Cocaina - Remix, Kempi
157,158,148847,2018,nl,Crazy, Lost Frequencies
158,159,148557,2018,nl,Doe Rustig!, Lijpe
159,160,147548,2018,nl,Sterrenstof, De Jeugd Van Tegenwoordig
160,161,147287,2018,nl,Despacito (Featuring Daddy Yankee), Luis Fonsi
161,162,144486,2018,nl,Africa, TOTO
162,163,142859,2018,nl,Super Heet - Sprintsessie, Lijpe
163,164,142726,2018,nl,Leef, André Hazes Jr.
164,165,142514,2018,nl,Sober, G-Eazy
165,166,142066,2018,nl,OK, Robin Schulz
166,167,141900,2018,nl,VROOM, Famke Louise
167,168,141800,2018,nl,I'm Yours, Jason Mraz
168,169,141726,2018,nl,Weak, AJR
169,170,141431,2018,nl,Naked, James Arthur
170,171,141382,2018,nl,Life Is Geen Game, Hef
171,172,141131,2018,nl,Liegen Voor Jou, Lil Kleine
172,173,140687,2018,nl,2U (feat. Justin Bieber), David Guetta
173,174,140486,2018,nl,Mad Max, Jairzinho
174,175,140351,2018,nl,Beautiful Trauma, P!nk
175,176,140291,2018,nl,Fortitude, HAEVN
176,177,139467,2018,nl,Where's My Love, SYML
177,178,139030,2018,nl,Despacito - Remix, Luis Fonsi
178,179,138951,2018,nl,World Gone Mad, Bastille
179,180,138511,2018,nl,IDGAF, Dua Lipa
180,181,137844,2018,nl,Real Friends, Camila Cabello
181,182,137424,2018,nl,Alles Contant, Jermaine Niffer
182,183,137314,2018,nl,Bank Account, 21 Savage
183,184,137200,2018,nl,Tell Me You Love Me, Demi Lovato
184,185,137147,2018,nl,Gemaakt Voor Dit, Lil Kleine
185,186,136169,2018,nl,Darbas (feat. LouiVos & Mula B), 3robi
186,187,135737,2018,nl,LOVE. FEAT. ZACARI., Kendrick Lamar
187,188,134822,2018,nl,Hoop, Hef
188,189,134105,2018,nl,Een Beetje, Glades
189,190,134079,2018,nl,Jou & Mij, Tabitha
190,191,133704,2018,nl,Kleine Jongen, Lil Kleine
191,192,133538,2018,nl,Issues, Julia Michaels
192,193,133175,2018,nl,Oceaan, Racoon
193,194,133115,2018,nl,Sunny Days (feat. Josh Cumbee), Armin van Buuren
194,195,133097,2018,nl,Sorry Not Sorry, Demi Lovato
195,196,132720,2018,nl,Money Talks, Frsh
196,197,132670,2018,nl,Sorry, Kensington
197,198,131259,2018,nl,Photograph, Ed Sheeran
198,199,130176,2018,nl,Back to You (feat. Bebe Rexha & Digital Farm Animals), Louis Tomlinson
