,Rank,Streams,Year,Country,Title,Artist
0,1,976422,2020,no,Blinding Lights, The Weeknd
1,2,648132,2020,no,Dance Monkey, Tones And I
2,3,639036,2020,no,Yummy, Justin Bieber
3,4,582310,2020,no,Alone Pt. II, Alan Walker
4,5,563492,2020,no,Jævlig, TIX
5,6,549058,2020,no,everything i wanted, Billie Eilish
6,7,523548,2020,no,Falling, Trevor Daniel
7,8,480923,2020,no,ROXANNE, Arizona Zervas
8,9,458861,2020,no,Don't Start Now, Dua Lipa
9,10,452957,2020,no,Memories, Maroon 5
10,11,449021,2020,no,Someone You Loved, Lewis Capaldi
11,12,448177,2020,no,Kiss Somebody, Julie Bergan
12,13,445211,2020,no,The Box, Roddy Ricch
13,14,417174,2020,no,DANCE, CLMD
14,15,412097,2020,no,Roses - Imanbek Remix, SAINt JHN
15,16,402222,2020,no,Years, Astrid S
16,17,384730,2020,no,If the World Was Ending (feat. Julia Michaels), JP Saxe
17,18,359508,2020,no,Before You Go, Lewis Capaldi
18,19,352621,2020,no,Circles, Post Malone
19,20,348037,2020,no,Salt, Ava Max
20,21,346079,2020,no,Knockout, Tungevaag
21,22,336464,2020,no,My Oh My (feat. DaBa,)  
22,23,333767,2020,no,Lose You To Love Me, Selena Gomez
23,24,314659,2020,no,Hvem Er Hun, Arif
24,25,304776,2020,no,Trampoline (with ZAYN), SHAED
25,26,300339,2020,no,hot girl bummer, blackbear
26,27,292066,2020,no,Some Say, Nea
27,28,280443,2020,no,Satsebrakka 2020, Herman Flesvig
28,29,276965,2020,no,bad guy, Billie Eilish
29,30,274019,2020,no,HIGHEST IN THE ROOM, Travis Scott
30,31,271321,2020,no,Señorita, Shawn Mendes
31,32,264256,2020,no,No Idea, Don Toliver
32,33,263850,2020,no,Family, The Chainsmokers
33,34,261030,2020,no,Bruises, Lewis Capaldi
34,35,259654,2020,no,Adore You, Harry Styles
35,36,257391,2020,no,Shallow, Lady Gaga
36,37,256872,2020,no,Suicidal, YNW Melly
37,38,255389,2020,no,July, Noah Cyrus
38,39,250377,2020,no,Play, K-391
39,40,228386,2020,no,How Do You Sleep?, Sam Smith
40,41,219025,2020,no,HALLO, Isah
41,42,217047,2020,no,Higher Love, Kygo
42,43,215312,2020,no,Falling, Harry Styles
43,44,212174,2020,no,Can't Get Over You, Nick Strand
44,45,210363,2020,no,Heartless, The Weeknd
45,46,205837,2020,no,Always Remember Us This Way, Lady Gaga
46,47,203794,2020,no,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
47,48,203494,2020,no,when the party's over, Billie Eilish
48,49,198656,2020,no,Can I Be Forgiven, Highasakite
49,50,197776,2020,no,Bandit (with YoungBoy Never Broke Again), Juice WRLD
50,51,181182,2020,no,Beautiful People (feat. Khalid), Ed Sheeran
51,52,171329,2020,no,Perfect (feat. Haris), Lucas & Steve
52,53,165759,2020,no,Watermelon Sugar, Harry Styles
53,54,155081,2020,no,Ride It, Regard
54,55,152705,2020,no,"All I Want - From ""High School Musical: The Musical: The Series""", Olivia Rodrigo
55,56,151383,2020,no,Flames (with ZAYN), R3HAB
56,57,149156,2020,no,Hotel Walls, Smith & Thell
57,58,147026,2020,no,Lay By Me, Ruben
58,59,147013,2020,no,Lucid Dreams, Juice WRLD
59,60,143110,2020,no,Be Alright, Dean Lewis
60,61,139657,2020,no,I Don't Care (with Justin Bieber), Ed Sheeran
61,62,137665,2020,no,Raske Briller, Nicolay Ramm
62,63,137525,2020,no,Futsal Shuffle 2020, Lil Uzi Vert
63,64,136415,2020,no,BlimE - Mer Enn God Nok, Stina Talling
64,65,134439,2020,no,BOP, DaBa
65,66,133373,2020,no,Favorite Part Of Me, Astrid S
66,67,130760,2020,no,lovely (with Khalid), Billie Eilish
67,68,128893,2020,no,Bigger Than, Justin Jesso
68,69,122527,2020,no,So High, Ruben
69,70,122515,2020,no,Up All Night, Khalid
70,71,122281,2020,no,Power, Ruben
71,72,122231,2020,no,Domen 2019, Soppgiro
72,73,120938,2020,no,Haloes, Ina Wroldsen
73,74,120079,2020,no,Sweet but Psycho, Ava Max
74,75,119585,2020,no,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
75,76,116641,2020,no,Du ga mæ viljestyrke, Kristian Kristensen
76,77,114772,2020,no,skittles, Karpe
77,78,111773,2020,no,Jag Vil Ha Dig, Ringnes-Ronny
78,79,110760,2020,no,Lie, Lukas Graham
79,80,109394,2020,no,VIBEZ, DaBa
80,81,108346,2020,no,Say So, Doja Cat
81,82,107175,2020,no,Balkong, Unge Ferrari
82,83,106955,2020,no,Hørt Det Før, Katastrofe
