,Rank,Streams,Year,Country,Title,Artist
0,1,380270,2019,nz,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
1,2,326324,2019,nz,Sweet but Psycho, Ava Max
2,3,309489,2019,nz,thank u next, Ariana Grande
3,4,295679,2019,nz,Wow., Post Malone
4,5,281274,2019,nz,Without Me, Halsey
5,6,245778,2019,nz,Shotgun, George Ezra
6,7,238150,2019,nz,Better, Khalid
7,8,228521,2019,nz,Eastside (with Halsey & Khalid), benny blanco
8,9,221961,2019,nz,Shallow, Lady Gaga
9,10,207790,2019,nz,Happier, Marshmello
10,11,191667,2019,nz,SICKO MODE, Travis Scott
11,12,182078,2019,nz,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
12,13,179946,2019,nz,Body (feat. brando), Loud Luxury
13,14,168065,2019,nz,when the party's over, Billie Eilish
14,15,165254,2019,nz,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
15,16,160044,2019,nz,Bad Liar, Imagine Dragons
16,17,159101,2019,nz,Vibes, SIX60
17,18,156148,2019,nz,Youngblood, 5 Seconds of Summer
18,19,155049,2019,nz,Mo Bamba, Sheck Wes
19,20,154594,2019,nz,ZEZE (feat. Travis Scott & Offset), Kodak Black
20,21,152805,2019,nz,imagine, Ariana Grande
21,22,152348,2019,nz,Be Alright, Dean Lewis
22,23,151655,2019,nz,Always Remember Us This Way, Lady Gaga
23,24,148431,2019,nz,High Hopes, Panic! At The Disco
24,25,138379,2019,nz,Let You Love Me, Rita Ora
25,26,136409,2019,nz,Love Someone, Lukas Graham
26,27,135616,2019,nz,Going Bad (feat. Drake), Meek Mill
27,28,134615,2019,nz,Promises (with Sam Smith), Calvin Harris
28,29,132200,2019,nz,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
29,30,129172,2019,nz,Undecided, Chris Brown
30,31,126069,2019,nz,Ruin My Life, Zara Larsson
31,32,125302,2019,nz,Better Now, Post Malone
32,33,122462,2019,nz,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
33,34,118513,2019,nz,Saturday Nights, Khalid
34,35,115212,2019,nz,2002, Anne-Marie
35,36,114448,2019,nz,Rise, Jonas Blue
36,37,113750,2019,nz,Taste (feat. Offset), Tyga
37,38,110904,2019,nz,6 Figures, Kings
38,39,110528,2019,nz,So Close, NOTD
39,40,109959,2019,nz,Drip Too Hard (Lil Ba, & Gunna)  
40,41,108467,2019,nz,lovely, Billie Eilish
41,42,108456,2019,nz,In My Mind, Dynoro
42,43,107487,2019,nz,Money, Cardi B
43,44,104902,2019,nz,Bohemian Rhapsody - Remastered 2011, Queen
44,45,103278,2019,nz,Soaked, Bene
45,46,101248,2019,nz,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
46,47,100827,2019,nz,SAD!, XXXTENTACION
47,48,100395,2019,nz,whoa (mind in awe), XXXTENTACION
48,49,100294,2019,nz,Lucid Dreams, Juice WRLD
49,50,99683,2019,nz,rockstar (feat. 21 Savage), Post Malone
50,51,93979,2019,nz,Leave Me Alone, Flipp Dinero
51,52,93131,2019,nz,I Like It, Cardi B
52,53,92429,2019,nz,I Fall Apart, Post Malone
53,54,85387,2019,nz,Wake Up in the Sky, Gucci Mane
54,55,83427,2019,nz,This Feeling, The Chainsmokers
55,56,81872,2019,nz,Psycho (feat. Ty Dolla $ign), Post Malone
56,57,80507,2019,nz,Africa, TOTO
57,58,80418,2019,nz,Moonlight, XXXTENTACION
58,59,79955,2019,nz,Hope, The Chainsmokers
59,60,79164,2019,nz,1999, Charli XCX
60,61,78985,2019,nz,God's Plan, Drake
61,62,78455,2019,nz,Don’t Give It Up, SIX60
62,63,78025,2019,nz,Toto, Drax Project
63,64,77117,2019,nz,I Love It (& Lil Pump), Kanye West
64,65,75786,2019,nz,come out and play, Billie Eilish
65,66,74329,2019,nz,In My Feelings, Drake
66,67,73632,2019,nz,Shape of You, Ed Sheeran
67,68,73299,2019,nz,Drift Away, Sons Of Zion
68,69,72630,2019,nz,How To Fly, Sticky Fingers
69,70,71339,2019,nz,Beautiful (feat. Camila Cabello), Bazzi
70,71,71221,2019,nz,Woke Up Late, Drax Project
71,72,70668,2019,nz,Jocelyn Flores, XXXTENTACION
72,73,70653,2019,nz,Lost In Japan - Remix, Shawn Mendes
73,74,70566,2019,nz,idontwannabeyouanymore, Billie Eilish
74,75,70559,2019,nz,Kiss and Make Up, Dua Lipa
75,76,69770,2019,nz,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
76,77,69154,2019,nz,I'll Be There, Jess Glynne
77,78,68790,2019,nz,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
78,79,67084,2019,nz,Woman Like Me (feat. Nicki Minaj), Little Mix
79,80,66992,2019,nz,a lot, 21 Savage
80,81,66804,2019,nz,BAD!, XXXTENTACION
81,82,66796,2019,nz,Closer, SIX60
82,83,66296,2019,nz,Bright Blue Skies, Mitch James
83,84,66013,2019,nz,I Like Me Better, Lauv
84,85,65506,2019,nz,Falling Down - Bonus Track, Lil Peep
85,86,65275,2019,nz,no tears left to cry, Ariana Grande
86,87,64645,2019,nz,Love Lies (with Normani), Khalid
87,88,64506,2019,nz,Ready Or Not, Church & AP
88,89,63545,2019,nz,breathin, Ariana Grande
89,90,63485,2019,nz,Rum Rage, Sticky Fingers
90,91,63222,2019,nz,Say You Won't Let Go, James Arthur
91,92,62750,2019,nz,Thunder, Imagine Dragons
92,93,62178,2019,nz,Nice For What, Drake
93,94,61904,2019,nz,Young Dumb & Broke, Khalid
94,95,61852,2019,nz,Havana (feat. Young Thug), Camila Cabello
95,96,61185,2019,nz,ocean eyes, Billie Eilish
96,97,60947,2019,nz,Mr. Brightside, The Killers
97,98,60584,2019,nz,The Middle, Zedd
98,99,60574,2019,nz,Electricity (with Dua Lipa), Silk City
99,100,60430,2019,nz,Nonstop, Drake
100,101,59941,2019,nz,Fire, Peking Duk
101,102,59123,2019,nz,These Days (feat. Jess Glynne Macklemore & Dan Caplen), Rudimental
102,103,59022,2019,nz,Lucky You (feat. Joyner Lucas), Eminem
103,104,58745,2019,nz,Dreams - 2004 Remaster, Fleetwood Mac
104,105,57820,2019,nz,Roses (with Juice WRLD feat. Brendon Urie), benny blanco
105,106,57635,2019,nz,Happy Now, Kygo
106,107,57267,2019,nz,Trip, Ella Mai
107,108,57186,2019,nz,Jackie Chan, Tiësto
108,109,57078,2019,nz,broken, lovelytheband
109,110,56545,2019,nz,Natural, Imagine Dragons
110,111,56469,2019,nz,Perfect, Ed Sheeran
111,112,56465,2019,nz,Whatchamacallit (feat. Chris Brown), Ella Mai
112,113,56196,2019,nz,Old News, Mitch James
113,114,56175,2019,nz,Another One Bites The Dust - Remastered 2011, Queen
114,115,55279,2019,nz,Hotel California - 2013 Remaster, Eagles
115,116,54797,2019,nz,Closer, The Chainsmokers
116,117,54761,2019,nz,One Kiss (with Dua Lipa), Calvin Harris
117,118,54748,2019,nz,Don't Stop Me Now - Remastered 2011, Queen
118,119,54693,2019,nz,bellyache, Billie Eilish
119,120,54621,2019,nz,Under Pressure - Remastered 2011, Queen
120,121,54607,2019,nz,Thinking out Loud, Ed Sheeran
121,122,54359,2019,nz,Waiting, KIAN
122,123,54313,2019,nz,Look Back at It, A Boogie Wit da Hoodie
123,124,54207,2019,nz,No Brainer, DJ Khaled
124,125,54105,2019,nz,Go Your Own Way - 2004 Remaster, Fleetwood Mac
125,126,54051,2019,nz,Don't Stop Believin', Journey
126,127,53768,2019,nz,Rivers, SIX60
127,128,53767,2019,nz,Leave Me Lonely, Hilltop Hoods
128,129,52988,2019,nz,Grip, Seeb
129,130,52622,2019,nz,God is a woman, Ariana Grande
130,131,52326,2019,nz,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
131,132,52259,2019,nz,Sweet Home Alabama, Lynyrd Skynyrd
132,133,52147,2019,nz,Believer, Imagine Dragons
133,134,51888,2019,nz,Castle on the Hill, Ed Sheeran
134,135,51846,2019,nz,Too Good At Good,es  
135,136,51841,2019,nz,Only To Be, SIX60
136,137,51743,2019,nz,HUMBLE., Kendrick Lamar
