,Rank,Streams,Year,Country,Title,Artist
0,1,70316,2018,pa,Sensualidad, Bad Bunny
1,2,66910,2018,pa,Échame La Culpa, Luis Fonsi
2,3,65084,2018,pa,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
3,4,62651,2018,pa,Criminal, Natti Natasha
4,5,57491,2018,pa,Corazón, Maluma
5,6,57172,2018,pa,Downtown, Anitta
6,7,54552,2018,pa,Se Preparó, Ozuna
7,8,48510,2018,pa,La Modelo, Ozuna
8,9,47454,2018,pa,Mayores, Becky G
9,10,46179,2018,pa,Síguelo Bailando, Ozuna
10,11,45537,2018,pa,Que Va, Alex Sensation
11,12,45352,2018,pa,Quiero Repetir, Ozuna
12,13,44417,2018,pa,Suena El Dembow, Joey Montana
13,14,41244,2018,pa,Vuelve, Daddy Yankee
14,15,39975,2018,pa,Báilame - Remix, Nacho
15,16,38915,2018,pa,Robarte un Beso, Carlos Vives
16,17,37061,2018,pa,Me Rehúso, Danny Ocean
17,18,36234,2018,pa,Chambea, Bad Bunny
18,19,35936,2018,pa,Bella y Sensual, Romeo Santos
19,20,34706,2018,pa,Escápate Conmigo (feat. Ozuna), Wisin
20,21,34261,2018,pa,Perro Fiel (feat. Nicky Jam), Shakira
21,22,33938,2018,pa,rockstar, Post Malone
22,23,32373,2018,pa,SUTRA, Sebastian Yatra
23,24,31646,2018,pa,Havana (feat. Young Thug), Camila Cabello
24,25,31183,2018,pa,Rock Your Body, Burna Boy
25,26,29670,2018,pa,Havana - Remix, Camila Cabello
26,27,29540,2018,pa,El Farsante, Ozuna
27,28,29110,2018,pa,Ahora Dice, Chris Jedi
28,29,28113,2018,pa,Tú Foto, Ozuna
29,30,27982,2018,pa,Bum Bum Tam Tam, MC Fioti
30,31,27897,2018,pa,New Rules, Dua Lipa
31,32,27563,2018,pa,La Chama, Mr. Saik
32,33,27544,2018,pa,Explícale (feat. Bad Bunny), Yandel
33,34,26882,2018,pa,Una Lady Como Tú, Manuel Turizo
34,35,26464,2018,pa,Déjate Llevar, Juan Magán
35,36,26050,2018,pa,Mi Gente, J Balvin
36,37,25954,2018,pa,3 A.M., Jesse & Joy
37,38,25504,2018,pa,Bonita, J Balvin
38,39,25326,2018,pa,Como Es, Akim
39,40,25044,2018,pa,Esperándote, Manuel Turizo
40,41,24704,2018,pa,Wolves, Selena Gomez
41,42,24518,2018,pa,Felices los 4, Maluma
