,Rank,Streams,Year,Country,Title,Artist
0,1,1620822,2020,pe,Tusa, KAROL G
1,2,968611,2020,pe,Hola - Remix, Dalex
2,3,903289,2020,pe,Fantasias, Rauw Alejandro
3,4,766627,2020,pe,Dance Monkey, Tones And I
4,5,714564,2020,pe,RITMO (Bad Boys For Life), Black Eyed Peas
5,6,693888,2020,pe,China, Anuel AA
6,7,575610,2020,pe,LA CANCIÓN, J Balvin
7,8,564855,2020,pe,Whine Up, Nicky Jam
8,9,563223,2020,pe,Sigues Con El, Arcangel
9,10,551257,2020,pe,Bellaquita - Remix, Dalex
10,11,535140,2020,pe,Vete, Bad Bunny
11,12,527062,2020,pe,No Me Conoce - Remix, Jhay Cortez
12,13,509468,2020,pe,Que Tire Pa Lante, Daddy Yankee
13,14,484626,2020,pe,Adicto (with Anuel AA & Ozuna), Tainy
14,15,474421,2020,pe,Callaita, Bad Bunny
15,16,464423,2020,pe,Tutu, Camilo
16,17,442277,2020,pe,En Peligro de Extinción, Bembe Orquesta
17,18,442210,2020,pe,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix, Justin Quiles
18,19,419106,2020,pe,Indeciso, Reik
19,20,401184,2020,pe,Soltera - Remix, Lunay
20,21,397748,2020,pe,Quizas, Rich Music LTD
21,22,376861,2020,pe,Si Te Vas, Sech
22,23,370631,2020,pe,Desconocidos, Mau y Ricky
23,24,364829,2020,pe,Detente, Mike Bahía
24,25,356156,2020,pe,Aventura, Lunay
25,26,353522,2020,pe,Te Vi, Piso 21
26,27,346813,2020,pe,QUE PRETENDES, J Balvin
27,28,336709,2020,pe,Que Mas Pues - Remix, Sech
28,29,333377,2020,pe,Señorita, Shawn Mendes
29,30,330706,2020,pe,Loco, Beéle
30,31,328965,2020,pe,Con Altura, ROSALÍA
31,32,327092,2020,pe,Otro Trago - Remix, Sech
32,33,320740,2020,pe,Pa Mí - Remix, Dalex
33,34,317675,2020,pe,Yo x Ti Tu x Mi, ROSALÍA
34,35,317500,2020,pe,11 PM, Maluma
35,36,310306,2020,pe,Fresa, TINI
36,37,303524,2020,pe,La Difícil, Camilo
37,38,301999,2020,pe,Una Vida Para Recordar, Piso 21
38,39,301157,2020,pe,Destino, Greeicy
39,40,288129,2020,pe,Qué Pena, Maluma
40,41,286402,2020,pe,Si Se Da - Remix, Myke Towers
41,42,284382,2020,pe,Blanco, J Balvin
42,43,281841,2020,pe,Perreo en La Luna, Rich Music LTD
43,44,280054,2020,pe,Cuaderno, Dalex
44,45,277570,2020,pe,Bonita, Juanes
45,46,274563,2020,pe,Cristina (feat. Shelow Shaq), Maffio
46,47,270549,2020,pe,Bellaquita, Dalex
47,48,259594,2020,pe,Atrévete, Nicky Jam
