,Rank,Streams,Year,Country,Title,Artist
0,1,1900584,2017,ph,Versace on the Floor, Bruno Mars
1,2,1793485,2017,ph,Shape of You, Ed Sheeran
2,3,1764238,2017,ph,Say You Won't Let Go, James Arthur
3,4,1168006,2017,ph,Closer, The Chainsmokers
4,5,1150252,2017,ph,Castle on the Hill, Ed Sheeran
5,6,1050803,2017,ph,Don't Wanna Know, Maroon 5
6,7,1036952,2017,ph,24K Magic, Bruno Mars
7,8,1032628,2017,ph,All We Know, The Chainsmokers
8,9,1013486,2017,ph,"How Far I'll Go - From ""Moana""", Alessia Cara
9,10,997023,2017,ph,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
10,11,972490,2017,ph,Starving, Hailee Steinfeld
11,12,912366,2017,ph,Bad Things (with Camila Cabello), Machine Gun Kelly
12,13,845741,2017,ph,Starboy, The Weeknd
13,14,771233,2017,ph,All Night, The Vamps
14,15,768782,2017,ph,Call On Me - Ryan Riback Extended Remix, Starley
15,16,765365,2017,ph,Perfect Strangers, Jonas Blue
16,17,760785,2017,ph,Let Me Love You, DJ Snake
17,18,756401,2017,ph,Cold Water (feat. Justin Bieber & MØ), Major Lazer
18,19,702196,2017,ph,Fresh Eyes, Andy Grammer
19,20,689495,2017,ph,By Your Side, Jonas Blue
20,21,681257,2017,ph,Rocka,e (feat. Sean Paul & Anne-Marie)  
21,22,680246,2017,ph,Jumpshot, Dawin
22,23,679941,2017,ph,Side To Side, Ariana Grande
23,24,652580,2017,ph,In the Name of Love, Martin Garrix
24,25,646200,2017,ph,Sila, SUD
25,26,634688,2017,ph,Treat You Better, Shawn Mendes
26,27,582220,2017,ph,Just Hold On, Steve Aoki
27,28,562159,2017,ph,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
28,29,554775,2017,ph,Shout Out to My Ex, Little Mix
29,30,552291,2017,ph,Middle, DJ Snake
30,31,546447,2017,ph,Setting Fires, The Chainsmokers
31,32,516141,2017,ph,i hate u i love u (feat. olivia o'brien), Garrett Nash
32,33,510206,2017,ph,Mercy, Shawn Mendes
33,34,493127,2017,ph,Scars To Your Beautiful, Alessia Cara
34,35,490927,2017,ph,YOUTH, Troye Sivan
35,36,490833,2017,ph,Photograph, Ed Sheeran
36,37,487331,2017,ph,All Time Low, Jon Bellion
37,38,480526,2017,ph,Pasensya Ka Na, Silent Sanctuary
38,39,477913,2017,ph,Don't Let Me Down (feat. Daya), The Chainsmokers
39,40,477770,2017,ph,Fake Love, Drake
40,41,473088,2017,ph,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
41,42,468964,2017,ph,I Feel It Coming, The Weeknd
42,43,467617,2017,ph,That's What I Like, Bruno Mars
43,44,465110,2017,ph,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
44,45,448953,2017,ph,Sit Still Look Pretty, Daya
45,46,448521,2017,ph,Tadhana, Up Dharma Down
46,47,427790,2017,ph,Malaya (Camp Sawi Original Motion Picture Soundtrack), Moira Dela Torre
47,48,422865,2017,ph,You & Me, Marc E. Bassy
48,49,416886,2017,ph,Juju on That Beat (TZ Anthem), Zay Hilfigerrr
49,50,410828,2017,ph,Lot to Learn, Luke Christopher
50,51,374815,2017,ph,The Ocean (feat. Shy Martin), Mike Perry
51,52,365398,2017,ph,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
52,53,340779,2017,ph,Black Beatles, Rae Sremmurd
53,54,293390,2017,ph,Sigurado, Up Dharma Down
54,55,284787,2017,ph,Hanggang Kailan, Michael Pangilinan
55,56,282590,2017,ph,Secret Love Song (feat. Jason Derulo), Little Mix
56,57,277496,2017,ph,I Would Like, Zara Larsson
57,58,276736,2017,ph,One Dance, Drake
58,59,275699,2017,ph,Stay - On the Wings of Love Teleserye Theme, Daryl Ong
59,60,261816,2017,ph,Caroline, Aminé
60,61,254297,2017,ph,Hear Me Now, Alok
61,62,254196,2017,ph,Nobody's Better (feat. Fetty Wap), Suzi
62,63,251061,2017,ph,Sunset Lover, Petit Biscuit
63,64,250835,2017,ph,Paasa - T.A.N.G.A., Yeng Constantino
64,65,243572,2017,ph,Roses (feat. ROZES), The Chainsmokers
65,66,242004,2017,ph,The Mack, Nevada
66,67,236292,2017,ph,Your Love - Dolce Amore Teleserye Theme, Juris
67,68,232550,2017,ph,The Scientist, Coldplay
68,69,224030,2017,ph,Migraine, Moonstar88
69,70,222787,2017,ph,Sidekick, Dawin
70,71,210250,2017,ph,Love Me Now, John Legend
71,72,210110,2017,ph,Sa'yo, Silent Sanctuary
72,73,210061,2017,ph,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
73,74,208616,2017,ph,This Is What You Came For (feat. Rihanna), Calvin Harris
74,75,207672,2017,ph,Love Yourself, Justin Bieber
75,76,207097,2017,ph,We Can't Be, Krissy
76,77,204279,2017,ph,Toothbrush, DNCE
77,78,202486,2017,ph,Wake Up Where You Are, State of Sound
78,79,201648,2017,ph,The Greatest (feat. Kendrick Lamar), Sia
79,80,201032,2017,ph,Shed a Light, Robin Schulz
80,81,200262,2017,ph,Hiling, Mark Carpio
81,82,197136,2017,ph,"Maybe This Time - From ""Maybe This Time""", Sarah Geronimo
82,83,194516,2017,ph,One Call Away, Charlie Puth
83,84,194280,2017,ph,Cheap Thrills, Sia
84,85,191780,2017,ph,Like I'm Gonna Lose You (feat. John Legend), Meghan Trainor
85,86,191167,2017,ph,7 Years, Lukas Graham
86,87,186112,2017,ph,Now and Later, Sage The Gemini
87,88,183662,2017,ph,Someday, Nina
88,89,182841,2017,ph,I'm Not The Only One, Sam Smith
89,90,181892,2017,ph,Chunky, Bruno Mars
90,91,178295,2017,ph,Send My Love (To Your New Lover), Adele
91,92,177325,2017,ph,Tell Me Where It Hurts, MYMP
92,93,175604,2017,ph,Weak, AJR
93,94,170704,2017,ph,Collide - Acoustic Version, Howie Day
94,95,167490,2017,ph,Faded, Alan Walker
95,96,167025,2017,ph,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
96,97,166531,2017,ph,Breakeven, The Script
97,98,166060,2017,ph,Prinsesa, 6cyclemind
98,99,165929,2017,ph,Paano Ba Ang Magmahal, Piolo Pascual
99,100,165779,2017,ph,So Sick, Ne-Yo
100,101,165625,2017,ph,Beautiful Soul, Jesse McCartney
101,102,165063,2017,ph,Let Me Be the One, Julie Anne San Jose
102,103,164985,2017,ph,Rainbow, South Border
103,104,164183,2017,ph,Hanap-Hanap, James Reid
104,105,163864,2017,ph,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
105,106,161662,2017,ph,True, Ryan Cabrera
106,107,158581,2017,ph,Before I Let You Go, Freestyle
107,108,157425,2017,ph,Iris, The Goo Goo Dolls
108,109,154503,2017,ph,Heathens, Twenty One Pilots
109,110,153715,2017,ph,All I Ask, Adele
110,111,151684,2017,ph,The Man Who Can't Be Moved, The Script
111,112,150120,2017,ph,Terrified, Katharine McPhee
112,113,148750,2017,ph,Into You, Ariana Grande
113,114,148263,2017,ph,Bad and Boujee (feat. Lil Uzi Vert), Migos
114,115,148257,2017,ph,Lighthouse - Andrelli Remix, Hearts & Colors
115,116,148112,2017,ph,I Was Made For Loving You, Tori Kelly
116,117,147346,2017,ph,Solo Dance, Martin Jensen
117,118,146925,2017,ph,Cake By The Ocean, DNCE
118,119,146879,2017,ph,So Slow, Freestyle
119,120,146317,2017,ph,When You Say Nothing At All, Boyzone
120,121,145561,2017,ph,Thinking out Loud, Ed Sheeran
121,122,145354,2017,ph,Water Under the Bridge, Adele
122,123,143934,2017,ph,Lush Life, Zara Larsson
123,124,143874,2017,ph,Straight up & Down, Bruno Mars
124,125,143471,2017,ph,It's Gotta Be You, Isaiah Firebrace
125,126,142629,2017,ph,Chantaje (feat. Maluma), Shakira
126,127,142537,2017,ph,My Way, Calvin Harris
127,128,141570,2017,ph,Marvin Gaye (feat. Wale) - Remix, Charlie Puth
128,129,141211,2017,ph,I Got You, Bebe Rexha
129,130,141066,2017,ph,Too Good to Say Good,e  
130,131,140846,2017,ph,Cake - Challenge Version, Flo Rida
131,132,140084,2017,ph,You And Me, Lifehouse
132,133,140027,2017,ph,The A Team, Ed Sheeran
133,134,139904,2017,ph,A Thousand Miles, Vanessa Carlton
134,135,139781,2017,ph,Light, San Holo
135,136,138313,2017,ph,With a Smile (feat. Kelly Badon), South Border
136,137,138282,2017,ph,Take A Bow, Rihanna
137,138,135703,2017,ph,Stickwitu, The Pussycat Dolls
138,139,134858,2017,ph,Meron Nang Iba, Silent Sanctuary
139,140,134774,2017,ph,Wherever You Will Go, The Calling
140,141,134589,2017,ph,Final Song, MØ
141,142,134585,2017,ph,Not Going Home (feat. Gia Koka), DVBBS
142,143,133874,2017,ph,Your Body Is a Wonderland, John Mayer
143,144,132310,2017,ph,More Than Words, Extreme
144,145,131567,2017,ph,Fast Car, Jonas Blue
145,146,130165,2017,ph,Don't Leave, Snakehips
146,147,129819,2017,ph,To Love Again, Daryl Ong
147,148,129765,2017,ph,Make Me (Cry), Noah Cyrus
148,149,129607,2017,ph,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
149,150,128988,2017,ph,Sorry, Justin Bieber
150,151,126693,2017,ph,Hide Away, Daya
151,152,125759,2017,ph,Sunday Morning, Maroon 5
152,153,125531,2017,ph,History, One Direction
153,154,125479,2017,ph,Para Sa Akin, Sitti
154,155,125181,2017,ph,Stitches, Shawn Mendes
