,Rank,Streams,Year,Country,Title,Artist
0,1,958782,2021,pl,TOA$T /, Bedoes
1,2,776008,2021,pl,BLUEBERRY, Guzior
2,3,657536,2021,pl,FALA, Guzior
3,4,601618,2021,pl,OBOK, Żabson
4,5,493912,2021,pl,MATCHA LATTE, Quebonafide
5,6,489103,2021,pl,Testarossa, Wiatr
6,7,442151,2021,pl,Kinol, Sobel
7,8,426591,2021,pl,Billy Kid, Reto
8,9,386924,2021,pl,BUBBLETEA, Quebonafide
9,10,383153,2021,pl,The Business, Tiësto
10,11,382035,2021,pl,Impreza, Sobel
11,12,377249,2021,pl,Nad ranem, Kabe
12,13,372261,2021,pl,Chrome Hearts /, Bedoes
13,14,368629,2021,pl,TRAPSTAR, Guzior
14,15,361793,2021,pl,Blinding Lights, The Weeknd
15,16,357346,2021,pl,Mood (feat. iann dior), 24kGoldn
16,17,343628,2021,pl,Piję wódę i słucham Ich Troje, Kukon
17,18,340966,2021,pl,Fitness, Kizo
18,19,323338,2021,pl,TEEN KASIA, Quebonafide
19,20,313446,2021,pl,Head & Heart (feat. MNEK), Joel Corry
20,21,310413,2021,pl,Mam Na Twarzy Krew I Tym Razem Nie Jest Sztuczna, Chivas
21,22,306259,2021,pl,Therefore I Am, Billie Eilish
22,23,302696,2021,pl,Dwutakt, Alberto
23,24,298888,2021,pl,Polskie Tango, Taco Hemingway
24,25,298886,2021,pl,halo, Favst
25,26,296250,2021,pl,ULALA, Żabson
26,27,280949,2021,pl,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
27,28,273825,2021,pl,Szampan, sanah
28,29,273469,2021,pl,Mały ale wariat, Qry
29,30,272798,2021,pl,Watermelon Sugar, Harry Styles
30,31,270319,2021,pl,Levitating (feat. DaBa,)  
31,32,264956,2021,pl,Lonely (with benny blanco), Justin Bieber
32,33,261354,2021,pl,GOMBAO 33, Mata
33,34,260118,2021,pl,Kapitan, Wac Toja
34,35,258466,2021,pl,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
35,36,258062,2021,pl,Hypnotized, Purple Disco Machine
36,37,256188,2021,pl,positions, Ariana Grande
37,38,248635,2021,pl,Roses - Imanbek Remix, SAINt JHN
38,39,244115,2021,pl,Schodki, Mata
39,40,240779,2021,pl,VOGUE, Bedoes
40,41,239447,2021,pl,jeden jeden, chillwagon
41,42,238567,2021,pl,Sweater Weather, The Neighbourhood
42,43,237930,2021,pl,Europa, Taco Hemingway
43,44,237724,2021,pl,TOKYO2020, Quebonafide
44,45,237098,2021,pl,Aromatyczne Przyprawy, Żabson
45,46,235498,2021,pl,A nie pamiętasz jak?, SB Maffija
46,47,235195,2021,pl,you broke me first, Tate McRae
47,48,231746,2021,pl,Drift, Białas
48,49,226724,2021,pl,Midnight Sky, Miley Cyrus
49,50,225680,2021,pl,Nisko jest niebo (prod. Auer), Pezet
50,51,224098,2021,pl,Oh oh (lalala), White 2115
51,52,217662,2021,pl,KUSHKOMA, Guzior
52,53,214744,2021,pl,Prisoner (feat. Dua Lipa), Miley Cyrus
53,54,214690,2021,pl,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
54,55,209019,2021,pl,34+35, Ariana Grande
55,56,203437,2021,pl,Morgan, White 2115
56,57,202748,2021,pl,100 dni do matury, Mata
57,58,201585,2021,pl,Rewolucja Romantyczna, Bedoes
58,59,201082,2021,pl,Melodia, sanah
59,60,199332,2021,pl,BOILER ROOM, Guzior
60,61,197554,2021,pl,California, White 2115
61,62,196684,2021,pl,HOLIDAY, Lil Nas X
62,63,195480,2021,pl,Afterglow, Ed Sheeran
63,64,195467,2021,pl,jumper, chillwagon
64,65,194202,2021,pl,Dance Monkey, Tones And I
65,66,193672,2021,pl,Miniówa, Kukon
66,67,192940,2021,pl,Take You Dancing, Jason Derulo
67,68,192394,2021,pl,HOOD ANGEL, Żabson
68,69,190209,2021,pl,Paradise (feat. Dermot Kennedy), MEDUZA
69,70,189530,2021,pl,Jesteś ładniejsza niż na zdjęciach (na zawsze), Bedoes
70,71,188645,2021,pl,Lovefool, twocolors
71,72,188540,2021,pl,Daj Mi Znać, Sobel
72,73,188411,2021,pl,Deep End, Fousheé
73,74,187445,2021,pl,Dynamite, BTS
74,75,186235,2021,pl,Lubię,ć z nią  
75,76,185983,2021,pl,WAP (feat. Megan Thee Stallion), Cardi B
76,77,185644,2021,pl,Heather, Conan Gray
77,78,183214,2021,pl,Język ciała, Tymek
78,79,183201,2021,pl,Młody Boss, Żabson
79,80,181788,2021,pl,Niedostępny (prod., Olek) (feat. DMN)  
80,81,181553,2021,pl,Don't Start Now, Dua Lipa
81,82,181134,2021,pl,PDW, Białas
82,83,180977,2021,pl,Fefe, Kabe
83,84,180182,2021,pl,Rainman, Tymek
84,85,179875,2021,pl,Mona Lisa, Kali
85,86,178689,2021,pl,Mogę Dziś Umierać, White 2115
86,87,178097,2021,pl,Daddy Issues, The Neighbourhood
87,88,177703,2021,pl,No sory, sanah
88,89,175434,2021,pl,Będzie Lepiej, Miyo
89,90,172701,2021,pl,Zły, Szpaku
90,91,170908,2021,pl,All We Got (feat. KIDDO), Robin Schulz
91,92,170479,2021,pl,Rundki, Malik Montana
92,93,169468,2021,pl,Mogło,ć nic  
93,94,169336,2021,pl,Magenta (prod. Auer), Pezet
94,95,168275,2021,pl,Lucky Punch, Kizo
95,96,166199,2021,pl,Never Let Me Down, VIZE
96,97,164515,2021,pl,Biznes, Sobel
97,98,163410,2021,pl,Hotel Maffija, SB Maffija
98,99,162360,2021,pl,Wschód (lubię zapierdalać), Bedoes
99,100,161268,2021,pl,Patointeligencja, Mata
100,101,161192,2021,pl,Hayloft, Mother Mother
101,102,158557,2021,pl,6 6 6, Kali
102,103,156422,2021,pl,Anyone, Justin Bieber
103,104,156013,2021,pl,Wybory, Jan-Rapowanie
104,105,155377,2021,pl,Why'd You Only Call Me When You're High?, Arctic Monkeys
105,106,154829,2021,pl,Stary dobry ja, Reto
106,107,154703,2021,pl,SIRI, Oki
107,108,154685,2021,pl,Bali, Gedz
108,109,154628,2021,pl,#Hot16Challenge2, Szpaku
109,110,154565,2021,pl,Dziewczyna z Biblioteki (feat. Ka-Meal), Kukon
110,111,154457,2021,pl,willow, Taylor Swift
111,112,153776,2021,pl,Floyd Mayweather, Żabson
