,Rank,Streams,Year,Country,Title,Artist
0,1,431066,2020,py,Tusa, KAROL G
1,2,287362,2020,py,Hola - Remix, Dalex
2,3,259055,2020,py,Bellaquita - Remix, Dalex
3,4,255300,2020,py,Sigues Con El, Arcangel
4,5,236025,2020,py,Fantasias, Rauw Alejandro
5,6,222316,2020,py,Vete, Bad Bunny
6,7,179605,2020,py,Adicto (with Anuel AA & Ozuna), Tainy
7,8,170641,2020,py,Quizas, Rich Music LTD
8,9,161767,2020,py,Dance Monkey, Tones And I
9,10,156518,2020,py,China, Anuel AA
10,11,148672,2020,py,Si Te Vas, Sech
11,12,147473,2020,py,Whine Up, Nicky Jam
12,13,146093,2020,py,RITMO (Bad Boys For Life), Black Eyed Peas
13,14,138702,2020,py,Aventura, Lunay
14,15,136635,2020,py,Que Tire Pa Lante, Daddy Yankee
15,16,130172,2020,py,LA CANCIÓN, J Balvin
16,17,123456,2020,py,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix, Justin Quiles
17,18,117603,2020,py,No Me Conoce - Remix, Jhay Cortez
18,19,116570,2020,py,Bellaquita, Dalex
19,20,113806,2020,py,Perreo en La Luna, Rich Music LTD
20,21,113120,2020,py,Cuerpo en Venta, Noriel
21,22,108524,2020,py,Mi Error - Remix, Eladio Carrion
22,23,105106,2020,py,Callaita, Bad Bunny
23,24,96850,2020,py,Uniforme, Rich Music LTD
24,25,91939,2020,py,Pa Mí - Remix, Dalex
25,26,91135,2020,py,Piensan, Haze
26,27,89604,2020,py,Velitas, Darell
27,28,88347,2020,py,Si Se Da - Remix, Myke Towers
28,29,83707,2020,py,Soltera - Remix, Lunay
29,30,82287,2020,py,Que Mas Pues - Remix, Sech
30,31,81805,2020,py,Cuaderno, Dalex
31,32,81390,2020,py,La Playa - Remix, Myke Towers
32,33,80974,2020,py,Te Quemaste, Manuel Turizo
33,34,80240,2020,py,El Favor (with Nicky Jam & Sech feat. Farruko Zion & Lunay), Dímelo Flow
34,35,80229,2020,py,Atrévete, Nicky Jam
35,36,77575,2020,py,B11 (feat. Myke Towers), Rvssian
36,37,77218,2020,py,Otro Trago - Remix, Sech
37,38,76739,2020,py,Fantasía, Ozuna
38,39,74680,2020,py,La Cama, Lunay
39,40,73712,2020,py,Tutu, Camilo
