,Rank,Streams,Year,Country,Title,Artist
0,1,124308,2022,ro,Is There Someone Else?, The Weeknd
1,2,112673,2022,ro,Tabara, YNY Sebi
2,3,108533,2022,ro,Sacrifice, The Weeknd
3,4,97134,2022,ro,My Universe, Coldplay
4,5,90745,2022,ro,How Do I Make You Love Me?, The Weeknd
5,6,87973,2022,ro,Abu Dhabi, YNY Sebi
6,7,85192,2022,ro,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
7,8,84386,2022,ro,Gasoline, The Weeknd
8,9,82712,2022,ro,Banii, Tzanca Uraganu
9,10,81182,2022,ro,Best Friends, The Weeknd
10,11,79601,2022,ro,Less Than Zero, The Weeknd
11,12,77814,2022,ro,Out of Time, The Weeknd
12,13,76358,2022,ro,Take My Breath, The Weeknd
13,14,72697,2022,ro,Starry Eyes, The Weeknd
14,15,69797,2022,ro,Heat Waves, Glass Animals
15,16,65688,2022,ro,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
16,17,65658,2022,ro,Biliard, LilCagula
17,18,64703,2022,ro,Here We Go… Again (feat. Tyler the Creator), The Weeknd
18,19,63266,2022,ro,I Heard You’re Married (feat. Lil Wayne), The Weeknd
19,20,62578,2022,ro,Niciun Glonț Nu Doare Cât Dragostea, Killa Fonic
20,21,59838,2022,ro,ENZO FERRARI 2, Petre Stefan
21,22,59291,2022,ro,Don’t Break My Heart, The Weeknd
22,23,58895,2022,ro,ÎN RAI, Nane
23,24,57794,2022,ro,Dawn FM, The Weeknd
24,25,57641,2022,ro,STAY (with Justin Bieber), The Kid LAROI
25,26,56720,2022,ro,Cum O Dai Tu, Iuly Neamtu
26,27,55511,2022,ro,Cold Heart - PNAU Remix, Elton John
27,28,54458,2022,ro,Woman, Doja Cat
28,29,54231,2022,ro,Hadad, YNY Sebi
29,30,54026,2022,ro,abcdefu, GAYLE
30,31,51882,2022,ro,Sweater Weather, The Neighbourhood
31,32,51304,2022,ro,N-Aud, Carla's Dreams
32,33,51287,2022,ro,Every Angel is Terrifying, The Weeknd
