,Rank,Streams,Year,Country,Title,Artist
0,1,5879,2018,sa,thank u next, Ariana Grande
1,2,5484,2018,sa,Without Me, Halsey
2,3,5017,2018,sa,Waste It On Me, Steve Aoki
3,4,3374,2018,sa,Kiss and Make Up, Dua Lipa
4,5,3041,2018,sa,Bad Liar, Imagine Dragons
5,6,2913,2018,sa,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
6,7,2872,2018,sa,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
7,8,2850,2018,sa,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
8,9,2694,2018,sa,BAD!, XXXTENTACION
9,10,2281,2018,sa,Woman Like Me (feat. Nicki Minaj), Little Mix
10,11,2218,2018,sa,Better, Khalid
11,12,2192,2018,sa,Sweet but Psycho, Ava Max
12,13,2098,2018,sa,when the party's over, Billie Eilish
13,14,2060,2018,sa,Ruin My Life, Zara Larsson
14,15,2023,2018,sa,breathin, Ariana Grande
15,16,2009,2018,sa,SICKO MODE, Travis Scott
16,17,1908,2018,sa,IDOL, BTS
17,18,1768,2018,sa,IDOL, BTS
18,19,1733,2018,sa,FAKE LOVE, BTS
19,20,1695,2018,sa,ZEZE (feat. Travis Scott & Offset), Kodak Black
20,21,1683,2018,sa,Happy Now, Kygo
21,22,1657,2018,sa,MIA (feat. Drake), Bad Bunny
22,23,1652,2018,sa,Happier, Marshmello
23,24,1550,2018,sa,Euphoria, BTS
24,25,1511,2018,sa,Eastside (with Halsey & Khalid), benny blanco
25,26,1460,2018,sa,عايش سعيد, Abdul Majeed Abdullah
26,27,1455,2018,sa,Waed Menni, Rahma Riad
27,28,1424,2018,sa,SAD!, XXXTENTACION
28,29,1410,2018,sa,POP/STARS, K/DA
29,30,1361,2018,sa,Natural, Imagine Dragons
30,31,1330,2018,sa,Be Alright, Dean Lewis
31,32,1323,2018,sa,Moonlight, XXXTENTACION
32,33,1315,2018,sa,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
33,34,1292,2018,sa,Havana (feat. Young Thug), Camila Cabello
34,35,1272,2018,sa,IDGAF, Dua Lipa
35,36,1256,2018,sa,New Rules, Dua Lipa
36,37,1254,2018,sa,rockstar (feat. 21 Savage), Post Malone
37,38,1208,2018,sa,Shallow, Lady Gaga
38,39,1196,2018,sa,God is a woman, Ariana Grande
39,40,1171,2018,sa,Let You Love Me, Rita Ora
40,41,1129,2018,sa,lovely (with Khalid), Billie Eilish
41,42,1095,2018,sa,Blood Sweat & Tears, BTS
42,43,1079,2018,sa,Falling Down - Bonus Track, Lil Peep
43,44,1073,2018,sa,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
44,45,1059,2018,sa,YES or YES, TWICE
45,46,1056,2018,sa,Lucky You (feat. Joyner Lucas), Eminem
46,47,1048,2018,sa,Mo Bamba, Sheck Wes
47,48,1032,2018,sa,Believer, Imagine Dragons
48,49,1018,2018,sa,tokyo, RM
49,50,1012,2018,sa,forever rain, RM
50,51,1011,2018,sa,moonchild, RM
51,52,1009,2018,sa,Lucid Dreams, Juice WRLD
52,53,1003,2018,sa,Intro: Singularity, BTS
