,Rank,Streams,Year,Country,Title,Artist
0,1,1147446,2020,se,Blinding Lights, The Weeknd
1,2,1114598,2020,se,XO, Yasin
2,3,1030817,2020,se,Dance Monkey, Tones And I
3,4,998052,2020,se,Lev nu dö sen, Miss Li
4,5,854757,2020,se,PT:1, Yasin
5,6,769214,2020,se,Yummy, Justin Bieber
6,7,731762,2020,se,GFLOW, Z.E
7,8,707743,2020,se,PIPPI, Dree Low
8,9,661535,2020,se,Första klivet, Lellow
9,10,638903,2020,se,FÖRSENT, 1.Cuz
10,11,611971,2020,se,Tills mitt hjärta går under, Myra Granberg
11,12,597359,2020,se,Someone You Loved, Lewis Capaldi
12,13,595658,2020,se,everything i wanted, Billie Eilish
13,14,591814,2020,se,Memories, Maroon 5
14,15,579515,2020,se,TESLA, Macky
15,16,575878,2020,se,Falling, Trevor Daniel
16,17,551862,2020,se,ROXANNE, Arizona Zervas
17,18,531624,2020,se,DSGIS, Yasin
18,19,509336,2020,se,No Cap, Adel
19,20,454019,2020,se,Va Mig, Ant Wan
20,21,448928,2020,se,Cleopatra, Ant Wan
21,22,448059,2020,se,Not For Sale, Yasin
22,23,444517,2020,se,Circles, Post Malone
23,24,443444,2020,se,Don't Start Now, Dua Lipa
24,25,439535,2020,se,Alone Pt. II, Alan Walker
25,26,429617,2020,se,Some Say, Nea
26,27,429603,2020,se,The Box, Roddy Ricch
27,28,428736,2020,se,bad guy, Billie Eilish
28,29,419486,2020,se,Before You Go, Lewis Capaldi
29,30,416853,2020,se,HotSpot, Greekazo
30,31,398433,2020,se,Mi Amor (Blåmärkshårt) [feat. Cherrie Molly Sandén STOR], Miriam Bryant
31,32,394812,2020,se,"Rosa himmel (från ""Störst av allt"")", Molly Sandén
32,33,392733,2020,se,Dröm, Jireel
33,34,387446,2020,se,Bra för dig, estraden
34,35,381716,2020,se,Tillfälligheter, Veronica Maggio
35,36,379527,2020,se,My Oh My (feat. DaBa,)  
36,37,364902,2020,se,Adore You, Harry Styles
37,38,355213,2020,se,John Snow, Yasin
38,39,352498,2020,se,Señorita, Shawn Mendes
39,40,351238,2020,se,DANCE, CLMD
40,41,350861,2020,se,Lose You To Love Me, Selena Gomez
41,42,345429,2020,se,Alla våra smeknamn, Molly Sandén
42,43,343287,2020,se,Apoteket, Greekazo
43,44,338376,2020,se,TOP CLASS, Dree Low
44,45,338311,2020,se,RÄKNA MINA DAGAR, 1.Cuz
45,46,331278,2020,se,I Don't Care (with Justin Bieber), Ed Sheeran
46,47,330520,2020,se,Shallow, Lady Gaga
47,48,310875,2020,se,DAG HAMMARSKJÖLD, Dree Low
48,49,308108,2020,se,SOS (feat. Aloe Blacc), Avicii
