,Rank,Streams,Year,Country,Title,Artist
0,1,420643,2020,sg,Dance Monkey, Tones And I
1,2,342996,2020,sg,Memories, Maroon 5
2,3,325591,2020,sg,Psycho, Red Velvet
3,4,310001,2020,sg,ROXANNE, Arizona Zervas
4,5,302106,2020,sg,Yummy, Justin Bieber
5,6,270350,2020,sg,Circles, Post Malone
6,7,258056,2020,sg,Falling, Trevor Daniel
7,8,251600,2020,sg,Señorita, Shawn Mendes
8,9,249240,2020,sg,Don't Start Now, Dua Lipa
9,10,224033,2020,sg,Mean It, Lauv
10,11,219962,2020,sg,Someone You Loved, Lewis Capaldi
11,12,206544,2020,sg,everything i wanted, Billie Eilish
12,13,198167,2020,sg,My Oh My (feat. DaBa,)  
13,14,194743,2020,sg,Blinding Lights, The Weeknd
14,15,179898,2020,sg,Watermelon Sugar, Harry Styles
15,16,174576,2020,sg,怎麼了, Eric Chou
16,17,173000,2020,sg,Before You Go, Lewis Capaldi
17,18,169638,2020,sg,Lose You To Love Me, Selena Gomez
18,19,164976,2020,sg,hot girl bummer, blackbear
19,20,161620,2020,sg,說好不哭, Jay Chou
20,21,159551,2020,sg,Beautiful People (feat. Khalid), Ed Sheeran
21,22,150828,2020,sg,How Do You Sleep?, Sam Smith
22,23,146483,2020,sg,Adore You, Harry Styles
23,24,144484,2020,sg,Feelings, Lauv
24,25,138432,2020,sg,10000 Hours (with Justin Bieber), Dan + Shay
25,26,132863,2020,sg,Into the Unknown, Idina Menzel
26,27,132034,2020,sg,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
27,28,131626,2020,sg,Changes, Lauv
28,29,130736,2020,sg,Yellow Hearts, Ant Saunders
29,30,130325,2020,sg,Trampoline (with ZAYN), SHAED
30,31,128933,2020,sg,bad guy, Billie Eilish
31,32,128723,2020,sg,It's You, Ali Gatie
32,33,128425,2020,sg,I Don't Care (with Justin Bieber), Ed Sheeran
33,34,123485,2020,sg,I.F.L.Y., Bazzi
34,35,122694,2020,sg,Say So, Doja Cat
35,36,120663,2020,sg,你好不好? - TVBS連續劇【遺憾拼圖】片尾曲, Eric Chou
36,37,120053,2020,sg,If the World Was Ending (feat. Julia Michaels), JP Saxe
37,38,119509,2020,sg,No Idea, Don Toliver
38,39,118888,2020,sg,Boy With Luv (feat. Halsey), BTS
39,40,115680,2020,sg,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
40,41,114124,2020,sg,Alone Pt. II, Alan Walker
41,42,113299,2020,sg,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲, A-Lin
42,43,112121,2020,sg,告白氣球, Jay Chou
43,44,106614,2020,sg,那些你很冒險的夢, JJ Lin
44,45,104890,2020,sg,如果雨之後, Eric Chou
45,46,104406,2020,sg,The Box, Roddy Ricch
46,47,102448,2020,sg,2002, Anne-Marie
47,48,101921,2020,sg,HIP, MAMAMOO
48,49,101521,2020,sg,i'm so tired..., Lauv
49,50,96413,2020,sg,Make It Right (feat. Lauv), BTS
50,51,95307,2020,sg,What Am I, Why Don't We
51,52,94064,2020,sg,I Like Me Better, Lauv
52,53,87570,2020,sg,Falling, Harry Styles
53,54,87233,2020,sg,comethru, Jeremy Zucker
54,55,86702,2020,sg,7 rings, Ariana Grande
55,56,85057,2020,sg,Say You Won't Let Go, James Arthur
56,57,84352,2020,sg,小幸運, Hebe Tien
57,58,84156,2020,sg,以後別做朋友, Eric Chou
58,59,82680,2020,sg,fuck i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”, Lauv
59,60,82271,2020,sg,真的傻 (電影《一吻定情》追愛版主題曲), LaLa Hsu
60,61,81955,2020,sg,年少有為, Ronghao Li
61,62,81908,2020,sg,Heartless, The Weeknd
62,63,81636,2020,sg,Good,es (Feat. Young Thug)  
63,64,80983,2020,sg,可惜沒如果, JJ Lin
64,65,80855,2020,sg,Blueming, IU
65,66,80058,2020,sg,Ayy Macarena, Tyga
66,67,80006,2020,sg,句號, G.E.M.
67,68,79919,2020,sg,Sucker, Jonas Brothers
68,69,79402,2020,sg,Kill This Love, BLACKPINK
69,70,78932,2020,sg,你要的全拿走, Tiger Hu
70,71,78237,2020,sg,不為誰而作的歌, JJ Lin
71,72,77660,2020,sg,Sweet but Psycho, Ava Max
72,73,77582,2020,sg,她說, JJ Lin
73,74,77541,2020,sg,等你下課, Jay Chou
74,75,77420,2020,sg,你的酒馆对我打了烊, Shirley Chen
75,76,76957,2020,sg,Feel Special, TWICE
76,77,76615,2020,sg,If I Can't Have You, Shawn Mendes
77,78,74812,2020,sg,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit, SHAUN
78,79,74738,2020,sg,體面(電影《前任3:再見前任》插曲), Kelly Yu
79,80,74732,2020,sg,Chills, Why Don't We
80,81,74385,2020,sg,Perfect, Ed Sheeran
81,82,74292,2020,sg,Shallow, Lady Gaga
82,83,72529,2020,sg,Without Me, Halsey
83,84,72267,2020,sg,绿色, Shirley Chen
84,85,71464,2020,sg,Up All Night, Khalid
85,86,71360,2020,sg,Can We Kiss Forever?, Kina
86,87,71185,2020,sg,Graveyard, Halsey
87,88,69907,2020,sg,Happier, Marshmello
88,89,69649,2020,sg,Dancing With A Stranger (with Normani), Sam Smith
89,90,69620,2020,sg,Be Alright, Dean Lewis
90,91,68328,2020,sg,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
91,92,68197,2020,sg,小時候的我們, Eric Chou
92,93,67874,2020,sg,那女孩對我說, Rachel Liang
93,94,67813,2020,sg,將故事寫成我們, JJ Lin
94,95,67645,2020,sg,SUGAR, BROCKHAMPTON
95,96,67613,2020,sg,Family, The Chainsmokers
96,97,67188,2020,sg,晴天, Jay Chou
97,98,66658,2020,sg,光年之外 (電影 《Passengers》 中國區主題曲), G.E.M.
98,99,66136,2020,sg,Show Yourself, Idina Menzel
99,100,66093,2020,sg,RITMO (Bad Boys For Life), Black Eyed Peas
100,101,65513,2020,sg,不該, Jay Chou
101,102,65352,2020,sg,Call You Mine, The Chainsmokers
102,103,65340,2020,sg,You Are The Reason, Calum Scott
103,104,65259,2020,sg,ME! (feat. Brendon Urie of Panic! At The Disco), Taylor Swift
104,105,65108,2020,sg,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
105,106,64887,2020,sg,Rewrite The Stars, Zac Efron
106,107,64714,2020,sg,修煉愛情, JJ Lin
107,108,64383,2020,sg,說散就散, JC 陳詠桐
108,109,63736,2020,sg,對的時間點, JJ Lin
109,110,62407,2020,sg,FANCY, TWICE
110,111,62201,2020,sg,Something Just Like This, The Chainsmokers
