,Rank,Streams,Year,Country,Title,Artist
0,1,35159,2019,sk,Wow., Post Malone
1,2,31230,2019,sk,Shallow, Lady Gaga
2,3,30655,2019,sk,Without Me, Halsey
3,4,30107,2019,sk,Lepšia Pesnička, DMS
4,5,29398,2019,sk,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
5,6,27559,2019,sk,Sweet but Psycho, Ava Max
6,7,27293,2019,sk,Gauč Storytelling, Gleb
7,8,26991,2019,sk,Zlatí a Zároveň Kanál, DMS
8,9,26218,2019,sk,High Hopes, Panic! At The Disco
9,10,23776,2019,sk,thank u next, Ariana Grande
10,11,22082,2019,sk,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
11,12,21847,2019,sk,Stále Málo, DMS
12,13,20921,2019,sk,Kardio, DMS
13,14,20604,2019,sk,In My Mind, Dynoro
14,15,19894,2019,sk,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
15,16,19697,2019,sk,Horsia Pesnička, DMS
16,17,19324,2019,sk,Bad Liar, Imagine Dragons
17,18,19048,2019,sk,Bohemian Rhapsody - Remastered 2011, Queen
18,19,18943,2019,sk,Colštok, DMS
19,20,18245,2019,sk,Eastside (with Halsey & Khalid), benny blanco
20,21,17717,2019,sk,Happier, Marshmello
21,22,17379,2019,sk,Natural, Imagine Dragons
22,23,17356,2019,sk,YYASMIN, Zayo
23,24,17347,2019,sk,Big Mac, DMS
24,25,16955,2019,sk,Wo Ist Mein Hund, DMS
25,26,16931,2019,sk,Better Now, Post Malone
26,27,16900,2019,sk,when the party's over, Billie Eilish
27,28,16647,2019,sk,Vinymočná, DMS
28,29,16328,2019,sk,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
29,30,15575,2019,sk,SICKO MODE, Travis Scott
30,31,15531,2019,sk,ZEZE (feat. Travis Scott & Offset), Kodak Black
31,32,15504,2019,sk,Des Mech Celi, DMS
32,33,14994,2019,sk,Be Alright, Dean Lewis
33,34,14928,2019,sk,Tento Klub, DMS
34,35,14378,2019,sk,Let You Love Me, Rita Ora
35,36,14335,2019,sk,Kiss and Make Up, Dua Lipa
36,37,14317,2019,sk,Saturday Nights, Khalid
37,38,14307,2019,sk,Nemám čas, DMS
38,39,14200,2019,sk,Je Mi..., Kali
39,40,14182,2019,sk,Happy Now, Kygo
40,41,14038,2019,sk,Going Bad (feat. Drake), Meek Mill
41,42,13886,2019,sk,H8klub, DMS
42,43,13709,2019,sk,Trek Nulaštyri, DMS
43,44,13578,2019,sk,Solo (feat. Demi Lovato), Clean Bandit
44,45,13508,2019,sk,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
