,Rank,Streams,Year,Country,Title,Artist
0,1,38879,2017,sv,Reggaetón Lento (Bailemos), CNCO
1,2,32499,2017,sv,Chantaje (feat. Maluma), Shakira
2,3,32011,2017,sv,Otra vez (feat. J Balvin), Zion & Lennox
3,4,30691,2017,sv,Shape of You, Ed Sheeran
4,5,27924,2017,sv,Closer, The Chainsmokers
5,6,27783,2017,sv,Safari, J Balvin
6,7,25699,2017,sv,Let Me Love You, DJ Snake
7,8,22583,2017,sv,Starboy, The Weeknd
8,9,22044,2017,sv,Vente Pa' Ca (feat. Maluma), Ricky Martin
9,10,21212,2017,sv,Cuatro Ba,s (feat. Trap Capos
10,11,20053,2017,sv,Dile Que Tu Me Quieres, Ozuna
11,12,19627,2017,sv,Don't Wanna Know, Maroon 5
12,13,19472,2017,sv,In the Name of Love, Martin Garrix
13,14,18401,2017,sv,Me Rehúso, Danny Ocean
14,15,18008,2017,sv,One Dance, Drake
15,16,17963,2017,sv,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
16,17,17961,2017,sv,Castle on the Hill, Ed Sheeran
17,18,17525,2017,sv,24K Magic, Bruno Mars
18,19,16517,2017,sv,Cold Water (feat. Justin Bieber & MØ), Major Lazer
19,20,16443,2017,sv,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
20,21,16402,2017,sv,Don't Let Me Down (feat. Daya), The Chainsmokers
21,22,16018,2017,sv,La Bicicleta, Carlos Vives
22,23,15997,2017,sv,Shaky Shaky, Daddy Yankee
23,24,15573,2017,sv,My Way, Calvin Harris
24,25,15179,2017,sv,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
25,26,15177,2017,sv,Side To Side, Ariana Grande
26,27,14301,2017,sv,Chillax (feat. Ky-Mani Marley), Farruko
27,28,14183,2017,sv,Rocka,e (feat. Sean Paul & Anne-Marie)  
28,29,13992,2017,sv,Vacaciones, Wisin
29,30,13898,2017,sv,Heathens, Twenty One Pilots
30,31,13632,2017,sv,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
31,32,13533,2017,sv,Middle, DJ Snake
32,33,13420,2017,sv,Treat You Better, Shawn Mendes
33,34,13348,2017,sv,Black Beatles, Rae Sremmurd
34,35,13235,2017,sv,Andas En Mi Cabeza, Chino & Nacho
35,36,12999,2017,sv,Traicionera, Sebastian Yatra
36,37,12743,2017,sv,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
37,38,12690,2017,sv,I Feel It Coming, The Weeknd
38,39,12463,2017,sv,Cheap Thrills, Sia
39,40,12095,2017,sv,Ride, Twenty One Pilots
40,41,11682,2017,sv,Faded, Alan Walker
41,42,11588,2017,sv,All We Know, The Chainsmokers
42,43,11150,2017,sv,Me llamas (feat. Maluma) - Remix, Piso 21
43,44,11130,2017,sv,Perfect Strangers, Jonas Blue
44,45,11040,2017,sv,Borro Cassette, Maluma
45,46,11032,2017,sv,Just Hold On, Steve Aoki
46,47,10975,2017,sv,This Is What You Came For (feat. Rihanna), Calvin Harris
47,48,10444,2017,sv,Bailame Despacio, Xantos
48,49,10290,2017,sv,Gyal You A Party Animal - Remix, Charly Black
49,50,10228,2017,sv,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
50,51,10225,2017,sv,Photograph, Ed Sheeran
