,Rank,Streams,Year,Country,Title,Artist
0,1,176738,2019,th,SOLO, JENNIE
1,2,171689,2019,th,ลาลาลอย (100%), THE TOYS
2,3,166046,2019,th,ซ่อนกลิ่น, Palmy
3,4,148416,2019,th,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
4,5,145598,2019,th,thank u next, Ariana Grande
5,6,135473,2019,th,ดูดี, Polycat
6,7,133853,2019,th,อาวรณ์, Polycat
7,8,133058,2019,th,เสือสิ้นลาย, F.HERO
8,9,117769,2019,th,เป็นไรไหม?, OG-ANIC
9,10,116423,2019,th,นอกจากชื่อฉัน, ACTART
10,11,110522,2019,th,แบกไม่ไหว, URBOYTJ
11,12,107787,2019,th,พูดไม่ออก, THE TOYS
12,13,101879,2019,th,มีผลต่อหัวใจ, NONT TANONT
13,14,96059,2019,th,Wow., Post Malone
14,15,93973,2019,th,หมอกร้าย feat. Fongbeer and Kob the X factor, Lipta
15,16,91422,2019,th,เจ็บน้อยที่สุด, Zeal
16,17,86003,2019,th,ภาพจำ, Pop Pongkool
17,18,84219,2019,th,หลอก, NICECNX
18,19,83204,2019,th,คุณได้ไปต่อ, Atom Chanakan
19,20,79987,2019,th,La Vie en Rose, IZ*ONE
20,21,79664,2019,th,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version, Skylar Grey
21,22,77854,2019,th,Love Shot, EXO
22,23,76370,2019,th,ความเงียบดังที่สุด, Getsunova
23,24,73605,2019,th,ไม่อยู่ในชีวิตแต่อยู่ในหัวใจ, Lula
24,25,73202,2019,th,รักมือสอง, Bedroom Audio
25,26,72042,2019,th,DDU-DU DDU-DU - KR Ver., BLACKPINK
26,27,71649,2019,th,สุดท้ายก็หมา (feat. เด็กเลี้ยงควาย), Wonderframe
27,28,71614,2019,th,ได้ข่าว (Breaking News) feat. CDGUNTEE, Lipta
28,29,70599,2019,th,ไปเถอะ, The Parkinson
29,30,70072,2019,th,Good Luck feat. Maiyarap, Lipta
30,31,69831,2019,th,ความรักกำลังก่อตัว, NONT TANONT
31,32,69775,2019,th,Saturday Nights, Khalid
32,33,68144,2019,th,กลับพร้อมเธอ, IRONBOY
33,34,68134,2019,th,ช้ำคือเรา - Version สมอารมณ์, สมอารมณ์
34,35,66712,2019,th,ความรู้สึกที่ไม่เคยรู้สึก, Getsunova
35,36,66532,2019,th,Day 1 ◑, HONNE
36,37,66282,2019,th,Without Me, Halsey
37,38,66268,2019,th,imagine, Ariana Grande
38,39,66252,2019,th,ความหมาย (เพลงประกอบละคร พรหมไม่ได้ลิขิต), Atom Chanakan
39,40,65489,2019,th,ติดตลก, Oat Pramote
40,41,64005,2019,th,หนึ่งคืน, Atom Chanakan
41,42,63756,2019,th,Kiss and Make Up, Dua Lipa
42,43,63044,2019,th,ความลับมีในโลก(Secret), Ink Waruntorn
43,44,62999,2019,th,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
44,45,62004,2019,th,Best Part (feat. Daniel Caesar), H.E.R.
45,46,61706,2019,th,Stars, THE TOYS
46,47,61429,2019,th,นอนได้แล้ว, THE TOYS
47,48,61271,2019,th,คำตอบ, Safeplanet
48,49,61188,2019,th,Happier, Marshmello
49,50,59157,2019,th,Gotta Go, CHUNG HA
50,51,56887,2019,th,ภูเขาบังเส้นผม (Hide you) feat. TWOPEE, Stamp
51,52,56670,2019,th,ยิ้มก็พอ feat. Wonderframe, TOR Saksit
52,53,55613,2019,th,FOREVER YOUNG - KR Ver., BLACKPINK
53,54,54865,2019,th,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ), Room 39
54,55,53549,2019,th,"Fire On Fire - From ""Watership Down""", Sam Smith
55,56,52991,2019,th,149.6, Bodyslam
56,57,51169,2019,th,LOVE SCENARIO, iKON
57,58,50343,2019,th,แพ้, GTK
58,59,48614,2019,th,แพ้ทุกที (LOOPER), fellow fellow
59,60,47860,2019,th,ดูไว้, YOUNGOHM
60,61,47459,2019,th,20ตุลา, Silly Fools
61,62,46800,2019,th,กึ๊ม กึ่ม, THE OLD ISE
62,63,46186,2019,th,YES or YES, TWICE
63,64,45422,2019,th,As If It's Your Last, BLACKPINK
64,65,43701,2019,th,BBIBBI, IU
65,66,43668,2019,th,Tempo, EXO
66,67,43288,2019,th,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
67,68,43078,2019,th,ต่อให้, Season Five
68,69,42865,2019,th,I Like Me Better, Lauv
69,70,42646,2019,th,RBB (Really Bad Boy), Red Velvet
70,71,41376,2019,th,2002, Anne-Marie
71,72,41266,2019,th,ยอม...ปล่อย, CYANIDE
72,73,40327,2019,th,Better, Khalid
73,74,40255,2019,th,Paris in the Rain, Lauv
74,75,39582,2019,th,MILLIONS, WINNER
75,76,39338,2019,th,คนชั่ว 2018, The Parkinson
76,77,39305,2019,th,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
77,78,38938,2019,th,Ruin My Life, Zara Larsson
78,79,38405,2019,th,I’M OK, iKON
79,80,38232,2019,th,Bad Liar, Imagine Dragons
80,81,37864,2019,th,คนที่ไม่ใช่, O-Pavee
81,82,37843,2019,th,Sweet but Psycho, Ava Max
82,83,36654,2019,th,Eastside (with Halsey & Khalid), benny blanco
83,84,35342,2019,th,comethru, Jeremy Zucker
84,85,35329,2019,th,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
85,86,35235,2019,th,ยังไง, Ninja
86,87,34425,2019,th,Hope, The Chainsmokers
87,88,34403,2019,th,High Hopes, Panic! At The Disco
88,89,34253,2019,th,Better Now, Post Malone
89,90,33970,2019,th,KILLING ME, iKON
90,91,33601,2019,th,FAKE LOVE, BTS
91,92,33358,2019,th,พบกันใหม่, Polycat
92,93,33169,2019,th,Bad Boy, Red Velvet
93,94,32658,2019,th,ครั้งสุดท้าย, OG-ANIC
94,95,32152,2019,th,4:00, THE TOYS
95,96,32087,2019,th,BOOMBAYAH - KR Ver., BLACKPINK
96,97,32059,2019,th,Spring Breeze, Wanna One
97,98,31898,2019,th,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit, SHAUN
98,99,31835,2019,th,Perfect, Ed Sheeran
99,100,31532,2019,th,POP/STARS, K/DA
100,101,31518,2019,th,อยู่นานๆได้ไหม, SIN
101,102,31315,2019,th,พอจะรู้, MEYOU
102,103,31126,2019,th,PLAYING WITH FIRE - KR Ver., BLACKPINK
103,104,30528,2019,th,ชนดิ, Mindset
104,105,30520,2019,th,Candle Light, NCT DREAM
105,106,29991,2019,th,Too Good At Good,es  
106,107,29990,2019,th,แค่เพียงฉัน(ที่ไม่ลืม), Earth Patravee
107,108,29763,2019,th,What is Love?, TWICE
108,109,29465,2019,th,no tears left to cry, Ariana Grande
109,110,28676,2019,th,Beautiful (feat. Camila Cabello), Bazzi
110,111,28257,2019,th,REALLY - KR Ver., BLACKPINK
111,112,28215,2019,th,This Feeling, The Chainsmokers
112,113,28151,2019,th,ไม่ใช่ฉัน, D Gerrard
113,114,27605,2019,th,Going Bad (feat. Drake), Meek Mill
114,115,27379,2019,th,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
115,116,27238,2019,th,Lie To Me, 5 Seconds of Summer
116,117,26869,2019,th,FRIENDS, Marshmello
117,118,26773,2019,th,ศัตรูที่รัก, theBOYKOR
118,119,26544,2019,th,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
119,120,26072,2019,th,ก่อนฤดูฝน, THE TOYS
120,121,25960,2019,th,PLEASE, Atom Chanakan
121,122,25931,2019,th,The Middle, Zedd
122,123,25851,2019,th,Good Morning Teacher, Atom Chanakan
123,124,25738,2019,th,Havana (feat. Young Thug), Camila Cabello
124,125,25710,2019,th,Simon Says, NCT 127
125,126,25600,2019,th,HANN (Alone), (G)I-DLE
126,127,25435,2019,th,หมายความว่าอะไร, MEAN
127,128,25300,2019,th,medicine, Bring Me The Horizon
128,129,25214,2019,th,SICKO MODE, Travis Scott
129,130,25031,2019,th,Young Dumb & Broke, Khalid
130,131,25008,2019,th,Siren, SUNMI
131,132,24910,2019,th,IDGAF, Dua Lipa
132,133,24907,2019,th,เพื่อนไม่จริง, Polycat
133,134,24805,2019,th,Say You Won't Let Go, James Arthur
134,135,24786,2019,th,Youngblood, 5 Seconds of Summer
135,136,24746,2019,th,Miracle, GOT7
136,137,24721,2019,th,FIANCÉ, MINO
137,138,24690,2019,th,ถ้าฉันหายไป(Skyline), Earth Patravee
138,139,24542,2019,th,Status, Chilling Sunday
139,140,24520,2019,th,New Rules, Dua Lipa
140,141,24496,2019,th,I Love You, EXID
141,142,24492,2019,th,ไม่มีเหตุผล (feat. นายนะ), MARINA
142,143,24474,2019,th,Shape of You, Ed Sheeran
143,144,24388,2019,th,Shallow, Lady Gaga
144,145,23838,2019,th,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
145,146,23824,2019,th,Be Alright, Dean Lewis
146,147,23753,2019,th,Photograph, Ed Sheeran
147,148,23726,2019,th,Waste It On Me, Steve Aoki
148,149,23708,2019,th,งู้ยยยยยยยยยยย, Oat Pramote ft. Urboy TJ
149,150,23507,2019,th,แชร์ โล มา, Twopee Southside
150,151,23378,2019,th,รอยยิ้ม, SCRUBB
151,152,23285,2019,th,In My Blood, Shawn Mendes
152,153,23253,2019,th,Trampoline, SHAED
153,154,23180,2019,th,WHISTLE - KR Ver., BLACKPINK
154,155,23160,2019,th,ถ้าหาก, YENTED
155,156,23128,2019,th,Love Someone, Lukas Graham
156,157,23105,2019,th,when the party's over, Billie Eilish
157,158,22994,2019,th,Closer, The Chainsmokers
158,159,22987,2019,th,SEE U LATER - KR Ver., BLACKPINK
159,160,22918,2019,th,เป็นทุกอย่าง, Room 39
160,161,22871,2019,th,LATATA, (G)I-DLE
161,162,22858,2019,th,Attention, Charlie Puth
162,163,22619,2019,th,Psycho (feat. Ty Dolla $ign), Post Malone
163,164,22606,2019,th,เวลาเธอยิ้ม, Polycat
164,165,22467,2019,th,IDOL, BTS
165,166,22457,2019,th,Yang Mai Ru, Better Weather
166,167,22333,2019,th,Power Up, Red Velvet
167,168,22010,2019,th,Lil’ Touch, Girls' Generation-Oh!GG
168,169,21946,2019,th,ครึ่งๆ กลางๆ, Bodyslam
169,170,21926,2019,th,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
170,171,21837,2019,th,Egotistic, MAMAMOO
171,172,21735,2019,th,มันเป็นใคร, Polycat
172,173,21710,2019,th,ลืมไปก่อน, Buddha Bless
173,174,21661,2019,th,ถ้าเธอต้องเลือก, Illslick
174,175,21550,2019,th,Look Back at It, A Boogie Wit da Hoodie
175,176,21527,2019,th,Smoke, Violette Wautier
176,177,21516,2019,th,Gashina, SUNMI
177,178,21508,2019,th,ถ้าหาก, Two Popetorn
178,179,21396,2019,th,ไวน์, Max Jenmana
179,180,21078,2019,th,I'm a Mess, Bebe Rexha
180,181,21064,2019,th,Way Back Home, SHAUN
181,182,20997,2019,th,หากวันนั้น, Room 39
182,183,20983,2019,th,Lost In Japan, Shawn Mendes
183,184,20859,2019,th,lovely, Billie Eilish
184,185,20739,2019,th,เพื่อนรัก, The Parkinson
185,186,20664,2019,th,ฝันหวานอายจูบ, Stamp
186,187,20419,2019,th,เจ็บจนไม่เข้าใจ, PORTRAIT
187,188,20355,2019,th,Fallin' All In You, Shawn Mendes
188,189,20338,2019,th,ร่มสีเทา, Whatcharawale
189,190,20258,2019,th,BBoom BBoom, MOMOLAND
190,191,20220,2019,th,หน่วง, Room 39
191,192,20207,2019,th,เอาไว้ค่อยคุย, Gliss
192,193,20112,2019,th,รู้ทั้งรู้, OG-ANIC
193,194,20110,2019,th,Peek-A-Boo, Red Velvet
194,195,20067,2019,th,ZEZE (feat. Travis Scott & Offset), Kodak Black
195,196,20021,2019,th,Lover Boy, Phum Viphurit
196,197,20015,2019,th,วู่วาม - Unreleased Version, Season Five
197,198,20006,2019,th,Solo (feat. Demi Lovato), Clean Bandit
198,199,19961,2019,th,รถคันเก่า, Atom Chanakan
199,200,19935,2019,th,กำลังจะ, Illslick
