,Rank,Streams,Year,Country,Title,Artist
0,1,2441139,2022,tr,PAPARAZZI, UZI
1,2,1574273,2022,tr,10 NUMARA, Lvbel C5
2,3,1562976,2022,tr,Kül, Cem Adrian
3,4,1541243,2022,tr,Gamzedeyim Deva Bulmam, Dedublüman
4,5,1325154,2022,tr,Arıyorum, EDIS
5,6,1258275,2022,tr,HONG KONG, Lvbel C5
6,7,1243247,2022,tr,Seni Dert Etmeler, Madrigal
7,8,1224962,2022,tr,Hayrola, Artz
8,9,1180899,2022,tr,CINDY, UZI
9,10,1148868,2022,tr,Uzunlar - V1, Evdeki Saat
10,11,1075287,2022,tr,GECELERİN DERDİ, BEGE
11,12,1045281,2022,tr,Mahvettim, cakal
12,13,1039489,2022,tr,Umrumda Değil, UZI
13,14,1024465,2022,tr,ralli, Lvbel C5
14,15,996115,2022,tr,MIDDLE OF THE NIGHT, Elley Duhé
15,16,972105,2022,tr,Gitme, Dolu Kadehi Ters Tut
16,17,968766,2022,tr,Dalga, Batuflex
17,18,929718,2022,tr,Sen Varsın Diye, Yüzyüzeyken Konuşuruz
18,19,920355,2022,tr,Kor, Emir Can İğrek
19,20,884451,2022,tr,Bilmem Mi?, Sefo
20,21,882924,2022,tr,İçime Ata Ata, Burak Bulut
21,22,860483,2022,tr,Altüst Olmuşum, Mavi Gri
22,23,846202,2022,tr,Dua, Güneş
23,24,818771,2022,tr,Ah Canım Sevgilim - Demo, Rei 6
24,25,783340,2022,tr,Sensizlik Yarim, Taylan Kaya
25,26,769091,2022,tr,Lütfen, cakal
26,27,767124,2022,tr,Dinle Beni Bi', Yüzyüzeyken Konuşuruz
27,28,766571,2022,tr,Dibine Kadar, Duman
28,29,752239,2022,tr,Affet Beni Sevgilim, Ege Balkiz
29,30,748545,2022,tr,Bi' Tık - Sunrise Version, Ajda Pekkan
30,31,738711,2022,tr,Salıncak, Mustafa Ceceli
31,32,736372,2022,tr,Makina, UZI
32,33,696954,2022,tr,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
33,34,692257,2022,tr,Martılar, EDIS
34,35,691583,2022,tr,Dünyanın En Güzel Kızı, Mavi Gri
35,36,686042,2022,tr,Aşkın Mevsimi, Oğuzhan Koç
36,37,681006,2022,tr,Ömrüm, Motive
37,38,680053,2022,tr,Another Love, Tom Odell
38,39,676044,2022,tr,Bu Son Olsun, Cem Karaca
39,40,668639,2022,tr,Riv Riv Riv, cakal
40,41,659454,2022,tr,abcdefu, GAYLE
41,42,659072,2022,tr,Bul Beni, Ezhel
42,43,648785,2022,tr,Beyaz Skandalım, Emir Can İğrek
43,44,642032,2022,tr,Bu Saatten Sonra, İkilem
44,45,637095,2022,tr,Yıldızların Altında, Kargo
45,46,633001,2022,tr,Aynen Öyle, Lvbel C5
46,47,620018,2022,tr,Pare, Reynmen
47,48,619437,2022,tr,Kendime Yalan Söyledim, Seksendört
48,49,618404,2022,tr,Hayatım Kaymış, Melek Mosso
49,50,596624,2022,tr,Bonita, Sefo
50,51,595611,2022,tr,Krvn, UZI
51,52,591709,2022,tr,Baba, Ayaz Erdoğan
52,53,582491,2022,tr,Aşk Yok Olmaktır, Mabel Matiz
53,54,575827,2022,tr,Eskisi Gibi, Lil Zey
54,55,564271,2022,tr,Ölebilirim, Bedo
55,56,564051,2022,tr,Pembe Mezarlık, Model
56,57,549777,2022,tr,Son Seslenişim, Yüzyüzeyken Konuşuruz
57,58,532475,2022,tr,Aden P2, Lia Shine
58,59,531110,2022,tr,Anıları Sakla, Batuhan Kordel
59,60,527666,2022,tr,Sacrifice, The Weeknd
60,61,522318,2022,tr,Yalan, Reynmen
61,62,516541,2022,tr,Yerle Yeksan, Merve Özbey
62,63,511783,2022,tr,Kusura Bakma, Tuğkan
63,64,510183,2022,tr,Sweater Weather, The Neighbourhood
64,65,509271,2022,tr,Benimle Kayboldun, Kaan Boşnak
65,66,506652,2022,tr,Göklerde Süzülürken, Anıl Piyancı
66,67,502996,2022,tr,Infinity, Jaymes Young
67,68,495422,2022,tr,Her Şeyi Yak, Duman
68,69,488110,2022,tr,Unuttum Derdimi, Deeperise
69,70,486801,2022,tr,Saçlarıma Yıldız Takana, Tuğçe Kandemir
70,71,482248,2022,tr,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
71,72,479390,2022,tr,AMCAS RMX, Batuflex
72,73,477268,2022,tr,Seni Kendime Sakladım, Duman
73,74,474185,2022,tr,Kaybolurum Gülüşünde, İkilem
74,75,474049,2022,tr,Merhabalar, Emre Fel
75,76,470489,2022,tr,Cevapsız Sorular, maNga
76,77,464175,2022,tr,M., Anıl Emre Daldal
77,78,456932,2022,tr,Üzerime Kalır, Kubilay Karça
78,79,451416,2022,tr,Hakim Bey, KADR
79,80,448092,2022,tr,Her Gece, Perdenin Ardındakiler
80,81,440885,2022,tr,Söyle Canım, Erol Evgin
81,82,438997,2022,tr,Düşmanlarıma, Kum
82,83,434377,2022,tr,The Face of Vision, Şehinşah
83,84,433521,2022,tr,Toprak Yağmura (Akustik), Canozan
84,85,431051,2022,tr,Rüyamda Buluttum, Can Bonomo
85,86,426804,2022,tr,Çözemezsin, Dedublüman
86,87,424331,2022,tr,Dünya Hain, Batuflex
87,88,422689,2022,tr,Beni Kendinden Kurtar, Perdenin Ardındakiler
88,89,419761,2022,tr,How Do I Make You Love Me?, The Weeknd
89,90,419399,2022,tr,Gasoline, The Weeknd
90,91,416009,2022,tr,MONEY, LISA
91,92,407397,2022,tr,KHRBR, Ati242
92,93,404610,2022,tr,Aşk Nerden Nereye, Gripin
93,94,401593,2022,tr,Bir Sebebi Var, İkilem
94,95,398857,2022,tr,Mayrig, Ezhel
95,96,396948,2022,tr,Dumanı Pasla, Batuflex
96,97,396315,2022,tr,Son Arzum, Nilüfer
97,98,391708,2022,tr,Is There Someone Else?, The Weeknd
98,99,391070,2022,tr,LE CANE, Muti
99,100,389324,2022,tr,Barbar, Kaan Boşnak
100,101,386230,2022,tr,Perros Blancos, Reckol
101,102,385683,2022,tr,Her Akşam Votka Rakı Ve Şarap / Sarhoş, Dario Moreno
102,103,385570,2022,tr,Atm, Batuflex
103,104,383259,2022,tr,Out of Time, The Weeknd
104,105,382835,2022,tr,Sar Bu Şehri (Akustik), Canozan
105,106,378631,2022,tr,Kamikaze, Ero
106,107,378570,2022,tr,All The Things She Said, t.A.T.u.
107,108,377892,2022,tr,Woman, Doja Cat
108,109,375124,2022,tr,Zor, Lvbel C5
109,110,375014,2022,tr,Heat Waves, Glass Animals
110,111,374942,2022,tr,Yengen Kızar, Tuhan
111,112,369293,2022,tr,Mercedes-Benz, Organize
112,113,369225,2022,tr,Less Than Zero, The Weeknd
113,114,367058,2022,tr,Madem, Dolu Kadehi Ters Tut
114,115,366304,2022,tr,love nwantiti (feat. Dj Yo! & AX'EL) - Remix, CKay
115,116,364825,2022,tr,Gerçekleşebilir, Ceg
116,117,363622,2022,tr,Açmayalım, Tuğba Yurt
117,118,362531,2022,tr,Harleys In Hawaii, Katy Perry
118,119,362305,2022,tr,Ghetto, Organize
119,120,362263,2022,tr,Bir Derdim Var, mor ve ötesi
120,121,362151,2022,tr,Bırakma Kendini, Kaan Boşnak
121,122,361225,2022,tr,Yarım Kalan Sigara, No.1
122,123,360914,2022,tr,Dünyanın Sonuna Doğmuşum, maNga
123,124,358195,2022,tr,Take My Breath, The Weeknd
124,125,354350,2022,tr,Lost in the Fire (feat. The Weeknd), Gesaffelstein
125,126,353107,2022,tr,Best Friends, The Weeknd
126,127,352715,2022,tr,Cennet, Ebru Gündeş
127,128,348150,2022,tr,Romeo Ve Juliet, Frxzbie
128,129,346384,2022,tr,Kupa Kızı Ve Sinek Valesi, Teoman
129,130,342542,2022,tr,İçinde Aşk Var, Sufle
130,131,342447,2022,tr,Dönersen Islık Çal, Manuş Baba
131,132,341932,2022,tr,Yapma N'olursun, Dolu Kadehi Ters Tut
132,133,339548,2022,tr,Anlamazdın, Ayla Dikmen
133,134,339101,2022,tr,Olsun, Sertab Erener
134,135,338144,2022,tr,Kumralım, Yaşar
135,136,337506,2022,tr,GEÇMİŞİ SİL, Kozmos
136,137,337197,2022,tr,Kendine Dünya, Merve Özbey
137,138,336747,2022,tr,Kazılı Kuyum, Yüzyüzeyken Konuşuruz
138,139,335885,2022,tr,Köprüaltı, Duman
139,140,334512,2022,tr,ıslak kum, Contra
140,141,334379,2022,tr,O Bi Karamel, Ozbi
141,142,327836,2022,tr,Geceler, Ezhel
142,143,327025,2022,tr,imkansız bir aşk denir, yunusemre
143,144,325934,2022,tr,Belki Çok Da Şey Yapmamak Lazım, Gripin
144,145,324912,2022,tr,Ankara'yla Bozuşuruz, Perdenin Ardındakiler
145,146,321681,2022,tr,Blinding Lights, The Weeknd
146,147,318806,2022,tr,Sen Benim Şarkılarımsın, Cem Adrian
147,148,318666,2022,tr,Geceyi Anlatmış, Ozbi
148,149,317735,2022,tr,Yıldızlara Bak, Yaşlı Amca
149,150,316722,2022,tr,Dünya Gül Bana, No.1
150,151,315913,2022,tr,Kalbinde Birileri Var, Perdenin Ardındakiler
151,152,312319,2022,tr,Beggin', Måneskin
152,153,312260,2022,tr,Gangsta's Paradise, Coolio
153,154,311108,2022,tr,Alaz Alaz, Buray
154,155,308227,2022,tr,Sarılırım Birine, Adamlar
155,156,307395,2022,tr,Dawn FM, The Weeknd
156,157,304870,2022,tr,KISKANMA, Sdrk
157,158,304683,2022,tr,Hiç Kimsenin Günahı Yok, Sufle
158,159,303724,2022,tr,Aman Aman, Duman
159,160,302854,2022,tr,Uzaklara Savrulalım, Perdenin Ardındakiler
160,161,301057,2022,tr,Endamın Yeter, Kıraç
161,162,299833,2022,tr,PİŞMAN, cakal
162,163,299222,2022,tr,Baba Yak, Kurtuluş Kuş
163,164,298655,2022,tr,Adamım, Kader
164,165,298471,2022,tr,Esenyurt Trap Merso, Tuhan
165,166,297777,2022,tr,Giderdi Hoşuma, Yaşlı Amca
166,167,296976,2022,tr,Toxic, BoyWithUke
167,168,295188,2022,tr,YOK (Ee daha daha nasılsınız?), Sura İskenderli
168,169,294150,2022,tr,Ölürüm Hasretinle, Sakiler
169,170,293464,2022,tr,Çingenem, Ebru Gündeş
170,171,292906,2022,tr,Sıcak Şarap, Batuhan Kordel
171,172,291351,2022,tr,Need to Know, Doja Cat
172,173,290732,2022,tr,Valse, Evgeny Grinko
173,174,288929,2022,tr,Ayy / Ben Hala Rüyada, Oğuzhan Koç
174,175,287337,2022,tr,Rolling in the Deep, Adele
175,176,286263,2022,tr,Ne Zamandır Sendeyim, Madrigal
176,177,285183,2022,tr,Without Me, Eminem
177,178,284587,2022,tr,Neyim Var Ki (feat. Sagopa K), Ceza
178,179,283696,2022,tr,Derinlerde, Mark Eliyahu
179,180,283667,2022,tr,Demir Attım, Ebru Gündeş
180,181,283470,2022,tr,Bu Yüzden, Güncel Gürsel Artıktay
181,182,281828,2022,tr,Eskimiş Senelere, Aspova
182,183,280973,2022,tr,Sür Ya Da Öl, Tepki
183,184,280534,2022,tr,Ben Gibi Bakmaz, Lia Shine
184,185,280286,2022,tr,Allah’ından Bul, Ezhel
185,186,279443,2022,tr,Düş Yakamdan, UZI
186,187,279206,2022,tr,Dem, Can Bonomo
187,188,278702,2022,tr,Acının İlacı, Adamlar
188,189,278551,2022,tr,Sevmemeliyiz, Sena Şener
189,190,277146,2022,tr,Pusulam Rüzgar, Melike Şahin
190,191,274341,2022,tr,Değmesin Ellerimiz, Model
191,192,273327,2022,tr,505, Arctic Monkeys
192,193,272073,2022,tr,toz duman, Sefo
193,194,271555,2022,tr,Nasır, Melike Şahin
194,195,270278,2022,tr,Nabız, Burak Bulut
195,196,269856,2022,tr,Moth To A Flame (with The Weeknd), Swedish House Mafia
196,197,269557,2022,tr,MONTERO (Call Me By Your Name), Lil Nas X
197,198,269228,2022,tr,Hayir Olamaz, Seksendört
198,199,269116,2022,tr,I WANNA BE YOUR SLAVE, Måneskin
199,200,268614,2022,tr,Bingo, Organize
