,Rank,Streams,Year,Country,Title,Artist
0,1,466467,2021,tw,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲, Crowd Lu
1,2,321418,2021,tw,"想見你想見你想見你(電視劇""想見你""片尾曲)", 831
2,3,290802,2021,tw,飞鸟和蝉, Ren Ran
3,4,251277,2021,tw,因為你 所以我, Mayday
4,5,243086,2021,tw,怎麼了, Eric Chou
5,6,233190,2021,tw,Afterglow, Ed Sheeran
6,7,230996,2021,tw,Without You, 高爾宣 OSN
7,8,211951,2021,tw,炎, LiSA
8,9,206866,2021,tw,Dynamite, BTS
9,10,204748,2021,tw,她沒在看我, 瘦子E.SO
10,11,199927,2021,tw,Anyone, Justin Bieber
11,12,193936,2021,tw,緩緩, A-Mei Chang
12,13,187221,2021,tw,CHANGE, 瘦子E.SO
13,14,182622,2021,tw,真的傻 (電影《一吻定情》追愛版主題曲), LaLa Hsu
14,15,180944,2021,tw,willow, Taylor Swift
15,16,180616,2021,tw,慢冷, Fish Leong
16,17,176930,2021,tw,positions, Ariana Grande
17,18,176563,2021,tw,天黑請閉眼 (feat. 邱鋒澤), Nine Chen
18,19,174183,2021,tw,路過人間 (電視劇《我們與惡的距離》插曲), Yisa Yu
19,20,168040,2021,tw,嚣张, En
20,21,167928,2021,tw,如果能幸福 - HBO Asia原創影集《戒指流浪記》片尾曲, Eric Chou
21,22,167808,2021,tw,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
22,23,167586,2021,tw,正想著你呢, Chih Siou
23,24,157364,2021,tw,无人之岛, Ren Ran
24,25,156884,2021,tw,34+35, Ariana Grande
25,26,154663,2021,tw,說好不哭, Jay Chou
26,27,153483,2021,tw,過 (Should've Let Go), Jackson Wang
27,28,153412,2021,tw,他們說我是沒有用的年輕人, Good Band
28,29,152733,2021,tw,紅蓮華, LiSA
29,30,151652,2021,tw,句號, G.E.M.
30,31,150031,2021,tw,Life Goes On, BTS
31,32,149802,2021,tw,我這個人 - 《我沒有談的那場戀愛》電影宣傳主題曲, Eve Ai
