,Rank,Streams,Year,Country,Title,Artist
0,1,228047,2021,ua,Cristal & МОЁТ, MORGENSHTERN
1,2,83503,2021,ua,Снова я напиваюсь, SLAVA MARLOW
2,3,71561,2021,ua,KARI, Big Ba
3,4,67472,2021,ua,По Глазам, SLAVA MARLOW
4,5,64518,2021,ua,Быстро, SLAVA MARLOW
5,6,63681,2021,ua,Нет Проблем, SLAVA MARLOW
6,7,59310,2021,ua,Дежавю, kizaru
7,8,49374,2021,ua,Blinding Lights, The Weeknd
8,9,47501,2021,ua,Чистый - OST «Псих», Skryptonite
9,10,45288,2021,ua,Camry 3.5, UncleFlexxx
10,11,41081,2021,ua,Окей, Tima Belorusskih
11,12,40815,2021,ua,Положение, Skryptonite
12,13,40320,2021,ua,Therefore I Am, Billie Eilish
13,14,37244,2021,ua,Эйя, Канги
14,15,36840,2021,ua,Колхозник, Mnogoznaal
15,16,36158,2021,ua,Москва любит..., Skryptonite
16,17,35707,2021,ua,Deep End, Fousheé
17,18,34797,2021,ua,Cadillac, MORGENSHTERN
18,19,34710,2021,ua,El Problema - prod. SLAVA MARLOW, MORGENSHTERN
19,20,34213,2021,ua,The Business, Tiësto
20,21,34160,2021,ua,WATAFUK?!, MORGENSHTERN
21,22,33715,2021,ua,Рэйман, FACE
22,23,32874,2021,ua,Злой, SLAVA MARLOW
23,24,31450,2021,ua,gorit, DOROFEEVA
24,25,31401,2021,ua,Friendly Fire - Prod. Avepack, Boulevard Depo
25,26,30771,2021,ua,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
26,27,30171,2021,ua,Fendi, Rakhim
27,28,29899,2021,ua,toxin, Benedixhion
28,29,29550,2021,ua,ПАЦАНЫ II, GONE.Fludd
29,30,28786,2021,ua,Mood (feat. iann dior), 24kGoldn
30,31,28411,2021,ua,Шенген, lil krystalll
31,32,28169,2021,ua,Кукла колдуна, Korol i Shut
32,33,27849,2021,ua,Infinite Tsukuyomi, ROCKET
33,34,26716,2021,ua,Minor, Miyagi & Andy Panda
34,35,26709,2021,ua,Block Ba,  
35,36,26689,2021,ua,ERRDAY, Big Ba
36,37,26031,2021,ua,Тлеет, Bula
37,38,25466,2021,ua,Венера-Юпитер, Ваня Дмитриенко
38,39,25112,2021,ua,Monday, ROCKET
39,40,24722,2021,ua,Rolls Royce, Geegun
40,41,24400,2021,ua,Втюрилась, Дора
41,42,24085,2021,ua,Не жалея, Miyagi & Andy Panda
42,43,24083,2021,ua,ICE (feat. MORGENSHTERN), MORGENSHTERN
43,44,23966,2021,ua,Ауди [prod., Sqweezey]  
44,45,23802,2021,ua,Меня не будет, ANIKV
45,46,23544,2021,ua,Сияй, Ramil'
46,47,23497,2021,ua,Танцы, ssshhhiiittt!
47,48,23381,2021,ua,АУФ, SQWOZ BAB
48,49,23270,2021,ua,Поболело и прошло, HENSY
49,50,23157,2021,ua,HOLIDAY, Lil Nas X
50,51,22654,2021,ua,Dynamite, BTS
51,52,22568,2021,ua,Milly Rock, Rakhim
52,53,22389,2021,ua,Зорi, KALUSH
53,54,22389,2021,ua,Goosebumps, HVME
54,55,22225,2021,ua,Проснулся В Темноте, GONE.Fludd
55,56,22201,2021,ua,ODIUM, LXST CXNTURY
56,57,22130,2021,ua,X.O, The Limba
57,58,21975,2021,ua,All the Time, Miyagi & Andy Panda
58,59,21725,2021,ua,Last Christmas, Wham!
59,60,21689,2021,ua,Если тебе будет грустно, Rauf & Faik
60,61,21432,2021,ua,WAP (feat. Megan Thee Stallion), Cardi B
61,62,21381,2021,ua,СПАСАТЕЛЬНЫЙ КРУГ, FACE
62,63,21340,2021,ua,Последний танец, TINI LIN
63,64,21263,2021,ua,positions, Ariana Grande
64,65,21138,2021,ua,Инкассатор, ROCKET
65,66,20997,2021,ua,Star Shopping, Lil Peep
66,67,20482,2021,ua,Roses - Imanbek Remix, SAINt JHN
67,68,20215,2021,ua,Prisoner (feat. Dua Lipa), Miley Cyrus
68,69,20012,2021,ua,Paparazzi, Kim Dracula
69,70,19920,2021,ua,Trap Luv, Big Ba
70,71,19809,2021,ua,Kosandra, Miyagi & Andy Panda
71,72,19807,2021,ua,Sweater Weather, The Neighbourhood
72,73,19760,2021,ua,"СЛЁЗЫ - Из к/ф ""Пацанки""", Anet Sai
73,74,19634,2021,ua,Кайф ты поймала, Konfuz
74,75,19553,2021,ua,Коми, SODA LUV
75,76,19281,2021,ua,ROCKSTAR (feat. Roddy Ricch), DaBa
76,77,19262,2021,ua,Gimme The Loot, Big Ba
77,78,19229,2021,ua,Mamacita, Yanix
78,79,19180,2021,ua,Jingle Bell Rock, Bob
79,80,19157,2021,ua,Это любовь, Skryptonite
80,81,19039,2021,ua,Кино, MACAN
81,82,18994,2021,ua,ОЙ, SQWOZ BAB
82,83,18989,2021,ua,Привычка, Skryptonite
83,84,18889,2021,ua,HIGHEST IN THE ROOM, Travis Scott
84,85,18808,2021,ua,Xmas Song, kizaru
85,86,18734,2021,ua,Afterglow, Ed Sheeran
86,87,18695,2021,ua,Watermelon Sugar, Harry Styles
87,88,18687,2021,ua,Yamakasi, Miyagi & Andy Panda
88,89,18651,2021,ua,Lollipop, Eldzhey
89,90,18367,2021,ua,The Box, Roddy Ricch
90,91,17988,2021,ua,Narcos, kizaru
91,92,17949,2021,ua,Whoopty, CJ
92,93,17946,2021,ua,Лилия (prod., DooMee)  
93,94,17850,2021,ua,Snowman, Sia
94,95,17794,2021,ua,Bad Blood (feat. Tory Lanez), kizaru
95,96,17761,2021,ua,34+35, Ariana Grande
96,97,17657,2021,ua,Levitating (feat. DaBa,)  
97,98,17571,2021,ua,Вали, Канги
98,99,17523,2021,ua,Что за бизнес сука?, kizaru
99,100,17477,2021,ua,Rockin' Around The Christmas Tree, Brenda Lee
100,101,17380,2021,ua,All I Want for Christmas Is You, Mariah Carey
101,102,17364,2021,ua,Дорадура, Дора
102,103,17311,2021,ua,РАТАТАТАТА, MORGENSHTERN
103,104,17154,2021,ua,Brooklyn, Miyagi & Andy Panda
104,105,17095,2021,ua,Юность, Dabro
105,106,17092,2021,ua,Джинсы [prod., Sqweezey]  
106,107,17076,2021,ua,Angry toy$ - Prod. Ray Qwa, Boulevard Depo
107,108,16971,2021,ua,Head & Heart (feat. MNEK), Joel Corry
108,109,16803,2021,ua,Ты не смогла простить, Egor Kreed
109,110,16679,2021,ua,На грязном (Диана), Платина
110,111,16627,2021,ua,Тепло, Max Korzh
111,112,16617,2021,ua,неболей, Basta
112,113,16515,2021,ua,FOR MULA, OBLADAET
113,114,16474,2021,ua,Paradise (feat. Dermot Kennedy), MEDUZA
114,115,16364,2021,ua,БЕГИ feat. Poët, DJ SMASH
115,116,16273,2021,ua,Blood // Water, grandson
116,117,16188,2021,ua,Цепи, Skryptonite
117,118,16187,2021,ua,Без даты (Remix), УННВ
118,119,16111,2021,ua,Дежавю - UA VERSION, Artem Pivovarov
119,120,16031,2021,ua,засыпай, ssshhhiiittt!
120,121,15886,2021,ua,After Dark, Mr.Kitty
121,122,15880,2021,ua,Honey's Kettle, kizaru
122,123,15835,2021,ua,Номера, LSP
123,124,15804,2021,ua,Веселая песня, Egor Kreed
124,125,15773,2021,ua,Новый Мерин, MORGENSHTERN
125,126,15567,2021,ua,КАТЮХА, LILCAK3
126,127,15548,2021,ua,Plug, kizaru
127,128,15513,2021,ua,Whistle Song, kizaru
128,129,15406,2021,ua,hot girl bummer, blackbear
129,130,15391,2021,ua,No Problem, SLAVA MARLOW
130,131,15331,2021,ua,Без ключа, PHARAOH
131,132,15314,2021,ua,Breaking Me, Topic
132,133,15275,2021,ua,Кобра, The Hardkiss
133,134,15179,2021,ua,мальчик, кис-кис
134,135,15160,2021,ua,OFF TOP, Boulevard Depo
135,136,14927,2021,ua,goosebumps, Travis Scott
136,137,14894,2021,ua,SICKO MODE, Travis Scott
137,138,14866,2021,ua,moLOko, LOBODA
138,139,14862,2021,ua,Money Rain, VTORNIK
139,140,14853,2021,ua,Hokage, Big Ba
140,141,14773,2021,ua,What You Know Bout Love, Pop Smoke
141,142,14741,2021,ua,Бэнгер, FEDUK
142,143,14628,2021,ua,Daisy, Ashnikko
143,144,14571,2021,ua,Осень пьяная, Дора
144,145,14528,2021,ua,Ураган (feat. V $ X V PRiNCE), GUF
145,146,14522,2021,ua,Её виной, Max Korzh
146,147,14518,2021,ua,Jocelyn Flores, XXXTENTACION
147,148,14516,2021,ua,For The Night (feat. Lil Ba, & DaBa
148,149,14507,2021,ua,Let It Snow! Let It Snow! Let It Snow!, Dean Martin
149,150,14401,2021,ua,Люди, Дайте танк (!)
150,151,14370,2021,ua,Улыбка, PIZZA
151,152,14369,2021,ua,молчи, кис-кис
152,153,14355,2021,ua,Бандана, Платина
153,154,14314,2021,ua,Между Нами, LIZER
154,155,14301,2021,ua,ЮМОРИСТ - Original Motion Picture Soundtrack, FACE
155,156,14292,2021,ua,Falling, Trevor Daniel
156,157,14138,2021,ua,Smells Like Teen Spirit, Nirvana
157,158,14134,2021,ua,2 типа людей, Max Korzh
158,159,14068,2021,ua,MONEY LONG, kizaru
159,160,14029,2021,ua,"Бар ""2 лесбухи""", JILLZAY
160,161,14002,2021,ua,Hayloft, Mother Mother
161,162,13992,2021,ua,ДЕВОЧКА С КАРЕ, MUKKA
162,163,13845,2021,ua,Судно (Борис Рижий), Molchat Doma
163,164,13834,2021,ua,Я так соскучился, Pornofilmy
164,165,13771,2021,ua,Save That Shit, Lil Peep
165,166,13632,2021,ua,Coco L'Eau, Egor Kreed
166,167,13576,2021,ua,Kill Yourself (Part III), $uicideboy$
167,168,13557,2021,ua,Falling Down - Bonus Track, Lil Peep
168,169,13541,2021,ua,27, FEDUK
169,170,13445,2021,ua,Blueberry Faygo, Lil Mosey
170,171,13330,2021,ua,Air Force 1, lil krystalll
171,172,13295,2021,ua,Balance, Big Ba
172,173,13136,2021,ua,Не по пути, PHARAOH
173,174,13114,2021,ua,Lovefool, twocolors
174,175,13087,2021,ua,Днями-ночами, pyrokinesis
175,176,12993,2021,ua,Забил, ATL
176,177,12989,2021,ua,Не Киряй, MUKKA
177,178,12818,2021,ua,Anyone, Justin Bieber
178,179,12797,2021,ua,НЕ ЖАЛЬ, 104
179,180,12784,2021,ua,you broke me first, Tate McRae
180,181,12729,2021,ua,DÁKITI, Bad Bunny
181,182,12719,2021,ua,Вино и сигареты, алёна швец.
182,183,12551,2021,ua,Краш, Klava Koka
183,184,12550,2021,ua,Пачка сигарет, LIZER
184,185,12535,2021,ua,Astronaut In The Ocean, Masked Wolf
185,186,12504,2021,ua,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
186,187,12492,2021,ua,Lucid Dreams, Juice WRLD
187,188,12464,2021,ua,Там ревели горы, Miyagi & Andy Panda
188,189,12456,2021,ua,I Got Love, MiyaGi & Endspiel
189,190,12450,2021,ua,Daddy Issues, The Neighbourhood
190,191,12288,2021,ua,Ламбада, T-Fest
191,192,12239,2021,ua,Малый повзрослел, Max Korzh
192,193,12223,2021,ua,Take You Dancing, Jason Derulo
193,194,12020,2021,ua,Benz Truck (гелик), Lil Peep
194,195,12017,2021,ua,Грустная Песня (feat. Егор Крид & MORGENSHTERN), THRILL PILL
195,196,12015,2021,ua,Ёлки (Prod., Sqweezey x mind)  
196,197,12002,2021,ua,SAD!, XXXTENTACION
197,198,11931,2021,ua,Демоны, Три дня дождя
198,199,11914,2021,ua,Кто такой? (prod., Pimp My Ride)  
199,200,11905,2021,ua,ВТОРНИК, GONE.Fludd
