,Rank,Streams,Year,Country,Title,Artist
0,1,10969080,2017,us,Shape of You, Ed Sheeran
1,2,10112877,2017,us,Bad and Boujee (feat. Lil Uzi Vert), Migos
2,3,8459802,2017,us,Fake Love, Drake
3,4,7600859,2017,us,Castle on the Hill, Ed Sheeran
4,5,7245714,2017,us,Starboy, The Weeknd
5,6,5940766,2017,us,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
6,7,5384798,2017,us,Bounce Back, Big Sean
7,8,5319110,2017,us,Black Beatles, Rae Sremmurd
8,9,5264976,2017,us,Caroline, Aminé
9,10,5145003,2017,us,Closer, The Chainsmokers
10,11,5104557,2017,us,Bad Things (with Camila Cabello), Machine Gun Kelly
11,12,4710849,2017,us,I Feel It Coming, The Weeknd
12,13,4222618,2017,us,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
13,14,3932307,2017,us,iSpy (feat. Lil Yachty), KYLE
14,15,3834332,2017,us,Don't Wanna Know, Maroon 5
15,16,3799130,2017,us,Say You Won't Let Go, James Arthur
16,17,3715718,2017,us,X (feat. Future), 21 Savage
17,18,3634347,2017,us,24K Magic, Bruno Mars
18,19,3625170,2017,us,Deja Vu, J. Cole
19,20,3523362,2017,us,No Heart, 21 Savage
20,21,3522587,2017,us,Chill Bill (feat. J. Davi$ & Spooks), Rob $tone
21,22,3250587,2017,us,Party Monster, The Weeknd
22,23,3232872,2017,us,One Dance, Drake
23,24,3128059,2017,us,Sneakin’, Drake
24,25,3113949,2017,us,"How Far I'll Go - From ""Moana""", Alessia Cara
25,26,3102930,2017,us,Side To Side, Ariana Grande
26,27,3081299,2017,us,In the Name of Love, Martin Garrix
27,28,3060910,2017,us,You Was Right, Lil Uzi Vert
28,29,3019307,2017,us,Let Me Love You, DJ Snake
29,30,2921996,2017,us,Call On Me - Ryan Riback Extended Remix, Starley
30,31,2913203,2017,us,All Time Low, Jon Bellion
31,32,2879286,2017,us,Mercy, Shawn Mendes
32,33,2873526,2017,us,Starving, Hailee Steinfeld
33,34,2841046,2017,us,All We Know, The Chainsmokers
34,35,2806573,2017,us,Heathens, Twenty One Pilots
35,36,2783346,2017,us,Scars To Your Beautiful, Alessia Cara
36,37,2760152,2017,us,Swang, Rae Sremmurd
37,38,2723907,2017,us,No Problem (feat. Lil Wayne & 2 Chainz), Chance the Rapper
38,39,2670040,2017,us,Love Me Now, John Legend
39,40,2617858,2017,us,Rocka,e (feat. Sean Paul & Anne-Marie)  
40,41,2560326,2017,us,Just Hold On, Steve Aoki
41,42,2505750,2017,us,Six Feet Under, The Weeknd
42,43,2486232,2017,us,OOOUUU, Young M.A
43,44,2467071,2017,us,Neighbors, J. Cole
44,45,2466656,2017,us,Redbone, Childish Gambino
45,46,2407118,2017,us,pick up the phone, Young Thug
46,47,2367217,2017,us,Sidewalks, The Weeknd
47,48,2339464,2017,us,Too Good, Drake
48,49,2303397,2017,us,Cold Water (feat. Justin Bieber & MØ), Major Lazer
49,50,2250984,2017,us,Controlla, Drake
50,51,2231517,2017,us,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
51,52,2114685,2017,us,Needed Me, Rihanna
52,53,2053664,2017,us,Love On The Brain, Rihanna
53,54,2052952,2017,us,Now and Later, Sage The Gemini
54,55,2042847,2017,us,Moves, Big Sean
55,56,2026353,2017,us,Weak, AJR
56,57,2011932,2017,us,Chantaje (feat. Maluma), Shakira
57,58,2000962,2017,us,Used to This (feat. Drake), Future
58,59,1972571,2017,us,Immortal, J. Cole
59,60,1961402,2017,us,Both (feat. Drake), Gucci Mane
60,61,1945427,2017,us,Make Me (Cry), Noah Cyrus
61,62,1940151,2017,us,All Night, The Vamps
62,63,1932719,2017,us,goosebumps, Travis Scott
63,64,1922714,2017,us,Too Many Years, Kodak Black
64,65,1914855,2017,us,Don't Let Me Down (feat. Daya), The Chainsmokers
65,66,1897547,2017,us,Panda, Desiigner
66,67,1891510,2017,us,Water, Ugly God
67,68,1846604,2017,us,Low Life (feat. The Weeknd), Future
68,69,1838804,2017,us,Selfish, PnB Rock
69,70,1815241,2017,us,Treat You Better, Shawn Mendes
70,71,1813991,2017,us,No Role Modelz, J. Cole
71,72,1812418,2017,us,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
72,73,1808345,2017,us,Sunset Lover, Petit Biscuit
73,74,1806203,2017,us,Money Longer, Lil Uzi Vert
74,75,1761960,2017,us,Reminder, The Weeknd
75,76,1725479,2017,us,Erase Your Social, Lil Uzi Vert
76,77,1712763,2017,us,Ride, Twenty One Pilots
77,78,1710499,2017,us,Congratulations, Post Malone
78,79,1702103,2017,us,Die For You, The Weeknd
79,80,1696872,2017,us,Water Under the Bridge, Adele
80,81,1678993,2017,us,Come and See Me (feat. Drake), PARTYNEXTDOOR
81,82,1674539,2017,us,Don't, Bryson Tiller
82,83,1669156,2017,us,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
83,84,1649627,2017,us,Exchange, Bryson Tiller
84,85,1648642,2017,us,Jumpman, Drake
85,86,1644481,2017,us,i hate u i love u (feat. olivia o'brien), Garrett Nash
86,87,1643376,2017,us,White Iverson, Post Malone
87,88,1632765,2017,us,Light, San Holo
88,89,1610666,2017,us,Setting Fires, The Chainsmokers
89,90,1564410,2017,us,No Flockin', Kodak Black
90,91,1560137,2017,us,Photograph, Ed Sheeran
91,92,1557206,2017,us,Don't Leave, Snakehips
92,93,1547094,2017,us,Work, Rihanna
93,94,1545148,2017,us,Gassed Up, Nebu Kiniza
94,95,1539626,2017,us,Too Much Sauce (feat. Future & Lil Uzi Vert), DJ ESCO
95,96,1522952,2017,us,Not Going Home (feat. Gia Koka), DVBBS
96,97,1521067,2017,us,Litty (feat. Tory Lanez), Meek Mill
97,98,1507556,2017,us,One Night, Lil Yachty
98,99,1506211,2017,us,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
99,100,1500852,2017,us,I Would Like, Zara Larsson
100,101,1500811,2017,us,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
101,102,1496315,2017,us,I Got You, Bebe Rexha
102,103,1487613,2017,us,Stressed Out, Twenty One Pilots
103,104,1485712,2017,us,Lot to Learn, Luke Christopher
104,105,1461787,2017,us,Shed a Light, Robin Schulz
105,106,1460788,2017,us,Lighthouse - Andrelli Remix, Hearts & Colors
106,107,1449322,2017,us,Juju on That Beat (TZ Anthem), Zay Hilfigerrr
107,108,1446798,2017,us,Thinking out Loud, Ed Sheeran
108,109,1439611,2017,us,Deja Vu, Post Malone
109,110,1427301,2017,us,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
110,111,1418968,2017,us,That's What I Like, Bruno Mars
111,112,1415644,2017,us,This Town, Niall Horan
112,113,1399340,2017,us,The Mack, Nevada
113,114,1380638,2017,us,Cheap Thrills, Sia
114,115,1379835,2017,us,Me Myself & I, G-Eazy
115,116,1377833,2017,us,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
