,Rank,Streams,Year,Country,Title,Artist
0,1,94955,2017,uy,Cuando Se Pone a Bailar, Rombai
1,2,93503,2017,uy,Reggaetón Lento (Bailemos), CNCO
2,3,89741,2017,uy,Chantaje (feat. Maluma), Shakira
3,4,63157,2017,uy,Vente Pa' Ca (feat. Maluma), Ricky Martin
4,5,61052,2017,uy,Safari, J Balvin
5,6,55692,2017,uy,Carnavalintro, Chano
6,7,54767,2017,uy,Otra vez (feat. J Balvin), Zion & Lennox
7,8,54239,2017,uy,Piel a Piel, Dame 5
8,9,52112,2017,uy,Pasarla Bien, Marama
9,10,50745,2017,uy,Shaky Shaky, Daddy Yankee
10,11,49380,2017,uy,Traicionera, Sebastian Yatra
11,12,47082,2017,uy,Amor para un Rato, Olvidate!
12,13,46044,2017,uy,Dile Que Tu Me Quieres, Ozuna
13,14,42298,2017,uy,Shape of You, Ed Sheeran
14,15,40826,2017,uy,Me llamas (feat. Maluma) - Remix, Piso 21
15,16,40220,2017,uy,Gyal You A Party Animal - Remix, Charly Black
16,17,38912,2017,uy,Rocka,e (feat. Sean Paul & Anne-Marie)  
17,18,38652,2017,uy,La Bicicleta, Carlos Vives
18,19,38081,2017,uy,Let Me Love You, DJ Snake
19,20,37266,2017,uy,Vacaciones, Wisin
20,21,36439,2017,uy,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
21,22,35386,2017,uy,Andas En Mi Cabeza, Chino & Nacho
22,23,33743,2017,uy,La Noche No Es para Dormir, Mano Arriba
23,24,33685,2017,uy,Borro Cassette, Maluma
24,25,33370,2017,uy,24K Magic, Bruno Mars
25,26,32968,2017,uy,Don't Wanna Know, Maroon 5
26,27,32116,2017,uy,Cuatro Ba,s (feat. Trap Capos
27,28,31783,2017,uy,Te Quiero Pa´Mi, Don Omar
28,29,31690,2017,uy,Manicomio, Cosculluela
29,30,29271,2017,uy,Cold Water (feat. Justin Bieber & MØ), Major Lazer
30,31,29204,2017,uy,Starboy, The Weeknd
31,32,28447,2017,uy,Lo Intentamos, Marama
32,33,27992,2017,uy,Closer, The Chainsmokers
33,34,27945,2017,uy,My Way, Calvin Harris
34,35,27547,2017,uy,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
35,36,26656,2017,uy,Side To Side, Ariana Grande
36,37,26205,2017,uy,In the Name of Love, Martin Garrix
37,38,25903,2017,uy,Desde Esa Noche (feat. Maluma), Thalia
38,39,25549,2017,uy,Llamame Mas Temprano, Mano Arriba
39,40,24957,2017,uy,Chillax (feat. Ky-Mani Marley), Farruko
40,41,24701,2017,uy,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix, Jacob Forever
41,42,24667,2017,uy,Comerte a Besos, Pijama Party
42,43,24050,2017,uy,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
43,44,23911,2017,uy,Agua en la Boca, Miway
44,45,23723,2017,uy,Fuego, Juanes
45,46,23433,2017,uy,Bobo, J Balvin
46,47,23432,2017,uy,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
47,48,22567,2017,uy,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
48,49,22092,2017,uy,El Perdedor (feat. Yandel) - The Remix, Maluma
49,50,21677,2017,uy,Castle on the Hill, Ed Sheeran
50,51,20517,2017,uy,I Feel It Coming, The Weeknd
51,52,19895,2017,uy,El Equivocado, Mano Arriba
52,53,19858,2017,uy,Bailame Despacio, Xantos
53,54,19853,2017,uy,Traicionera - Remix, Sebastian Yatra
54,55,18978,2017,uy,Treat You Better, Shawn Mendes
55,56,18469,2017,uy,La Bicicleta (feat. Maluma) - Remix, Carlos Vives
56,57,18409,2017,uy,One Dance, Drake
57,58,18223,2017,uy,Se Pone Loca, CantoParaBailar
58,59,18075,2017,uy,Si me dices que sí (feat. Nicky Jam), Cosculluela
59,60,17682,2017,uy,Tu Ritmo, Los Bonnitos
60,61,17062,2017,uy,Just Hold On, Steve Aoki
61,62,16830,2017,uy,La Gozadera (feat. Marc Anthony), Gente De Zona
62,63,16828,2017,uy,Locuras contigo, Rombai
63,64,16639,2017,uy,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
64,65,16262,2017,uy,Te Vas, Ozuna
65,66,16107,2017,uy,Ruleta Rusa, Kevin Roldan
66,67,16102,2017,uy,Noche Loca, Marama
67,68,16063,2017,uy,No Llores, LOAN
68,69,15978,2017,uy,Vale la pena, #TocoParaVos
69,70,15714,2017,uy,Hasta la luna, #TocoParaVos
70,71,15498,2017,uy,Baila, Agapornis
71,72,15492,2017,uy,Te Vas - Version Cumbia, aLee DJ
72,73,15173,2017,uy,El Chisme, Reykon
73,74,15093,2017,uy,Aventura, Pijama Party
74,75,14912,2017,uy,Shed a Light, Robin Schulz
75,76,14699,2017,uy,Hasta el Amanecer, Nicky Jam
76,77,14233,2017,uy,Mi tesoro (feat. Nicky Jam), Zion & Lennox
77,78,14179,2017,uy,The Greatest (feat. Kendrick Lamar), Sia
78,79,13918,2017,uy,Sin Contrato (feat. Don Omar & Wisin) - Remix, Maluma
79,80,13848,2017,uy,Cheap Thrills, Sia
80,81,13590,2017,uy,Que Raro, Feid
81,82,13572,2017,uy,Call On Me - Ryan Riback Extended Remix, Starley
82,83,13522,2017,uy,Quedate Conmigo, Marka Akme
83,84,13413,2017,uy,Abrazame, Rombai
84,85,13314,2017,uy,Deja De Llorar, El Polaco
85,86,13252,2017,uy,Don't Let Me Down (feat. Daya), The Chainsmokers
86,87,13229,2017,uy,Hymn for the Weekend - Seeb Remix, Coldplay
87,88,13180,2017,uy,Sola, Anuel AA
88,89,13178,2017,uy,Encantadora (feat. Farruko & Zion & Lennox) - Remix, Yandel
89,90,13160,2017,uy,Era Tranquila, Marama
90,91,12868,2017,uy,Sin Contrato (feat. Fifth Harmony), Maluma
91,92,12586,2017,uy,Ginza, J Balvin
92,93,12514,2017,uy,Ando buscando (feat. Piso 21), Carlos Baute
93,94,12461,2017,uy,By Your Side, Jonas Blue
94,95,12385,2017,uy,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
95,96,12359,2017,uy,Amor y dolor, Carlos Baute
96,97,12349,2017,uy,This Is What You Came For (feat. Rihanna), Calvin Harris
97,98,12155,2017,uy,Tu beso y tu piel (feat. Gustas Mio), #TocoParaVos
98,99,11982,2017,uy,Work, Rihanna
99,100,11923,2017,uy,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
100,101,11915,2017,uy,Dame Bola, Sonido De La Costa
101,102,11829,2017,uy,Heathens, Twenty One Pilots
102,103,11801,2017,uy,Hear Me Now, Alok
103,104,11757,2017,uy,Nuestro Secreto, Pijama Party
104,105,11724,2017,uy,Cake By The Ocean, DNCE
105,106,11663,2017,uy,Acércate (feat. Nicky Jam) - Remix, De La Ghetto
106,107,11662,2017,uy,Hello, KAROL G
107,108,11503,2017,uy,Si Ella Quisiera - Remix, Justin Quiles
108,109,11448,2017,uy,Mata, Marka Akme
109,110,11383,2017,uy,Llegaste tú (feat. Reykon), Sofía Reyes
110,111,11345,2017,uy,Insegura, VAS
111,112,11336,2017,uy,Vienes y Te Vas, Valeria Gau
112,113,11278,2017,uy,De Pies A Cabeza, Maná
113,114,11252,2017,uy,#HEY!, Pase Libre
114,115,11124,2017,uy,Photograph, Ed Sheeran
115,116,10961,2017,uy,Yo te propongo, Rombai
116,117,10818,2017,uy,Would I Lie to You - Radio Edit, David Guetta
117,118,10724,2017,uy,Acá Estoy, El Reja
118,119,10696,2017,uy,Baila Conmigo, Juan Magán
119,120,10661,2017,uy,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
120,121,10599,2017,uy,Nena, Marama
121,122,10588,2017,uy,Enamorarnos No, Rombai
122,123,10531,2017,uy,Me Ama Me Odia, Ozuna
123,124,10495,2017,uy,Pierde Los Modales, J Balvin
124,125,10174,2017,uy,Picky, Joey Montana
125,126,9872,2017,uy,Sin Contrato, Maluma
126,127,9671,2017,uy,Mercy, Shawn Mendes
127,128,9608,2017,uy,Si ella quisiera, Justin Quiles
128,129,9574,2017,uy,Otra copa (feat. Farruko), Justin Quiles
129,130,9418,2017,uy,No Le Llamo Rencor, Dessia el Otro
130,131,9329,2017,uy,Hola, Joey Montana
131,132,9291,2017,uy,Te Amo y Odio, Marama
132,133,9249,2017,uy,Reencuentro, Rombai
133,134,9221,2017,uy,El Perdón (with Enrique Iglesias), Nicky Jam
134,135,9220,2017,uy,Corazon Apretado, CantoParaBailar
135,136,9196,2017,uy,Dame la Mano, Los Bonnitos
136,137,9128,2017,uy,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
137,138,9121,2017,uy,Yo Bailaré (feat. Zenon Pereyra), Halconizados de Amor
138,139,9044,2017,uy,Say You Won't Let Go, James Arthur
139,140,8998,2017,uy,Si Le Robo un Beso, VI-EM
140,141,8901,2017,uy,Thinking out Loud, Ed Sheeran
141,142,8848,2017,uy,Andas En Mi Cabeza - Remix, Chino & Nacho
142,143,8831,2017,uy,Deja Que Te Bese, Alejandro Sanz
143,144,8830,2017,uy,El Perdedor, Maluma
144,145,8647,2017,uy,Enamorarnos Bailando, The Panas
145,146,8644,2017,uy,Su Novio Anterior, El Villano
146,147,8606,2017,uy,All We Know, The Chainsmokers
147,148,8593,2017,uy,Tan Fácil, CNCO
148,149,8580,2017,uy,Sorry, Justin Bieber
149,150,8570,2017,uy,Ride, Twenty One Pilots
150,151,8533,2017,uy,Dueles, Jesse & Joy
151,152,8442,2017,uy,Fiesta, VI-EM
152,153,8402,2017,uy,Starving, Hailee Steinfeld
153,154,8401,2017,uy,Quisiera, CNCO
154,155,8216,2017,uy,Love Yourself, Justin Bieber
155,156,8200,2017,uy,Quiero Que Sepas, Juan Magán
156,157,8144,2017,uy,Ya No Hay Nadie Que Nos Pare, TINI
157,158,8107,2017,uy,Cheap Thrills, Corta La Bocha
158,159,8086,2017,uy,Loquita, Marama
159,160,8040,2017,uy,Stressed Out, Twenty One Pilots
160,161,8018,2017,uy,La niñera, AX 13
161,162,7992,2017,uy,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
162,163,7991,2017,uy,Donde Estas, Valeria Gau
163,164,7952,2017,uy,Enganchado #TocoParaVos - Cumbia Mix, #TocoParaVos
164,165,7941,2017,uy,La Vida Es una Sola, Pase Libre
165,166,7887,2017,uy,Too Good, Drake
166,167,7880,2017,uy,Me Quema, Paulina Rubio
167,168,7810,2017,uy,Mi Platonica, AX 13
168,169,7708,2017,uy,Si Te Dejas Llevar (feat. Juanka), Ozuna
169,170,7653,2017,uy,Cheap Thrills Remix (feat. Nicky Jam), Sia
170,171,7586,2017,uy,Un Beso, Danny Paz
171,172,7580,2017,uy,Chica Brasileña, El Super Hob
172,173,7575,2017,uy,Detras De Ti (Remix) [feat. Ozuna], Jory Boy
173,174,7479,2017,uy,Perfect Strangers, Jonas Blue
174,175,7407,2017,uy,Chamuyar Es de los Dos, Mawi
175,176,7393,2017,uy,Bad Things (with Camila Cabello), Machine Gun Kelly
176,177,7389,2017,uy,Sola Otra Vez, El Polaco
177,178,7374,2017,uy,Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana, Reik
178,179,7347,2017,uy,Tan Fácil (feat. Wisin) - Urban Remix, CNCO
179,180,7326,2017,uy,Segundas Intenciones, Rombai
180,181,7295,2017,uy,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
181,182,7288,2017,uy,Me Reclama, Mambo Kingz
182,183,7271,2017,uy,The Mack, Nevada
183,184,7234,2017,uy,Deu Onda, MC G15
184,185,7230,2017,uy,Chévere, The Panas
185,186,7127,2017,uy,Ya Me Enteré, Reik
186,187,7108,2017,uy,Quiero Que Vuelvas, Alejandro Fernández
187,188,7066,2017,uy,Una historia, #TocoParaVos
188,189,7041,2017,uy,I Would Like, Zara Larsson
189,190,7029,2017,uy,Black Beatles, Rae Sremmurd
190,191,7028,2017,uy,Playa y Arena (Remix), Mark B.
191,192,7012,2017,uy,La Cómplice, Alexis y Fido
192,193,6996,2017,uy,Por Esta Noche, Olvidate!
193,194,6994,2017,uy,Te busco (feat. Nicky Jam), Cosculluela
194,195,6986,2017,uy,Por Fin Te Encontré, Cali Y El Dandee
195,196,6976,2017,uy,Fake Love, Drake
196,197,6961,2017,uy,Curiosidad, Rombai
197,198,6924,2017,uy,Trumpets, Sak Noel & Salvi
198,199,6834,2017,uy,Quien Dijo Amigos, Carlitos Rossy
199,200,6748,2017,uy,Déjate Llevar, Enero
