,Rank,Streams,Year,Country,Title,Artist
0,1,92284,2022,ve,Desesperados, Rauw Alejandro
1,2,90734,2022,ve,MAMIII, Becky G
2,3,90202,2022,ve,Pantysito, Alejo
3,4,68163,2022,ve,Medallo, Blessd
4,5,65978,2022,ve,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas), Tainy
5,6,64811,2022,ve,Envolver, Anitta
6,7,57450,2022,ve,Yonaguni, Bad Bunny
7,8,56820,2022,ve,Fuera del mercado, Danny Ocean
8,9,47843,2022,ve,Se Le Ve, Dímelo Flow
9,10,46742,2022,ve,CANDY, ROSALÍA
10,11,46635,2022,ve,Volando - Remix, Mora
11,12,45987,2022,ve,Jordan, Ryan Castro
12,13,44382,2022,ve,SAOKO, ROSALÍA
13,14,44030,2022,ve,A Tu Merced, Bad Bunny
14,15,42114,2022,ve,12x3, DEKKO
15,16,41169,2022,ve,Problemón, Alvaro Diaz
16,17,40123,2022,ve,DÁKITI, Bad Bunny
17,18,39631,2022,ve,Plan A, Paulo Londra
18,19,38842,2022,ve,Sensual Bebé, Jhay Cortez
19,20,37706,2022,ve,Nostálgico, Rvssian
20,21,37643,2022,ve,BIZCOCHITO, ROSALÍA
21,22,37501,2022,ve,La Santa, Bad Bunny
22,23,37364,2022,ve,Cayó La Noche (feat. Cruz Cafuné Abhir Hathi Bejo EL IMA) [Remix], La Pantera
23,24,36848,2022,ve,Volví, Aventura
24,25,36674,2022,ve,Ley Seca, Jhay Cortez
25,26,36532,2022,ve,Una Noche en Medellín, Cris Mj
26,27,35666,2022,ve,Tacones Rojos, Sebastian Yatra
27,28,35593,2022,ve,Me Gustas Natural, Eladio Carrion
28,29,35135,2022,ve,Cúrame, Rauw Alejandro
29,30,34845,2022,ve,Todo De Ti, Rauw Alejandro
30,31,34394,2022,ve,Monastery, Ryan Castro
31,32,34022,2022,ve,2/Catorce, Rauw Alejandro
32,33,33944,2022,ve,SEJODIOTO, KAROL G
33,34,33539,2022,ve,Ella - Remix, Boza
34,35,33007,2022,ve,LA FAMA (with The Weeknd), ROSALÍA
35,36,32458,2022,ve,CHICKEN TERIYAKI, ROSALÍA
36,37,31630,2022,ve,Mon Amour - Remix, zzoilo
37,38,30839,2022,ve,Diles, Bad Bunny
38,39,30566,2022,ve,LA COMBI VERSACE (feat. Tokischa), ROSALÍA
39,40,30135,2022,ve,HENTAI, ROSALÍA
40,41,29609,2022,ve,FRIKI, Feid
41,42,29269,2022,ve,LA CANCIÓN, J Balvin
42,43,28941,2022,ve,No Te Deseo el Mal, Eladio Carrion
43,44,28818,2022,ve,Sobrio, Maluma
44,45,28810,2022,ve,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
45,46,28248,2022,ve,Cold Heart - PNAU Remix, Elton John
