,Rank,Streams,Year,Country,Title,Artist
0,1,611258,2021,vn,Chúng Ta Của Hiện Tại, Sơn Tùng M-TP
1,2,284067,2021,vn,Bước Qua Mùa Cô Đơn, Vũ.
2,3,280938,2021,vn,Đi Về Nhà, Đen
3,4,209757,2021,vn,Nàng Thơ, Hoang Dung
4,5,204982,2021,vn,Trên Tình Bạn Dưới Tình Yêu, MIN
5,6,187110,2021,vn,Gác Lại Âu Lo, Da LAB
6,7,182021,2021,vn,Đom Đóm, Jack - J97
7,8,174279,2021,vn,từ thích thích thành thương thương, AMEE
8,9,167833,2021,vn,Chuyện Rằng, Thịnh Suy
9,10,165662,2021,vn,BLACKJACK, Soobin Hoang Son
10,11,162499,2021,vn,Dân Chơi Xóm (feat. RPT MCK & JustaTee), RAP VIỆT
11,12,159846,2021,vn,CÓ CHẮC YÊU LÀ ĐÂY, Sơn Tùng M-TP
12,13,150692,2021,vn,Mascara, Chillies
13,14,146346,2021,vn,Gặp Nhưng Không Ở Lại, Hiền Hồ
14,15,130508,2021,vn,Lối Nhỏ, Đen
15,16,126727,2021,vn,Bigcityboi (feat. Touliver), Binz
16,17,125598,2021,vn,Dynamite, BTS
17,18,122928,2021,vn,Life Goes On, BTS
18,19,120122,2021,vn,At My Worst, Pink Sweat$
19,20,119405,2021,vn,từ chối nhẹ nhàng thôi, Bich Phuong
20,21,114639,2021,vn,Missing You, Phuong Ly
21,22,112734,2021,vn,Va Vào Giai Điệu Này (feat. RPT MCK), RAP VIỆT
22,23,112632,2021,vn,Cứ Chill Thôi, Chillies
23,24,111876,2021,vn,Bài Này Chill Phết, Đen
24,25,107457,2021,vn,positions, Ariana Grande
25,26,107364,2021,vn,Sinh Ra Đã Là Thứ Đối Lập Nhau, Emcee L (Da LAB)
26,27,106515,2021,vn,Buồn Thì Cứ Khóc Đi, Lynk Lee
27,28,105236,2021,vn,Lạ Lùng, Vũ.
28,29,104418,2021,vn,Ke Cap Gap Ba Gia (feat. BINZ), Hoang Thuy Linh
29,30,103972,2021,vn,Qua Khung Cửa Sổ, Chillies
30,31,102155,2021,vn,34+35, Ariana Grande
31,32,101059,2021,vn,Anyone, Justin Bieber
32,33,96243,2021,vn,Thanh Xuan, Da LAB
33,34,92968,2021,vn,Anh Chưa Biết Đâu, Mỹ Tâm
34,35,91300,2021,vn,ex's hate me Pt. 2, AMEE
35,36,91049,2021,vn,nàng thơ... trời giấu trời mang đi, AMEE
36,37,90706,2021,vn,3 1 0 7, W/N
37,38,90671,2021,vn,Một Cú Lừa, Bich Phuong
38,39,89820,2021,vn,em bỏ hút thuốc chưa, Bich Phuong
39,40,89425,2021,vn,willow, Taylor Swift
40,41,88818,2021,vn,Có Em Đời Bỗng Vui, Chillies
41,42,85260,2021,vn,Afterglow, Ed Sheeran
42,43,84495,2021,vn,Hoa Nở Không Màu, Hoài Lâm
43,44,84093,2021,vn,Thích Quá Rùi Nà, tlinh
44,45,82591,2021,vn,Hãy Trao Cho Anh, Sơn Tùng M-TP
45,46,82244,2021,vn,Tình Yêu Xanh Lá (juju), Thịnh Suy
46,47,78324,2021,vn,Và Thế Là Hết, Chillies
47,48,77114,2021,vn,Lời Đường Mật, Lyly
