,Rank,Streams,Year,Country,Title,Artist
0,1,93899,2020,za,Dance Monkey, Tones And I
1,2,63160,2020,za,Circles, Post Malone
2,3,60656,2020,za,Memories, Maroon 5
3,4,54619,2020,za,The Box, Roddy Ricch
4,5,53703,2020,za,Falling, Trevor Daniel
5,6,51667,2020,za,ROXANNE, Arizona Zervas
6,7,50765,2020,za,Don't Start Now, Dua Lipa
7,8,48508,2020,za,Señorita, Shawn Mendes
8,9,47183,2020,za,Yummy, Justin Bieber
9,10,44818,2020,za,Beautiful People (feat. Khalid), Ed Sheeran
10,11,43597,2020,za,everything i wanted, Billie Eilish
11,12,40308,2020,za,Someone You Loved, Lewis Capaldi
12,13,39946,2020,za,Blinding Lights, The Weeknd
13,14,39508,2020,za,Lose You To Love Me, Selena Gomez
14,15,39407,2020,za,My Oh My (feat. DaBa,)  
15,16,37527,2020,za,Lorch, Kabza De Small
16,17,36945,2020,za,bad guy, Billie Eilish
17,18,36047,2020,za,I Don't Care (with Justin Bieber), Ed Sheeran
18,19,33924,2020,za,How Do You Sleep?, Sam Smith
19,20,32376,2020,za,hot girl bummer, blackbear
20,21,31937,2020,za,Eastside (with Halsey & Khalid), benny blanco
21,22,31555,2020,za,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
22,23,31417,2020,za,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
23,24,31029,2020,za,BOP, DaBa
24,25,30721,2020,za,Watermelon Sugar, Harry Styles
25,26,29611,2020,za,Lose Control, MEDUZA
26,27,29400,2020,za,Trampoline (with ZAYN), SHAED
27,28,28902,2020,za,No Idea, Don Toliver
28,29,28878,2020,za,HIGHEST IN THE ROOM, Travis Scott
29,30,28836,2020,za,Ride It, Regard
30,31,27057,2020,za,Tender Love (feat. DJ Maphorisa & Kabza De Small), Sha Sha
31,32,26977,2020,za,Adore You, Harry Styles
32,33,26562,2020,za,Akulaleki, Samthing Soweto
33,34,26296,2020,za,Takeaway, The Chainsmokers
34,35,26201,2020,za,Jerusalema, Master KG
35,36,25882,2020,za,Happier, Marshmello
36,37,25794,2020,za,Old Town Road - Remix, Lil Nas X
37,38,25751,2020,za,Good,es (Feat. Young Thug)  
38,39,25406,2020,za,Heartless, The Weeknd
39,40,24979,2020,za,Call You Mine, The Chainsmokers
40,41,24109,2020,za,Before You Go, Lewis Capaldi
41,42,24056,2020,za,Nana Thula, Kabza De Small
42,43,23015,2020,za,No Guidance (feat. Drake), Chris Brown
43,44,22717,2020,za,Lucid Dreams, Juice WRLD
44,45,22682,2020,za,Graveyard, Halsey
45,46,22609,2020,za,Sandton, Kabza De Small
46,47,22496,2020,za,Labantwana Ama Uber, Semi Tee
47,48,22418,2020,za,Up All Night, Khalid
48,49,22319,2020,za,Youngblood, 5 Seconds of Summer
49,50,22085,2020,za,Look At Her Now, Selena Gomez
50,51,22020,2020,za,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
51,52,21916,2020,za,Dancing With A Stranger (with Normani), Sam Smith
52,53,21507,2020,za,Bandit (with YoungBoy Never Broke Again), Juice WRLD
53,54,21409,2020,za,Sucker, Jonas Brothers
54,55,21342,2020,za,Futsal Shuffle 2020, Lil Uzi Vert
55,56,21337,2020,za,Love You Tonight (feat. DJ Maphorisa Sha Sha & Kabza De Small), Mfr Souls
56,57,21258,2020,za,Umlilo, DJ Zinhle
57,58,21097,2020,za,You Need To Calm Down, Taylor Swift
58,59,20999,2020,za,Higher Love, Kygo
59,60,20983,2020,za,Dames, Biggy
60,61,20532,2020,za,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
61,62,20422,2020,za,Shallow, Lady Gaga
62,63,20296,2020,za,Ballin' (with Roddy Ricch), Mustard
63,64,20181,2020,za,Family, The Chainsmokers
64,65,20157,2020,za,Sweet but Psycho, Ava Max
65,66,19748,2020,za,Never Really Over, Katy Perry
66,67,19743,2020,za,I Like Me Better, Lauv
67,68,19704,2020,za,Lalala, Y2K
68,69,19634,2020,za,7 rings, Ariana Grande
69,70,19464,2020,za,Ransom, Lil Tecca
70,71,19217,2020,za,Yellow Hearts, Ant Saunders
