,Rank,Streams,Year,Country,Title,Artist
0,1,17489,2018,ae,thank u next, Ariana Grande
1,2,11657,2018,ae,Without Me, Halsey
2,3,10676,2018,ae,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
3,4,10386,2018,ae,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
4,5,8774,2018,ae,Better, Khalid
5,6,8763,2018,ae,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
6,7,8298,2018,ae,SICKO MODE, Travis Scott
7,8,7924,2018,ae,Happier, Marshmello
8,9,7284,2018,ae,Kiss and Make Up, Dua Lipa
9,10,6802,2018,ae,Ruin My Life, Zara Larsson
10,11,6504,2018,ae,when the party's over, Billie Eilish
11,12,6483,2018,ae,BAD!, XXXTENTACION
12,13,6450,2018,ae,Woman Like Me (feat. Nicki Minaj), Little Mix
13,14,6206,2018,ae,Eastside (with Halsey & Khalid), benny blanco
14,15,5925,2018,ae,MIA (feat. Drake), Bad Bunny
15,16,5914,2018,ae,Happy Now, Kygo
16,17,5859,2018,ae,ZEZE (feat. Travis Scott & Offset), Kodak Black
17,18,5427,2018,ae,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
18,19,5239,2018,ae,Better Now, Post Malone
19,20,5234,2018,ae,Bad Liar, Imagine Dragons
20,21,4956,2018,ae,breathin, Ariana Grande
21,22,4907,2018,ae,Mo Bamba, Sheck Wes
22,23,4798,2018,ae,Bohemian Rhapsody - Remastered 2011, Queen
23,24,4580,2018,ae,Lucid Dreams, Juice WRLD
24,25,4506,2018,ae,Sweet but Psycho, Ava Max
25,26,4418,2018,ae,Let You Love Me, Rita Ora
26,27,4343,2018,ae,IDGAF, Dua Lipa
27,28,4334,2018,ae,Waste It On Me, Steve Aoki
28,29,4278,2018,ae,Be Alright, Dean Lewis
29,30,4272,2018,ae,Beautiful (feat. Camila Cabello), Bazzi
30,31,4190,2018,ae,SAD!, XXXTENTACION
31,32,4122,2018,ae,Shallow, Lady Gaga
32,33,4004,2018,ae,This Feeling (feat. Kelsea Ballerini), The Chainsmokers
33,34,3964,2018,ae,Moonlight, XXXTENTACION
34,35,3816,2018,ae,Beach House, The Chainsmokers
35,36,3758,2018,ae,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
36,37,3741,2018,ae,lovely (with Khalid), Billie Eilish
37,38,3510,2018,ae,Love Someone, Lukas Graham
38,39,3470,2018,ae,rockstar (feat. 21 Savage), Post Malone
39,40,3407,2018,ae,Havana (feat. Young Thug), Camila Cabello
40,41,3296,2018,ae,Wake Up in the Sky, Gucci Mane
41,42,3232,2018,ae,Suncity (feat. Empress Of), Khalid
42,43,3150,2018,ae,Drip Too Hard (Lil Ba, & Gunna)  
43,44,3132,2018,ae,Falling Down - Bonus Track, Lil Peep
44,45,3055,2018,ae,2002, Anne-Marie
45,46,2904,2018,ae,Say You Won't Let Go, James Arthur
46,47,2851,2018,ae,Promises (with Sam Smith), Calvin Harris
47,48,2788,2018,ae,Happy Now, Zedd
48,49,2776,2018,ae,Kung 'Di Rin Lang Ikaw, December Avenue
49,50,2745,2018,ae,I Like Me Better, Lauv
50,51,2741,2018,ae,Empty Space, James Arthur
51,52,2725,2018,ae,Youngblood, 5 Seconds of Summer
52,53,2723,2018,ae,Buwan, juan karlos
53,54,2713,2018,ae,SOLO, JENNIE
