,Rank,Streams,Year,Country,Title,Artist
0,1,1451592,2016,ar,Chantaje (feat. Maluma), Shakira
1,2,1206985,2016,ar,Reggaetón Lento (Bailemos), CNCO
2,3,1161068,2016,ar,Vente Pa' Ca (feat. Maluma), Ricky Martin
3,4,947056,2016,ar,Safari, J Balvin
4,5,851108,2016,ar,Shaky Shaky, Daddy Yankee
5,6,845863,2016,ar,Otra vez (feat. J Balvin), Zion & Lennox
6,7,844818,2016,ar,Cuando Se Pone a Bailar, Rombai
7,8,832618,2016,ar,Traicionera, Sebastian Yatra
8,9,650907,2016,ar,La Bicicleta, Carlos Vives
9,10,645436,2016,ar,Dile Que Tu Me Quieres, Ozuna
10,11,627636,2016,ar,Andas En Mi Cabeza, Chino & Nacho
11,12,596251,2016,ar,Let Me Love You, DJ Snake
12,13,577860,2016,ar,Desde Esa Noche (feat. Maluma), Thalia
13,14,557580,2016,ar,Me llamas (feat. Maluma) - Remix, Piso 21
14,15,556379,2016,ar,Gyal You A Party Animal - Remix, Charly Black
15,16,523222,2016,ar,Borro Cassette, Maluma
16,17,495799,2016,ar,Cuatro Ba,s (feat. Trap Capos
17,18,477401,2016,ar,Rocka,e (feat. Sean Paul & Anne-Marie)  
18,19,474060,2016,ar,My Way, Calvin Harris
19,20,465476,2016,ar,Starboy, The Weeknd
20,21,459242,2016,ar,Carnavalintro, Chano
21,22,457962,2016,ar,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
22,23,455572,2016,ar,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
23,24,454413,2016,ar,Cold Water (feat. Justin Bieber & MØ), Major Lazer
24,25,447652,2016,ar,Manicomio, Cosculluela
25,26,445918,2016,ar,Don't Wanna Know, Maroon 5
26,27,433828,2016,ar,La Noche No Es para Dormir, Mano Arriba
27,28,430663,2016,ar,24K Magic, Bruno Mars
28,29,421978,2016,ar,La Bicicleta (feat. Maluma) - Remix, Carlos Vives
29,30,420651,2016,ar,One Dance, Drake
30,31,400089,2016,ar,In the Name of Love, Martin Garrix
31,32,375300,2016,ar,Vacaciones, Wisin
32,33,375116,2016,ar,Te Quiero Pa´Mi, Don Omar
33,34,369129,2016,ar,The Greatest, Sia
34,35,362359,2016,ar,Sin Contrato (feat. Don Omar & Wisin) - Remix, Maluma
35,36,358575,2016,ar,Don't Let Me Down (feat. Daya), The Chainsmokers
36,37,355134,2016,ar,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
37,38,349307,2016,ar,Fuego, Juanes
38,39,343573,2016,ar,Work, Rihanna
39,40,343383,2016,ar,Llamame Mas Temprano, Mano Arriba
40,41,341178,2016,ar,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
41,42,331974,2016,ar,Closer, The Chainsmokers
42,43,329769,2016,ar,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
43,44,322611,2016,ar,La Gozadera (feat. Marc Anthony), Gente De Zona
44,45,319883,2016,ar,Treat You Better, Shawn Mendes
45,46,312513,2016,ar,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
46,47,312157,2016,ar,Tu Ritmo, Los Bonnitos
47,48,304741,2016,ar,Te Vas, Ozuna
48,49,295786,2016,ar,Cake By The Ocean, DNCE
49,50,276294,2016,ar,Bobo, J Balvin
50,51,275091,2016,ar,I Feel It Coming, The Weeknd
51,52,262173,2016,ar,Hasta el Amanecer, Nicky Jam
52,53,261955,2016,ar,Sin Contrato (feat. Fifth Harmony), Maluma
53,54,252907,2016,ar,Me Ama Me Odia, Ozuna
54,55,249410,2016,ar,Noche Loca, Marama
55,56,248144,2016,ar,El Perdedor (feat. Yandel) - The Remix, Maluma
56,57,246351,2016,ar,Traicionera - Remix, Sebastian Yatra
57,58,236613,2016,ar,Side To Side, Ariana Grande
58,59,233848,2016,ar,Chillax (feat. Ky-Mani Marley), Farruko
59,60,227040,2016,ar,Locuras contigo, Rombai
60,61,223326,2016,ar,Picky, Joey Montana
61,62,221342,2016,ar,Just Hold On, Steve Aoki
62,63,216412,2016,ar,Bailame Despacio, Xantos
63,64,212174,2016,ar,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
64,65,205883,2016,ar,Cheap Thrills, Sia
65,66,197689,2016,ar,Would I Lie to You - Radio Edit, David Guetta
66,67,196335,2016,ar,Baila, Agapornis
67,68,194219,2016,ar,El Perdedor, Maluma
68,69,193450,2016,ar,Deja De Llorar, El Polaco
69,70,192993,2016,ar,Ruleta Rusa, Kevin Roldan
70,71,189473,2016,ar,Era Tranquila, Marama
71,72,189225,2016,ar,Pájaro Cantor, Abel Pintos
72,73,188153,2016,ar,Amor y dolor, Carlos Baute
73,74,188048,2016,ar,Call On Me - Ryan Riback Extended Remix, Starley
74,75,186531,2016,ar,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
75,76,184244,2016,ar,Pasarla Bien, Marama
76,77,184175,2016,ar,Llegaste tú (feat. Reykon), Sofía Reyes
77,78,182109,2016,ar,Ride, Twenty One Pilots
78,79,181334,2016,ar,Lo Intentamos, Marama
79,80,179936,2016,ar,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
80,81,179675,2016,ar,Comerte a Besos, Pijama Party
81,82,178055,2016,ar,Me Reclama, Mambo Kingz
82,83,167167,2016,ar,Nena, Marama
83,84,166979,2016,ar,Encantadora (feat. Farruko & Zion & Lennox) - Remix, Yandel
84,85,164727,2016,ar,Ginza, J Balvin
85,86,164567,2016,ar,Si Te Dejas Llevar (feat. Juanka), Ozuna
86,87,163365,2016,ar,Loquita, Marama
87,88,163296,2016,ar,Heathens, Twenty One Pilots
88,89,162379,2016,ar,Hasta la luna, #TocoParaVos
89,90,161730,2016,ar,El Chisme, Reykon
90,91,161367,2016,ar,No Llores, LOAN
91,92,160491,2016,ar,Mi tesoro (feat. Nicky Jam), Zion & Lennox
92,93,158371,2016,ar,Yo te propongo, Rombai
93,94,156343,2016,ar,Si ella quisiera, Justin Quiles
94,95,156164,2016,ar,Love Yourself, Justin Bieber
95,96,151933,2016,ar,Si me dices que sí (feat. Nicky Jam), Cosculluela
96,97,151662,2016,ar,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix, Jacob Forever
97,98,151648,2016,ar,Baila Conmigo, Juan Magán
98,99,151486,2016,ar,Le Hace Falta un Beso, Agapornis
99,100,150205,2016,ar,743, Miranda!
100,101,149638,2016,ar,Hymn for the Weekend - Seeb Remix, Coldplay
101,102,149328,2016,ar,El Perdón (with Enrique Iglesias), Nicky Jam
102,103,147844,2016,ar,Papi Shampu, Papichamp
103,104,144515,2016,ar,No Me Olvides, La Beriso
104,105,142384,2016,ar,This Is What You Came For (feat. Rihanna), Calvin Harris
105,106,141351,2016,ar,De Pies A Cabeza, Maná
106,107,139362,2016,ar,Hello, KAROL G
107,108,138724,2016,ar,Que Raro, Feid
108,109,138430,2016,ar,Stressed Out, Twenty One Pilots
109,110,137128,2016,ar,Acércate (feat. Nicky Jam) - Remix, De La Ghetto
110,111,136531,2016,ar,The Mack, Nevada
111,112,135062,2016,ar,Te Vas - Version Cumbia, aLee DJ
112,113,134808,2016,ar,Sorry, Justin Bieber
113,114,134113,2016,ar,Si Ella Quisiera - Remix, Justin Quiles
114,115,132761,2016,ar,Pierde Los Modales, J Balvin
115,116,131429,2016,ar,Madrugada, La Beriso
116,117,130513,2016,ar,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
117,118,128106,2016,ar,Se Pone Loca, CantoParaBailar
118,119,127957,2016,ar,Sola, Anuel AA
119,120,127869,2016,ar,Ego, Lali
120,121,127689,2016,ar,La Ocasion (feat. Arcangel Ozuna & Anuel Aa), De La Ghetto
121,122,125520,2016,ar,En La Intimidad, Ozuna
122,123,124614,2016,ar,Andas En Mi Cabeza - Remix, Chino & Nacho
123,124,124014,2016,ar,Corazon De Seda (feat. Ozuna), Klasico
124,125,123685,2016,ar,Otra copa (feat. Farruko), Justin Quiles
125,126,120460,2016,ar,Un Polvo (feat. Bad Bunny Arcángel Ñengo Flow & De La Ghetto), Maluma
126,127,120442,2016,ar,Cuando Pase El Temblor - Remasterizado 2007, Soda Stereo
127,128,119811,2016,ar,La Mordidita (feat. Yotuel), Ricky Martin
128,129,119538,2016,ar,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
129,130,119365,2016,ar,Hola, Joey Montana
130,131,118921,2016,ar,Volaré, Benjamín Amadeo
131,132,118683,2016,ar,Todo Comenzó Bailando, Marama
132,133,118673,2016,ar,Te busco (feat. Nicky Jam), Cosculluela
133,134,117125,2016,ar,Sin Contrato, Maluma
