,Rank,Streams,Year,Country,Title,Artist
0,1,1265429,2022,au,Cold Heart - PNAU Remix, Elton John
1,2,1265054,2022,au,STAY (with Justin Bieber), The Kid LAROI
2,3,1178966,2022,au,Heat Waves, Glass Animals
3,4,1138261,2022,au,abcdefu, GAYLE
4,5,983377,2022,au,Easy On Me, Adele
5,6,958873,2022,au,Shivers, Ed Sheeran
6,7,949641,2022,au,Fingers Crossed, Lauren Spencer-Smith
7,8,944190,2022,au,Sacrifice, The Weeknd
8,9,925139,2022,au,Do It To It, ACRAZE
9,10,917353,2022,au,Bad Habits, Ed Sheeran
10,11,904904,2022,au,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
11,12,851034,2022,au,Where Are You Now, Lost Frequencies
12,13,824845,2022,au,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
13,14,800779,2022,au,Ghost, Justin Bieber
14,15,765549,2022,au,good 4 u, Olivia Rodrigo
15,16,736171,2022,au,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
16,17,708975,2022,au,Down Under (feat. Colin Hay), Luude
17,18,687069,2022,au,Kiss Me More (feat. SZA), Doja Cat
18,19,684256,2022,au,Is There Someone Else?, The Weeknd
19,20,680205,2022,au,One Right Now (with The Weeknd), Post Malone
20,21,636728,2022,au,Better Days (NEIKED x Mae Muller x Polo G), NEIKED
21,22,636280,2022,au,THATS WHAT I WANT, Lil Nas X
22,23,576388,2022,au,Surface Pressure, Jessica Darrow
23,24,566660,2022,au,I Hate U, SZA
24,25,563989,2022,au,Woman, Doja Cat
25,26,554673,2022,au,edamame (feat. Rich Brian), bbno$
26,27,546034,2022,au,I AM WOMAN, Emmy Meli
27,28,543909,2022,au,Out of Time, The Weeknd
28,29,540210,2022,au,Gasoline, The Weeknd
29,30,540127,2022,au,How Do I Make You Love Me?, The Weeknd
30,31,537090,2022,au,MONTERO (Call Me By Your Name), Lil Nas X
31,32,524094,2022,au,Miserable Man, David Kushner
32,33,520480,2022,au,Beggin', Måneskin
33,34,517693,2022,au,Moth To A Flame (with The Weeknd), Swedish House Mafia
34,35,512519,2022,au,The Motto, Tiësto
35,36,503181,2022,au,Levitating (feat. DaBa,)  
36,37,502204,2022,au,We Run The Night - Teddy Cream Remix, Havana Brown
37,38,488711,2022,au,Meet Me At Our Spot, THE ANXIETY
38,39,485579,2022,au,My Universe, Coldplay
39,40,484010,2022,au,Mr. Brightside, The Killers
40,41,466576,2022,au,Blinding Lights, The Weeknd
41,42,460777,2022,au,Oh My God, Adele
42,43,458574,2022,au,Take My Breath, The Weeknd
43,44,456554,2022,au,Dreams - 2004 Remaster, Fleetwood Mac
44,45,455634,2022,au,Here We Go… Again (feat. Tyler the Creator), The Weeknd
45,46,452749,2022,au,Less Than Zero, The Weeknd
46,47,449143,2022,au,Best Friends, The Weeknd
47,48,444057,2022,au,Acapulco, Jason Derulo
48,49,438091,2022,au,Missing Piece, Vance Joy
49,50,432847,2022,au,Need to Know, Doja Cat
50,51,419654,2022,au,The Thrill, Wiz Khalifa
51,52,419628,2022,au,I Heard You’re Married (feat. Lil Wayne), The Weeknd
52,53,419146,2022,au,drivers license, Olivia Rodrigo
53,54,391578,2022,au,Dawn FM, The Weeknd
54,55,391366,2022,au,2055, Sleepy Hallow
55,56,390145,2022,au,Overpass Graffiti, Ed Sheeran
56,57,388622,2022,au,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
57,58,381391,2022,au,Smokin Out The Window, Bruno Mars
58,59,375678,2022,au,Starry Eyes, The Weeknd
59,60,372173,2022,au,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Taylor Swift
60,61,365072,2022,au,Watermelon Sugar, Harry Styles
61,62,356136,2022,au,Mood (feat. iann dior), 24kGoldn
62,63,343382,2022,au,Someone You Loved, Lewis Capaldi
63,64,340633,2022,au,Infinity, Jaymes Young
64,65,340441,2022,au,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit, Riton
65,66,331016,2022,au,GROWING UP IS _____, Ruel
66,67,330152,2022,au,Leave Before You Love Me (with Jonas Brothers), Marshmello
67,68,329862,2022,au,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
