,Rank,Streams,Year,Country,Title,Artist
0,1,503653,2022,be,L’enfer, Stromae
1,2,376200,2022,be,abcdefu, GAYLE
2,3,323427,2022,be,Heat Waves, Glass Animals
3,4,317975,2022,be,Dat heb jij gedaan, MEAU
4,5,307009,2022,be,Easy On Me, Adele
5,6,302793,2022,be,Do It To It, ACRAZE
6,7,290149,2022,be,Pepas, Farruko
7,8,289292,2022,be,Where Are You Now, Lost Frequencies
8,9,284457,2022,be,Shivers, Ed Sheeran
9,10,278021,2022,be,STAY (with Justin Bieber), The Kid LAROI
10,11,261027,2022,be,Cold Heart - PNAU Remix, Elton John
11,12,247381,2022,be,Santé, Stromae
12,13,237584,2022,be,Bruxelles je t’aime, Angèle
13,14,235548,2022,be,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
14,15,217575,2022,be,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
15,16,211857,2022,be,Sacrifice, The Weeknd
16,17,209634,2022,be,love nwantiti (ah ah ah), CKay
17,18,201273,2022,be,Jefe, Ninho
18,19,200572,2022,be,Bad Habits, Ed Sheeran
19,20,199022,2022,be,Thunder, Gabry Ponte
20,21,194386,2022,be,Fingers Crossed, Lauren Spencer-Smith
21,22,193846,2022,be,Démons, Angèle
22,23,189015,2022,be,Waterval, K3
23,24,176506,2022,be,Moth To A Flame (with The Weeknd), Swedish House Mafia
24,25,169739,2022,be,THATS WHAT I WANT, Lil Nas X
25,26,165041,2022,be,Woman, Doja Cat
26,27,159388,2022,be,My Universe, Coldplay
27,28,158031,2022,be,Infinity, Jaymes Young
28,29,156487,2022,be,The Motto, Tiësto
29,30,151479,2022,be,It'll Be Okay, Shawn Mendes
30,31,149827,2022,be,Ze Meent Het, Metejoor
31,32,146682,2022,be,VVS, Ninho
32,33,144742,2022,be,good 4 u, Olivia Rodrigo
33,34,136934,2022,be,Love Tonight - Edit, Shouse
34,35,133829,2022,be,Duizend Sterren, Regi
35,36,126386,2022,be,Anunnaki, Vald
36,37,126180,2022,be,How Do I Make You Love Me?, The Weeknd
37,38,125961,2022,be,Beggin', Måneskin
38,39,124802,2022,be,Ghost, Justin Bieber
39,40,124264,2022,be,Never Going Home, Kungs
40,41,123832,2022,be,Is There Someone Else?, The Weeknd
41,42,121087,2022,be,Gasoline, The Weeknd
42,43,118459,2022,be,Amsterdam, FLEMMING
43,44,118454,2022,be,Blinding Lights, The Weeknd
44,45,117818,2022,be,GHOST TOWN, Benson Boone
45,46,117079,2022,be,Jour meilleur, Orelsan
46,47,115441,2022,be,I AM WOMAN, Emmy Meli
