,Rank,Streams,Year,Country,Title,Artist
0,1,20295,2019,bg,Without Me, Halsey
1,2,17364,2019,bg,Wow., Post Malone
2,3,15175,2019,bg,SICKO MODE, Travis Scott
3,4,12792,2019,bg,ZEZE (feat. Travis Scott & Offset), Kodak Black
4,5,12791,2019,bg,thank u next, Ariana Grande
5,6,12254,2019,bg,Shallow, Lady Gaga
6,7,12205,2019,bg,Going Bad (feat. Drake), Meek Mill
7,8,11293,2019,bg,Sweet but Psycho, Ava Max
8,9,11215,2019,bg,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
9,10,10738,2019,bg,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
10,11,10355,2019,bg,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
11,12,10068,2019,bg,Mo Bamba, Sheck Wes
12,13,9548,2019,bg,Better Now, Post Malone
13,14,9203,2019,bg,rockstar (feat. 21 Savage), Post Malone
14,15,8977,2019,bg,Nonstop, Drake
15,16,8880,2019,bg,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
16,17,8865,2019,bg,Eastside (with Halsey & Khalid), benny blanco
17,18,8534,2019,bg,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
18,19,8398,2019,bg,SAD!, XXXTENTACION
19,20,8165,2019,bg,Kiss and Make Up, Dua Lipa
20,21,8138,2019,bg,High Hopes, Panic! At The Disco
21,22,8126,2019,bg,Say My Name, David Guetta
22,23,7936,2019,bg,I Like It, Cardi B
23,24,7907,2019,bg,Taste (feat. Offset), Tyga
24,25,7610,2019,bg,Crushed Up, Future
25,26,7538,2019,bg,Drip Too Hard (Lil Ba, & Gunna)  
26,27,7522,2019,bg,Bohemian Rhapsody - Remastered 2011, Queen
27,28,7507,2019,bg,monster, 21 Savage
28,29,7428,2019,bg,In My Mind, Dynoro
29,30,7082,2019,bg,No Stylist (feat. Drake), French Montana
30,31,7011,2019,bg,Butterfly Doors, Lil Pump
31,32,6993,2019,bg,Let You Love Me, Rita Ora
32,33,6944,2019,bg,Moonlight, XXXTENTACION
33,34,6944,2019,bg,Leave Me Alone, Flipp Dinero
34,35,6885,2019,bg,a lot, 21 Savage
35,36,6799,2019,bg,Happier, Marshmello
36,37,6664,2019,bg,imagine, Ariana Grande
37,38,6663,2019,bg,Money, Cardi B
38,39,6589,2019,bg,when the party's over, Billie Eilish
39,40,6582,2019,bg,KUDE BESHE, V:RGO
40,41,6520,2019,bg,Wake Up in the Sky, Gucci Mane
41,42,6422,2019,bg,God is a woman, Ariana Grande
42,43,6397,2019,bg,Lucid Dreams, Juice WRLD
43,44,6340,2019,bg,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
44,45,6334,2019,bg,no tears left to cry, Ariana Grande
45,46,6263,2019,bg,God's Plan, Drake
46,47,6256,2019,bg,MOLLY, V:RGO
47,48,6249,2019,bg,lovely, Billie Eilish
48,49,6146,2019,bg,Look Back at It, A Boogie Wit da Hoodie
49,50,6133,2019,bg,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
50,51,6084,2019,bg,BEEF, V:RGO
51,52,6043,2019,bg,MIA (feat. Drake), Bad Bunny
52,53,5977,2019,bg,whoa (mind in awe), XXXTENTACION
53,54,5911,2019,bg,TRAP CARD, V:RGO
54,55,5882,2019,bg,Startender (feat. Offset and Tyga), A Boogie Wit da Hoodie
55,56,5855,2019,bg,Youngblood, 5 Seconds of Summer
56,57,5850,2019,bg,Lucky You (feat. Joyner Lucas), Eminem
57,58,5807,2019,bg,Solo (feat. Demi Lovato), Clean Bandit
58,59,5772,2019,bg,FEFE, 6ix9ine
59,60,5772,2019,bg,Venom - Music From The Motion Picture, Eminem
60,61,5652,2019,bg,Promises (with Sam Smith), Calvin Harris
61,62,5635,2019,bg,BOMBAY, V:RGO
62,63,5614,2019,bg,Saturday Nights, Khalid
63,64,5576,2019,bg,In My Feelings, Drake
64,65,5506,2019,bg,Чужди усмивки, ToTo H
65,66,5486,2019,bg,Believer, Imagine Dragons
66,67,5475,2019,bg,Woman Like Me (feat. Nicki Minaj), Little Mix
67,68,5457,2019,bg,Another One Bites The Dust - Remastered 2011, Queen
68,69,5417,2019,bg,Natural, Imagine Dragons
69,70,5396,2019,bg,One Kiss (with Dua Lipa), Calvin Harris
70,71,5342,2019,bg,Look Alive (feat. Drake), BlocBoy JB
71,72,5321,2019,bg,Better, Khalid
72,73,5255,2019,bg,Ruin My Life, Zara Larsson
73,74,5209,2019,bg,Въртележката, Yanitsa
74,75,5171,2019,bg,IDGAF, Dua Lipa
75,76,5145,2019,bg,Beautiful (feat. Camila Cabello), Bazzi
76,77,5140,2019,bg,MAMULI, V:RGO
77,78,5131,2019,bg,I'm a Mess, Bebe Rexha
78,79,5128,2019,bg,Thunder, Imagine Dragons
79,80,5093,2019,bg,YOSEMITE, Travis Scott
80,81,5035,2019,bg,Havana (feat. Young Thug), Camila Cabello
81,82,4987,2019,bg,Be Alright, Dean Lewis
82,83,4982,2019,bg,VRUM VRUM, V:RGO
83,84,4961,2019,bg,Fenomenalen, Galena
84,85,4958,2019,bg,FRIENDS, Marshmello
85,86,4944,2019,bg,KIKA, 6ix9ine
86,87,4926,2019,bg,Tamam Tamam, Summer Cem
87,88,4868,2019,bg,MAMA, 6ix9ine
88,89,4854,2019,bg,Neka, Atanas Kolev
89,90,4840,2019,bg,HUMBLE., Kendrick Lamar
90,91,4831,2019,bg,New Rules, Dua Lipa
91,92,4817,2019,bg,LESHA, V:RGO
92,93,4790,2019,bg,Bad Liar, Imagine Dragons
93,94,4769,2019,bg,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
94,95,4759,2019,bg,Shape of You, Ed Sheeran
95,96,4745,2019,bg,CRY, KAZKA
96,97,4735,2019,bg,I Love It (& Lil Pump), Kanye West
97,98,4686,2019,bg,breathin, Ariana Grande
98,99,4546,2019,bg,BAD!, XXXTENTACION
99,100,4477,2019,bg,Call Out My Name, The Weeknd
100,101,4472,2019,bg,idontwannabeyouanymore, Billie Eilish
101,102,4472,2019,bg,2002, Anne-Marie
102,103,4451,2019,bg,Jocelyn Flores, XXXTENTACION
103,104,4411,2019,bg,Don't Stop Me Now - Remastered 2011, Queen
104,105,4399,2019,bg,STARGAZING, Travis Scott
105,106,4368,2019,bg,Djadja, Aya Nakamura
106,107,4334,2019,bg,Always Remember Us This Way, Lady Gaga
107,108,4316,2019,bg,Space Cadet (feat. Gunna), Metro Boomin
108,109,4314,2019,bg,The Middle, Zedd
109,110,4301,2019,bg,"Fire On Fire - From ""Watership Down""", Sam Smith
110,111,4292,2019,bg,Starboy, The Weeknd
111,112,4291,2019,bg,Under Pressure - Remastered 2011, Queen
112,113,4254,2019,bg,Yako mi e, Djena
113,114,4236,2019,bg,'Till I Collapse, Eminem
114,115,4222,2019,bg,Him & I (with Halsey), G-Eazy
115,116,4201,2019,bg,MOSTRA, V:RGO
116,117,4173,2019,bg,medicine, Bring Me The Horizon
117,118,4119,2019,bg,Somebody To Love - Remastered 2011, Queen
118,119,4119,2019,bg,Ric Flair Drip (with Metro Boomin), Offset
119,120,4076,2019,bg,Edno Ferrari Model 2019, Krisko
120,121,4046,2019,bg,Nevermind, Dennis Lloyd
121,122,4039,2019,bg,Nuketown (feat. Juice WRLD), Ski Mask The Slump God
122,123,4011,2019,bg,All The Stars (with SZA), Kendrick Lamar
123,124,4004,2019,bg,Never Recover (Lil Ba, & Gunna
124,125,3996,2019,bg,Wolves, Selena Gomez
125,126,3946,2019,bg,XO Tour Llif3, Lil Uzi Vert
126,127,3934,2019,bg,Unforgettable, French Montana
127,128,3905,2019,bg,BAD IDEA, V:RGO
128,129,3905,2019,bg,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
129,130,3901,2019,bg,Hope, The Chainsmokers
130,131,3896,2019,bg,goosebumps, Travis Scott
131,132,3895,2019,bg,I Like Me Better, Lauv
132,133,3888,2019,bg,Хайвера, SkandaU
133,134,3862,2019,bg,Body (feat. brando), Loud Luxury
134,135,3837,2019,bg,Love Lies (with Normani), Khalid
135,136,3811,2019,bg,Roses (with Juice WRLD feat. Brendon Urie), benny blanco
136,137,3811,2019,bg,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse, Nicki Minaj
137,138,3809,2019,bg,Electricity (with Dua Lipa), Silk City
138,139,3771,2019,bg,Feel It Still, Portugal. The Man
139,140,3755,2019,bg,Psycho (feat. Ty Dolla $ign), Post Malone
140,141,3751,2019,bg,Falling Down - Bonus Track, Lil Peep
141,142,3749,2019,bg,bellyache, Billie Eilish
142,143,3716,2019,bg,GRESHKA BESHE, Tsvetelina Yaneva
143,144,3710,2019,bg,all my friends, 21 Savage
144,145,3708,2019,bg,SOLO, JENNIE
145,146,3657,2019,bg,BUTTERFLY EFFECT, Travis Scott
146,147,3654,2019,bg,SLOW DOWN, EMIL TRF
147,148,3640,2019,bg,Trampoline, SHAED
148,149,3639,2019,bg,Right Now, Nick Jonas
149,150,3619,2019,bg,In My Blood, Shawn Mendes
150,151,3588,2019,bg,Но!, SkandaU
151,152,3582,2019,bg,Do I Wanna Know?, Arctic Monkeys
152,153,3569,2019,bg,Treat You Better, Shawn Mendes
153,154,3515,2019,bg,Coffee Shop, Sunnery James & Ryan Marciano
154,155,3507,2019,bg,Bitch Lasagna, Party in Backyard
155,156,3498,2019,bg,Walk It Talk It, Migos
156,157,3489,2019,bg,MINAL, V:RGO
157,158,3475,2019,bg,Look At Me!, XXXTENTACION
158,159,3456,2019,bg,Killer Queen - Remastered 2011, Queen
159,160,3447,2019,bg,Купих ти сърце, Emanuela
160,161,3434,2019,bg,No Limit, G-Eazy
161,162,3415,2019,bg,Calma - Remix, Pedro Capó
162,163,3412,2019,bg,Kak si kazhi, Galin
163,164,3409,2019,bg,Happy Now, Kygo
164,165,3401,2019,bg,Ba, (feat. MARINA & Luis Fonsi)  
165,166,3401,2019,bg,The Ringer, Eminem
166,167,3394,2019,bg,you should see me in a crown, Billie Eilish
167,168,3388,2019,bg,Killshot, Eminem
168,169,3387,2019,bg,Thunderclouds, Sia
169,170,3368,2019,bg,Perfect, Ed Sheeran
170,171,3366,2019,bg,MotorSport, Migos
171,172,3363,2019,bg,Fall, Eminem
172,173,3359,2019,bg,Pray For Me (with Kendrick Lamar), The Weeknd
173,174,3353,2019,bg,Play, Jax Jones
174,175,3346,2019,bg,We Will Rock You - Remastered 2011, Queen
175,176,3340,2019,bg,Napravi taka, Emanuela
176,177,3308,2019,bg,Losing It, FISHER
177,178,3302,2019,bg,Да не питат, Boro Purvi
178,179,3296,2019,bg,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
179,180,3292,2019,bg,POP/STARS, K/DA
180,181,3269,2019,bg,"Lose Yourself - From ""8 Mile"" Soundtrack", Eminem
181,182,3249,2019,bg,River (feat. Ed Sheeran), Eminem
182,183,3245,2019,bg,Freestyle, Boro Purvi
183,184,3207,2019,bg,Love On The Brain, Rihanna
184,185,3195,2019,bg,Rise, Jonas Blue
185,186,3192,2019,bg,APESHIT, The Carters
186,187,3181,2019,bg,Flames, David Guetta
187,188,3172,2019,bg,Ocean (feat. Khalid), Martin Garrix
188,189,3151,2019,bg,Adan y Eva, Paulo Londra
189,190,3150,2019,bg,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
190,191,3144,2019,bg,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
191,192,3138,2019,bg,Plain Jane, A$AP Ferg
192,193,3131,2019,bg,Let Me Down Slowly, Alec Benjamin
193,194,3119,2019,bg,Bodak Yellow, Cardi B
194,195,3112,2019,bg,These Days (feat. Jess Glynne Macklemore & Dan Caplen), Rudimental
195,196,3109,2019,bg,Closer, The Chainsmokers
196,197,3087,2019,bg,One Last Time, Ariana Grande
197,198,3076,2019,bg,In the End, Linkin Park
198,199,3071,2019,bg,Jackie Chan, Tiësto
199,200,3069,2019,bg,Nice For What, Drake
