,Rank,Streams,Year,Country,Title,Artist
0,1,239330,2020,bo,Tusa, KAROL G
1,2,139198,2020,bo,Dance Monkey, Tones And I
2,3,111253,2020,bo,Fantasias, Rauw Alejandro
3,4,97099,2020,bo,Pa' Olvidarme De Ella, Piso 21
4,5,95215,2020,bo,Vete, Bad Bunny
5,6,91286,2020,bo,Sigues Con El, Arcangel
6,7,90903,2020,bo,RITMO (Bad Boys For Life), Black Eyed Peas
7,8,88056,2020,bo,China, Anuel AA
8,9,86355,2020,bo,Hola - Remix, Dalex
9,10,82527,2020,bo,LA CANCIÓN, J Balvin
10,11,72405,2020,bo,Whine Up, Nicky Jam
11,12,67939,2020,bo,No Me Conoce - Remix, Jhay Cortez
12,13,64967,2020,bo,Callaita, Bad Bunny
13,14,59318,2020,bo,Si Te Vas, Sech
14,15,59206,2020,bo,Bellaquita - Remix, Dalex
15,16,58225,2020,bo,Adicto (with Anuel AA & Ozuna), Tainy
16,17,58221,2020,bo,Que Tire Pa Lante, Daddy Yankee
17,18,56784,2020,bo,Tutu, Camilo
18,19,55910,2020,bo,Señorita, Shawn Mendes
19,20,52495,2020,bo,Soltera - Remix, Lunay
20,21,52321,2020,bo,11 PM, Maluma
21,22,51048,2020,bo,Indeciso, Reik
22,23,50950,2020,bo,Detente, Mike Bahía
23,24,49861,2020,bo,Desconocidos, Mau y Ricky
24,25,48085,2020,bo,Quizas, Rich Music LTD
25,26,46822,2020,bo,Aventura, Lunay
26,27,45329,2020,bo,Pa Mí - Remix, Dalex
27,28,45155,2020,bo,Te Vi, Piso 21
28,29,44103,2020,bo,La Difícil, Camilo
29,30,43589,2020,bo,Blanco, J Balvin
30,31,42727,2020,bo,QUE PRETENDES, J Balvin
31,32,42675,2020,bo,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix, Justin Quiles
32,33,42088,2020,bo,Con Altura, ROSALÍA
33,34,41234,2020,bo,Yummy, Justin Bieber
34,35,41016,2020,bo,Otro Trago - Remix, Sech
35,36,39832,2020,bo,Otro Trago, Sech
36,37,39296,2020,bo,Que Mas Pues - Remix, Sech
37,38,39117,2020,bo,Qué Pena, Maluma
38,39,36966,2020,bo,Amor A Primera Vista, Los Ángeles Azules
39,40,36444,2020,bo,Atrévete, Nicky Jam
40,41,35878,2020,bo,Yo x Ti Tu x Mi, ROSALÍA
41,42,35837,2020,bo,Bellaquita, Dalex
42,43,35602,2020,bo,Perreo en La Luna, Rich Music LTD
43,44,34852,2020,bo,Una Vida Para Recordar, Piso 21
44,45,34656,2020,bo,La Playa - Remix, Myke Towers
45,46,34367,2020,bo,Si Se Da - Remix, Myke Towers
46,47,33454,2020,bo,Don't Start Now, Dua Lipa
47,48,33370,2020,bo,Un Año, Sebastian Yatra
48,49,33368,2020,bo,Tal Vez, Paulo Londra
49,50,32558,2020,bo,Loco, Beéle
50,51,31666,2020,bo,UN PESO, J Balvin
51,52,31560,2020,bo,Cuaderno, Dalex
52,53,31448,2020,bo,HP, Maluma
53,54,30785,2020,bo,Adan y Eva, Paulo Londra
54,55,27651,2020,bo,Infeliz, Arcangel
55,56,26752,2020,bo,Calma - Remix, Pedro Capó
56,57,26705,2020,bo,Fresa, TINI
57,58,26495,2020,bo,Ella Quiere Beber - Remix, Anuel AA
58,59,26164,2020,bo,Oye, TINI
59,60,26120,2020,bo,Te Quemaste, Manuel Turizo
60,61,26016,2020,bo,Puntos Suspensivos, Piso 21
61,62,25830,2020,bo,Fantasía, Ozuna
62,63,25659,2020,bo,Secreto, Anuel AA
63,64,25563,2020,bo,No Te Vayas, Camilo
64,65,25554,2020,bo,Con Calma, Daddy Yankee
65,66,25350,2020,bo,El Favor (with Nicky Jam & Sech feat. Farruko Zion & Lunay), Dímelo Flow
66,67,25239,2020,bo,Créeme, KAROL G
67,68,25200,2020,bo,Cuerpo en Venta, Noriel
68,69,24591,2020,bo,bad guy, Billie Eilish
