,Rank,Streams,Year,Country,Title,Artist
0,1,3477856,2017,br,Deu Onda, MC G15
1,2,2197452,2017,br,Hear Me Now, Alok
2,3,2155439,2017,br,Shape of You, Ed Sheeran
3,4,1477181,2017,br,Loka, Simone & Simaria
4,5,1462182,2017,br,Eu Sei de Cor - Ao Vivo | Acústico, Marília Mendonça
5,6,1433243,2017,br,Closer, The Chainsmokers
6,7,1362238,2017,br,Medo Bobo - Ao Vivo, Maiara & Maraisa
7,8,1316002,2017,br,Starboy, The Weeknd
8,9,1266609,2017,br,Te Assumi Pro Brasil - Ao Vivo, Matheus & Kauan
9,10,1199990,2017,br,Meu Coração Deu PT - Ao Vivo, Wesley Safadão
10,11,1188120,2017,br,10% - Ao Vivo, Maiara & Maraisa
11,12,1147723,2017,br,Sim ou não (participação especial Maluma), Anitta
12,13,1139152,2017,br,Let Me Love You, DJ Snake
13,14,1115103,2017,br,Cold Water (feat. Justin Bieber & MØ), Major Lazer
14,15,1094642,2017,br,Castle on the Hill, Ed Sheeran
15,16,1036138,2017,br,Decide Aí - Na Praia / Ao Vivo, Matheus & Kauan
16,17,1031723,2017,br,Don't Wanna Know, Maroon 5
17,18,1005035,2017,br,Infiel - Ao Vivo, Marília Mendonça
18,19,997532,2017,br,Eu Você O Mar e Ela, Luan Santana
19,20,979946,2017,br,One Dance, Drake
20,21,976866,2017,br,Side To Side, Ariana Grande
21,22,964175,2017,br,Chantaje (feat. Maluma), Shakira
22,23,934485,2017,br,My Way, Calvin Harris
23,24,916579,2017,br,Paredes - Ao Vivo, Jorge & Mateus
24,25,902164,2017,br,E Essa Boca Aí? - Ao Vivo, Bruninho & Davi
25,26,901130,2017,br,Malbec (Part. DENNIS) (feat. DENNIS) - Ao Vivo, Henrique & Diego
26,27,888809,2017,br,50 Reais, Naiara Azevedo
27,28,874036,2017,br,24K Magic, Bruno Mars
28,29,866818,2017,br,Como Faz Com Ela - Ao Vivo, Marília Mendonça
29,30,845902,2017,br,Rocka,e (feat. Sean Paul & Anne-Marie)  
30,31,841172,2017,br,O Nosso Santo Bateu - Na Praia / Ao Vivo, Matheus & Kauan
31,32,837711,2017,br,Homem de Família - Ao Vivo, Gusttavo Lima
32,33,834913,2017,br,Como É Que a Gente Fica - Ao Vivo, Henrique & Juliano
33,34,816193,2017,br,Tumbalatum, MC Kevinho
34,35,806490,2017,br,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
35,36,770080,2017,br,Olha a Explosão, MC Kevinho
36,37,748518,2017,br,Ou Some Ou Soma - Ao Vivo, Jorge & Mateus
37,38,745565,2017,br,Treat You Better, Shawn Mendes
38,39,731899,2017,br,Louca de Saudade - Ao Vivo, Jorge & Mateus
39,40,731389,2017,br,Just Hold On, Steve Aoki
40,41,729858,2017,br,Cheap Thrills, Sia
41,42,724210,2017,br,In the Name of Love, Martin Garrix
42,43,711970,2017,br,Ela Só Quer Paz, Projota
43,44,702726,2017,br,Sosseguei - Ao Vivo, Jorge & Mateus
44,45,695658,2017,br,Don't Let Me Down (feat. Daya), The Chainsmokers
45,46,687954,2017,br,Sorry, Justin Bieber
46,47,686037,2017,br,Na Hora da Raiva - Ao Vivo, Henrique & Juliano
47,48,664278,2017,br,Pra Sempre Com Você - Ao Vivo, Jorge & Mateus
