,Rank,Streams,Year,Country,Title,Artist
0,1,1357063,2018,cl,Échame La Culpa, Luis Fonsi
1,2,1335170,2018,cl,Corazón, Maluma
2,3,1220990,2018,cl,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
3,4,1115084,2018,cl,Sensualidad, Bad Bunny
4,5,1103142,2018,cl,Criminal, Natti Natasha
5,6,1045258,2018,cl,Bella, Wolfine
6,7,953567,2018,cl,Se Preparó, Ozuna
7,8,861012,2018,cl,Que Va, Alex Sensation
8,9,851999,2018,cl,Báilame - Remix, Nacho
9,10,849459,2018,cl,Olha a Explosão, MC Kevinho
10,11,847360,2018,cl,Suena El Dembow, Joey Montana
11,12,844322,2018,cl,Mayores, Becky G
12,13,769798,2018,cl,Bella y Sensual, Romeo Santos
13,14,750027,2018,cl,Perro Fiel (feat. Nicky Jam), Shakira
14,15,745610,2018,cl,Me Rehúso, Danny Ocean
15,16,745172,2018,cl,Downtown, Anitta
16,17,696239,2018,cl,3 A.M., Jesse & Joy
17,18,678071,2018,cl,Escápate Conmigo (feat. Ozuna), Wisin
18,19,650064,2018,cl,Síguelo Bailando, Ozuna
19,20,627749,2018,cl,Vuelve, Daddy Yankee
20,21,593394,2018,cl,Robarte un Beso, Carlos Vives
21,22,576784,2018,cl,Quiero Repetir, Ozuna
22,23,560922,2018,cl,SUTRA, Sebastian Yatra
23,24,557768,2018,cl,Explícale (feat. Bad Bunny), Yandel
24,25,549154,2018,cl,Como Antes (feat. Wisin), Yandel
25,26,535716,2018,cl,Mi Gente, J Balvin
26,27,516542,2018,cl,Una Lady Como Tú, Manuel Turizo
27,28,508572,2018,cl,Déjate Llevar, Juan Magán
28,29,505112,2018,cl,Havana - Remix, Camila Cabello
29,30,493136,2018,cl,Bum Bum Tam Tam, MC Fioti
30,31,485548,2018,cl,Bonita, J Balvin
31,32,480409,2018,cl,Todo Comienza en la Disco, Wisin
32,33,467686,2018,cl,New Rules, Dua Lipa
33,34,466089,2018,cl,Felices los 4, Maluma
34,35,448464,2018,cl,Ahora Dice, Chris Jedi
35,36,445278,2018,cl,Loco Enamorado, Abraham Mateo
36,37,426702,2018,cl,Tú Foto, Ozuna
37,38,426445,2018,cl,La fórmula (feat. Chris Jedi), De La Ghetto
38,39,421312,2018,cl,Shape of You, Ed Sheeran
39,40,419163,2018,cl,Hey DJ, CNCO
40,41,418263,2018,cl,Besándote, Piso 21
41,42,413710,2018,cl,Solo, Amenazzy
42,43,405712,2018,cl,La Realidad (Remix), Pusho
43,44,403314,2018,cl,Dembow, Danny Ocean
44,45,399610,2018,cl,Sola, Anuel AA
45,46,397137,2018,cl,Amor Amor Amor (feat. Wisin), Jennifer Lopez
46,47,390309,2018,cl,Otra vez (feat. J Balvin), Zion & Lennox
47,48,389113,2018,cl,Chambea, Bad Bunny
48,49,383454,2018,cl,El Farsante, Ozuna
49,50,354249,2018,cl,Si Tú La Ves (feat. Wisin), Nicky Jam
50,51,332576,2018,cl,Havana (feat. Young Thug), Camila Cabello
51,52,277307,2018,cl,Mamita, CNCO
52,53,273271,2018,cl,#Natural, Paty Cantú
53,54,263200,2018,cl,Esperándote, Manuel Turizo
54,55,250560,2018,cl,Loca, KHEA
55,56,250410,2018,cl,Bonita - Remix, J Balvin
56,57,244851,2018,cl,Una Lady Como Tú (feat. Nicky Jam) - Remix, Manuel Turizo
57,58,243052,2018,cl,Escápate Conmigo (feat. Ozuna Bad Bunny De La Ghetto Arcángel Noriel & Almighty) - Remix, Wisin
58,59,236362,2018,cl,Despacito (Featuring Daddy Yankee), Luis Fonsi
59,60,235170,2018,cl,Besame, Valentino
60,61,226819,2018,cl,Solo a solas (feat. Maluma), Cosculluela
61,62,214781,2018,cl,She Don't Give a FO (feat. Khea), Duki
62,63,214253,2018,cl,Perfect, Ed Sheeran
63,64,212763,2018,cl,What Lovers Do (feat. SZA), Maroon 5
64,65,204900,2018,cl,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
65,66,202006,2018,cl,Wolves, Selena Gomez
66,67,197185,2018,cl,Bebe (feat. Anuel AA), Ozuna
67,68,196809,2018,cl,La Modelo, Ozuna
68,69,195064,2018,cl,Mi Mala, Mau y Ricky
69,70,194532,2018,cl,Sexto Sentido (feat. Bad Bunny), Gigolo Y La Exce
70,71,190332,2018,cl,Me llamas (feat. Maluma) - Remix, Piso 21
71,72,185565,2018,cl,No Quiero Amores (feat. Ozuna), Yandel
72,73,184910,2018,cl,Amárrame, Mon Laferte
73,74,184248,2018,cl,rockstar, Post Malone
74,75,184176,2018,cl,La Rompe Corazones, Daddy Yankee
75,76,183955,2018,cl,Solo - Remix, Lary Over
76,77,182588,2018,cl,Reggaetón Lento (Bailemos), CNCO
77,78,182281,2018,cl,Loca (feat. Cali y El Dandee), Maite Perroni
78,79,171679,2018,cl,Abrázame, Cami
79,80,163860,2018,cl,Juraste, Sky
80,81,163331,2018,cl,Ahora Me Llama, KAROL G
81,82,161233,2018,cl,That's What I Like, Bruno Mars
82,83,161209,2018,cl,Krippy Kush, Farruko
83,84,160858,2018,cl,GPS (feat. French Montana), Maluma
84,85,160635,2018,cl,Sigo Extrañándote, J Balvin
85,86,158002,2018,cl,El Amante, Nicky Jam
86,87,157164,2018,cl,Too Good At Good,es  
87,88,156929,2018,cl,I Feel It Coming, The Weeknd
88,89,154358,2018,cl,Besos En Guerra, Morat
89,90,152709,2018,cl,Gucci Gang, Lil Pump
90,91,152294,2018,cl,No vaya a ser, Pablo Alborán
91,92,151886,2018,cl,Netflixxx, Brytiago
92,93,151702,2018,cl,Te Quiero Pa´Mi, Don Omar
93,94,149968,2018,cl,La Dama, KAROL G
94,95,149852,2018,cl,Ropa Interior, Justin Quiles
95,96,148883,2018,cl,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
96,97,145732,2018,cl,No Te Hagas, Jory Boy
97,98,145468,2018,cl,Vacaciones, Wisin
98,99,145351,2018,cl,Diabla - Official Remix, Farruko
99,100,144956,2018,cl,El Amante (feat. Ozuna & Bad Bunny) - Remix, Nicky Jam
100,101,144586,2018,cl,24K Magic, Bruno Mars
101,102,144444,2018,cl,Hacerlo de Día, Moral Distraida
102,103,144264,2018,cl,Chantaje (feat. Maluma), Shakira
103,104,142054,2018,cl,High, Brytiago
104,105,140272,2018,cl,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
105,106,140095,2018,cl,Noche Loca, Marama
106,107,139190,2018,cl,Tacos Altos, Farruko
107,108,138257,2018,cl,Ojalá (feat. Darell), De La Ghetto
108,109,137740,2018,cl,Serenata cruel, Villa Cariño
109,110,137221,2018,cl,Traicionera, Sebastian Yatra
110,111,136893,2018,cl,Imitadora, Romeo Santos
111,112,135805,2018,cl,Soy Peor, Bad Bunny
112,113,135191,2018,cl,Romance, Nacho
113,114,135191,2018,cl,Finesse - Remix; feat. Cardi B, Bruno Mars
114,115,134894,2018,cl,Quisiera Alejarme (feat. Ozuna), Wisin
115,116,134047,2018,cl,Háblame Bajito, Abraham Mateo
116,117,134002,2018,cl,Un Poco Más De Frío, Cami
117,118,133976,2018,cl,Andas En Mi Cabeza, Chino & Nacho
118,119,128383,2018,cl,Canción Bonita, Moral Distraida
119,120,127826,2018,cl,Thinking out Loud, Ed Sheeran
120,121,127127,2018,cl,Nunca Me Amo, Jon Z
121,122,126938,2018,cl,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
122,123,126492,2018,cl,Vente Pa' Ca (feat. Maluma), Ricky Martin
123,124,125933,2018,cl,Egoísta, Ozuna
124,125,125669,2018,cl,Ahora Me Llama - Remix, KAROL G
125,126,125340,2018,cl,Attention, Charlie Puth
126,127,125087,2018,cl,Me Mata, Bad Bunny
127,128,123957,2018,cl,Cuando Se Pone a Bailar, Rombai
128,129,123900,2018,cl,Si Tu Novio Te Deja Sola, J Balvin
129,130,123314,2018,cl,How Long, Charlie Puth
130,131,120656,2018,cl,Un Ratito Mas, Bryant Myers
131,132,120621,2018,cl,Báilame, Nacho
132,133,120354,2018,cl,El Gil de Tu Ex, Santaferia
133,134,119709,2018,cl,Saturno, Pablo Alborán
