,Rank,Streams,Year,Country,Title,Artist
0,1,278008,2017,co,Otra vez (feat. J Balvin), Zion & Lennox
1,2,234744,2017,co,Chantaje (feat. Maluma), Shakira
2,3,211392,2017,co,Reggaetón Lento (Bailemos), CNCO
3,4,210419,2017,co,Safari, J Balvin
4,5,191897,2017,co,Let Me Love You, DJ Snake
5,6,191108,2017,co,Shape of You, Ed Sheeran
6,7,189720,2017,co,Vente Pa' Ca (feat. Maluma), Ricky Martin
7,8,189008,2017,co,Ya No Me Duele Más, Silvestre Dangond
8,9,171793,2017,co,Me Llamas, Piso 21
9,10,169443,2017,co,Bailame Despacio, Xantos
10,11,167480,2017,co,Dile Que Tu Me Quieres, Ozuna
11,12,167159,2017,co,Closer, The Chainsmokers
12,13,162462,2017,co,Traicionera, Sebastian Yatra
13,14,160756,2017,co,Chillax (feat. Ky-Mani Marley), Farruko
14,15,158275,2017,co,One Dance, Drake
15,16,153544,2017,co,Starboy, The Weeknd
16,17,151845,2017,co,La Bicicleta, Carlos Vives
17,18,145099,2017,co,Don't Wanna Know, Maroon 5
18,19,142027,2017,co,Andas En Mi Cabeza, Chino & Nacho
19,20,140418,2017,co,24K Magic, Bruno Mars
20,21,137515,2017,co,Me llamas (feat. Maluma) - Remix, Piso 21
21,22,131344,2017,co,Te Quiero Pa´Mi, Don Omar
22,23,130362,2017,co,Cold Water (feat. Justin Bieber & MØ), Major Lazer
23,24,130020,2017,co,My Way, Calvin Harris
24,25,129974,2017,co,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
25,26,125670,2017,co,Cuatro Ba,s (feat. Trap Capos
26,27,124059,2017,co,Shaky Shaky, Daddy Yankee
27,28,121062,2017,co,Vacaciones, Wisin
28,29,120389,2017,co,Una y Otra Vez, Manuel Medrano
29,30,120182,2017,co,Rocka,e (feat. Sean Paul & Anne-Marie)  
30,31,119235,2017,co,In the Name of Love, Martin Garrix
31,32,116958,2017,co,Cheap Thrills, Sia
32,33,115717,2017,co,Don't Let Me Down (feat. Daya), The Chainsmokers
33,34,112700,2017,co,I Feel It Coming, The Weeknd
34,35,112017,2017,co,Side To Side, Ariana Grande
35,36,111803,2017,co,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
36,37,110547,2017,co,Treat You Better, Shawn Mendes
37,38,107818,2017,co,Por Fin Te Encontré, Cali Y El Dandee
38,39,107134,2017,co,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
39,40,106080,2017,co,Castle on the Hill, Ed Sheeran
40,41,105925,2017,co,El Chisme, Reykon
41,42,104150,2017,co,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
42,43,101875,2017,co,Heathens, Twenty One Pilots
43,44,100919,2017,co,Ruleta Rusa, Kevin Roldan
44,45,99965,2017,co,Gyal You A Party Animal, Charly Black
45,46,99815,2017,co,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
46,47,98542,2017,co,Bajo El Agua, Manuel Medrano
47,48,93188,2017,co,Cake By The Ocean, DNCE
48,49,93172,2017,co,This Is What You Came For (feat. Rihanna), Calvin Harris
49,50,90565,2017,co,Bobo, J Balvin
50,51,76203,2017,co,Encantadora, Yandel
51,52,75104,2017,co,Te busco (feat. Nicky Jam), Cosculluela
52,53,72412,2017,co,Sola, Anuel AA
53,54,71136,2017,co,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
54,55,62925,2017,co,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
55,56,62022,2017,co,Fuego, Juanes
56,57,58834,2017,co,Borro Cassette, Maluma
57,58,57481,2017,co,Manicomio, Cosculluela
58,59,55197,2017,co,Te Vas, Ozuna
59,60,55072,2017,co,Ride, Twenty One Pilots
60,61,54133,2017,co,Photograph, Ed Sheeran
61,62,52577,2017,co,La Gozadera (feat. Marc Anthony), Gente De Zona
62,63,51166,2017,co,Hasta el Amanecer, Nicky Jam
63,64,50919,2017,co,Thinking out Loud, Ed Sheeran
64,65,50533,2017,co,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
65,66,50280,2017,co,Love Yourself, Justin Bieber
66,67,49720,2017,co,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
67,68,49680,2017,co,Just Hold On, Steve Aoki
68,69,48289,2017,co,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
69,70,47830,2017,co,Faded, Alan Walker
70,71,47784,2017,co,Si me dices que sí (feat. Nicky Jam), Cosculluela
71,72,46939,2017,co,Stressed Out, Twenty One Pilots
72,73,46317,2017,co,Me Ama Me Odia, Ozuna
73,74,46302,2017,co,Work, Rihanna
74,75,45502,2017,co,Traicionera - Remix, Sebastian Yatra
75,76,45259,2017,co,Gyal You A Party Animal - Remix, Charly Black
76,77,45113,2017,co,Mercy, Shawn Mendes
77,78,44971,2017,co,The Greatest (feat. Kendrick Lamar), Sia
78,79,44696,2017,co,Nunca Me Olvides, Yandel
79,80,44436,2017,co,Corazon De Seda (feat. Ozuna), Klasico
80,81,44118,2017,co,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
81,82,43511,2017,co,Say You Won't Let Go, James Arthur
82,83,43461,2017,co,Ya No Me Duele Más (feat. Farruko) - Remix, Silvestre Dangond
83,84,43309,2017,co,Que Raro, Feid
84,85,43172,2017,co,Fake Love, Drake
85,86,42918,2017,co,Lean On (feat. MØ & DJ Snake), Major Lazer
86,87,42556,2017,co,Soy Peor, Bad Bunny
87,88,42281,2017,co,Sorry, Justin Bieber
88,89,42248,2017,co,All We Know, The Chainsmokers
89,90,41929,2017,co,Mi tesoro (feat. Nicky Jam), Zion & Lennox
90,91,40750,2017,co,Sugar, Maroon 5
91,92,40679,2017,co,Black Beatles, Rae Sremmurd
92,93,39659,2017,co,By Your Side, Jonas Blue
93,94,38672,2017,co,Materialista (feat. Nicky Jam), Silvestre Dangond
94,95,38396,2017,co,Middle, DJ Snake
95,96,38346,2017,co,Starving, Hailee Steinfeld
96,97,38303,2017,co,La Ocasion (feat. Arcangel Ozuna & Anuel Aa), De La Ghetto
97,98,38119,2017,co,Too Good, Drake
98,99,38075,2017,co,Encantadora (feat. Farruko & Zion & Lennox) - Remix, Yandel
99,100,38043,2017,co,Afuera Del Planeta, Manuel Medrano
100,101,37557,2017,co,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian), Arcangel
101,102,36476,2017,co,Te Mando Flores, Fonseca
102,103,36395,2017,co,"City Of Stars - From ""La La Land"" Soundtrack/Pier", Ryan Gosling
103,104,36342,2017,co,Call On Me - Ryan Riback Extended Remix, Starley
104,105,36215,2017,co,Ginza, J Balvin
105,106,36172,2017,co,Vine a Buscarte, Fonseca
106,107,35801,2017,co,The Greatest, Sia
107,108,35654,2017,co,Embriágame, Zion & Lennox
108,109,35613,2017,co,Hymn for the Weekend - Seeb Remix, Coldplay
109,110,35497,2017,co,Hear Me Now, Alok
110,111,35462,2017,co,En La Intimidad, Ozuna
111,112,35285,2017,co,Me Rehúso, Danny Ocean
112,113,35196,2017,co,Bad Things (with Camila Cabello), Machine Gun Kelly
113,114,35048,2017,co,Hello, KAROL G
114,115,35040,2017,co,Desesperado, Andrés Cepeda
115,116,35024,2017,co,Privado, Rvssian
116,117,34969,2017,co,Hello, Adele
117,118,34759,2017,co,Obsesionado, Farruko
