,Rank,Streams,Year,Country,Title,Artist
0,1,17960,2021,cy,Voodoo, Light
1,2,9411,2021,cy,Whoopty, CJ
2,3,8036,2021,cy,Astronaut In The Ocean, Masked Wolf
3,4,7558,2021,cy,Mood (feat. iann dior), 24kGoldn
4,5,7529,2021,cy,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
5,6,7329,2021,cy,WITHOUT YOU, The Kid LAROI
6,7,7235,2021,cy,Gymni, Light
7,8,6746,2021,cy,XILIOMETRA, Mad Clip
8,9,6558,2021,cy,positions, Ariana Grande
9,10,6227,2021,cy,For The Night (feat. Lil Ba, & DaBa
10,11,6022,2021,cy,Therefore I Am, Billie Eilish
11,12,6006,2021,cy,Levitating (feat. DaBa,)  
12,13,5778,2021,cy,What You Know Bout Love, Pop Smoke
13,14,5764,2021,cy,Blinding Lights, The Weeknd
14,15,5616,2021,cy,Anyone, Justin Bieber
15,16,5517,2021,cy,Neymar, Light
16,17,5512,2021,cy,HOLIDAY, Lil Nas X
17,18,5387,2021,cy,Head & Heart (feat. MNEK), Joel Corry
18,19,5248,2021,cy,you broke me first, Tate McRae
19,20,5244,2021,cy,34+35, Ariana Grande
20,21,5121,2021,cy,City Don't Love Me, Light
21,22,4950,2021,cy,ROCKSTAR (feat. Roddy Ricch), DaBa
22,23,4934,2021,cy,Tha 'Mai Edo, Konstantinos Argiros
23,24,4906,2021,cy,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
24,25,4871,2021,cy,The Business, Tiësto
25,26,4846,2021,cy,Prisoner (feat. Dua Lipa), Miley Cyrus
26,27,4763,2021,cy,Lockdown, Mef
27,28,4660,2021,cy,Goosebumps, HVME
28,29,4555,2021,cy,Watermelon Sugar, Harry Styles
29,30,4552,2021,cy,Den Eisai Edo, Tamta
30,31,4490,2021,cy,Paradise (feat. Dermot Kennedy), MEDUZA
31,32,4414,2021,cy,Snowman, Sia
32,33,4347,2021,cy,Elpida, Mad Clip
33,34,4289,2021,cy,Take You Dancing, Jason Derulo
34,35,4280,2021,cy,Oh No, Light
35,36,4277,2021,cy,Ligi, Light
36,37,4243,2021,cy,Sweater Weather, The Neighbourhood
37,38,4176,2021,cy,Roses - Imanbek Remix, SAINt JHN
38,39,4145,2021,cy,Dior, Pop Smoke
39,40,4117,2021,cy,Lonely (with benny blanco), Justin Bieber
40,41,4108,2021,cy,Afto Pou Agapas, Giorgos Sabanis
41,42,4094,2021,cy,WAP (feat. Megan Thee Stallion), Cardi B
42,43,4014,2021,cy,Viktoria, Melisses
43,44,4003,2021,cy,Afterglow, Ed Sheeran
44,45,3903,2021,cy,Breaking Me, Topic
45,46,3882,2021,cy,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
46,47,3874,2021,cy,Etsi, SNIK
47,48,3869,2021,cy,Good Days, SZA
48,49,3833,2021,cy,Someone You Loved, Lewis Capaldi
49,50,3830,2021,cy,Spaceman, Light
50,51,3829,2021,cy,Street Values, VLOSPA
51,52,3823,2021,cy,Hoodstars, GAMEBOY
52,53,3780,2021,cy,Laugh Now Cry Later (feat. Lil Durk), Drake
53,54,3758,2021,cy,Train Wreck, James Arthur
54,55,3674,2021,cy,Life Is Good (feat. Drake), Future
55,56,3670,2021,cy,The Box, Roddy Ricch
56,57,3655,2021,cy,GREECE (feat. Drake), DJ Khaled
57,58,3618,2021,cy,Millionaire, SNIK
58,59,3605,2021,cy,Kamikazi, Dof Twogee
59,60,3553,2021,cy,Mood Swings (feat. Lil Tjay), Pop Smoke
60,61,3499,2021,cy,willow, Taylor Swift
61,62,3471,2021,cy,Dynamite, BTS
62,63,3463,2021,cy,Oh Mama, Light
63,64,3448,2021,cy,Roz Panthiras, Light
64,65,3447,2021,cy,The Woo (feat. 50 Cent & Roddy Ricch), Pop Smoke
65,66,3429,2021,cy,Element, Pop Smoke
66,67,3427,2021,cy,Lucid Dreams, Juice WRLD
67,68,3425,2021,cy,Robbery, Juice WRLD
68,69,3415,2021,cy,Rudeboys, Mente Fuerte
69,70,3382,2021,cy,HIGHEST IN THE ROOM, Travis Scott
70,71,3326,2021,cy,Before You Go, Lewis Capaldi
71,72,3277,2021,cy,DÁKITI, Bad Bunny
72,73,3239,2021,cy,Athina Mou, Konstantinos Argiros
73,74,3215,2021,cy,Midnight Sky, Miley Cyrus
74,75,3182,2021,cy,goosebumps, Travis Scott
75,76,3179,2021,cy,Wonder, Shawn Mendes
76,77,3168,2021,cy,Do I Wanna Know?, Arctic Monkeys
77,78,3153,2021,cy,Blueberry Faygo, Lil Mosey
78,79,3124,2021,cy,Dance Monkey, Tones And I
79,80,3088,2021,cy,POPSTAR (feat. Drake), DJ Khaled
80,81,3082,2021,cy,Why'd You Only Call Me When You're High?, Arctic Monkeys
81,82,3075,2021,cy,Fimi, Mad Clip
82,83,3051,2021,cy,Wishing Well, Juice WRLD
83,84,3037,2021,cy,lovely (with Khalid), Billie Eilish
84,85,2937,2021,cy,Jocelyn Flores, XXXTENTACION
85,86,2893,2021,cy,Godzilla (feat. Juice WRLD), Eminem
86,87,2888,2021,cy,Bosses, SNIK
87,88,2853,2021,cy,Put Your Records On, Ritt Momney
88,89,2828,2021,cy,Overdose, Lil PoP
89,90,2813,2021,cy,Blood // Water, grandson
90,91,2801,2021,cy,Golden, Harry Styles
91,92,2776,2021,cy,Don't Start Now, Dua Lipa
92,93,2767,2021,cy,Love Your Voice, JONY
93,94,2765,2021,cy,Caliente, Mente Fuerte
94,95,2748,2021,cy,Ores Mikres, Giorgos Mazonakis
95,96,2731,2021,cy,Pistoli, Sin Laurent
96,97,2727,2021,cy,Ride It, Regard
97,98,2715,2021,cy,Bad boy, Marwa Loud
98,99,2713,2021,cy,SUPERSTAR, MG
99,100,2681,2021,cy,Falling, Trevor Daniel
100,101,2657,2021,cy,Deep End, Fousheé
101,102,2644,2021,cy,SAD!, XXXTENTACION
102,103,2640,2021,cy,death bed (coffee for your head), Powfu
103,104,2636,2021,cy,SO DONE, The Kid LAROI
104,105,2627,2021,cy,Daddy Issues, The Neighbourhood
105,106,2594,2021,cy,everything i wanted, Billie Eilish
106,107,2563,2021,cy,Whats Poppin (feat. DaBa,
107,108,2560,2021,cy,Body, Megan Thee Stallion
108,109,2549,2021,cy,Rain On Me (with Ariana Grande), Lady Gaga
109,110,2513,2021,cy,Reminds Me Of You, Juice WRLD
110,111,2495,2021,cy,Heather, Conan Gray
111,112,2475,2021,cy,Moonlight, XXXTENTACION
112,113,2471,2021,cy,Invincible, Pop Smoke
113,114,2462,2021,cy,Fendi, Dirty Harry
114,115,2457,2021,cy,Arcade, Duncan Laurence
115,116,2440,2021,cy,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
116,117,2438,2021,cy,Way Out (feat. Big Sean), Jack Harlow
117,118,2418,2021,cy,pov, Ariana Grande
118,119,2415,2021,cy,All Girls Are The Same, Juice WRLD
119,120,2412,2021,cy,Adore You, Harry Styles
120,121,2406,2021,cy,Memories, Maroon 5
121,122,2404,2021,cy,THE SCOTTS, THE SCOTTS
122,123,2403,2021,cy,Holy (feat. Chance The Rapper), Justin Bieber
123,124,2398,2021,cy,Tyler Herro, Jack Harlow
124,125,2398,2021,cy,SICKO MODE, Travis Scott
125,126,2379,2021,cy,Love Not War (The Tampa Beat), Jason Derulo
126,127,2363,2021,cy,Falling, Harry Styles
127,128,2357,2021,cy,Daisy, Ashnikko
128,129,2347,2021,cy,Come & Go (with Marshmello), Juice WRLD
129,130,2340,2021,cy,Señorita, Shawn Mendes
130,131,2326,2021,cy,Heat Waves, Glass Animals
131,132,2289,2021,cy,Toosie Slide, Drake
132,133,2284,2021,cy,Agria Thalassa - Bonus Track, Giorgos Sabanis
133,134,2282,2021,cy,Savage Love (Laxed - Siren Beat), Jawsh 685
134,135,2276,2021,cy,Lose Control, MEDUZA
135,136,2271,2021,cy,Hayloft, Mother Mother
136,137,2260,2021,cy,Everybody Dies In Their Nightmares, XXXTENTACION
137,138,2254,2021,cy,Got It On Me, Pop Smoke
138,139,2247,2021,cy,Paparazzi, Kim Dracula
139,140,2236,2021,cy,Circles, Post Malone
140,141,2234,2021,cy,Hope, XXXTENTACION
141,142,2232,2021,cy,Look At Me!, XXXTENTACION
142,143,2227,2021,cy,Otan Se Rotisane, Antonis Remos
143,144,2226,2021,cy,No Role Modelz, J. Cole
144,145,2223,2021,cy,Smells Like Teen Spirit, Nirvana
145,146,2201,2021,cy,Diamonds, Sam Smith
146,147,2195,2021,cy,GIRL LIKE ME, Black Eyed Peas
147,148,2189,2021,cy,Emena Na Akous, Nikos Oikonomopoulos
148,149,2173,2021,cy,bad guy, Billie Eilish
149,150,2165,2021,cy,505, Arctic Monkeys
150,151,2154,2021,cy,Kings & Queens, Ava Max
151,152,2153,2021,cy,Senorita, SNIK
152,153,2148,2021,cy,Break My Heart, Dua Lipa
153,154,2132,2021,cy,Show Out (with Skepta & Pop Smoke), Kid Cudi
154,155,2129,2021,cy,Go Crazy, Chris Brown
155,156,2125,2021,cy,F.N, Lil Tjay
156,157,2102,2021,cy,'Till I Collapse, Eminem
157,158,2095,2021,cy,Si on n'aime qu'une fois / I Leksi S' Agapo, Nikos Vertis
158,159,2085,2021,cy,Shallow, Lady Gaga
159,160,2076,2021,cy,Horevo, Michalis Hatzigiannis
160,161,2060,2021,cy,Jerusalema (feat. Nomcebo Zikode), Master KG
161,162,2052,2021,cy,Get Back, Pop Smoke
162,163,2042,2021,cy,Umbrella, Rihanna
163,164,2035,2021,cy,Papi Chulo, Octavian
164,165,2033,2021,cy,Ena Tsigaro Diadromi, Despina Vandi
165,166,2027,2021,cy,Say You Won't Let Go, James Arthur
166,167,1996,2021,cy,Be Alright, Dean Lewis
167,168,1988,2021,cy,ROXANNE, Arizona Zervas
168,169,1987,2021,cy,If the World Was Ending (feat. Julia Michaels), JP Saxe
169,170,1979,2021,cy,Secrets, Regard
170,171,1977,2021,cy,Deja Vu, Hawk
171,172,1973,2021,cy,I Wanna Be Yours, Arctic Monkeys
172,173,1972,2021,cy,Kotera, Mad Clip
173,174,1969,2021,cy,changes, XXXTENTACION
174,175,1950,2021,cy,Be Kind (with Halsey), Marshmello
175,176,1941,2021,cy,the remedy for a broken heart (why am I so in love), XXXTENTACION
176,177,1932,2021,cy,Star Shopping, Lil Peep
177,178,1903,2021,cy,Party Girl, StaySolidRocky
178,179,1902,2021,cy,Loading, Central Cee
179,180,1894,2021,cy,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
180,181,1887,2021,cy,Hawái - Remix, Maluma
181,182,1882,2021,cy,OUT WEST (feat. Young Thug), JACKBOYS
182,183,1881,2021,cy,Lovefool, twocolors
183,184,1876,2021,cy,WHATS POPPIN, Jack Harlow
184,185,1852,2021,cy,Bonnie, Lil Koni
185,186,1840,2021,cy,In Your Eyes, The Weeknd
186,187,1838,2021,cy,Sofia, Clairo
187,188,1807,2021,cy,AMG, Trannos
188,189,1806,2021,cy,In the End, Linkin Park
189,190,1797,2021,cy,Physical, Dua Lipa
190,191,1785,2021,cy,Tick Tock (feat. 24kGoldn), Clean Bandit
191,192,1785,2021,cy,Den Fovithika, Stelios Rokkos
192,193,1776,2021,cy,Beautiful People (feat. Khalid), Ed Sheeran
193,194,1770,2021,cy,Stuck with U (with Justin Bieber), Ariana Grande
194,195,1764,2021,cy,Bohemian Rhapsody - Remastered 2011, Queen
195,196,1763,2021,cy,Bandit (with YoungBoy Never Broke Again), Juice WRLD
196,197,1760,2021,cy,Dreams - 2004 Remaster, Fleetwood Mac
197,198,1750,2021,cy,Stars, TOQUEL
198,199,1750,2021,cy,Misi Kardia, Melisses
199,200,1749,2021,cy,7 rings, Ariana Grande
