,Rank,Streams,Year,Country,Title,Artist
0,1,81463,2018,cz,rockstar, Post Malone
1,2,77307,2018,cz,Havana (feat. Young Thug), Camila Cabello
2,3,73137,2018,cz,Wolves, Selena Gomez
3,4,71664,2018,cz,River (feat. Ed Sheeran), Eminem
4,5,66944,2018,cz,Him & I (with Halsey), G-Eazy
5,6,55811,2018,cz,Let You Down, NF
6,7,54422,2018,cz,More Than You Know, Axwell /\ Ingrosso
7,8,53595,2018,cz,New Rules, Dua Lipa
8,9,50461,2018,cz,Shape of You, Ed Sheeran
9,10,49684,2018,cz,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
10,11,49504,2018,cz,Thunder, Imagine Dragons
11,12,49346,2018,cz,What Lovers Do (feat. SZA), Maroon 5
12,13,48918,2018,cz,Silence, Marshmello
13,14,48429,2018,cz,I Miss You (feat. Julia Michaels), Clean Bandit
14,15,45538,2018,cz,Perfect, Ed Sheeran
15,16,44683,2018,cz,Feel It Still, Portugal. The Man
16,17,44306,2018,cz,Stargazing, Kygo
17,18,44217,2018,cz,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
18,19,43956,2018,cz,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
19,20,40701,2018,cz,Filthy, Justin Timberlake
20,21,39353,2018,cz,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
21,22,39282,2018,cz,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha), Machine Gun Kelly
22,23,38948,2018,cz,Believer, Imagine Dragons
23,24,38217,2018,cz,Too Good At Good,es  
24,25,38137,2018,cz,Man's Not Hot, Big Shaq
25,26,38112,2018,cz,All The Stars (with SZA), Kendrick Lamar
26,27,37171,2018,cz,Échame La Culpa, Luis Fonsi
27,28,37107,2018,cz,Runway, Ego
28,29,36628,2018,cz,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
29,30,36602,2018,cz,Something Just Like This, The Chainsmokers
30,31,36448,2018,cz,For You (Fifty Shades Freed) (& Rita Ora), Liam Payne
31,32,34772,2018,cz,I Fall Apart, Post Malone
32,33,34722,2018,cz,Anywhere, Rita Ora
33,34,34599,2018,cz,No Limit, G-Eazy
34,35,34464,2018,cz,Whatever It Takes, Imagine Dragons
35,36,33115,2018,cz,Gucci Gang, Lil Pump
36,37,32957,2018,cz,All Falls Down (feat. Juliander), Alan Walker
37,38,32762,2018,cz,IDGAF, Dua Lipa
38,39,32588,2018,cz,Never Be the Same, Camila Cabello
39,40,32576,2018,cz,Finesse - Remix; feat. Cardi B, Bruno Mars
40,41,31954,2018,cz,Lonely Together (feat. Rita Ora), Avicii
41,42,31703,2018,cz,How Long, Charlie Puth
42,43,30635,2018,cz,Tell Me You Love Me, Demi Lovato
43,44,30305,2018,cz,Katchi - Ofenbach vs. Nick Waterhouse, Ofenbach
44,45,29370,2018,cz,Without You (feat. Sandro Cavazza), Avicii
45,46,28565,2018,cz,I Like Me Better, Lauv
46,47,28452,2018,cz,Sucker for You, Matt Terry
47,48,26135,2018,cz,There's Nothing Holdin' Me Back, Shawn Mendes
48,49,25862,2018,cz,Galway Girl, Ed Sheeran
49,50,25708,2018,cz,Mama, Jonas Blue
50,51,25679,2018,cz,Candy Paint, Post Malone
