,Rank,Streams,Year,Country,Title,Artist
0,1,4786951,2021,de,Angst, Apache 207
1,2,3622792,2021,de,7, Ufo361
2,3,2278862,2021,de,Lost (feat. TOPIC42), Samra
3,4,1795531,2021,de,Mood (feat. iann dior), 24kGoldn
4,5,1786970,2021,de,The Business, Tiësto
5,6,1654118,2021,de,Head & Heart (feat. MNEK), Joel Corry
6,7,1464717,2021,de,Whoopty, CJ
7,8,1443950,2021,de,All We Got (feat. KIDDO), Robin Schulz
8,9,1436893,2021,de,Goosebumps, HVME
9,10,1433984,2021,de,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
10,11,1432195,2021,de,Blinding Lights, The Weeknd
11,12,1392986,2021,de,Verlierer, LUNA
12,13,1331480,2021,de,HOLIDAY, Lil Nas X
13,14,1321815,2021,de,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
14,15,1312109,2021,de,WITHOUT YOU, The Kid LAROI
15,16,1239133,2021,de,SHAWTY, Luciano
16,17,1228287,2021,de,gebe auf., Lune
17,18,1217983,2021,de,Europol, Miami Yacine
18,19,1183442,2021,de,Angeklagt, Bonez MC
19,20,1170134,2021,de,istanbul freestyle, Pashanim
20,21,1150648,2021,de,Paradise (feat. Dermot Kennedy), MEDUZA
21,22,1145277,2021,de,Afterglow, Ed Sheeran
22,23,1107905,2021,de,Centre Court, Bausa
23,24,1085064,2021,de,Jerusalema (feat. Nomcebo Zikode), Master KG
24,25,1079892,2021,de,junge ceos, Pashanim
25,26,1066592,2021,de,you broke me first, Tate McRae
26,27,1049665,2021,de,Roller, Apache 207
27,28,1021726,2021,de,Love Not War (The Tampa Beat), Jason Derulo
28,29,1010342,2021,de,Paradise, VIZE
29,30,1002622,2021,de,Anyone, Justin Bieber
30,31,983931,2021,de,What You Know Bout Love, Pop Smoke
31,32,980160,2021,de,Roses - Imanbek Remix, SAINt JHN
32,33,952313,2021,de,Hypnotized, Purple Disco Machine
33,34,939335,2021,de,ROCKSTAR (feat. Roddy Ricch), DaBa
34,35,923278,2021,de,Prisoner (feat. Dua Lipa), Miley Cyrus
35,36,882426,2021,de,Therefore I Am, Billie Eilish
36,37,876041,2021,de,Breaking Me, Topic
37,38,858273,2021,de,ka je, Dardan
