,Rank,Streams,Year,Country,Title,Artist
0,1,1180765,2018,dk,Langsom, Gilli
1,2,831733,2018,dk,Ligesom Mig, KESI
2,3,579645,2018,dk,River (feat. Ed Sheeran), Eminem
3,4,396985,2018,dk,rockstar, Post Malone
4,5,355943,2018,dk,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
5,6,321429,2018,dk,Let You Down, NF
6,7,312174,2018,dk,Him & I (with Halsey), G-Eazy
7,8,308679,2018,dk,Wolves, Selena Gomez
8,9,305397,2018,dk,Perfect, Ed Sheeran
9,10,298657,2018,dk,Havana (feat. Young Thug), Camila Cabello
10,11,284698,2018,dk,Candy Paint, Post Malone
11,12,280520,2018,dk,Stilen Lagt (feat. Benny Jamz Gilli & MellemFingaMuzik), Molo
12,13,264295,2018,dk,Silence, Marshmello
13,14,258732,2018,dk,Det Der, Jimilian
14,15,247692,2018,dk,Too Good At Good,es  
15,16,247098,2018,dk,Finesse - Remix; feat. Cardi B, Bruno Mars
16,17,243010,2018,dk,Malibu, Skinz
17,18,231212,2018,dk,I Miss You (feat. Julia Michaels), Clean Bandit
18,19,227728,2018,dk,What Lovers Do (feat. SZA), Maroon 5
19,20,226403,2018,dk,Good Together, Scarlet Pleasure
20,21,224962,2018,dk,UPN, Gulddreng
21,22,215487,2018,dk,I Fall Apart, Post Malone
22,23,210453,2018,dk,Flawless, Mads Langer
23,24,208527,2018,dk,Rica (feat. Kesi & Sivas), Gilli
24,25,206426,2018,dk,Anywhere, Rita Ora
25,26,205058,2018,dk,All The Stars (with SZA), Kendrick Lamar
26,27,203479,2018,dk,Filthy, Justin Timberlake
27,28,199207,2018,dk,New Rules, Dua Lipa
28,29,197831,2018,dk,Habibi Aiwa, Gilli
29,30,197513,2018,dk,Ca Ca, ZK
30,31,194761,2018,dk,Shape of You, Ed Sheeran
31,32,192759,2018,dk,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
32,33,191002,2018,dk,Følelsen, KESI
33,34,188132,2018,dk,1-800-273-8255, Logic
34,35,181159,2018,dk,Naked, James Arthur
35,36,176566,2018,dk,Young Dumb & Broke, Khalid
36,37,168861,2018,dk,Ensom, Gulddreng
37,38,166857,2018,dk,Gi Mig Det Hele, NODE
38,39,165138,2018,dk,JACKPOT (feat. Benny Jamz), MellemFingaMuzik
39,40,161287,2018,dk,How Long, Charlie Puth
40,41,161237,2018,dk,For You (Fifty Shades Freed) (& Rita Ora), Liam Payne
41,42,160270,2018,dk,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
42,43,159343,2018,dk,XO Tour Llif3, Lil Uzi Vert
43,44,158403,2018,dk,Think Before I Talk, Astrid S
44,45,152841,2018,dk,Unforgettable, French Montana
45,46,151595,2018,dk,Mamacita (feat. Benny Jamz), KESI
46,47,150955,2018,dk,Gucci Gang, Lil Pump
47,48,150028,2018,dk,Unreliable, Scarlet Pleasure
48,49,138396,2018,dk,Man's Not Hot, Big Shaq
49,50,137292,2018,dk,Feel It Still, Portugal. The Man
50,51,137053,2018,dk,Despacito - Remix, Luis Fonsi
51,52,130490,2018,dk,Tip Toe (feat. French Montana), Jason Derulo
52,53,128521,2018,dk,Turn Back Time, Daniel Schulz
53,54,126834,2018,dk,Real Friends, Camila Cabello
54,55,123465,2018,dk,Stargazing, Kygo
55,56,123284,2018,dk,Ask For It, Future Animals
56,57,117029,2018,dk,Congratulations, Post Malone
57,58,116385,2018,dk,Off to See the World, Lukas Graham
58,59,116186,2018,dk,Dedikeret (feat. Benny Jamz Gilli & MellemFingaMuzik), Molo
59,60,115681,2018,dk,Friends (with BloodPop®), Justin Bieber
60,61,113736,2018,dk,Limbo, Scarlet Pleasure
61,62,113627,2018,dk,Plain Jane, A$AP Ferg
62,63,113587,2018,dk,Outcast, FOOL
63,64,113228,2018,dk,Follow Me, Niklas
64,65,113052,2018,dk,Fuck Det, Gulddreng
65,66,111740,2018,dk,No Limit, G-Eazy
66,67,111709,2018,dk,Comme Ci Comme Ça, Basim
67,68,109964,2018,dk,Please Don't Lie, Hugo Helmig
68,69,109402,2018,dk,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
69,70,107323,2018,dk,Jocelyn Flores, XXXTENTACION
70,71,107271,2018,dk,All Falls Down (feat. Juliander), Alan Walker
71,72,107084,2018,dk,Linje H, Nik & Jay
72,73,107057,2018,dk,Indifférent (feat. Sivas), NODE
73,74,106714,2018,dk,Betrayed, Lil Xan
74,75,106667,2018,dk,Skejsen (feat. Benny Jamz Gilli & MellemFingaMuzik), Molo
75,76,105438,2018,dk,Jeg Har En Pige, Skinz
76,77,105221,2018,dk,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
77,78,105058,2018,dk,I Like Me Better, Lauv
78,79,104376,2018,dk,Hele Dagen, Blak
79,80,102897,2018,dk,Skyldig, Blak
80,81,102514,2018,dk,Galway Girl, Ed Sheeran
81,82,101241,2018,dk,Say You Won't Let Go, James Arthur
82,83,101014,2018,dk,Happier, Ed Sheeran
83,84,100179,2018,dk,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha), Machine Gun Kelly
84,85,98656,2018,dk,HUMBLE., Kendrick Lamar
85,86,96797,2018,dk,Deja vu, Scarlet Pleasure
86,87,95976,2018,dk,Photograph, Ed Sheeran
87,88,95162,2018,dk,BUTTERFLY EFFECT, Travis Scott
88,89,92569,2018,dk,Never Be the Same, Camila Cabello
89,90,92222,2018,dk,De Snakker, NODE
90,91,91608,2018,dk,Solo Dance, Martin Jensen
91,92,91575,2018,dk,Pretty Girl - Cheat Codes X CADE Remix, Maggie Lindemann
92,93,91511,2018,dk,Bartier Cardi (feat. 21 Savage), Cardi B
93,94,91449,2018,dk,I min zone, Skinz
94,95,88438,2018,dk,Mama, Jonas Blue
95,96,88348,2018,dk,There's Nothing Holdin' Me Back, Shawn Mendes
96,97,88001,2018,dk,Ric Flair Drip (with Metro Boomin), Offset
97,98,87178,2018,dk,Mi Gente, J Balvin
98,99,84897,2018,dk,Issues, Julia Michaels
99,100,84134,2018,dk,Strongest, Ina Wroldsen
100,101,83562,2018,dk,2017, Rasmus Seebach
101,102,82900,2018,dk,Échame La Culpa, Luis Fonsi
102,103,82728,2018,dk,Without You (feat. Sandro Cavazza), Avicii
103,104,81950,2018,dk,Attention, Charlie Puth
104,105,81764,2018,dk,Ayo, Beko
105,106,81654,2018,dk,Castle on the Hill, Ed Sheeran
106,107,81402,2018,dk,Thinking out Loud, Ed Sheeran
107,108,81387,2018,dk,Come Alive, Noah Carter
108,109,81337,2018,dk,Helwa, Gilli
109,110,81136,2018,dk,Thunder, Imagine Dragons
110,111,80983,2018,dk,Bølgen (feat. Benny Jamz Gilli & MellemFingaMuzik), Molo
111,112,80588,2018,dk,Wait, Maroon 5
112,113,80422,2018,dk,Laila (feat. Jimilian), Sleiman
113,114,80134,2018,dk,More Than You Know, Axwell /\ Ingrosso
114,115,80011,2018,dk,Go Flex, Post Malone
115,116,79886,2018,dk,Lonely Together (feat. Rita Ora), Avicii
116,117,79374,2018,dk,goosebumps, Travis Scott
117,118,79339,2018,dk,Aji Aji, Basim
118,119,78669,2018,dk,Little Do You Know, Alex & Sierra
119,120,78382,2018,dk,Your Song, Rita Ora
120,121,77273,2018,dk,La Varrio (El Barrio), Gilli
121,122,76968,2018,dk,Bank Account, 21 Savage
122,123,75021,2018,dk,Summer Air, ItaloBrothers
123,124,74720,2018,dk,Angel Zoo, Phlake
124,125,74287,2018,dk,Op (feat. Gilli & Benny Jamz), KESI
125,126,74057,2018,dk,Location, Khalid
126,127,73872,2018,dk,Let It Go, James Bay
127,128,73648,2018,dk,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""", Ed Sheeran
128,129,73428,2018,dk,Bedre End Din Eks, Page Four
129,130,73245,2018,dk,Ready To Love You, HEDEGAARD
130,131,72503,2018,dk,Pool (feat. TopGunn), Citybois
131,132,72110,2018,dk,I Feel It Coming, The Weeknd
132,133,71988,2018,dk,Too Much To Ask, Niall Horan
133,134,71604,2018,dk,Lay Lay (feat. NODE), PAY
134,135,71539,2018,dk,Slow Hands, Niall Horan
135,136,71407,2018,dk,Weekend, Joey Moe
136,137,71359,2018,dk,I Know You, Craig David
137,138,69848,2018,dk,White Iverson, Post Malone
138,139,69781,2018,dk,Wild Thoughts (feat. Rihanna & Bryson Tiller), DJ Khaled
139,140,68922,2018,dk,It Ain't Me (with Selena Gomez), Kygo
140,141,68576,2018,dk,Bon Appétit, PAY
141,142,67558,2018,dk,Love Yourself, Justin Bieber
142,143,67344,2018,dk,Dreamer, Axwell /\ Ingrosso
143,144,67337,2018,dk,Something Just Like This, The Chainsmokers
144,145,67322,2018,dk,Dancing On My Own, Calum Scott
145,146,66281,2018,dk,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
146,147,66278,2018,dk,Ved Det Godt, NOAH
147,148,66024,2018,dk,Symphony (feat. Zara Larsson), Clean Bandit
148,149,65782,2018,dk,Mask Off, Future
149,150,65439,2018,dk,Bodak Yellow, Cardi B
150,151,65285,2018,dk,When You Love Someone, James TW
151,152,65080,2018,dk,God Dag, KESI
152,153,65043,2018,dk,Breathe, Jax Jones
153,154,64908,2018,dk,What They Say, Clara
154,155,64305,2018,dk,Hyggesang, TopGunn
155,156,63990,2018,dk,Feels (feat. Pharrell Williams Katy Perry & Big Sean), Calvin Harris
156,157,63814,2018,dk,Fuck Love (feat. Trippie Redd), XXXTENTACION
157,158,63122,2018,dk,What About Us, P!nk
158,159,62554,2018,dk,Believer, Imagine Dragons
159,160,62516,2018,dk,I'm the One (feat. Justin Bieber Quavo Chance the Rapper & Lil Wayne), DJ Khaled
160,161,62012,2018,dk,Slide (feat. Frank Ocean & Migos), Calvin Harris
161,162,61780,2018,dk,For Evigt, Volbeat
162,163,61489,2018,dk,Tidligt Op, Gilli
163,164,61471,2018,dk,Ghostface Killers (feat. Travis Scott), 21 Savage
164,165,60990,2018,dk,Fremtiden, RH
165,166,60725,2018,dk,Er Derude, Skinz
166,167,60533,2018,dk,Alt Hvad Du Vil Ha, Gulddreng
167,168,60197,2018,dk,Low Life, Soleima
168,169,60056,2018,dk,Broken People (with Logic & Rag'n'Bone Man), Logic
169,170,59965,2018,dk,Let Her Go, Passenger
170,171,59826,2018,dk,Jaloux, Skinz
171,172,59518,2018,dk,"Lose Yourself - From ""8 Mile"" Soundtrack", Eminem
172,173,59203,2018,dk,Farfar Sang, Rasmus Seebach
173,174,58724,2018,dk,You Don't Know Me - Radio Edit, Jax Jones
174,175,58342,2018,dk,Lost Boy, Ruth B.
175,176,58247,2018,dk,Sicario, Sleiman
176,177,58207,2018,dk,Mercy, Shawn Mendes
177,178,58036,2018,dk,Om Igen, Karl William
178,179,57999,2018,dk,MotorSport, Migos
179,180,57674,2018,dk,Redbone, Childish Gambino
180,181,57659,2018,dk,We Don't Have To Take Our Clothes Off, Ella Eyre
181,182,57123,2018,dk,Jealous, Labrinth
182,183,56965,2018,dk,Supermarket Flowers, Ed Sheeran
183,184,56952,2018,dk,For Længe (feat. RH), Volkan
184,185,56921,2018,dk,IKEA episodes, Phlake
185,186,56578,2018,dk,2U (feat. Justin Bieber), David Guetta
186,187,56337,2018,dk,Scared to Be Lonely, Martin Garrix
187,188,56272,2018,dk,Bli' Her Lidt Endnu, Rasmus Seebach
188,189,56251,2018,dk,Gulddans, ICEKIID
189,190,56034,2018,dk,September Song, JP Cooper
190,191,55856,2018,dk,This Town (feat. Sasha Alex Sloan), Kygo
191,192,55839,2018,dk,It's Gotta Be You, Isaiah Firebrace
192,193,55661,2018,dk,Everybody Dies In Their Nightmares, XXXTENTACION
193,194,55639,2018,dk,This Is Me, Keala Settle
194,195,55630,2018,dk,Stay With Me, Sam Smith
195,196,55467,2018,dk,Smukkest På En Søndag, Joey Moe
196,197,55311,2018,dk,Time Can Heal A Man, Saveus
197,198,55255,2018,dk,Walk On Water (feat. Beyoncé), Eminem
198,199,55191,2018,dk,C'est la vie (feat. MellemFingaMuzik), Gilli
199,200,55184,2018,dk,Rewrite The Stars, Zac Efron
