,Rank,Streams,Year,Country,Title,Artist
0,1,65570,2017,do,Soy Peor, Bad Bunny
1,2,55879,2017,do,Chantaje (feat. Maluma), Shakira
2,3,49180,2017,do,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian), Arcangel
3,4,48072,2017,do,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
4,5,45875,2017,do,Otra vez (feat. J Balvin), Zion & Lennox
5,6,44019,2017,do,Shape of You, Ed Sheeran
6,7,43728,2017,do,Dile Que Tu Me Quieres, Ozuna
7,8,43716,2017,do,Dema Ga Ge Gi Go Gu, El Alfa
8,9,42268,2017,do,Sola, Anuel AA
9,10,39876,2017,do,Safari, J Balvin
10,11,36427,2017,do,Me Llamas, Arcangel
11,12,36222,2017,do,Reggaetón Lento (Bailemos), CNCO
12,13,34906,2017,do,Cuatro Ba,s (feat. Trap Capos
13,14,34191,2017,do,Let Me Love You, DJ Snake
14,15,33633,2017,do,Me Ama Me Odia, Ozuna
15,16,32709,2017,do,Chillax (feat. Ky-Mani Marley), Farruko
16,17,32491,2017,do,Caile (feat. Zion & De La Ghetto), Revol
17,18,32113,2017,do,Closer, The Chainsmokers
18,19,32060,2017,do,Privado, Rvssian
19,20,31162,2017,do,Starboy, The Weeknd
20,21,29789,2017,do,Vente Pa' Ca (feat. Maluma), Ricky Martin
21,22,28429,2017,do,24K Magic, Bruno Mars
22,23,27943,2017,do,Corazon De Seda (feat. Ozuna), Klasico
23,24,27813,2017,do,One Dance, Drake
24,25,27764,2017,do,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
25,26,26238,2017,do,En La Intimidad, Ozuna
26,27,25804,2017,do,Sola, Anuel AA
27,28,25747,2017,do,Si Tu Cama Hablara (feat. Cosculluela), Lenny Tavárez
28,29,25272,2017,do,Te Vas, Ozuna
29,30,24914,2017,do,Castle on the Hill, Ed Sheeran
30,31,24753,2017,do,Pa Ti, Bad Bunny
31,32,24443,2017,do,Don't Wanna Know, Maroon 5
32,33,23934,2017,do,In the Name of Love, Martin Garrix
33,34,23793,2017,do,Fake Love, Drake
34,35,23131,2017,do,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
35,36,22488,2017,do,Andas En Mi Cabeza, Chino & Nacho
36,37,22455,2017,do,Cold Water (feat. Justin Bieber & MØ), Major Lazer
37,38,21150,2017,do,La Bicicleta, Carlos Vives
38,39,21064,2017,do,My Way, Calvin Harris
39,40,20726,2017,do,I Feel It Coming, The Weeknd
40,41,20635,2017,do,Don't Let Me Down (feat. Daya), The Chainsmokers
41,42,20572,2017,do,Vacaciones, Wisin
42,43,20331,2017,do,Un Polvo (feat. Bad Bunny Arcángel Ñengo Flow & De La Ghetto), Maluma
43,44,20270,2017,do,Shaky Shaky, Daddy Yankee
