,Rank,Streams,Year,Country,Title,Artist
0,1,191008,2018,ec,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
1,2,187120,2018,ec,Corazón, Maluma
2,3,179211,2018,ec,Échame La Culpa, Luis Fonsi
3,4,141527,2018,ec,Bella, Wolfine
4,5,140828,2018,ec,Downtown, Anitta
5,6,139968,2018,ec,Sensualidad, Bad Bunny
6,7,137955,2018,ec,Criminal, Natti Natasha
7,8,109071,2018,ec,Que Va, Alex Sensation
8,9,105870,2018,ec,Mayores, Becky G
9,10,105564,2018,ec,Se Preparó, Ozuna
10,11,104278,2018,ec,Robarte un Beso, Carlos Vives
11,12,102231,2018,ec,SUTRA, Sebastian Yatra
12,13,102015,2018,ec,Suena El Dembow, Joey Montana
13,14,91213,2018,ec,Báilame - Remix, Nacho
14,15,91157,2018,ec,Me Rehúso, Danny Ocean
15,16,88866,2018,ec,Perro Fiel (feat. Nicky Jam), Shakira
16,17,87116,2018,ec,Déjate Llevar, Juan Magán
17,18,83114,2018,ec,Esperándote, Manuel Turizo
18,19,82676,2018,ec,Besame, Valentino
19,20,78844,2018,ec,Bella y Sensual, Romeo Santos
20,21,74444,2018,ec,Olha a Explosão, MC Kevinho
21,22,71623,2018,ec,Escápate Conmigo (feat. Ozuna), Wisin
22,23,70352,2018,ec,Dembow, Danny Ocean
23,24,70074,2018,ec,Una Lady Como Tú, Manuel Turizo
24,25,68869,2018,ec,Vuelve, Daddy Yankee
25,26,67752,2018,ec,Besos En Guerra, Morat
26,27,67242,2018,ec,Loco Enamorado, Abraham Mateo
27,28,67158,2018,ec,Havana - Remix, Camila Cabello
28,29,67010,2018,ec,3 A.M., Jesse & Joy
29,30,66779,2018,ec,Bum Bum Tam Tam, MC Fioti
30,31,64797,2018,ec,Cásate Conmigo, Silvestre Dangond
31,32,63342,2018,ec,Vivo Pensando En Ti (feat. Maluma), Felipe Peláez
32,33,63261,2018,ec,Bonita, J Balvin
33,34,60507,2018,ec,Felices los 4, Maluma
34,35,60087,2018,ec,Mi Mala, Mau y Ricky
35,36,59033,2018,ec,Solo, Amenazzy
