,Rank,Streams,Year,Country,Title,Artist
0,1,45796,2020,eg,Dance Monkey, Tones And I
1,2,26210,2020,eg,Falling, Trevor Daniel
2,3,24722,2020,eg,Basha E3temed, A
3,4,23555,2020,eg,Salmonella, Tameem Youness
4,5,20145,2020,eg,Sindbad, Marwan Pablo
5,6,19822,2020,eg,El Gemeza, Marwan Pablo
6,7,19811,2020,eg,باظت, Wegz
7,8,19164,2020,eg,Free, Marwan Pablo
8,9,18296,2020,eg,Sout Baga3, Shahyn
9,10,17143,2020,eg,everything i wanted, Billie Eilish
10,11,17054,2020,eg,Memories, Maroon 5
11,12,15589,2020,eg,ROXANNE, Arizona Zervas
12,13,15526,2020,eg,The Box, Roddy Ricch
13,14,15022,2020,eg,Yummy, Justin Bieber
14,15,14981,2020,eg,البوصلة ضاعت, Marwan Moussa
15,16,14964,2020,eg,bad guy, Billie Eilish
16,17,14912,2020,eg,ATM, Wegz
17,18,14683,2020,eg,Señorita, Shawn Mendes
18,19,13569,2020,eg,Ouly, Ahmed Kamel
19,20,13147,2020,eg,نهاية العالم, Marwan Moussa
20,21,12929,2020,eg,Don't Start Now, Dua Lipa
21,22,12896,2020,eg,كدا كدا, Wegz
22,23,12873,2020,eg,Circles, Post Malone
23,24,12807,2020,eg,Blinding Lights, The Weeknd
24,25,12342,2020,eg,Lalala, Y2K
25,26,12143,2020,eg,Someone You Loved, Lewis Capaldi
26,27,11894,2020,eg,My Oh My (feat. DaBa,)  
27,28,11746,2020,eg,Mel Bedaya, Mohamed Hamaki
28,29,11719,2020,eg,Elvaranda, Shahyn
29,30,11128,2020,eg,HIGHEST IN THE ROOM, Travis Scott
30,31,10610,2020,eg,Kan Lak Ma'aya (Feat. Umm Kulthum), Cairokee
31,32,10529,2020,eg,مهرجان عايم فى بحر الغدر, Ali Samara
32,33,10469,2020,eg,Ensay, Saad Lamjarred
33,34,10385,2020,eg,Without Me, Halsey
34,35,10361,2020,eg,Heartless, The Weeknd
35,36,10224,2020,eg,lovely (with Khalid), Billie Eilish
36,37,10110,2020,eg,Ya Sattar, Mohamed Hamaki
37,38,9868,2020,eg,Believer, Imagine Dragons
38,39,9784,2020,eg,No Idea, Don Toliver
39,40,9717,2020,eg,Odam Merayetha, Amr Diab
40,41,9635,2020,eg,Abu Mecca, Marwan Pablo
41,42,9613,2020,eg,Lucid Dreams, Juice WRLD
42,43,9495,2020,eg,Let Me Down Slowly, Alec Benjamin
43,44,9354,2020,eg,فرعون, Marwan Moussa
44,45,9128,2020,eg,Ya A,ad Ya Eswed  
45,46,9040,2020,eg,Nasseeny Leih, Tamer Hosny
46,47,8735,2020,eg,Wadaa3 ya donia, Figo Eld5lawe
47,48,8421,2020,eg,أبطال, Marwan Moussa
48,49,8305,2020,eg,Alone Pt. II, Alan Walker
49,50,8143,2020,eg,Oloolo Samah, Tamer Ashour
50,51,7955,2020,eg,Lose You To Love Me, Selena Gomez
51,52,7827,2020,eg,علي راحتي, Wegz
52,53,7749,2020,eg,Bahebo, Amr Diab
53,54,7694,2020,eg,Wtwat, A
54,55,7641,2020,eg,Old Town Road - Remix, Lil Nas X
55,56,7612,2020,eg,Bayen Habeit, Amr Diab
56,57,7598,2020,eg,3ayz Fin, Marwan Pablo
57,58,7590,2020,eg,Mahragan Ana Al, Dab  
58,59,7425,2020,eg,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
59,60,7411,2020,eg,7 rings, Ariana Grande
60,61,7309,2020,eg,rockstar (feat. 21 Savage), Post Malone
61,62,7224,2020,eg,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
62,63,7068,2020,eg,Trampoline (with ZAYN), SHAED
63,64,7067,2020,eg,Oddam El Nas, Mohamed Hamaki
64,65,7045,2020,eg,حبه جنة, Sherine
65,66,6987,2020,eg,Youm Talat, Amr Diab
66,67,6855,2020,eg,Hate Me (with Juice WRLD), Ellie Goulding
67,68,6854,2020,eg,SAD!, XXXTENTACION
68,69,6824,2020,eg,Happier, Marshmello
69,70,6796,2020,eg,El Gholaf X Ozoris, Marwan Pablo
70,71,6637,2020,eg,Adore You, Harry Styles
71,72,6634,2020,eg,Handrb Nawawi, Figo Eld5lawe
72,73,6627,2020,eg,مش هقولك بيبي, Wegz
73,74,6616,2020,eg,It's You, Ali Gatie
74,75,6557,2020,eg,Moonlight, XXXTENTACION
75,76,6547,2020,eg,Can We Kiss Forever?, Kina
76,77,6539,2020,eg,BHBD, A
77,78,6462,2020,eg,7elm B3eed, Mahmoud El Esseily
78,79,6371,2020,eg,hot girl bummer, blackbear
79,80,6370,2020,eg,Ma'darsh Al Nesyan, Amr Diab
80,81,6351,2020,eg,FRIENDS, Marshmello
81,82,6346,2020,eg,Graveyard, Halsey
82,83,6299,2020,eg,سالمونيلا, Tameem Youness
83,84,6297,2020,eg,WHAT TO DO? (feat. Don Toliver), JACKBOYS
84,85,6250,2020,eg,Thunder, Imagine Dragons
85,86,6195,2020,eg,Ana Gheir, Amr Diab
86,87,6188,2020,eg,Ya Agmal Eyoun (Remix), Amr Diab
87,88,6118,2020,eg,Mafia, Mohamed Ramadan
88,89,6101,2020,eg,Shaklatony Fy Bahr Bera, Hamo Bika
89,90,6023,2020,eg,Ransom, Lil Tecca
90,91,6015,2020,eg,GANG GANG, JACKBOYS
91,92,5989,2020,eg,Get You The Moon (feat. Snøw), Kina
92,93,5958,2020,eg,when the party's over, Billie Eilish
93,94,5889,2020,eg,Tamally Maak, Amr Diab
94,95,5869,2020,eg,Mabatsh Akhaf, Ahmed Kamel
95,96,5852,2020,eg,Awel Youm Fi Elboad, Amr Diab
96,97,5841,2020,eg,Ayam, Tamer Ashour
97,98,5706,2020,eg,Beautiful People (feat. Khalid), Ed Sheeran
98,99,5702,2020,eg,Leily nahary, Amr Diab
99,100,5621,2020,eg,Watermelon Sugar, Harry Styles
100,101,5571,2020,eg,سكرتي, Wegz
101,102,5493,2020,eg,Bad Liar, Imagine Dragons
102,103,5442,2020,eg,Fe Hetta Tanya, Mahmoud El Esseily
103,104,5437,2020,eg,Folklor, Marwan Pablo
104,105,5434,2020,eg,Kotshy Adidas, Muhammed Khaled
105,106,5421,2020,eg,Al, Etmannah  
106,107,5368,2020,eg,كان نفسي, Wegz
107,108,5329,2020,eg,Ayy Macarena, Tyga
108,109,5325,2020,eg,Bandit (with YoungBoy Never Broke Again), Juice WRLD
109,110,5263,2020,eg,اللقطة, Wegz
110,111,5223,2020,eg,On My Way, Alan Walker
111,112,5165,2020,eg,Da Hekaya, Tamer Ashour
112,113,5164,2020,eg,Faded, Alan Walker
113,114,5145,2020,eg,Wow., Post Malone
114,115,5123,2020,eg,BOP, DaBa
115,116,5105,2020,eg,Kaas (Freestyle), Marwan Pablo
116,117,5094,2020,eg,I Don't Care (with Justin Bieber), Ed Sheeran
117,118,5047,2020,eg,Before You Go, Lewis Capaldi
118,119,5009,2020,eg,الزار, Wegz
119,120,4952,2020,eg,نساى, Sherine
120,121,4894,2020,eg,Hollywood's Bleeding, Post Malone
121,122,4890,2020,eg,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
122,123,4888,2020,eg,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
123,124,4883,2020,eg,Maltashet El Oloub, Mostafa Shawky
124,125,4877,2020,eg,Mami Cosa, Hassan El Shafei
125,126,4824,2020,eg,Easy Money, Sharmoofers
126,127,4801,2020,eg,How Do You Sleep?, Sam Smith
127,128,4783,2020,eg,Ride It, Regard
128,129,4772,2020,eg,Youm Talat (Remix), Amr Diab
129,130,4764,2020,eg,Khareg an El Saytara, Ahmed Kamel
130,131,4744,2020,eg,Shape of You, Ed Sheeran
131,132,4737,2020,eg,"Fire On Fire - From ""Watership Down""", Sam Smith
132,133,4723,2020,eg,Sweet but Psycho, Ava Max
133,134,4705,2020,eg,Scoo Scoo, Abo El Anwar
134,135,4686,2020,eg,changes, XXXTENTACION
135,136,4639,2020,eg,Enta Ekhtart, Tamer Ashour
136,137,4638,2020,eg,Natural, Imagine Dragons
137,138,4635,2020,eg,Aghla Men Al Yaqout, Ahmed Mekky
138,139,4618,2020,eg,Alak Te3eesh Hatshouf, Essam Sasa
139,140,4596,2020,eg,Good,es (Feat. Young Thug)  
140,141,4591,2020,eg,Tehayrk, Amr Diab
141,142,4577,2020,eg,Something Just Like This, The Chainsmokers
142,143,4573,2020,eg,Futsal Shuffle 2020, Lil Uzi Vert
143,144,4561,2020,eg,خطوة, Moustafa Hagag
144,145,4559,2020,eg,Dancin (feat. Luvli) - Krono Remix, Aaron Smith
145,146,4551,2020,eg,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
146,147,4525,2020,eg,Nour El Ein, Amr Diab
147,148,4507,2020,eg,Old Town Road, Lil Nas X
148,149,4438,2020,eg,3AMALTAHA AGMAD, A
149,150,4436,2020,eg,SICKO MODE, Travis Scott
150,151,4414,2020,eg,Look At Her Now, Selena Gomez
151,152,4382,2020,eg,Closer, The Chainsmokers
152,153,4354,2020,eg,Legends, Juice WRLD
153,154,4343,2020,eg,I'm a Mess, Bebe Rexha
154,155,4307,2020,eg,Cradles, Sub Urban
155,156,4301,2020,eg,Taki Taki (feat. Selena Gomez Ozuna & Cardi B), DJ Snake
156,157,4248,2020,eg,Take What You Want (feat. Ozzy Osbourne & Travis Scott), Post Malone
157,158,4227,2020,eg,Elli Baana, Ragheb Alama
158,159,4225,2020,eg,من قلبي بغني, Mohamed Hamaki
159,160,4214,2020,eg,تي ان تي, Wegz
160,161,4213,2020,eg,3 Daqat, Abu
161,162,4192,2020,eg,bury a friend, Billie Eilish
162,163,4176,2020,eg,Geb felos, Molotof
