,Rank,Streams,Year,Country,Title,Artist
0,1,1631939,2018,es,Échame La Culpa, Luis Fonsi
1,2,1315539,2018,es,Sensualidad, Bad Bunny
2,3,1225380,2018,es,Corazón, Maluma
3,4,1130802,2018,es,Criminal, Natti Natasha
4,5,1070928,2018,es,Mayores, Becky G
5,6,1013143,2018,es,Downtown, Anitta
6,7,1008245,2018,es,Se Preparó, Ozuna
7,8,915875,2018,es,No vaya a ser, Pablo Alborán
8,9,903145,2018,es,Déjate Llevar, Juan Magán
9,10,897936,2018,es,Perro Fiel (feat. Nicky Jam), Shakira
10,11,872301,2018,es,Suena El Dembow, Joey Montana
11,12,857307,2018,es,New Rules, Dua Lipa
12,13,850214,2018,es,Havana (feat. Young Thug), Camila Cabello
13,14,850072,2018,es,Báilame - Remix, Nacho
14,15,848651,2018,es,Bum Bum Tam Tam, MC Fioti
15,16,843800,2018,es,Me Rehúso, Danny Ocean
16,17,790721,2018,es,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
17,18,763990,2018,es,rockstar, Post Malone
18,19,762512,2018,es,Havana - Remix, Camila Cabello
19,20,731072,2018,es,Robarte un Beso, Carlos Vives
20,21,702242,2018,es,Que Va, Alex Sensation
21,22,692753,2018,es,SUTRA, Sebastian Yatra
22,23,690542,2018,es,Perfect, Ed Sheeran
23,24,677674,2018,es,Chambea, Bad Bunny
24,25,676792,2018,es,Besos En Guerra, Morat
25,26,674419,2018,es,Wolves, Selena Gomez
26,27,649341,2018,es,3 A.M., Jesse & Joy
27,28,637999,2018,es,Shake It Out - Operación Triunfo 2017, Amaia
28,29,626509,2018,es,Vuelve, Daddy Yankee
29,30,625469,2018,es,Escápate Conmigo (feat. Ozuna), Wisin
30,31,609671,2018,es,Síguelo Bailando, Ozuna
31,32,598186,2018,es,Shape of You, Ed Sheeran
32,33,595471,2018,es,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
33,34,583872,2018,es,Mi Gente, J Balvin
34,35,583120,2018,es,Felices los 4, Maluma
35,36,565977,2018,es,Loco Enamorado, Abraham Mateo
36,37,555231,2018,es,Una Lady Como Tú, Manuel Turizo
37,38,553329,2018,es,Bella y Sensual, Romeo Santos
38,39,549125,2018,es,La isla del amor (feat. Maki), Demarco Flamenco
39,40,544766,2018,es,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
40,41,539967,2018,es,Saturno, Pablo Alborán
41,42,522920,2018,es,Ahora Dice, Chris Jedi
42,43,513669,2018,es,What Lovers Do (feat. SZA), Maroon 5
43,44,505339,2018,es,Explícale (feat. Bad Bunny), Yandel
44,45,471766,2018,es,El Patio, Pablo López
45,46,469298,2018,es,Tú Me Obligaste, Antonio José
46,47,468478,2018,es,Bonita, J Balvin
47,48,456486,2018,es,Guerrera, DELLAFUENTE
48,49,423763,2018,es,La Llamada, Leiva
49,50,420365,2018,es,Tú Foto, Ozuna
50,51,420189,2018,es,Camina - Operación Triunfo 2017, Operación Triunfo 2017
51,52,418439,2018,es,Hey DJ, CNCO
52,53,400736,2018,es,She Don't Give a FO (feat. Khea), Duki
53,54,393381,2018,es,Despacito (Featuring Daddy Yankee), Luis Fonsi
54,55,379378,2018,es,Dembow, Danny Ocean
55,56,361665,2018,es,Too Good At Good,es  
56,57,359503,2018,es,Feel It Still, Portugal. The Man
57,58,346815,2018,es,OK, Robin Schulz
58,59,344260,2018,es,River (feat. Ed Sheeran), Eminem
59,60,329420,2018,es,How Long, Charlie Puth
60,61,328363,2018,es,Kung Fu, Dasoul
61,62,322231,2018,es,Quiero Repetir, Ozuna
62,63,309136,2018,es,Finesse - Remix; feat. Cardi B, Bruno Mars
63,64,306495,2018,es,Sirenas, Taburete
64,65,305099,2018,es,La Modelo, Ozuna
65,66,304097,2018,es,Como Antes (feat. Wisin), Yandel
66,67,302037,2018,es,Invisible, Malú
67,68,300944,2018,es,Silence, Marshmello
68,69,298147,2018,es,Sola, Anuel AA
69,70,292769,2018,es,Háblame Bajito, Abraham Mateo
70,71,287469,2018,es,Amor Amor Amor (feat. Wisin), Jennifer Lopez
71,72,286997,2018,es,Mi Mala, Mau y Ricky
72,73,282443,2018,es,Attention, Charlie Puth
73,74,277615,2018,es,La fórmula (feat. Chris Jedi), De La Ghetto
74,75,275652,2018,es,#Natural, Paty Cantú
75,76,272438,2018,es,"Yo Contigo Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""", Morat
76,77,271371,2018,es,Esperándote, Manuel Turizo
77,78,269231,2018,es,Anywhere, Rita Ora
78,79,267626,2018,es,Mamita, CNCO
79,80,265730,2018,es,Mala Mujer, C. Tangana
80,81,261421,2018,es,Tip Toe (feat. French Montana), Jason Derulo
81,82,254953,2018,es,Besame, Valentino
82,83,249034,2018,es,Bella, Wolfine
83,84,248685,2018,es,Krippy Kush, Farruko
