,Rank,Streams,Year,Country,Title,Artist
0,1,1440439,2019,fr,Binks to Binks 6, Ninho
1,2,1320380,2019,fr,Tout oublier, Angèle
2,3,1289686,2019,fr,Madrina, Maes
3,4,1208492,2019,fr,1000°C, Lomepal
4,5,1190494,2019,fr,Sale mood, Bramsito
5,6,1012818,2019,fr,Trop beau, Lomepal
6,7,988624,2019,fr,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
7,8,924819,2019,fr,Jaloux, Dadju
8,9,868064,2019,fr,Rêves bizarres (feat. Damso), Orelsan
9,10,860445,2019,fr,Copines, Aya Nakamura
10,11,829533,2019,fr,La dot, Aya Nakamura
11,12,827004,2019,fr,MIA (feat. Drake), Bad Bunny
12,13,824728,2019,fr,thank u next, Ariana Grande
13,14,789260,2019,fr,Shallow, Lady Gaga
14,15,783392,2019,fr,Say My Name, David Guetta
15,16,762656,2019,fr,Solo, Lacrim
16,17,740183,2019,fr,Sweet but Psycho, Ava Max
17,18,736538,2019,fr,Billets verts, Maes
18,19,694339,2019,fr,High Hopes, Panic! At The Disco
19,20,660619,2019,fr,KYLL, Médine
20,21,656139,2019,fr,Air Max, Rim'K
21,22,638055,2019,fr,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
22,23,636344,2019,fr,Moonlight, XXXTENTACION
23,24,607003,2019,fr,In My Mind, Dynoro
24,25,600782,2019,fr,Jon Snow, Lacrim
25,26,597116,2019,fr,Ramenez la coupe à la maison, Vegedream
26,27,587052,2019,fr,Ma 6t a craqué (feat. Ninho), Kpoint
27,28,585002,2019,fr,Mauvais, GLK
28,29,584965,2019,fr,Happier, Marshmello
29,30,563088,2019,fr,Je te le donne (en duo avec Slimane), Vitaa
30,31,562116,2019,fr,Later Bitches, The Prince Karma
31,32,555951,2019,fr,X-men, Lomepal
32,33,553438,2019,fr,Ta reine, Angèle
33,34,548301,2019,fr,BB, Booba
34,35,546325,2019,fr,Ma che beauté, Jul
35,36,544447,2019,fr,Sucette (feat. Niska), Aya Nakamura
36,37,539103,2019,fr,Tiago, Kendji Girac
37,38,534353,2019,fr,Bae, RK
38,39,533844,2019,fr,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
39,40,521339,2019,fr,La vérité, Lomepal
40,41,516175,2019,fr,Natural, Imagine Dragons
41,42,514984,2019,fr,À nos souvenirs, Trois Cafés Gourmands
42,43,499936,2019,fr,Promises (with Sam Smith), Calvin Harris
43,44,498728,2019,fr,La thune, Angèle
44,45,489153,2019,fr,Bella, MHD
45,46,487743,2019,fr,Thunderclouds, Sia
46,47,485931,2019,fr,Feu de bois, Damso
47,48,483211,2019,fr,Débrouillard, Kaaris
48,49,483137,2019,fr,Mômes, Lomepal
49,50,482135,2019,fr,Djadja, Aya Nakamura
50,51,444338,2019,fr,Plus de larmes, Lomepal
51,52,442646,2019,fr,Évidemment, Lomepal
52,53,435864,2019,fr,A chaque jour..., Dosseh
53,54,434844,2019,fr,Paradise (feat. Benjamin Ingrosso), Ofenbach
54,55,433885,2019,fr,Dalida, Soolking
55,56,432236,2019,fr,Ne me ramène pas, Lomepal
56,57,431834,2019,fr,Without Me, Halsey
57,58,422099,2019,fr,Train de vie, Koba LaD
58,59,417121,2019,fr,L'enfoiré, Heuss L'enfoiré
59,60,414018,2019,fr,Rolls (feat. Lacrim), Hornet La Frappe
60,61,412897,2019,fr,Plus tard, Bigflo & Oli
61,62,411699,2019,fr,Bébé, MHD
62,63,411532,2019,fr,Adieu bientôt, Columbine
63,64,408511,2019,fr,Monégasque, PLK
64,65,406519,2019,fr,Balance ton quoi, Angèle
65,66,404361,2019,fr,La C, Koba LaD
66,67,399974,2019,fr,Beau la folie, Lomepal
67,68,399175,2019,fr,Sheitana (feat. Ninho), Hornet La Frappe
68,69,398696,2019,fr,Petite fille, Booba
69,70,396188,2019,fr,Be Alright, Dean Lewis
70,71,392922,2019,fr,SAD!, XXXTENTACION
71,72,392825,2019,fr,Wow., Post Malone
72,73,387037,2019,fr,Le pire, GIMS
73,74,370606,2019,fr,Come and Get Your Love - Single Version, Redbone
74,75,369987,2019,fr,Alright, Jain
75,76,365940,2019,fr,ZEZE (feat. Travis Scott & Offset), Kodak Black
76,77,364430,2019,fr,Jalousie, Angèle
77,78,360649,2019,fr,Sur le drapeau, Suprême NTM
78,79,360562,2019,fr,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
79,80,360060,2019,fr,Demain - Bigflo & Oli X Petit Biscuit, Bigflo & Oli
80,81,358928,2019,fr,Whenever (feat. Conor Maynard), Kris Kross Amsterdam
81,82,356391,2019,fr,Le vrai moi, Lomepal
82,83,352586,2019,fr,W.L.G, Niska
83,84,351889,2019,fr,Le code, SCH
84,85,351225,2019,fr,Chambre 122, Koba LaD
85,86,351175,2019,fr,Shotgun, George Ezra
86,87,350593,2019,fr,Pookie, Aya Nakamura
87,88,348755,2019,fr,Fendi, Ninho
88,89,346660,2019,fr,Longtemps, Amir
89,90,345533,2019,fr,Bohemian Rhapsody - Remastered 2011, Queen
90,91,344765,2019,fr,Smog, Damso
91,92,341000,2019,fr,91's, PNL
92,93,335030,2019,fr,ORgueilleux, Koba LaD
93,94,334962,2019,fr,Et je deviens fou, Jul
94,95,334580,2019,fr,Hit Sale (feat. Roméo Elvis), Therapie TAXI
95,96,330660,2019,fr,Chargé, GLK
96,97,330270,2019,fr,Don't Leave Me Alone (feat. Anne-Marie), David Guetta
97,98,327202,2019,fr,Juste pour voir, S.Pri Noir
98,99,324187,2019,fr,Oula, Aya Nakamura
99,100,320240,2019,fr,Falling Down - Bonus Track, Lil Peep
100,101,317962,2019,fr,Like I Love You (feat. The NGHBRS), Lost Frequencies
101,102,317452,2019,fr,Le lendemain de l'orage, Lomepal
102,103,313544,2019,fr,Roi, Bilal Hassani
103,104,313109,2019,fr,Dave Grohl, Lomepal
104,105,309162,2019,fr,Ma cousin, Lomepal
105,106,306748,2019,fr,J'voulais, Maes
106,107,303452,2019,fr,Taga, Hornet La Frappe
107,108,302369,2019,fr,Mafiosa (feat. Caroliina), Lartiste
108,109,302150,2019,fr,One Kiss (with Dua Lipa), Calvin Harris
109,110,301489,2019,fr,Polia, Doks
110,111,301206,2019,fr,La même, GIMS
111,112,300275,2019,fr,Ouais ouais, Zola
112,113,296703,2019,fr,La loi de Murphy, Angèle
113,114,294016,2019,fr,Un Poco, Ninho
114,115,293690,2019,fr,Zoum (feat. Niska), Soprano
115,116,293228,2019,fr,Happy Now, Kygo
116,117,293122,2019,fr,Mama, Maes
117,118,291585,2019,fr,Let You Love Me, Rita Ora
118,119,290665,2019,fr,Solo (feat. Demi Lovato), Clean Bandit
119,120,289859,2019,fr,Bad Liar, Imagine Dragons
120,121,288907,2019,fr,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
121,122,288260,2019,fr,Zidane, 13 Block
122,123,288111,2019,fr,Guerilla, Soolking
123,124,283185,2019,fr,BX Land Pt. 3, Heuss L'enfoiré
124,125,280701,2019,fr,Good,e (feat. Nicki Minaj & Willy William)  
125,126,277572,2019,fr,Prêt à partir (feat. Ninho), SCH
126,127,275590,2019,fr,Django, Dadju
127,128,275389,2019,fr,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
