,Rank,Streams,Year,Country,Title,Artist
0,1,401095,2022,gr,Chinchilla, SNIK
1,2,297668,2022,gr,OPLO, Trannos
2,3,288990,2022,gr,King Kong, Bossikan
3,4,281934,2022,gr,Aftoktonia, TOQUEL
4,5,188134,2022,gr,LOCA, Leaderbrain
5,6,179959,2022,gr,Cc, Light
6,7,159493,2022,gr,NASA, Rack
7,8,148194,2022,gr,Shorty, Light
8,9,135671,2022,gr,Is There Someone Else?, The Weeknd
9,10,132698,2022,gr,Wet, SNIK
10,11,132450,2022,gr,Sacrifice, The Weeknd
11,12,129955,2022,gr,Latina, Leaderbrain
12,13,124153,2022,gr,Low Rider, Khay Be
13,14,123679,2022,gr,TrapLife, FLY LO
14,15,121739,2022,gr,Dominicana Latina, SNIK
15,16,117561,2022,gr,Tipota Esi, Konstantinos Argiros
16,17,113766,2022,gr,Fotiá - Evangelia x Eleni Foureira, Evangelia
17,18,113424,2022,gr,How Do I Make You Love Me?, The Weeknd
18,19,113103,2022,gr,Mporei, Mad Clip
19,20,112506,2022,gr,Best Friends, The Weeknd
20,21,106414,2022,gr,Badman, Mente Fuerte
21,22,101348,2022,gr,Love Stories, MG
22,23,99635,2022,gr,COCO, Trannos
23,24,98690,2022,gr,Telika, Konstantinos Argiros
24,25,97918,2022,gr,Dale, Mente Fuerte
25,26,95921,2022,gr,Gia Dio, Stan
26,27,95628,2022,gr,Gasoline, The Weeknd
27,28,95478,2022,gr,Filakes, Strat
28,29,94700,2022,gr,Prestige, Rack
29,30,93962,2022,gr,Out of Time, The Weeknd
30,31,93432,2022,gr,Take My Breath, The Weeknd
31,32,92330,2022,gr,Ku Je Ti, Finem
32,33,91479,2022,gr,Starry Eyes, The Weeknd
33,34,88399,2022,gr,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
34,35,88392,2022,gr,Moth To A Flame (with The Weeknd), Swedish House Mafia
35,36,88251,2022,gr,Leyla, DJ.Silence
36,37,87427,2022,gr,Woo Walk, Light
37,38,86542,2022,gr,Funeral, Immune
38,39,86308,2022,gr,Less Than Zero, The Weeknd
39,40,85049,2022,gr,Goodfella, Light
40,41,84554,2022,gr,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
41,42,83999,2022,gr,Dokimase Ton, Saske
42,43,82840,2022,gr,Kavatza / Kαβατζα, Diablo
43,44,81400,2022,gr,Dynata - Ta Ta Ta, Stefanos Pitsiniagkas
44,45,79442,2022,gr,Kokaina, TOQUEL
45,46,78139,2022,gr,Checks, Saske
46,47,76536,2022,gr,Here We Go… Again (feat. Tyler the Creator), The Weeknd
47,48,75776,2022,gr,XILIOMETRA, Mad Clip
48,49,74503,2022,gr,Eipes Tha Figeis, VLOSPA
49,50,74327,2022,gr,Daewoo 3, Bloody Hawk
50,51,73291,2022,gr,Aeraki - To Thiliko, Eleni Foureira
51,52,72672,2022,gr,I Heard You’re Married (feat. Lil Wayne), The Weeknd
52,53,71737,2022,gr,Funky, Fy
53,54,70191,2022,gr,Guccci, Mad Clip
54,55,70146,2022,gr,Mia Zoi, Mike G
55,56,70093,2022,gr,Immune x Fumez The Engineer - Plugged In, Fumez The Engineer
56,57,70061,2022,gr,Dawn FM, The Weeknd
57,58,68876,2022,gr,XCM (Xapiacocomayro), Bossikan
58,59,67800,2022,gr,abcdefu, GAYLE
59,60,67494,2022,gr,Anthem, Immune
60,61,67031,2022,gr,Don’t Break My Heart, The Weeknd
61,62,64066,2022,gr,Full Press, Bossikan
62,63,60690,2022,gr,An, Christos Mastoras
63,64,60598,2022,gr,A Tale By Quincy, The Weeknd
64,65,60404,2022,gr,Easy On Me, Adele
65,66,60392,2022,gr,Every Angel is Terrifying, The Weeknd
66,67,59823,2022,gr,Elpida, Mad Clip
67,68,59606,2022,gr,Heat Waves, Glass Animals
68,69,59054,2022,gr,Lampo, Diablo
69,70,58903,2022,gr,Diamanti, SNIK
70,71,58594,2022,gr,love nwantiti (ah ah ah), CKay
71,72,56293,2022,gr,Voodoo, Light
72,73,56213,2022,gr,Ali Baba, FLY LO
73,74,55660,2022,gr,BAM BAM, RICTA
74,75,55485,2022,gr,Thelei Tattoo, Rack
75,76,54628,2022,gr,Mauro Gyali, Trannos
