,Rank,Streams,Year,Country,Title,Artist
0,1,64262,2017,gt,Reggaetón Lento (Bailemos), CNCO
1,2,56576,2017,gt,Chantaje (feat. Maluma), Shakira
2,3,55386,2017,gt,Otra vez (feat. J Balvin), Zion & Lennox
3,4,44364,2017,gt,Safari, J Balvin
4,5,42852,2017,gt,Let Me Love You, DJ Snake
5,6,42291,2017,gt,Shape of You, Ed Sheeran
6,7,39642,2017,gt,Closer, The Chainsmokers
7,8,38769,2017,gt,Vente Pa' Ca (feat. Maluma), Ricky Martin
8,9,32849,2017,gt,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
9,10,32683,2017,gt,Starboy, The Weeknd
10,11,31934,2017,gt,Don't Wanna Know, Maroon 5
11,12,31670,2017,gt,Dile Que Tu Me Quieres, Ozuna
12,13,30879,2017,gt,Traicionera, Sebastian Yatra
13,14,30773,2017,gt,Cuatro Ba,s (feat. Trap Capos
14,15,30227,2017,gt,In the Name of Love, Martin Garrix
15,16,28331,2017,gt,Vacaciones, Wisin
16,17,28047,2017,gt,Chillax (feat. Ky-Mani Marley), Farruko
17,18,27610,2017,gt,One Dance, Drake
18,19,26734,2017,gt,La Bicicleta, Carlos Vives
19,20,25931,2017,gt,Me Rehúso, Danny Ocean
20,21,25879,2017,gt,24K Magic, Bruno Mars
21,22,25243,2017,gt,Castle on the Hill, Ed Sheeran
22,23,25199,2017,gt,Cold Water (feat. Justin Bieber & MØ), Major Lazer
23,24,25076,2017,gt,Shaky Shaky, Daddy Yankee
24,25,24646,2017,gt,My Way, Calvin Harris
25,26,23700,2017,gt,Rocka,e (feat. Sean Paul & Anne-Marie)  
26,27,23476,2017,gt,I Feel It Coming, The Weeknd
27,28,23476,2017,gt,Don't Let Me Down (feat. Daya), The Chainsmokers
28,29,22769,2017,gt,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
29,30,22621,2017,gt,Side To Side, Ariana Grande
30,31,21401,2017,gt,Me llamas (feat. Maluma) - Remix, Piso 21
31,32,21354,2017,gt,Andas En Mi Cabeza, Chino & Nacho
32,33,21211,2017,gt,Gyal You A Party Animal - Remix, Charly Black
33,34,21091,2017,gt,Heathens, Twenty One Pilots
34,35,20786,2017,gt,Treat You Better, Shawn Mendes
35,36,20412,2017,gt,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
36,37,19807,2017,gt,Te Quiero Pa´Mi, Don Omar
37,38,19317,2017,gt,Borro Cassette, Maluma
38,39,18702,2017,gt,Bailame Despacio, Xantos
39,40,18675,2017,gt,Middle, DJ Snake
40,41,18546,2017,gt,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
