,Rank,Streams,Year,Country,Title,Artist
0,1,155086,2017,hk,Shape of You, Ed Sheeran
1,2,105731,2017,hk,Castle on the Hill, Ed Sheeran
2,3,87996,2017,hk,Closer, The Chainsmokers
3,4,86848,2017,hk,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
4,5,84699,2017,hk,Starboy, The Weeknd
5,6,70120,2017,hk,Don't Wanna Know, Maroon 5
6,7,68570,2017,hk,Bad Things (with Camila Cabello), Machine Gun Kelly
7,8,67240,2017,hk,Say You Won't Let Go, James Arthur
8,9,63547,2017,hk,Rocka,e (feat. Sean Paul & Anne-Marie)  
9,10,62260,2017,hk,Let Me Love You, DJ Snake
10,11,60283,2017,hk,All We Know, The Chainsmokers
11,12,57834,2017,hk,I Feel It Coming, The Weeknd
12,13,56348,2017,hk,Call On Me - Ryan Riback Extended Remix, Starley
13,14,55541,2017,hk,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
14,15,55441,2017,hk,24K Magic, Bruno Mars
15,16,54227,2017,hk,Just Hold On, Steve Aoki
16,17,52065,2017,hk,經過一些秋與冬, Dear Jane
17,18,51896,2017,hk,分手總約在雨天, Charmaine Fong
18,19,50223,2017,hk,沒有你 我甚麼都不是, Jason Chan
19,20,47972,2017,hk,Alone, Alan Walker
20,21,47484,2017,hk,哪裡只得我共你, Dear Jane
21,22,47463,2017,hk,Cold Water (feat. Justin Bieber & MØ), Major Lazer
22,23,47016,2017,hk,Faded, Alan Walker
23,24,46264,2017,hk,"How Far I'll Go - From ""Moana""", Alessia Cara
24,25,44443,2017,hk,All Night, The Vamps
25,26,44046,2017,hk,風箏, Supper Moment
26,27,43100,2017,hk,Starving, Hailee Steinfeld
27,28,43071,2017,hk,你是你本身的傳奇, Charmaine Fong
28,29,43064,2017,hk,In the Name of Love, Martin Garrix
29,30,42915,2017,hk,獨一無二, AGA
30,31,41575,2017,hk,Stay With Me, CHANYEOL
31,32,41299,2017,hk,By Your Side, Jonas Blue
32,33,41289,2017,hk,矛盾一生, JW
33,34,40711,2017,hk,Treat You Better, Shawn Mendes
34,35,40021,2017,hk,Photograph, Ed Sheeran
35,36,39971,2017,hk,Don't Let Me Down (feat. Daya), The Chainsmokers
36,37,39350,2017,hk,Mercy, Shawn Mendes
37,38,39123,2017,hk,Fake Love, Drake
38,39,39012,2017,hk,Side To Side, Ariana Grande
39,40,38984,2017,hk,告白氣球, Jay Chou
40,41,38929,2017,hk,只知感覺失了蹤, Dear Jane
41,42,38733,2017,hk,FXXK IT, BIGBANG
42,43,36799,2017,hk,Scars To Your Beautiful, Alessia Cara
43,44,35974,2017,hk,幸福之歌, Supper Moment
44,45,34847,2017,hk,Love Me Now, John Legend
45,46,34732,2017,hk,I Would Like, Zara Larsson
46,47,34705,2017,hk,女神, Joyce Cheng
47,48,34144,2017,hk,羅生門, Juno Mak
48,49,33604,2017,hk,愛需要勇氣 - 電視劇「致命復活」片尾曲, Stephanie Ho
49,50,33078,2017,hk,不該, Jay Chou
50,51,31323,2017,hk,無盡, Supper Moment
51,52,31018,2017,hk,Cheap Thrills, Sia
52,53,30706,2017,hk,Hear Me Now, Alok
53,54,30405,2017,hk,Heathens, Twenty One Pilots
54,55,30380,2017,hk,你好不好? - TVBS連續劇【遺憾拼圖】片尾曲, Eric Chou
55,56,30351,2017,hk,Shed a Light, Robin Schulz
56,57,29987,2017,hk,All Time Low, Jon Bellion
57,58,29944,2017,hk,Versace on the Floor, Bruno Mars
58,59,29054,2017,hk,LAST DANCE, BIGBANG
59,60,28797,2017,hk,Black Beatles, Rae Sremmurd
60,61,28779,2017,hk,原來她不夠愛我, Kwan Gor
61,62,28411,2017,hk,百年不合, Pakho Chau
62,63,28100,2017,hk,Now and Later, Sage The Gemini
63,64,27885,2017,hk,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
64,65,27593,2017,hk,Setting Fires, The Chainsmokers
65,66,27326,2017,hk,後來的我們, Mayday
66,67,27319,2017,hk,One Dance, Drake
67,68,27209,2017,hk,高山低谷, Phil Lam
68,69,26646,2017,hk,TT, TWICE
69,70,26557,2017,hk,別來無恙, Jason Chan
70,71,26447,2017,hk,你瞞我瞞, Jason Chan
71,72,26004,2017,hk,不許你注定一人, Dear Jane
72,73,25388,2017,hk,This Is What You Came For (feat. Rihanna), Calvin Harris
73,74,25236,2017,hk,The Mack, Nevada
74,75,24901,2017,hk,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
75,76,24501,2017,hk,安徒生的錯, Phil Lam
76,77,24459,2017,hk,Chantaje (feat. Maluma), Shakira
77,78,24261,2017,hk,Lot to Learn, Luke Christopher
78,79,24114,2017,hk,Solo Dance, Martin Jensen
79,80,23824,2017,hk,The Greatest (feat. Kendrick Lamar), Sia
80,81,23547,2017,hk,Thinking out Loud, Ed Sheeran
81,82,23452,2017,hk,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
82,83,23109,2017,hk,Sunset Lover, Petit Biscuit
83,84,23031,2017,hk,Weak, AJR
84,85,22968,2017,hk,My Way, Calvin Harris
85,86,22942,2017,hk,小幸运, 陳以桐
86,87,22939,2017,hk,演員, Joker Xue
87,88,22913,2017,hk,Water Under the Bridge, Adele
88,89,22638,2017,hk,不為誰而作的歌, JJ Lin
89,90,22624,2017,hk,Love Yourself, Justin Bieber
90,91,22416,2017,hk,Beautiful, Crush
91,92,22282,2017,hk,月球下的人, Gin Lee
92,93,22233,2017,hk,I Got You, Bebe Rexha
93,94,22175,2017,hk,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
94,95,22014,2017,hk,囍帖街, Kay Tse
95,96,21506,2017,hk,驗傷, Janice Vidal
96,97,21340,2017,hk,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
97,98,21226,2017,hk,The Ocean (feat. Shy Martin), Mike Perry
